evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:56,Jump Ball Stevens vs Wilson (Vandersloot gains possession),0,-80,0,0,0,10,1628932,1611661329,1628922,0,0,202664,1611661329,60000,1
7,09:41,[CHI] Quigley Jump Shot: Missed,-121,162,2,0,1,2,,1611661329,201516,0,0,,1611661329,70000,1
8,09:32,[LVA] McCoughtry Rebound (Off:0 Def:1),-121,162,0,0,0,4,,1611661319,201881,0,0,,1611661329,80000,1
9,09:30,[LVA 2-0] Wilson Jump Shot: Made (2 PTS),1,145,2,0,1,1,,1611661319,1628932,2,0,,1611661319,90000,1
10,09:30,[CHI] Stevens Foul: Shooting (1 PF) (1 FTA),3,0,0,0,2,6,1628932,1611661329,1628922,2,0,,1611661319,100000,1
12,09:30,[LVA] Wilson Free Throw 1 of 1 Missed,0,-80,2,0,10,3,,1611661319,1628932,2,0,,1611661319,120000,1
13,09:27,[LVA] Allen Rebound (Off:1 Def:0),0,-80,1,0,0,4,,1611661319,1628263,2,0,,1611661319,120001,1
14,09:24,[LVA] McCoughtry Turnover : Step Out of Bounds Turnover (1 TO),121,-30,0,0,39,5,,1611661319,201881,2,0,,1611661319,140000,1
15,09:10,[CHI] Copper Jump Shot: Missed,3,166,2,0,1,2,,1611661329,1627674,2,0,,1611661329,150000,1
16,09:06,[LVA] McCoughtry Rebound (Off:0 Def:2),3,166,0,0,0,4,,1611661319,201881,2,0,,1611661329,160000,1
17,09:00,[LVA 4-0] McCoughtry Layup Shot: Made (2 PTS),-7,-5,2,0,5,1,,1611661319,201881,4,0,,1611661319,170000,1
18,08:46,[CHI 3-4] Dolson 3pt Shot: Made (3 PTS) Assist: Copper (1 AST),-120,236,3,0,1,1,,1611661329,203828,4,3,1627674,1611661329,180000,1
20,08:32,[CHI] Vandersloot Foul: Personal (1 PF),104,-11,0,0,1,6,201881,1611661329,202664,4,3,,1611661319,200000,1
22,08:24,[LVA 6-3] Allen Layup Shot: Made (2 PTS),-22,4,2,0,5,1,,1611661319,1628263,6,3,,1611661319,220000,1
23,08:21,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,6,3,,1611661329,230000,1
24,08:20,[CHI] Quigley Jump Shot: Missed,115,31,2,0,1,2,,1611661329,201516,6,3,,1611661329,240000,1
25,08:16,[LVA] McCoughtry Rebound (Off:0 Def:3),115,31,0,0,0,4,,1611661319,201881,6,3,,1611661329,250000,1
