evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:55,Jump Ball Stokes vs Stokes (Ruffin-Pratt gains possession),0,-80,0,0,0,10,204329,1611661320,204329,0,0,203437,1611661320,60000,1
7,09:49,[LAS 2-0] Ruffin-Pratt Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Parker (1 AST),-19,11,2,0,99,1,,1611661320,203437,0,2,201496,1611661320,70000,1
9,09:29,[NYL] Nurse Driving Layup Shot: Missed,18,25,2,0,6,2,,1611661313,1628915,0,2,,1611661313,90000,1
10,09:28,[LAS] Parker Rebound (Off:0 Def:1),18,25,0,0,0,4,,1611661320,201496,0,2,,1611661313,100000,1
11,09:25,[LAS] Team Timeout : Regular,0,-80,0,0,1,9,,1611661320,1611661320,0,2,,1611661320,110000,1
12,09:25,[LAS] Ruffin-Pratt Substitution replaced by Williams,0,-80,0,0,0,8,,1611661320,203437,0,2,203029,1611661320,120000,1
14,09:13,[LAS] Williams 3pt Shot: Missed,227,56,3,0,1,2,,1611661320,203029,0,2,,1611661320,140000,1
15,09:09,[NYL] Stokes Rebound (Off:0 Def:1),227,56,0,0,0,4,,1611661313,204329,0,2,,1611661320,150000,1
16,08:54,[NYL 3-2] Willoughby 3pt Shot: Made (3 PTS) Assist: Odom (1 AST),98,235,3,0,1,1,,1611661313,1630139,3,2,1630127,1611661313,160000,1
18,08:43,[LAS] Cooper Layup Shot: Missed,-7,23,2,0,5,2,204329,1611661320,1630099,3,2,,1611661320,180000,1
20,08:41,[NYL] Willoughby Rebound (Off:0 Def:1),-7,23,0,0,0,4,,1611661313,1630139,3,2,,1611661320,200000,1
21,08:22,[NYL] Nurse 3pt Shot: Missed,224,64,3,0,1,2,,1611661313,1628915,3,2,,1611661313,210000,1
22,08:20,[LAS] Parker Rebound (Off:0 Def:2),224,64,0,0,0,4,,1611661320,201496,3,2,,1611661313,220000,1
23,08:11,[LAS 5-3] N Ogwumike 3pt Shot: Made (3 PTS) Assist: Parker (2 AST),80,235,3,0,1,1,,1611661320,203014,3,5,201496,1611661320,230000,1
25,07:47,[NYL] Nurse Turnover : Step Out of Bounds Turnover (1 TO),-94,46,0,0,39,5,,1611661313,1628915,3,5,,1611661313,250000,1
26,07:32,[LAS] N Ogwumike Jump Shot: Missed,178,107,2,0,1,2,,1611661320,203014,3,5,,1611661320,260000,1
27,07:29,[NYL] Nurse Rebound (Off:0 Def:1),178,107,0,0,0,4,,1611661313,1628915,3,5,,1611661320,270000,1
28,07:24,[NYL] Willoughby Turnover : Out of Bounds - Bad Pass Turnover (1 TO),-208,97,0,0,45,5,,1611661313,1630139,3,5,,1611661313,280000,1
29,07:06,[LAS 7-3] Parker Turnaround Fadeaway Bank Jump Shot: Made (2 PTS),-64,50,2,0,105,1,,1611661320,201496,3,7,,1611661320,290000,1
31,06:42,[NYL] Odom 3pt Shot: Missed,101,230,3,0,1,2,,1611661313,1630127,3,7,,1611661313,310000,1
32,06:39,[LAS] Parker Rebound (Off:0 Def:3),101,230,0,0,0,4,,1611661320,201496,3,7,,1611661313,320000,1
