evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:57,Jump Ball Williams vs Parker (Williams gains possession),0,-80,0,0,0,10,204323,1611661330,204322,0,0,1627675,1611661330,60000,1
7,09:45,[ATL] Williams Jump Shot: Missed,-205,28,2,0,1,2,,1611661330,1627675,0,0,,1611661330,70000,1
8,09:38,[ATL] Williams Rebound (Off:1 Def:0),-205,28,1,0,0,4,,1611661330,204322,0,0,,1611661330,80000,1
9,09:38,[ATL] Williams Putback Layup Shot: Missed,0,-5,2,0,72,2,,1611661330,204322,0,0,,1611661330,90000,1
10,09:37,[CHI] Copper Rebound (Off:0 Def:1),0,-5,0,0,0,4,,1611661329,1627674,0,0,,1611661330,100000,1
11,09:22,[CHI 2-0] Hebard Layup Shot: Made (2 PTS) Assist: Vandersloot (1 AST),-4,28,2,0,5,1,,1611661329,1630113,2,0,202664,1611661329,110000,1
13,09:05,[ATL 2-2] Williams Jump Shot: Made (2 PTS) Assist: Carter (1 AST),-206,11,2,0,1,1,,1611661330,1627675,2,2,1630150,1611661330,130000,1
15,08:57,[CHI 4-2] Copper Jump Shot: Made (2 PTS) Assist: Vandersloot (2 AST),-136,104,2,1,1,1,,1611661329,1627674,4,2,202664,1611661329,150000,1
17,08:35,[ATL] Williams Jump Shot: Missed,-2,56,2,0,1,2,,1611661330,204322,4,2,,1611661330,170000,1
18,08:31,[ATL] Laney Rebound (Off:1 Def:0),-2,56,1,0,0,4,,1611661330,204335,4,2,,1611661330,180000,1
19,08:31,[ATL] Laney Putback Layup Shot: Missed,0,-5,2,0,72,2,,1611661330,204335,4,2,,1611661330,190000,1
20,08:30,[CHI] Hebard Rebound (Off:0 Def:1),0,-5,0,0,0,4,,1611661329,1630113,4,2,,1611661330,200000,1
21,08:28,[CHI] Parker Turnover : Bad Pass (1 TO),-32,402,0,0,1,5,,1611661329,204323,4,2,,1611661329,210000,1
22,08:17,[ATL 4-4] Carter Jump Shot: Made (2 PTS),-63,121,2,0,1,1,,1611661330,1630150,4,4,,1611661330,220000,1
