evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:57,Jump Ball Harrison vs Collier (Thornton gains possession),0,-80,0,0,0,10,1629483,1611661321,204330,0,0,203866,1611661321,60000,1
7,09:41,[DAL] Harrison Turnover : Step Out of Bounds Turnover (1 TO),-87,8,0,0,39,5,,1611661321,204330,0,0,,1611661321,70000,1
8,09:31,[MIN 3-0] Brown 3pt Shot: Made (3 PTS) Assist: Dangerfield (1 AST),-202,150,3,0,1,1,,1611661324,1628882,3,0,1630101,1611661324,80000,1
10,09:11,[DAL] Mabrey Pullup Jump shot: Missed,96,188,2,0,79,2,,1611661321,1629497,3,0,,1611661321,100000,1
11,09:05,[MIN] Carleton Rebound (Off:0 Def:1),96,188,0,0,0,4,,1611661324,1629524,3,0,,1611661321,110000,1
12,08:53,[MIN 5-0] Dangerfield Driving Layup Shot: Made (2 PTS),-48,13,2,0,6,1,,1611661324,1630101,5,0,,1611661324,120000,1
13,08:37,[DAL 3-5] Gray 3pt Shot: Made (3 PTS) Assist: Mabrey (1 AST),-124,246,3,0,1,1,,1611661321,1628277,5,3,1629497,1611661321,130000,1
15,08:16,[DAL] Harrison Foul: Shooting (1 PF) (2 FTA),-34,49,0,0,2,6,203024,1611661321,204330,5,3,,1611661324,150000,1
17,08:16,[MIN 6-3] Dantas Free Throw 1 of 2 (1 PTS),0,-80,1,0,11,3,,1611661324,203024,6,3,,1611661324,170000,1
18,08:16,[MIN 7-3] Dantas Free Throw 2 of 2 (2 PTS),0,-80,1,0,12,3,,1611661324,203024,7,3,,1611661324,180000,1
19,08:07,[MIN] Dantas Foul: Shooting (1 PF) (2 FTA),41,14,0,0,2,6,1629497,1611661324,203024,7,3,,1611661321,190000,1
21,08:07,[DAL 4-7] Mabrey Free Throw 1 of 2 (1 PTS),0,-80,1,0,11,3,,1611661321,1629497,7,4,,1611661321,210000,1
22,08:07,[DAL 5-7] Mabrey Free Throw 2 of 2 (2 PTS),0,-80,1,0,12,3,,1611661321,1629497,7,5,,1611661321,220000,1
23,07:50,[MIN 9-5] Dantas Turnaround Fadeaway shot: Made (4 PTS),-48,5,2,0,86,1,,1611661324,203024,9,5,,1611661324,230000,1
24,07:39,[DAL 7-9] Mabrey Pullup Jump shot: Made (4 PTS),103,148,2,0,79,1,,1611661321,1629497,9,7,,1611661321,240000,1
25,07:27,[MIN 11-7] Dantas Cutting Layup Shot: Made (6 PTS) Assist: Dangerfield (2 AST),-57,10,2,0,98,1,,1611661324,203024,11,7,1630101,1611661324,250000,1
27,07:11,[DAL 10-11] Gray 3pt Shot: Made (6 PTS) Assist: Ogunbowale (1 AST),239,-3,3,0,1,1,,1611661321,1628277,11,10,1629481,1611661321,270000,1
29,06:58,[MIN 13-10] Collier Turnaround Jump Shot: Made (2 PTS),-73,87,2,0,47,1,,1611661324,1629483,13,10,,1611661324,290000,1
30,06:43,[DAL] Gray 3pt Shot: Missed,-205,140,3,0,1,2,,1611661321,1628277,13,10,,1611661321,300000,1
31,06:40,[MIN] Dantas Rebound (Off:0 Def:1),-205,140,0,0,0,4,,1611661324,203024,13,10,,1611661321,310000,1
32,06:31,[DAL] Harrison Foul: Shooting (2 PF) (2 FTA),67,24,0,0,2,6,203024,1611661321,204330,13,10,,1611661324,320000,1
34,06:31,[MIN 14-10] Dantas Free Throw 1 of 2 (7 PTS),0,-80,1,0,11,3,,1611661324,203024,14,10,,1611661324,340000,1
35,06:31,[DAL] Harrison Substitution replaced by Alarie,0,-80,0,0,0,8,,1611661321,204330,14,10,1630093,1611661324,350000,1
37,06:31,[MIN] Dantas Free Throw 2 of 2 Missed,0,-80,2,0,12,3,,1611661324,203024,14,10,,1611661324,370000,1
38,06:28,[DAL] Alarie Rebound (Off:0 Def:1),0,-80,0,0,0,4,,1611661321,1630093,14,10,,1611661324,370001,1
39,06:19,[DAL] Ogunbowale Pullup Jump shot: Missed,-138,-2,2,0,79,2,,1611661321,1629481,14,10,,1611661321,390000,1
40,06:15,[MIN] Carleton Rebound (Off:0 Def:2),-138,-2,0,0,0,4,,1611661324,1629524,14,10,,1611661321,400000,1
41,05:59,[MIN] Dantas Hook Shot: Missed,54,15,2,0,3,2,1630093,1611661324,203024,14,10,,1611661324,410000,1
43,05:59,[MIN] Team Rebound,54,15,1,0,0,4,,1611661324,0,14,10,,1611661324,430000,1
44,05:59,[MIN] Brown Foul: Offensive (1 PF),72,96,0,0,4,6,203866,1611661324,1628882,14,10,,1611661324,440000,1
46,05:59,[MIN] Brown Turnover : Offensive Foul Turnover (1 TO),72,96,0,0,37,5,,1611661324,1628882,14,10,,1611661324,460000,1
47,05:36,[DAL] Ogunbowale Pullup Jump shot: Missed,35,199,2,0,79,2,,1611661321,1629481,14,10,,1611661321,470000,1
48,05:34,[DAL] Thornton Rebound (Off:1 Def:0),35,199,1,0,0,4,,1611661321,203866,14,10,,1611661321,480000,1
49,05:34,[DAL] Thornton Turnover : Traveling (1 TO),37,0,0,0,4,5,,1611661321,203866,14,10,,1611661321,490000,1
50,05:21,[MIN] Dangerfield Driving Layup Shot: Missed,-26,-11,2,0,6,2,,1611661324,1630101,14,10,,1611661324,500000,1
51,05:17,[DAL] Ogunbowale Rebound (Off:0 Def:1),-26,-11,0,0,0,4,,1611661321,1629481,14,10,,1611661324,510000,1
