evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:53,Jump Ball Swords vs Hines-Allen (Wilson gains possession),0,-80,0,0,0,10,1628899,1611661319,202670,0,0,1628932,1611661319,60000,1
7,09:43,[LVA] Wilson Jump Shot: Missed,-36,158,2,0,1,2,,1611661319,1628932,0,0,,1611661319,70000,1
8,09:40,[WAS] Meesseman Rebound (Off:0 Def:1),-36,158,0,0,0,4,,1611661322,203416,0,0,,1611661319,80000,1
9,09:28,[WAS] Atkins Turnover : Traveling (1 TO),-71,120,0,0,4,5,,1611661322,1628878,0,0,,1611661322,90000,1
10,09:11,[LVA 2-0] Wilson Jump Shot: Made (2 PTS),47,75,2,0,1,1,,1611661319,1628932,2,0,,1611661319,100000,1
11,08:50,[WAS] Mitchell 3pt Shot: Missed,133,201,3,0,1,2,,1611661322,201507,2,0,,1611661322,110000,1
12,08:47,[WAS] Meesseman Rebound (Off:1 Def:1),133,201,1,0,0,4,,1611661322,203416,2,0,,1611661322,120000,1
13,08:45,[WAS 3-2] Hines-Allen 3pt Shot: Made (3 PTS) Assist: Meesseman (1 AST),-120,219,3,0,1,1,,1611661322,1628899,2,3,203416,1611661322,130000,1
15,08:31,[LVA] Allen 3pt Shot: Missed,-17,230,3,0,1,2,,1611661319,1628263,2,3,,1611661319,150000,1
16,08:24,[WAS] Mitchell Rebound (Off:0 Def:1),-17,230,0,0,0,4,,1611661322,201507,2,3,,1611661319,160000,1
17,08:23,[WAS 5-2] Hawkins Layup Shot: Made (2 PTS) Assist: Mitchell (1 AST),25,27,2,1,5,1,,1611661322,203403,2,5,201507,1611661322,170000,1
19,08:11,[LVA] Wilson Turnaround Jump Shot: Missed,-66,15,2,0,47,2,,1611661319,1628932,2,5,,1611661319,190000,1
20,08:11,[WAS] Team Rebound,-66,15,0,0,0,4,,1611661322,0,2,5,,1611661319,200000,1
21,08:11,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,2,5,,1611661322,210000,1
22,07:52,[WAS] Meesseman Turnover : Traveling (1 TO),77,232,0,0,4,5,,1611661322,203416,2,5,,1611661322,220000,1
24,07:44,[WAS] Mitchell Foul: Personal (1 PF),171,140,0,0,1,6,203825,1611661322,201507,2,5,,1611661319,240000,1
26,07:32,[LVA] Wilson Pullup Jump shot: Missed,-44,165,2,0,79,2,,1611661319,1628932,2,5,,1611661319,260000,1
27,07:29,[WAS] Mitchell Rebound (Off:0 Def:2),-44,165,0,0,0,4,,1611661322,201507,2,5,,1611661319,270000,1
28,07:25,[WAS] Hines-Allen Layup Shot: Missed,-29,18,2,1,5,2,,1611661322,1628899,2,5,,1611661322,280000,1
29,07:22,[LVA] McCoughtry Rebound (Off:0 Def:1),-29,18,0,0,0,4,,1611661319,201881,2,5,,1611661322,290000,1
30,07:17,[LVA] Allen Jump Shot: Missed,-47,112,2,0,1,2,1628878,1611661319,1628263,2,5,,1611661319,300000,1
32,07:17,[LVA] Team Rebound,-47,112,1,0,0,4,,1611661319,0,2,5,,1611661319,320000,1
33,07:12,[LVA] McCoughtry Layup Shot: Missed,81,16,2,0,5,2,,1611661319,201881,2,5,,1611661319,330000,1
34,07:08,[WAS] Hines-Allen Rebound (Off:0 Def:1),81,16,0,0,0,4,,1611661322,1628899,2,5,,1611661319,340000,1
35,07:00,[WAS] Meesseman 3pt Shot: Missed,160,185,3,0,1,2,,1611661322,203416,2,5,,1611661322,350000,1
36,06:57,[LVA] McCoughtry Rebound (Off:0 Def:2),160,185,0,0,0,4,,1611661319,201881,2,5,,1611661322,360000,1
37,06:53,[WAS] Hawkins Foul: Shooting (1 PF) (2 FTA),-75,17,0,0,2,6,201881,1611661322,203403,2,5,,1611661319,370000,1
