"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Kia Nurse","PHO",32,835,25,104.4803982576229,102.35148514851485,279,0.21904761904761905,0.43333333333333335,0.29411764705882354,0.15789473684210525,2,2,0,1,1,0,0,0,2,1,17,6,11,0
"Riquna Williams","LVA",32,833,151,106.76868746321367,98.11209439528024,318,0.2441860465116279,0.125,0.16666666666666666,0.12195121951219512,12,9,3,3,4,2,1,2,6,0.5,24,9,15,0
"Natasha Cloud","WAS",27,832,-53,101.49790293588974,104.67345715997602,227,0.2878787878787879,0.21428571428571427,0.2916666666666667,0.0625,4,4,0,1,0,3,0,0,3,0.75,37,13,24,0
"Sue Bird","SEA",30,832,118,107.59878419452887,100.97799511002445,264,0.22826086956521738,0.4,0.25,0.3333333333333333,4,4,0,1,3,0,0,0,3,0.75,28,9,19,0
"Nia Coffey","LAS",32,805,-114,92.95323510570148,100.127959053103,238,0.3088235294117647,0.5,0.10344827586206896,0.23529411764705882,38,37,1,16,20,1,0,1,22,0.5789473684210527,25,10,15,0
"Tiffany Mitchell","IND",28,765,-140,96.1744966442953,105.78345662407533,305,0.42424242424242425,0.20408163265306123,0.35135135135135137,0.32,1,1,0,0,1,0,0,0,1,1,18,6,12,0
"Marina Mabrey","DAL",32,763,6,106.19644034278181,105.24590163934427,368,0.3418803418803419,0.4090909090909091,0.38095238095238093,0.3695652173913043,10,9,1,2,7,0,0,1,6,0.6,31,12,19,0
"Elizabeth Williams","ATL",32,762,-119,97.97434166103983,106.80272108843538,144,0,0.4489795918367347,0.25,0.5,43,40,3,28,12,0,1,2,19,0.4418604651162791,36,16,20,0
"Odyssey Sims","ATL",30,753,-171,96.30127774041695,108.5308056872038,242,0.35294117647058826,0.38095238095238093,0.3728813559322034,0.2,2,2,0,1,1,0,0,0,1,0.5,37,17,20,0
"Mercedes Russell","SEA",30,740,137,107.95847750865052,98.07029634734666,176,0,0.0625,0.2,0.16666666666666666,11,11,0,3,5,3,0,0,7,0.6363636363636364,28,5,23,0
"Monique Billings","ATL",31,739,-86,97.8067169294037,102.99523485364193,197,0,0.25,0.17073170731707318,0.19047619047619047,32,32,0,19,13,0,0,0,22,0.6875,37,11,26,0
"Leilani Mitchell","WAS",31,725,-40,102.56410256410257,105.62890896455872,180,0.28735632183908044,0.4,0.2,0.16666666666666666,2,2,0,2,0,0,0,0,1,0.5,15,6,9,0
"Michaela Onyenwere","NYL",32,721,-100,98.02452316076294,105.26675786593708,249,0.19736842105263158,0.1935483870967742,0.08695652173913043,0,9,9,0,6,3,0,0,0,5,0.5555555555555556,14,4,10,0
"Amanda Zahui B","LAS",30,714,-49,93.86861313868614,97.9457079970653,239,0.16,0.4666666666666667,0.13793103448275862,0.19047619047619047,35,33,2,14,19,0,1,1,18,0.5142857142857142,19,8,11,0
"Dearica Hamby","LVA",29,710,226,110.16597510373444,94.34092477570738,300,0.16,0.3333333333333333,0.18181818181818182,0.3333333333333333,4,3,1,2,1,0,0,1,3,0.75,31,12,19,0
"Allisha Gray","DAL",25,684,12,103.12267657992565,101.92735359525574,260,0.2553191489361702,0.4583333333333333,0.3225806451612903,0.19230769230769232,21,19,2,9,7,3,0,2,16,0.7619047619047619,25,10,15,0
"Te'a Cooper","LAS",31,678,-97,89.03080390683697,96.68174962292609,262,0.15217391304347827,0.325,0.2682926829268293,0.20833333333333334,6,6,0,2,4,0,0,0,2,0.3333333333333333,28,12,16,0
"Kelsey Plum","LVA",26,663,144,107.97317436661699,97.31543624161074,353,0.16666666666666666,0.21052631578947367,0.34146341463414637,0.15151515151515152,1,1,0,0,1,0,0,0,0,0,26,10,16,0
"Victoria Vivians","IND",31,661,-194,96.26168224299066,111.63153786104606,198,0.3,0.3333333333333333,0.2857142857142857,0.2222222222222222,4,3,1,2,1,0,0,1,3,0.75,35,10,25,0
"Danielle Robinson","IND",24,659,-123,97.22007722007723,105.98159509202455,218,0.35294117647058826,0.358974358974359,0.4,0.13333333333333333,2,1,1,0,1,0,0,1,2,1,37,15,22,0
"Isabelle Harrison","DAL",28,655,96,109.8145285935085,102.23765432098764,257,0,0.34210526315789475,0.2692307692307692,0.2631578947368421,19,19,0,12,7,0,0,0,10,0.5263157894736842,31,2,29,0
"Natisha Hiedeman","CON",32,644,80,102.96784830997527,96.6914805624483,213,0.4084507042253521,0.3333333333333333,0.5217391304347826,0,6,6,0,3,2,1,0,0,5,0.8333333333333334,27,6,21,0
"Allie Quigley","CHI",26,635,88,109.65954077593032,102.44865718799367,302,0.2857142857142857,0.42857142857142855,0.34146341463414637,0.22857142857142856,7,7,0,3,4,0,0,0,3,0.42857142857142855,13,6,7,0
"Crystal Dangerfield","MIN",31,623,-16,101.30932896890343,101.95121951219511,221,0.21739130434782608,0.32,0.2558139534883721,0.17647058823529413,2,1,1,0,1,0,0,1,1,0.5,21,6,15,0
"Bridget Carleton","MIN",32,618,12,99.00332225913623,96.64209664209663,143,0.2222222222222222,0.4166666666666667,0.17647058823529413,0.16666666666666666,6,5,1,1,1,3,0,1,3,0.5,25,10,15,0
"Candace Parker","CHI",23,605,49,103.322528363047,99.43227899432279,254,0.28888888888888886,0.3,0.27906976744186046,0,27,27,0,8,17,2,0,0,20,0.7407407407407407,17,9,8,0
"Tiffany Hayes","ATL",21,595,-42,101.11206159110351,106.25,271,0.2653061224489796,0.34210526315789475,0.34285714285714286,0.2222222222222222,4,4,0,3,1,0,0,0,2,0.5,33,9,24,0
"Liz Cambage","LVA",25,595,160,107.88824979457682,94.50819672131148,298,0.3333333333333333,0.28,0.22666666666666666,0.25,41,41,0,15,26,0,0,0,30,0.7317073170731707,22,5,17,0
"Rebecca Allen","NYL",25,595,-210,91.07289107289107,107.56712774613507,207,0.12987012987012986,0.23529411764705882,0.1875,0.1935483870967742,31,26,5,14,8,4,1,4,17,0.5483870967741935,40,8,32,0
"Sydney Wiese","WAS",27,588,-107,100.08695652173913,109.29626411815812,109,0.18181818181818182,0.25,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,10,3,7,0
"Azurá Stevens","CHI",30,577,11,106.92640692640693,105.2450558899398,188,0.1724137931034483,0.25,0.44,0.3333333333333333,21,20,1,10,9,1,0,1,13,0.6190476190476191,24,5,19,0
"Damiris Dantas","MIN",24,572,10,103.55871886120997,102.21434898139948,161,0.13432835820895522,0.21428571428571427,0.23076923076923078,0.35714285714285715,7,7,0,3,2,2,0,0,5,0.7142857142857143,10,4,6,0
"Lindsay Allen","IND",32,571,-176,97.80621572212067,113.99817017383349,147,0.20689655172413793,0.2727272727272727,0.4090909090909091,0.3,3,3,0,1,2,0,0,0,3,1,17,6,11,0
"Nneka Ogwumike","LAS",18,570,-61,92.58241758241758,97.89954337899545,209,0.05555555555555555,0.3684210526315789,0.07692307692307693,0.23529411764705882,5,5,0,4,1,0,0,0,4,0.8,26,12,14,0
"Shey Peddy","PHO",32,570,-15,101.94986072423399,103.43866171003718,148,0.2,0.3,0.4117647058823529,0.2,3,2,1,1,1,0,0,1,1,0.3333333333333333,29,10,19,0
"Theresa Plaisance","WAS",31,569,-93,97.13004484304932,105.3763440860215,177,0.15,0.2222222222222222,0.3333333333333333,0.18181818181818182,21,21,0,9,12,0,0,0,10,0.47619047619047616,25,7,18,0
"Kylee Shook","NYL",30,567,-51,95.81151832460732,100.08710801393728,155,0.1111111111111111,0.14285714285714285,0.17647058823529413,0,15,15,0,11,4,0,0,0,7,0.4666666666666667,10,0,10,0
"Katie Lou Samuelson","SEA",27,566,64,104.75770925110133,99.46949602122015,175,0.1702127659574468,0.3333333333333333,0.07142857142857142,0.36363636363636365,7,7,0,2,3,2,0,0,6,0.8571428571428571,19,4,15,0
"Jessica Breland","IND",26,544,-190,93.23164918970448,109.46579194001875,134,0.2727272727272727,0.4583333333333333,0.1875,0.2127659574468085,39,37,2,20,16,1,1,1,22,0.5641025641025641,16,5,11,0
"Layshia Clarendon","MIN",22,542,116,106.9158878504673,97.6258309591643,202,0.375,0.3225806451612903,0.3548387096774194,0.25,0,0,0,0,0,0,0,0,0,0,13,6,7,0
"Jordin Canada","SEA",29,542,16,104.13533834586465,100.64516129032259,151,0.2222222222222222,0.3684210526315789,0.19444444444444445,0.23809523809523808,4,4,0,2,2,0,0,0,3,0.75,21,4,17,0
"Jantel Lavender","IND",27,539,-191,93.93090569561157,112.5,139,0.21428571428571427,0.56,0.5294117647058824,0.23529411764705882,4,4,0,2,2,0,0,0,3,0.75,0,0,0,0
"Stephanie Talbot","SEA",30,538,99,105.90440487347703,96.53558052434457,156,0.17142857142857143,0.09090909090909091,0.14285714285714285,0.09090909090909091,12,7,5,2,5,0,0,5,5,0.4166666666666667,14,4,10,0
"Sophie Cunningham","PHO",30,524,33,107.14285714285715,103.3033033033033,134,0.2826086956521739,0.3333333333333333,0.08333333333333333,0,7,7,0,3,3,1,0,0,4,0.5714285714285714,14,2,12,0
"Tyasha Harris","DAL",32,522,-23,103.33333333333334,106.63366336633663,128,0.3888888888888889,0.3076923076923077,0.3333333333333333,0.22727272727272727,10,10,0,3,7,0,0,0,5,0.5,13,4,9,0
"Kristi Toliver","LAS",19,521,-62,95.27093596059113,101.78041543026707,159,0.23636363636363636,0,0.29411764705882354,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,14,8,6,0
"Ruthy Hebard","CHI",30,505,44,104.35643564356435,99.60552268244575,134,0,0.14285714285714285,0.20512820512820512,0.1,20,19,1,15,3,1,0,1,7,0.35,20,2,18,0
"Moriah Jefferson","DAL",29,500,-9,104.30672268907564,104.5929018789144,135,0.38461538461538464,0.7777777777777778,0.15,0.32,5,5,0,3,2,0,0,0,4,0.8,24,4,20,0
"Aari McDonald","ATL",30,493,-63,98.35897435897436,104.39223697650665,183,0.35294117647058826,0.16666666666666666,0.3333333333333333,0.2,5,5,0,3,1,1,0,0,2,0.4,25,14,11,0
"Kaila Charles","CON",30,489,82,98.92241379310346,90.86956521739131,103,0.19047619047619047,0.375,0.3125,0.3333333333333333,11,11,0,4,7,0,0,0,8,0.7272727272727273,14,6,8,0
"Stefanie Dolson","CHI",24,480,63,101.6649323621228,96.61733615221986,169,0.37037037037037035,0.3684210526315789,0.18181818181818182,0.125,19,18,1,11,6,1,0,1,11,0.5789473684210527,6,1,5,0
"Candice Dupree","ATL",26,463,-79,96.25550660792952,104.61031833150385,147,0.2,0.2,0.18181818181818182,0.19148936170212766,5,5,0,3,2,0,0,0,1,0.2,12,3,9,0
"Ezi Magbegor","SEA",30,456,4,101.32304299889746,100.10940919037199,168,0,0.4,0.2903225806451613,0.14285714285714285,28,25,3,12,13,0,0,3,21,0.75,18,4,14,0
"Jazmine Jones","NYL",27,448,-110,90.2330743618202,103.82452193475815,148,0.2608695652173913,0.43478260869565216,0.2727272727272727,0,10,10,0,6,3,1,0,0,3,0.3,14,7,7,0
"Myisha Hines-Allen","WAS",18,446,-46,102.57847533632287,106.89655172413792,196,0.2,0.36363636363636365,0.2982456140350877,0.23529411764705882,11,11,0,2,8,1,0,0,11,1,24,9,15,0
"Diana Taurasi","PHO",16,445,63,109.09090909090908,101.24153498871333,235,0.19230769230769232,0.8,0.2631578947368421,0.16666666666666666,9,9,0,3,6,0,0,0,4,0.4444444444444444,3,0,3,0
"Kiah Stokes","LVA",24,443,29,102.27790432801822,98.4144960362401,29,0,0.3333333333333333,0,0,16,16,0,8,8,0,0,0,9,0.5625,10,2,8,0
"Shavonte Zellous","WAS",28,442,-52,97.83352337514253,103.52673492605234,106,0.17857142857142858,0.25,0.25,0.2631578947368421,6,6,0,1,5,0,0,0,4,0.6666666666666666,11,6,5,0
"Kia Vaughn","PHO",28,441,-67,103.91923990498812,110.82352941176471,113,0,0.2857142857142857,0.2692307692307692,0.3783783783783784,6,6,0,4,2,0,0,0,4,0.6666666666666666,5,3,2,0
"Crystal Bradford","ATL",24,440,-53,101.46067415730337,106.45879732739421,174,0.21568627450980393,0.5,0.45,0.4166666666666667,9,9,0,5,2,2,0,0,5,0.5555555555555556,29,12,17,0
"Tianna Hawkins","ATL",28,432,-58,97.9498861047836,106.1271676300578,105,0.16,0.3333333333333333,0.5,0.125,14,13,1,8,4,1,1,0,7,0.5,11,4,7,0
"Megan Walker","PHO",29,426,-1,102.7060270602706,102.07570207570208,117,0.2549019607843137,0.36363636363636365,0.25,0.38461538461538464,8,8,0,2,5,1,0,0,2,0.25,5,3,2,0
