Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT
A'JA WILSON,LVA,95.2,4.8,3.0,8.2,25.5,55.9,74.8,25.2,100,0.0
ALIYAH BOSTON,IND,97.5,2.5,2.1,3.1,18.7,72.3,55.9,44.1,100,0.0
ALYSSA THOMAS,CON,99.4,0.6,0.0,15.0,21.5,71.1,58.0,42.0,0.0,0.0
ARIKE OGUNBOWALE,DAL,54.7,45.3,41.3,22.1,15.8,28.7,44.0,56.0,60.7,39.3
BETNIJAH LANEY-HAMILTON,NYL,61.8,38.2,35.1,19.9,10.3,46.0,71.4,28.6,98.3,1.7
BREANNA STEWART,NYL,66.0,34.0,26.8,14.0,22.3,37.9,73.1,26.9,85.4,14.6
BRIANNA TURNER,PHO,100,0.0,0.0,8.6,4.3,88.6,86.6,13.4,0.0,0.0
BRITTNEY SYKES,WAS,69.3,30.7,26.4,15.4,19.2,41.5,40.5,59.5,92.9,7.1
CHELSEA GRAY,LVA,66.9,33.1,31.5,11.1,15.7,27.5,19.3,80.7,71.9,28.1
CHEYENNE PARKER-TYUS,ATL,88.8,11.2,7.5,7.8,20.2,56.7,66.8,33.2,93.3,6.7
COURTNEY WILLIAMS,CHI,73.7,26.3,34.1,19.1,3.6,25.1,34.9,65.1,95.7,4.3
DEWANNA BONNER,CON,58.4,41.6,32.3,15.1,22.4,35.3,69.6,30.4,85.3,14.7
DEARICA HAMBY,LAS,86.6,13.4,7.6,11.2,23.3,67.4,71.5,28.5,100,0.0
ELIZABETH WILLIAMS,CHI,100,0.0,0.0,9.2,14.8,83.2,76.0,24.0,0.0,0.0
ERICA WHEELER,IND,73.6,26.4,22.8,15.2,18.3,44.7,27.6,72.4,53.3,46.7
EZI MAGBEGOR,SEA,81.6,18.4,16.4,12.5,15.6,66.2,65.2,34.8,96.7,3.3
HALEY JONES,ATL,83.1,16.9,12.1,12.8,20.8,55.0,34.0,66.0,100,0.0
JACKIE YOUNG,LVA,58.4,41.6,37.9,24.0,16.6,40.3,53.8,46.3,75.3,24.7
JONQUEL JONES,NYL,72.8,27.2,21.2,6.6,15.2,59.6,73.6,26.4,100,0.0
KADI SISSOKO,PHO,71.0,29.0,15.3,10.2,16.9,54.2,50.0,50.0,100,0.0
KAYLA THORNTON,NYL,46.7,53.3,42.1,7.9,13.0,36.0,72.5,27.5,100,0.0
KELSEY MITCHELL,IND,53.9,46.1,42.0,16.3,18.7,27.7,37.8,62.2,75.5,24.5
KIA NURSE,SEA,38.6,61.4,64.1,21.4,10.3,23.1,60.0,40.0,90.0,10.0
KIAH STOKES,LVA,67.5,32.5,17.4,11.6,10.5,69.8,87.1,12.9,100,0.0
MICHAELA ONYENWERE,PHO,65.5,34.5,29.6,9.6,16.9,46.8,66.3,33.7,97.1,2.9
NATISHA HIEDEMAN,CON,48.7,51.3,52.2,16.2,10.0,27.1,43.8,56.3,94.9,5.1
NAZ HILLMON,ATL,99.1,0.9,0.0,7.3,28.0,67.1,72.9,27.1,0.0,0.0
REBECCA ALLEN,CON,52.1,47.9,47.1,14.1,7.4,34.5,75.9,24.1,95.0,5.0
SAMI WHITCOMB,SEA,27.8,72.2,68.6,10.0,11.3,16.5,46.2,53.8,82.0,18.0
SHATORI WALKER-KIMBROUGH,WAS,59.6,40.4,38.4,13.2,17.6,25.6,70.9,29.1,100,0.0
SUG SUTTON,PHO,72.8,27.2,27.4,15.2,14.1,44.5,19.8,80.2,76.7,23.3
TIANNA HAWKINS,WAS,67.2,32.8,26.5,13.4,11.9,58.5,74.3,25.7,96.6,3.4
TIFFANY HAYES,CON,62.9,37.1,29.9,15.1,20.3,44.4,54.2,45.8,79.2,20.8
TYASHA HARRIS,CON,59.8,40.2,50.9,16.5,7.4,26.1,43.8,56.3,92.3,7.7
VERONICA BURTON,DAL,43.5,56.5,41.5,11.7,33.0,25.5,25.0,75.0,92.3,7.7
