Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT
ANGEL MCCOUGHTRY,ATL,84.8,15.2,10.3,20.9,23.0,48.3,29.7,70.3,73.3,26.7
ASHLEY BATTLE,NYL,68.9,31.1,32.2,16.4,18.1,45.2,45.5,54.5,94.7,5.3
CAMILLE SMITH,SEA,89.7,10.3,6.2,4.4,25.2,62.8,53.8,46.2,85.7,14.3
CANDICE DUPREE,CHI,87.0,13.0,13.5,10.1,19.1,51.3,53.3,46.7,100,0.0
CANDICE WIGGINS,MIN,63.6,36.4,28.3,9.6,30.0,36.3,40.9,59.1,85.7,14.3
CAPPIE PONDEXTER,PHO,76.5,23.5,20.2,19.7,20.7,32.8,29.6,70.4,67.4,32.6
CATHRINE KRAAYEVELD,NYL,45.5,54.5,58.6,6.2,12.1,22.1,68.9,31.1,100,0.0
CHARDE HOUSTON,MIN,81.6,18.4,15.5,14.2,16.2,60.7,39.5,60.5,95.7,4.3
CHASITY MELVIN,WAS,99.5,0.5,0.0,8.0,16.4,79.6,56.0,44.0,0.0,0.0
COCO MILLER,ATL,77.9,22.1,18.3,16.8,17.6,29.0,52.4,47.6,100,0.0
CRYSTAL KELLY,DET,98.7,1.3,0.0,5.4,48.8,34.1,78.8,21.2,0.0,0.0
CRYSTAL LANGHORNE,WAS,99.3,0.7,0.0,4.9,20.1,64.2,56.4,43.6,0.0,0.0
DEMYA WALKER,CON,99.6,0.4,0.0,6.2,18.2,71.5,47.1,52.9,0.0,0.0
DEWANNA BONNER,PHO,95.3,4.7,1.6,16.1,33.0,58.0,63.7,36.3,100,0.0
DOMINIQUE CANTY,CHI,94.3,5.7,5.1,10.7,35.1,35.0,51.4,48.6,100,0.0
EBONY HOFFMAN,IND,76.9,23.1,22.3,6.5,20.6,36.9,58.3,41.7,100,0.0
ERIKA DE SOUZA,ATL,100,0.0,0.0,9.7,15.4,79.1,55.9,44.1,0.0,0.0
ERIN PERPEROGLOU,SAN,77.1,22.9,22.8,12.0,25.0,45.7,50.0,50.0,100,0.0
ERIN THORN,CHI,45.9,54.1,52.6,8.5,14.2,10.4,37.1,62.9,91.9,8.1
ESSENCE CARSON,NYL,68.2,31.8,30.0,7.9,12.9,42.9,25.8,74.2,97.1,2.9
HAMCHETOU MAIGA-BA,SAC,99.6,0.4,0.0,14.9,18.2,52.8,51.6,48.4,0.0,0.0
HELEN DARLING,SAN,59.6,40.4,37.5,9.6,35.6,19.2,35.7,64.3,100,0.0
IZIANE CASTRO MARQUES,ATL,68.1,31.9,30.1,21.1,14.6,33.2,35.6,64.4,59.2,40.8
JANELL BURSE,SEA,100,0.0,0.0,12.6,28.5,58.9,74.3,25.7,0.0,0.0
JIA PERKINS,CHI,79.4,20.6,20.0,16.0,23.1,35.1,32.8,67.2,90.0,10.0
KELLY MILLER,MIN,55.7,44.3,44.0,23.3,13.3,20.0,31.3,68.8,90.9,9.1
KIA VAUGHN,NYL,98.6,1.4,0.0,1.2,10.4,82.2,60.3,39.7,0.0,0.0
KIESHA BROWN,CON,56.1,43.9,41.5,12.3,13.9,26.2,37.9,62.1,100,0.0
LE'COE WILLINGHAM,PHO,96.9,3.1,0.9,9.1,19.7,77.1,64.4,35.6,100,0.0
LEILANI MITCHELL,NYL,48.0,52.0,52.5,2.5,7.5,25.0,12.5,87.5,85.7,14.3
LINDSAY WHALEN,CON,74.7,25.3,15.8,19.1,27.4,33.9,30.3,69.7,90.9,9.1
LINDSEY HARDING,WAS,83.5,16.5,13.8,19.8,20.5,40.5,16.1,83.9,70.0,30.0
LOREE MOORE,NYL,57.1,42.9,36.3,8.8,15.3,32.6,23.1,76.9,80.8,19.2
MATEE AJAVON,WAS,67.6,32.4,30.9,12.1,27.2,22.1,22.8,77.2,96.4,3.6
MICHELLE SNOW,ATL,98.6,1.4,0.0,5.4,27.6,56.2,64.2,35.8,0.0,0.0
MONIQUE CURRIE,WAS,76.0,24.0,21.6,27.0,36.7,28.1,46.6,53.4,90.0,10.0
NAKIA SANFORD,WAS,100,0.0,0.0,1.9,27.7,67.6,55.8,44.2,0.0,0.0
NICOLE POWELL,SAC,55.5,44.5,40.7,13.4,16.6,26.1,47.9,52.1,79.2,20.8
NOELLE QUINN,LAS,68.4,31.6,25.4,13.7,10.5,40.1,48.4,51.6,95.8,4.2
QUANITRA HOLLINGSWORTH,MIN,100,0.0,0.0,4.3,39.0,57.3,78.0,22.0,0.0,0.0
RASHANDA MCCANTS,MIN,74.7,25.3,22.8,11.0,15.1,45.5,33.3,66.7,90.9,9.1
RENEE MONTGOMERY,MIN,51.6,48.4,41.3,11.5,19.4,27.5,21.7,78.3,54.8,45.2
SANCHO LYTTLE,ATL,99.7,0.3,0.0,11.5,16.9,55.1,72.8,27.2,0.0,0.0
SCHOLANDA DORRELL,DET,87.0,13.0,10.7,14.2,26.2,48.0,57.7,42.3,100,0.0
SHALEE LEHNING,ATL,67.7,32.3,17.6,23.5,23.6,52.9,40.0,60.0,100,0.0
SHANNON JOHNSON,SEA,43.0,57.0,39.4,7.3,34.3,23.4,5.6,94.4,72.2,27.8
SHAVONTE ZELLOUS,DET,83.5,16.5,11.1,10.1,38.2,21.2,31.1,68.9,93.3,6.7
SHYRA ELY-GASH,CHI,70.1,29.9,29.7,5.6,17.7,40.5,39.3,60.7,95.7,4.3
TAJ MCWILLIAMS-FRANKLIN,DET,94.7,5.3,2.7,5.4,15.4,47.0,72.8,27.2,66.7,33.3
TAMIKA CATCHINGS,IND,70.4,29.6,23.2,11.1,31.3,32.9,25.2,74.8,79.5,20.5
TANGELA SMITH,PHO,69.2,30.8,38.2,6.1,6.0,29.7,76.1,23.9,97.6,2.4
TEMEKA JOHNSON,PHO,69.2,30.8,32.9,14.6,12.8,28.0,20.2,79.8,86.1,13.9
TIFFANY JACKSON,NYL,100,0.0,0.0,4.4,25.6,57.8,55.2,44.8,0.0,0.0
TINA THOMPSON,LAS,64.3,35.7,35.4,5.9,19.2,29.9,61.0,39.0,98.1,1.9
