Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT
ADRIAN WILLIAMS-STRONG,PHO,99.7,0.3,0.0,5.7,15.6,57.5,66.0,34.0,0.0,0.0
ADRIENNE JOHNSON,CON,74.9,25.1,29.5,13.9,10.4,18.5,71.2,28.8,100,0.0
ALLISON FEASTER,CHA,45.8,54.2,51.2,10.7,15.6,18.5,52.9,47.1,91.7,8.3
ANDREA STINSON,CHA,76.6,23.4,18.3,14.9,15.9,46.2,37.9,62.1,82.6,17.4
ANNA DEFORGE,PHO,58.5,41.5,45.2,15.1,12.3,23.2,44.2,55.8,80.3,19.7
ANNIE BURGESS,WAS,56.7,43.3,36.6,10.7,11.5,26.0,50.0,50.0,100,0.0
ASJHA JONES,CON,93.9,6.1,7.2,9.0,14.2,55.9,64.9,35.1,100,0.0
AYANA WALKER,DET,100,0.0,0.0,21.4,14.3,53.6,62.5,37.5,0.0,0.0
BARBARA FARRIS,DET,100,0.0,0.0,5.5,32.3,56.7,76.7,23.3,0.0,0.0
BETTY LENNOX,SEA,61.7,38.3,37.2,4.7,10.1,23.3,39.7,60.3,90.6,9.4
BROOKE WYCKOFF,CON,50.7,49.3,38.5,6.4,16.6,35.9,68.6,31.4,95.0,5.0
CHASITY MELVIN,WAS,96.7,3.3,2.0,3.8,27.7,66.7,64.7,35.3,100,0.0
DAWN STALEY,CHA,66.7,33.3,31.2,13.4,22.7,34.9,27.4,72.6,82.1,17.9
DEMYA WALKER,SAC,93.8,6.2,2.0,10.4,27.0,69.7,42.2,57.8,100,0.0
DEANNA JACKSON,IND,64.6,35.4,35.5,7.8,20.4,31.0,59.3,40.7,100,0.0
DEBBIE BLACK,CON,95.6,4.4,5.5,3.6,10.9,18.2,60.9,39.1,0.0,100
EDNA CAMPBELL,SAC,54.5,45.5,51.7,9.7,9.3,14.2,51.9,48.1,93.5,6.5
EDWINA BROWN,PHO,98.0,2.0,0.0,13.6,30.5,49.2,34.1,65.9,0.0,0.0
HELEN DARLING,MIN,50.3,49.7,48.9,5.7,21.3,25.5,28.6,71.4,82.6,17.4
JANETH ARCAIN,HOU,88.6,11.4,6.9,8.5,20.3,44.1,54.9,45.1,77.8,22.2
JENNIFER AZZI,SAN,54.0,46.0,45.0,10.4,19.6,32.3,10.9,89.1,87.2,12.8
KARA LAWSON,SAC,40.5,59.5,61.6,19.4,11.8,16.7,45.7,54.3,87.0,13.0
KATIE SMITH,MIN,56.0,44.0,37.7,11.0,20.4,27.1,56.2,43.8,84.6,15.4
KEDRA HOLLAND-CORN,HOU,46.6,53.4,48.1,23.4,15.4,23.7,33.3,66.7,74.0,26.0
KELLY MILLER,IND,68.9,31.1,34.9,13.2,16.4,24.3,45.7,54.3,95.5,4.5
KELLY SCHUMACHER,IND,94.7,5.3,6.3,4.2,12.2,70.9,81.8,18.2,100,0.0
LADY GROOMS,SAC,99.1,0.9,0.0,12.6,18.9,36.0,95.6,4.4,0.0,0.0
MARGO DYDEK,SAN,99.7,0.3,0.0,2.7,23.2,63.1,60.9,39.1,0.0,0.0
MARIE FERDINAND-HARRIS,SAN,86.5,13.5,10.2,16.2,37.5,35.3,28.5,71.5,81.3,18.8
MERLAKIA JONES,DET,93.4,6.6,7.3,6.1,17.1,26.8,41.9,58.1,100,0.0
MICHELLE SNOW,HOU,99.6,0.4,0.0,3.5,19.7,69.4,58.7,41.3,0.0,0.0
MURRIEL PAGE,WAS,94.5,5.5,7.0,10.8,19.8,46.0,80.8,19.2,80.0,20.0
NATALIE WILLIAMS,IND,99.7,0.3,0.0,5.3,23.0,70.5,67.0,33.0,0.0,0.0
NIKKI MCCRAY,IND,76.8,23.2,16.0,32.8,15.3,61.1,64.4,35.6,85.7,14.3
NIKKI TEASLEY,LAS,42.7,57.3,53.6,1.0,25.0,17.3,23.8,76.2,70.0,30.0
NYKESHA SALES,CON,75.6,24.4,24.1,14.8,21.2,35.4,47.3,52.7,77.3,22.7
PENNY TAYLOR,PHO,70.9,29.1,25.6,9.3,19.6,38.7,48.6,51.4,94.1,5.9
RUSHIA BROWN,CHA,98.3,1.7,0.0,6.4,15.2,70.4,69.8,30.2,0.0,0.0
RUTH RILEY,DET,100,0.0,0.0,2.8,29.7,53.2,73.0,27.0,0.0,0.0
SANDY BRONDELLO,SEA,83.0,17.0,22.5,13.9,8.9,29.3,50.0,50.0,66.7,33.3
SHANNON JOHNSON,SAN,77.1,22.9,13.6,15.5,29.7,46.7,21.0,79.0,42.1,57.9
SHERI SAM,SEA,79.7,20.3,19.3,13.9,19.7,45.5,57.0,43.0,91.7,8.3
SIMONE EDWARDS,SEA,100,0.0,0.0,4.5,22.3,76.4,67.2,32.8,0.0,0.0
STACEY DALES,WAS,46.3,53.7,50.3,12.6,11.5,30.0,63.1,36.9,87.7,12.3
SUE BIRD,SEA,62.0,38.0,35.0,13.1,14.5,35.2,21.7,78.3,61.2,38.8
TAJ MCWILLIAMS-FRANKLIN,CON,85.7,14.3,10.2,7.3,21.4,57.1,74.4,25.6,91.7,8.3
TAMICHA JACKSON,WAS,72.6,27.4,35.0,17.7,5.7,28.7,12.4,87.6,60.0,40.0
TAMIKA CATCHINGS,IND,62.7,37.3,33.1,9.5,23.1,32.8,46.9,53.1,73.0,27.0
TAMIKA RAYMOND,MIN,99.0,1.0,0.0,8.3,14.9,84.5,66.7,33.3,0.0,0.0
TAMMY SUTTON-BROWN,CHA,100,0.0,0.0,7.3,31.5,64.3,82.7,17.3,0.0,0.0
TANGELA SMITH,SAC,88.5,11.5,9.1,11.2,9.5,57.7,81.1,18.9,92.3,7.7
TERESA EDWARDS,MIN,52.4,47.6,39.8,7.7,17.1,38.7,41.0,59.0,70.8,29.2
TERESA WEATHERSPOON,LAS,95.8,4.2,0.0,8.2,24.5,53.1,48.6,51.4,0.0,0.0
TICHA PENICHEIRO,SAC,70.7,29.3,24.6,9.3,24.0,42.6,8.5,91.5,86.7,13.3
UKARI FIGGS,HOU,44.4,55.6,52.3,8.7,12.8,22.8,34.6,65.4,92.3,7.7
YOLANDA GRIFFITH,SAC,99.4,0.6,0.0,8.1,31.3,64.4,67.1,32.9,0.0,0.0
ADRIENNE GOODSON,SAN,89.9,10.1,6.5,21.8,21.8,55.5,55.6,44.4,87.5,12.5
COCO MILLER,WAS,76.7,23.3,23.2,16.7,9.0,39.2,60.0,40.0,93.8,6.3
CRYSTAL ROBINSON,NYL,48.5,51.5,47.1,9.9,11.9,21.3,71.6,28.4,83.9,16.1
ELAINE POWELL,DET,91.4,8.6,7.1,30.7,26.7,60.1,42.9,57.1,100,0.0
ELENA BARANOVA,NYL,64.6,35.4,35.6,5.4,11.2,38.8,74.3,25.7,87.9,12.1
GWEN JACKSON,SAN,89.5,10.5,5.2,12.5,19.4,68.5,65.1,34.9,100,0.0
JENNIFER GILLOM,LAS,73.2,26.8,20.4,1.9,15.5,58.3,63.6,36.4,85.7,14.3
JENNIFER RIZZOTTI,DET,29.2,70.8,50.8,18.6,15.3,23.7,10.0,90.0,80.0,20.0
KRISTEN RASMUSSEN,IND,92.5,7.5,9.3,5.3,13.7,54.9,52.9,47.1,100,0.0
LAUREN JACKSON,SEA,76.6,23.4,16.8,5.6,21.6,53.3,64.7,35.3,97.4,2.6
LISA HARRISON,PHO,98.3,1.7,0.0,5.5,19.1,41.5,63.5,36.5,0.0,0.0
NICKY MCCRIMMON,LAS,81.0,19.0,22.1,44.1,10.3,41.2,82.6,17.4,100,0.0
PLENETTE PIERSON,PHO,98.9,1.1,0.0,8.1,32.3,52.5,73.1,26.9,0.0,0.0
RUTHIE BOLTON,SAC,44.0,56.0,38.3,16.1,13.4,32.2,38.9,61.1,84.2,15.8
SEMEKA RANDALL,SAN,98.9,1.1,0.0,20.5,27.3,59.1,28.1,71.9,0.0,0.0
SWIN CASH,DET,90.7,9.3,6.6,20.8,26.6,55.5,57.9,42.1,100,0.0
SYLVIA CRAWLEY,SAN,100,0.0,0.0,3.5,13.0,55.7,60.0,40.0,0.0,0.0
TAMIKA WHITMORE,NYL,98.8,1.2,1.1,10.3,18.5,64.9,80.7,19.3,100,0.0
TARI PHILLIPS,NYL,98.6,1.4,0.8,3.8,23.0,58.9,51.1,48.9,100,0.0
AMANDA LASSITER,MIN,53.2,46.8,44.2,1.8,11.6,34.4,44.4,55.6,91.7,8.3
CHERYL FORD,DET,100,0.0,0.0,3.8,25.6,62.8,69.5,30.5,0.0,0.0
DEANNA NOLAN,DET,63.5,36.5,36.4,20.5,19.2,24.7,44.3,55.7,79.2,20.8
DOMINIQUE CANTY,HOU,99.3,0.7,0.0,8.7,36.0,60.5,45.5,54.5,0.0,0.0
LATOYA THOMAS,SAN,98.0,2.0,0.0,6.4,20.6,54.5,75.2,24.8,0.0,0.0
MWADI MABIKA,LAS,72.7,27.3,19.0,19.3,22.0,39.5,65.4,34.6,82.1,17.9
RITA WILLIAMS,SEA,42.7,57.3,42.3,10.3,14.1,15.4,29.4,70.6,81.8,18.2
VICKIE JOHNSON,NYL,72.2,27.8,24.4,16.3,18.4,40.9,49.6,50.4,68.6,31.4
WENDY PALMER,CON,68.7,31.3,20.1,4.0,15.5,61.7,56.3,43.8,100,0.0
AIYSHA SMITH,WAS,71.7,28.3,14.4,3.8,16.4,53.8,58.3,41.7,80.0,20.0
BRIDGET PETTIS,IND,48.1,51.9,36.7,16.3,26.6,28.6,66.7,33.3,50.0,50.0
DELISHA MILTON-JONES,LAS,81.4,18.6,16.6,10.1,27.6,46.6,75.0,25.0,95.7,4.3
KRISTI HARROWER,MIN,50.6,49.4,54.5,0.0,9.1,31.8,18.8,81.3,93.8,6.3
LATONYA JOHNSON,SAN,67.6,32.4,31.0,17.2,27.6,24.1,75.0,25.0,100,0.0
MICHELE VAN GORP,MIN,99.4,0.6,0.0,1.1,20.0,66.3,68.6,31.4,0.0,0.0
SHERYL SWOOPES,HOU,81.8,18.2,14.9,19.8,22.7,42.1,27.8,72.2,83.3,16.7
TEANA MILLER,CHA,98.7,1.3,0.0,1.9,21.9,78.1,70.7,29.3,0.0,0.0
TULLY BEVILAQUA,SEA,58.8,41.2,41.4,10.3,27.6,17.2,66.7,33.3,87.5,12.5
CORETTA BROWN,IND,39.0,61.0,58.1,7.0,15.0,20.4,32.0,68.0,88.9,11.1
JOCELYN PENN,WAS,83.3,16.7,7.0,15.1,25.6,67.4,55.2,44.8,100,0.0
K.B. SHARP,NYL,66.2,33.8,22.3,9.6,33.0,42.6,28.6,71.4,100,0.0
KAYTE CHRISTENSEN,PHO,100,0.0,0.0,4.4,24.3,53.4,76.9,23.1,0.0,0.0
POLLYANNA JOHNS KIMBROUGH,HOU,100,0.0,0.0,4.5,21.3,76.4,80.0,20.0,0.0,0.0
STACEY THOMAS,DET,56.5,43.5,34.4,19.7,23.0,32.8,46.2,53.8,100,0.0
SVETLANA ABROSIMOVA,MIN,71.2,28.8,23.6,15.1,21.7,44.7,56.3,43.7,100,0.0
TAMECKA DIXON,LAS,85.7,14.3,8.0,18.4,20.2,42.7,41.2,58.8,63.6,36.4
JANELL BURSE,SEA,98.7,1.3,0.0,5.8,26.2,65.0,78.9,21.1,0.0,0.0
SHALONDA ENIS,CHA,67.0,33.0,31.0,3.2,24.6,38.9,73.2,26.8,88.5,11.5
TAUSHA MILLS,SAN,100,0.0,0.0,3.4,31.0,65.5,50.0,50.0,0.0,0.0
KAMILA VODICHKOVA,SEA,97.7,2.3,0.0,7.0,28.9,59.9,73.3,26.7,0.0,0.0
KATIE DOUGLAS,CON,55.1,44.9,42.0,12.8,14.5,29.8,52.1,47.9,93.6,6.4
STEPHANIE WHITE,IND,51.4,48.6,44.8,9.3,23.2,26.8,45.2,54.8,89.7,10.3
TINA THOMPSON,HOU,73.2,26.8,24.8,6.1,17.1,36.0,61.3,38.7,94.9,5.1
ALISA BURRAS,SEA,100,0.0,0.0,9.0,21.3,78.7,88.6,11.4,0.0,0.0
CHAMIQUE HOLDSCLAW,WAS,92.7,7.3,3.2,14.6,25.3,49.8,43.9,56.1,83.3,16.7
CHARLOTTE SMITH,CHA,67.3,32.7,28.4,9.5,25.3,40.0,63.6,36.4,88.9,11.1
