Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT
ALEX BENTLEY,ATL,61.6,38.4,35.6,15.2,10.3,17.0,22.5,77.5,56.4,43.6
ALLISHA GRAY,DAL,55.2,44.8,28.8,20.2,26.3,38.5,45.7,54.3,93.3,6.7
AZURÁ STEVENS,DAL,65.9,34.1,27.8,10.9,17.2,47.0,51.8,48.2,100,0.0
BREANNA STEWART,SEA,71.2,28.8,24.7,10.5,19.0,44.2,70.3,29.7,98.4,1.6
BRIA HARTLEY,NYL,55.8,44.2,37.5,12.5,16.0,34.7,40.3,59.7,72.2,27.8
BRITTNEY GRINER,PHO,99.2,0.8,0.4,2.2,23.6,55.1,82.6,17.4,100,0.0
CHELSEA GRAY,LAS,75.7,24.3,22.6,5.5,16.0,36.4,26.5,73.5,89.5,10.5
CHEYENNE PARKER-TYUS,CHI,92.1,7.9,5.3,2.1,22.7,59.6,70.5,29.5,83.3,16.7
COURTNEY PARIS,SEA,98.3,1.7,0.0,0.0,12.3,84.9,78.1,21.9,0.0,0.0
DEWANNA BONNER,PHO,61.7,38.3,28.1,10.0,19.9,38.8,51.0,49.0,85.5,14.5
DIAMOND DESHIELDS,CHI,68.8,31.2,24.5,16.6,24.0,38.9,53.2,46.8,95.0,5.0
ERICA MCCALL,IND,92.7,7.3,3.1,10.2,13.2,63.3,68.3,31.7,100,0.0
ERICA WHEELER,IND,73.0,27.0,23.7,10.2,17.7,32.3,11.5,88.5,76.2,23.8
ESSENCE CARSON,LAS,53.4,46.6,45.7,2.7,5.9,15.6,71.0,29.0,92.3,7.7
GABBY WILLIAMS,CHI,89.0,11.0,8.5,19.0,14.6,60.7,71.6,28.4,100,0.0
JASMINE THOMAS,CON,63.2,36.8,31.6,15.6,16.2,36.2,14.9,85.1,65.2,34.8
