Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT
ALEX BENTLEY,CON,76.1,23.9,22.4,10.6,8.8,27.9,17.5,82.5,54.8,45.2
ALEX MONTGOMERY,NYL,62.0,38.0,46.9,14.0,6.2,27.9,54.8,45.2,92.9,7.1
ALLIE QUIGLEY,CHI,67.3,32.7,32.4,9.2,13.4,19.5,45.6,54.4,80.5,19.5
ALYSHA CLARK,SEA,54.4,45.6,29.6,9.9,11.2,47.9,69.0,31.0,100,0.0
ALYSSA THOMAS,CON,98.3,1.7,0.9,15.6,25.6,58.2,55.2,44.8,100,0.0
ANEIKA MORELLO,ATL,100,0.0,0.0,2.0,16.3,74.5,68.8,31.3,0.0,0.0
ANNA CRUZ,NYL,79.2,20.8,19.5,9.5,10.3,38.2,22.8,77.2,82.4,17.6
ARMINTIE HERRINGTON,LAS,99.2,0.8,0.0,22.4,11.9,71.6,59.3,40.7,0.0,0.0
BRIA HARTLEY,WAS,66.9,33.1,30.1,24.0,19.4,38.9,43.4,56.6,81.8,18.2
BRITTNEY GRINER,PHO,100,0.0,0.0,5.5,17.5,71.9,73.1,26.9,0.0,0.0
CANDICE DUPREE,PHO,100,0.0,0.0,9.1,14.8,49.1,73.8,26.2,0.0,0.0
CAPPIE PONDEXTER,NYL,80.0,20.0,15.4,10.9,23.0,26.3,42.8,57.2,69.6,30.4
COURTNEY PARIS,TUL,100,0.0,0.0,2.2,11.2,86.9,62.6,37.4,0.0,0.0
CRYSTAL LANGHORNE,SEA,99.0,1.0,1.4,2.3,17.1,67.3,64.6,35.4,50.0,50.0
DANIELLE ADAMS,SAN,61.7,38.3,31.5,4.6,16.9,45.7,53.1,46.9,100,0.0
DEWANNA BONNER,PHO,69.4,30.6,20.4,17.8,20.1,45.9,51.4,48.6,87.5,12.5
EMMA MEESSEMAN,WAS,99.3,0.7,0.0,5.0,14.6,62.0,64.4,35.6,0.0,0.0
IVORY LATTA,WAS,39.3,60.7,55.7,9.6,17.2,20.6,11.9,88.1,64.2,35.8
JAMIERRA FAULKNER,CHI,81.5,18.5,14.6,32.6,23.2,48.7,18.1,81.9,84.6,15.4
JANEL MCCARVILLE,MIN,89.7,10.3,8.9,3.3,17.8,33.3,79.8,20.2,100,0.0
JANTEL LAVENDER,LAS,98.5,1.5,0.7,12.4,13.4,59.6,82.1,17.9,100,0.0
JASMINE THOMAS,ATL,75.1,24.9,22.0,18.3,18.2,34.1,59.2,40.8,91.7,8.3
JAYNE APPEL MARINELLI,SAN,99.2,0.8,1.8,1.2,15.6,63.5,84.1,15.9,100,0.0
JENNIFER LACY,TUL,46.8,53.2,47.9,6.7,15.1,28.6,63.6,36.4,100,0.0
JORDAN HOOPER,TUL,27.1,72.9,70.1,9.1,7.6,15.2,36.4,63.6,95.7,4.3
KARIMA CHRISTMAS-KELLY,IND,65.2,34.8,34.3,10.6,30.1,31.4,42.9,57.1,100,0.0
KAYLA MCBRIDE,SAN,62.0,38.0,38.7,16.1,17.4,28.1,53.6,46.4,93.0,7.0
KELSEY BONE,CON,99.0,1.0,0.0,7.9,13.6,78.2,56.9,43.1,0.0,0.0
LINDSAY WHALEN,MIN,97.3,2.7,0.6,22.8,24.5,54.0,42.5,57.5,100,0.0
MARISSA COLEMAN,IND,58.3,41.7,42.4,10.9,16.2,21.1,41.3,58.7,88.4,11.6
MAYA MOORE,MIN,69.8,30.2,22.9,12.8,19.7,38.7,58.4,41.6,82.3,17.7
MISTIE BASS,PHO,100,0.0,0.0,14.2,21.6,62.2,74.1,25.9,0.0,0.0
MONIQUE CURRIE,WAS,68.3,31.7,17.0,8.9,33.0,25.0,50.0,50.0,89.5,10.5
NATASHA HOWARD,IND,99.5,0.5,0.0,6.8,17.3,70.0,63.3,36.7,0.0,0.0
ODYSSEY SIMS,TUL,72.5,27.5,24.8,19.7,21.1,47.1,23.4,76.6,66.0,34.0
RONEEKA HODGES,TUL,39.5,60.5,48.3,18.9,12.8,30.0,45.7,54.3,100,0.0
SANCHO LYTTLE,ATL,97.2,2.8,2.2,9.2,12.8,46.4,78.4,21.6,66.7,33.3
SANDRINE GRUDA,LAS,100,0.0,0.0,7.8,20.3,53.1,70.6,29.4,0.0,0.0
SASHA GOODLETT,CHI,100,0.0,0.0,12.3,22.8,64.9,75.0,25.0,0.0,0.0
SHAVONTE ZELLOUS,IND,74.3,25.7,20.1,11.5,23.2,33.2,37.7,62.3,88.0,12.0
SHONI SCHIMMEL,ATL,44.2,55.8,56.4,16.3,7.4,22.0,19.6,80.4,64.2,35.8
SKYLAR DIGGINS,TUL,78.6,21.4,14.5,21.2,27.2,48.0,28.1,71.9,72.7,27.3
SOPHIA YOUNG-MALCOLM,SAN,98.4,1.6,0.0,4.7,17.3,65.5,70.4,29.6,0.0,0.0
STEFANIE DOLSON,WAS,98.3,1.7,0.0,2.5,14.7,59.8,80.5,19.5,0.0,0.0
SUGAR RODGERS,NYL,59.3,40.7,35.3,17.6,17.6,33.3,50.0,50.0,91.7,8.3
TAMERA YOUNG,CHI,100,0.0,0.0,8.3,13.2,45.6,71.7,28.3,0.0,0.0
TAN WHITE,MIN,58.8,41.3,39.5,15.0,10.2,35.9,57.1,42.9,86.4,13.6
TEMEKA JOHNSON,SEA,75.2,24.8,25.8,7.6,17.6,40.4,8.9,91.1,94.1,5.9
TIANNA HAWKINS,WAS,85.7,14.3,10.6,9.2,16.2,59.2,48.1,51.9,100,0.0
TIERRA RUFFIN-PRATT,WAS,87.0,13.0,9.7,11.7,20.2,53.2,55.6,44.4,100,0.0
TIFFANY HAYES,ATL,63.6,36.4,27.5,25.4,25.4,43.0,47.6,52.4,82.5,17.5
TINA CHARLES,NYL,100,0.0,0.0,5.3,20.0,57.6,61.9,38.1,0.0,0.0
ALANA BEARD,LAS,89.1,10.9,8.5,13.9,12.5,36.3,43.2,56.8,87.5,12.5
CAMILLE SMITH,SEA,75.5,24.5,19.1,6.4,24.9,47.5,61.3,38.7,100,0.0
COURTNEY CLEMENTS,CHI,76.8,23.2,13.6,17.0,13.7,22.7,43.8,56.3,100,0.0
DANIELLE ROBINSON,SAN,98.1,1.9,0.0,24.2,22.5,50.2,33.9,66.1,0.0,0.0
DIANA TAURASI,PHO,54.9,45.1,34.7,11.0,24.6,20.1,26.6,73.4,75.8,24.2
ERIKA DE SOUZA,ATL,100,0.0,0.0,10.1,15.8,77.6,76.0,24.0,0.0,0.0
ERIN PHILLIPS,PHO,46.9,53.1,55.3,12.1,14.2,17.9,48.3,51.7,74.3,25.7
ERLANA LARKINS,IND,100,0.0,0.0,4.0,22.7,74.8,57.3,42.7,0.0,0.0
GLORY JOHNSON,TUL,99.2,0.8,0.0,12.0,28.7,56.5,67.1,32.9,0.0,0.0
KAYLA ALEXANDER,SAN,100,0.0,0.0,4.3,28.3,65.2,81.8,18.2,0.0,0.0
KIA VAUGHN,WAS,99.3,0.7,0.0,1.4,8.8,56.8,71.1,28.9,0.0,0.0
NNEKA OGWUMIKE,LAS,97.4,2.6,1.7,10.4,21.1,59.9,71.6,28.4,100,0.0
PENNY TAYLOR,PHO,64.7,35.3,25.9,14.4,25.7,41.5,34.5,65.5,90.0,10.0
PLENETTE PIERSON,NYL,98.3,1.7,0.0,2.5,33.1,47.7,65.0,35.0,0.0,0.0
RENEE MONTGOMERY,CON,49.3,50.7,47.3,5.4,14.0,27.0,18.6,81.4,65.7,34.3
SHEKINNA STRICKLEN,SEA,39.0,61.0,59.2,13.4,8.0,26.1,48.7,51.3,91.5,8.5
SUE BIRD,SEA,66.2,33.8,33.3,12.0,15.4,21.1,36.7,63.3,76.9,23.1
VICKI BAUGH,TUL,100,0.0,0.0,17.1,19.5,61.0,57.6,42.4,0.0,0.0
ANETE JEKABSONE-ZOGOTA,PHO,49.5,50.5,51.7,2.3,11.5,4.6,62.5,37.5,86.7,13.3
BECKY HAMMON,SAN,45.9,54.1,53.4,8.7,13.3,27.3,31.8,68.2,78.7,21.3
JESSICA BRELAND,CHI,99.0,1.0,0.0,0.6,13.2,43.1,77.0,23.0,0.0,0.0
KATIE DOUGLAS,CON,52.3,47.7,45.6,11.6,21.1,22.8,45.7,54.3,71.9,28.1
NOELLE QUINN,SEA,74.4,25.6,19.7,11.5,18.0,39.3,60.5,39.5,100,0.0
SWIN CASH,NYL,82.4,17.6,3.2,6.5,28.0,43.0,46.9,53.1,100,0.0
ANGEL MCCOUGHTRY,ATL,78.6,21.4,16.2,23.3,22.8,45.6,46.3,53.7,77.4,22.6
BRIANN JANUARY,IND,66.7,33.3,33.8,11.3,20.6,23.8,23.3,76.7,86.1,13.9
CHINEY OGWUMIKE,CON,100,0.0,0.0,15.0,18.3,76.7,48.5,51.5,0.0,0.0
KAYLA PEDERSEN,CON,100,0.0,0.0,4.4,28.9,57.8,62.5,37.5,0.0,0.0
KELSEY GRIFFIN,CON,81.1,18.9,17.6,6.6,17.7,57.4,59.1,40.9,87.5,12.5
LINDSEY HARDING,LAS,89.5,10.5,8.4,24.7,18.6,40.4,32.3,67.7,80.0,20.0
LYNETTA KIZER,IND,100,0.0,0.0,3.4,10.9,50.4,66.0,34.0,0.0,0.0
SHAMEKA CHRISTON,SAN,24.3,75.7,66.4,1.8,10.6,5.3,53.8,46.2,100,0.0
CANDACE PARKER,LAS,86.6,13.4,9.8,13.2,22.6,47.0,50.3,49.7,68.4,31.6
DAMIRIS DANTAS,MIN,99.3,0.7,1.7,12.2,21.0,66.3,87.1,12.9,100,0.0
MAGGIE LUCAS,IND,36.3,63.7,54.5,9.1,20.0,0.0,28.6,71.4,70.0,30.0
SHENISE JOHNSON,SAN,74.7,25.3,26.5,14.4,16.0,32.0,38.5,61.5,100,0.0
ANGEL GOODRICH,TUL,92.0,8.0,10.3,6.9,13.8,41.4,27.3,72.7,100,0.0
JENNA O'HEA,SEA,38.5,61.5,62.1,2.9,6.5,17.1,68.2,31.8,96.6,3.4
LAYSHIA CLARENDON,IND,84.4,15.6,14.9,19.0,14.0,54.5,23.3,76.7,100,0.0
MARKEISHA GATLING,CHI,100,0.0,0.0,1.9,14.8,79.6,78.3,21.7,0.0,0.0
TANISHA WRIGHT,SEA,90.6,9.4,6.5,12.6,28.6,48.5,49.3,50.7,100,0.0
AVERY WARLEY-TALBERT,NYL,100,0.0,0.0,7.7,21.4,76.9,71.7,28.3,0.0,0.0
CELINE DUMERC,ATL,45.3,54.7,38.7,21.5,26.9,21.5,56.3,43.8,66.7,33.3
DEVEREAUX PETERS,MIN,100,0.0,0.0,9.0,11.5,45.9,92.6,7.4,0.0,0.0
KARA LAWSON,WAS,52.7,47.3,44.4,14.3,14.8,14.3,72.5,27.5,72.4,27.6
KRISTI TOLIVER,LAS,55.0,45.0,43.3,17.9,13.4,20.1,40.6,59.4,60.9,39.1
SHAY MURPHY,PHO,66.3,33.7,28.3,26.4,17.0,45.3,44.8,55.2,80.0,20.0
EPIPHANNY PRINCE,CHI,69.5,30.5,24.6,11.0,28.9,24.6,26.4,73.6,62.5,37.5
ESSENCE CARSON,NYL,75.8,24.2,24.1,2.3,11.5,20.7,75.0,25.0,100,0.0
NICOLE POWELL,SEA,24.6,75.4,69.6,0.0,12.5,10.7,100,0.0,100,0.0
ANGEL ROBINSON,SEA,100,0.0,0.0,14.8,14.8,81.5,87.0,13.0,0.0,0.0
KELLY FARIS,CON,54.5,45.5,42.9,7.1,28.5,28.6,100,0.0,75.0,25.0
TRICIA LISTON,MIN,33.3,66.7,77.8,24.1,7.4,11.1,100,0.0,100,0.0
MATEE AJAVON,ATL,83.3,16.7,5.8,28.8,40.4,46.2,42.9,57.1,100,0.0
MONICA WRIGHT,MIN,85.5,14.5,10.7,20.0,22.2,45.7,44.7,55.3,100,0.0
SEIMONE AUGUSTUS,MIN,89.2,10.8,9.1,11.1,11.1,40.9,57.6,42.4,66.7,33.3
SHANECE MCKINNEY,NYL,100,0.0,0.0,4.5,27.3,72.7,62.5,37.5,0.0,0.0
JIA PERKINS,SAN,60.7,39.3,40.8,12.2,11.8,25.1,60.3,39.7,89.7,10.3
SYDNEY CARTER,IND,70.0,30.0,16.4,11.0,31.5,38.4,21.1,78.9,75.0,25.0
ASIA TAYLOR,MIN,100,0.0,0.0,11.7,30.0,63.3,61.9,38.1,0.0,0.0
AMANDA THOMPSON,ATL,100,0.0,0.0,11.1,27.8,55.6,53.8,46.2,0.0,0.0
DELISHA MILTON-JONES,ATL,90.1,9.9,7.6,0.0,16.1,35.6,93.3,6.7,100,0.0
KRYSTAL THOMAS,IND,100,0.0,0.0,4.8,14.3,81.0,55.6,44.4,0.0,0.0
EWELINA KOBRYN,PHO,88.6,11.4,0.0,9.7,35.5,58.1,80.0,20.0,0.0,0.0
KALANA GREENE,WAS,86.7,13.3,0.0,40.0,20.0,66.7,50.0,50.0,0.0,0.0
SYLVIA FOWLES,CHI,100,0.0,0.0,7.5,24.3,73.4,72.3,27.7,0.0,0.0
THERESA PLAISANCE,TUL,75.0,25.0,50.0,0.0,33.3,0.0,100,0.0,100,0.0
DANIELLE MCCRAY,CON,89.3,10.7,17.1,17.1,20.0,40.0,36.4,63.6,100,0.0
CANDICE WIGGINS,LAS,50.0,50.0,64.3,0.0,14.3,21.4,33.3,66.7,100,0.0
CHARDE HOUSTON,NYL,84.3,15.7,5.4,7.1,16.0,67.9,40.9,59.1,100,0.0
COURTNEY VANDERSLOOT,CHI,79.5,20.5,22.0,12.2,16.2,47.2,15.8,84.2,66.7,33.3
FARHIYA ABDI,LAS,84.1,15.9,7.1,19.0,7.2,38.1,61.1,38.9,100,0.0
TIFFANY BIAS,PHO,66.7,33.3,33.3,33.3,11.1,44.4,40.0,60.0,100,0.0
ELENA DELLE DONNE,CHI,74.1,25.9,21.0,6.3,29.3,27.3,45.1,54.9,100,0.0
GENNIFER BRANDON,CHI,100,0.0,0.0,17.9,21.4,64.3,63.6,36.4,0.0,0.0
JELENA MILOVANOVIC,WAS,64.1,35.9,21.4,2.9,21.5,37.1,60.0,40.0,100,0.0
NADIA COLHADO,ATL,100,0.0,0.0,9.1,4.5,68.2,85.7,14.3,0.0,0.0
TAMIKA CATCHINGS,IND,81.2,18.8,16.3,2.3,24.8,38.0,39.5,60.5,85.7,14.3
CHUCKY JEFFERY,NYL,94.1,5.9,0.0,0.0,6.7,93.3,57.1,42.9,0.0,0.0
ALLISON HIGHTOWER,CON,74.0,26.0,16.7,13.0,18.5,42.6,22.9,77.1,100,0.0
LINDSEY MOORE,MIN,40.0,60.0,69.2,0.0,30.8,0.0,0.0,0.0,66.7,33.3
HEATHER BUTLER,SAN,33.3,66.7,50.0,50.0,50.0,0.0,0.0,0.0,100,0.0
NATASHA LACY,NYL,85.7,14.3,0.0,11.8,17.6,82.4,14.3,85.7,0.0,0.0
NIKKI GREENE,LAS,100,0.0,0.0,0.0,20.0,80.0,50.0,50.0,0.0,0.0
REBEKKAH BRUNSON,MIN,100,0.0,0.0,2.5,19.0,50.6,78.1,21.9,0.0,0.0
RIQUNA WILLIAMS,TUL,60.9,39.1,23.7,27.6,18.4,34.2,27.3,72.7,66.7,33.3
KELLEY CAIN,CON,100,0.0,0.0,0.0,27.3,72.7,100,0.0,0.0,0.0
ASTOU NDOUR-FALL,SAN,84.2,15.8,17.6,23.5,0.0,58.8,85.7,14.3,100,0.0
EBONY HOFFMAN,CON,94.4,5.6,0.0,0.0,0.0,50.0,66.7,33.3,0.0,0.0
TONI YOUNG,NYL,100,0.0,0.0,0.0,33.3,44.4,33.3,66.7,0.0,0.0
TIFFANY JACKSON,TUL,100,0.0,0.0,20.0,20.0,66.7,50.0,50.0,0.0,0.0
BRIANA BUTLER,CON,66.7,33.3,0.0,0.0,0.0,100,100,0.0,0.0,0.0
NADIRAH MCKENITH,MIN,100,0.0,0.0,0.0,50.0,0.0,100,0.0,0.0,0.0
WALTIEA ROLLE,SEA,100,0.0,0.0,0.0,12.5,62.5,85.7,14.3,0.0,0.0
TAYLER HILL,WAS,46.2,53.8,60.0,0.0,40.0,0.0,0.0,0.0,100,0.0
DARXIA MORRIS,LAS,61.5,38.5,0.0,33.3,0.0,66.7,33.3,66.7,0.0,0.0
KARA BRAXTON,NYL,100,0.0,0.0,0.0,20.0,80.0,75.0,25.0,0.0,0.0
AARYN ELLENBERG,CHI,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
DAVELLYN WHYTE,SAN,66.7,33.3,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
INGA OREKHOVA,ATL,40.0,60.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
JASMINE HASSELL,IND,100,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0
SAMANTHA PRAHALIS,LAS,75.0,25.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
DAVELLYN WHYTE,SAN,66.7,33.3,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
INGA OREKHOVA,ATL,40.0,60.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
JASMINE HASSELL,IND,100,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0
SAMANTHA PRAHALIS,LAS,75.0,25.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
DAVELLYN WHYTE,SAN,66.7,33.3,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
INGA OREKHOVA,ATL,40.0,60.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
JASMINE HASSELL,IND,100,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0
SAMANTHA PRAHALIS,LAS,75.0,25.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
