Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT
ALLIE QUIGLEY,CHI,47.8,52.2,51.2,14.1,10.0,18.3,63.7,36.3,88.8,11.3
ALLISHA GRAY,DAL,66.4,33.6,27.3,12.4,26.3,40.9,64.3,35.7,97.0,3.0
ALYSSA THOMAS,CON,99.7,0.3,0.0,21.2,15.2,83.3,64.9,35.1,0.0,0.0
BETNIJAH LANEY-HAMILTON,IND,69.0,31.0,31.3,17.2,9.3,29.2,56.1,43.9,95.0,5.0
BRIA HOLMES,CON,67.4,32.6,28.2,15.5,18.3,45.1,63.2,36.8,90.0,10.0
BRITTNEY SYKES,ATL,69.2,30.8,24.1,15.5,18.4,47.7,39.0,61.0,85.7,14.3
BROOKE MCCARTY-WILLIAMS,DAL,44.4,55.6,66.7,8.6,13.5,19.8,37.5,62.5,100,0.0
CANDICE DUPREE,IND,99.2,0.8,0.0,6.3,11.9,37.5,79.3,20.7,0.0,0.0
CHELSEA GRAY,LAS,71.0,29.0,30.5,6.1,13.4,35.4,20.3,79.7,70.0,30.0
CHEYENNE PARKER-TYUS,CHI,92.3,7.7,5.0,4.0,26.8,64.2,72.5,27.5,100,0.0
COURTNEY WILLIAMS,CON,91.9,8.1,10.7,16.9,13.3,35.1,48.5,51.5,87.5,12.5
CRYSTAL LANGHORNE,SEA,66.7,33.3,28.3,4.2,17.2,44.0,76.9,23.1,100,0.0
DANIELLE ROBINSON,MIN,87.0,13.0,7.9,18.7,16.9,46.6,49.6,50.4,100,0.0
DEWANNA BONNER,PHO,62.1,37.9,26.7,10.4,26.1,34.9,46.4,53.6,75.0,25.0
DEARICA HAMBY,LVA,81.7,18.3,13.7,18.0,19.8,63.3,75.8,24.2,100,0.0
DIAMOND DESHIELDS,CHI,67.2,32.8,27.2,23.0,21.3,37.7,54.9,45.1,94.0,6.0
ERICA WHEELER,IND,57.9,42.1,42.0,13.1,11.9,22.7,17.7,82.3,39.6,60.4
JACKIE YOUNG,LVA,81.4,18.6,18.7,16.4,26.2,43.6,45.2,54.8,92.9,7.1
JASMINE THOMAS,CON,65.4,34.6,35.6,12.1,14.8,35.9,24.5,75.5,84.4,15.6
JONQUEL JONES,CON,64.0,36.0,26.0,4.0,21.7,44.3,63.8,36.2,97.7,2.3
KAHLEAH COPPER,CHI,76.0,24.0,19.8,16.7,23.8,42.3,45.3,54.7,93.3,6.7
KAYLA MCBRIDE,LVA,59.5,40.5,41.1,13.7,19.2,23.8,64.4,35.6,87.1,12.9
KELSEY MITCHELL,IND,51.2,48.8,51.1,14.0,11.0,22.0,31.8,68.2,70.9,29.1
KELSEY PLUM,LVA,57.0,43.0,46.1,20.8,11.6,27.3,38.7,61.3,80.0,20.0
KIA NURSE,NYL,49.0,51.0,41.9,9.2,25.0,22.8,67.5,32.5,84.6,15.4
LATOYA SANDERS,WAS,100,0.0,0.0,2.9,15.9,40.6,87.4,12.6,0.0,0.0
MERCEDES RUSSELL,SEA,100,0.0,0.0,7.5,16.5,78.0,73.6,26.4,0.0,0.0
NAPHEESA COLLIER,MIN,75.7,24.3,20.3,6.1,18.0,52.7,71.5,28.5,96.7,3.3
NATASHA CLOUD,WAS,50.5,49.5,44.1,8.2,13.4,33.3,32.3,67.7,93.3,6.7
NATASHA HOWARD,SEA,79.9,20.1,15.6,10.6,20.9,53.7,57.9,42.1,90.6,9.4
ODYSSEY SIMS,MIN,79.6,20.4,15.2,21.3,18.1,50.8,39.6,60.4,88.0,12.0
