evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:54,Jump Ball Griner vs Williams (Turner gains possession),0,-80,0,0,0,10,204322,1611661317,203398,0,0,1629488,1611661317,60000,1
7,09:42,[PHO] Cunningham 3pt Shot: Missed,230,33,3,0,1,2,,1611661317,1629482,0,0,,1611661317,70000,1
8,09:39,[ATL] Williams Rebound (Off:0 Def:1),230,33,0,0,0,4,,1611661330,204322,0,0,,1611661317,80000,1
9,09:26,[ATL] Dietrick Turnover : Bad Pass (1 TO) Steal:Turner (1 ST),25,38,1,0,1,5,1629488,1611661330,204355,0,0,,1611661330,90000,1
11,09:22,[PHO] Turner Layup Shot: Missed,-1,10,2,1,5,2,,1611661317,1629488,0,0,,1611661317,110000,1
12,09:20,[ATL] Stricklen Rebound (Off:0 Def:1),-1,10,0,0,0,4,,1611661330,203015,0,0,,1611661317,120000,1
13,09:17,[ATL] Laney Turnover : Out of Bounds - Bad Pass Turnover (1 TO),8,97,0,0,45,5,,1611661330,204335,0,0,,1611661330,130000,1
15,09:08,[PHO] Cunningham Foul: Offensive Charge (1 PF),-71,225,0,0,26,6,204335,1611661317,1629482,0,0,,1611661317,150000,1
17,09:08,[PHO] Cunningham Turnover : Offensive Foul Turnover (1 TO),-71,225,0,0,37,5,,1611661317,1629482,0,0,,1611661317,170000,1
18,08:54,[ATL 2-0] Laney Jump Shot: Made (2 PTS) Assist: Stricklen (1 AST),-9,132,2,0,1,1,,1611661330,204335,0,2,203015,1611661330,180000,1
20,08:37,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,0,2,,1611661317,200000,1
21,08:33,[PHO 2-2] Griner Turnaround Jump Shot: Made (2 PTS) Assist: Diggins-Smith (1 AST),92,81,2,0,47,1,,1611661317,203398,2,2,203400,1611661317,210000,1
23,08:16,[ATL] Stricklen 3pt Shot: Missed,-174,167,3,0,1,2,,1611661330,203015,2,2,,1611661330,230000,1
24,08:14,[PHO] Diggins-Smith Rebound (Off:0 Def:1),-174,167,0,0,0,4,,1611661317,203400,2,2,,1611661330,240000,1
25,08:09,[PHO 5-2] Diggins-Smith 3pt Shot: Made (3 PTS),-69,243,3,0,79,1,,1611661317,203400,5,2,,1611661317,250000,1
26,07:42,[ATL 4-5] Williams Layup Shot: Made (2 PTS) Assist: Dietrick (1 AST),-16,3,2,0,5,1,,1611661330,204322,5,4,204355,1611661330,260000,1
28,07:25,[PHO] Cunningham 3pt Shot: Missed,-225,-9,3,0,1,2,,1611661317,1629482,5,4,,1611661317,280000,1
29,07:22,[ATL] Williams Rebound (Off:0 Def:1),-225,-9,0,0,0,4,,1611661330,1627675,5,4,,1611661317,290000,1
30,07:21,[ATL] Laney Turnover : Out of Bounds Lost Ball Turnover (2 TO),97,118,0,0,40,5,,1611661330,204335,5,4,,1611661330,300000,1
31,06:56,[PHO] Walker-Kimbrough 3pt Shot: Missed,121,223,3,0,1,2,,1611661317,1628278,5,4,,1611661317,310000,1
32,06:54,[ATL] Williams Rebound (Off:0 Def:2),121,223,0,0,0,4,,1611661330,204322,5,4,,1611661317,320000,1
33,06:49,[ATL 6-5] Williams Jump Shot: Made (2 PTS),74,148,2,1,1,1,,1611661330,1627675,5,6,,1611661330,330000,1
34,06:33,[PHO] Diggins-Smith 3pt Shot: Missed,106,227,3,0,1,2,,1611661317,203400,5,6,,1611661317,340000,1
35,06:31,[PHO] Walker-Kimbrough Rebound (Off:1 Def:0),106,227,1,0,0,4,,1611661317,1628278,5,6,,1611661317,350000,1
36,06:24,[PHO 7-6] Cunningham Cutting Layup Shot: Made (2 PTS) Assist: Griner (1 AST),-12,31,2,0,98,1,,1611661317,1629482,7,6,203398,1611661317,360000,1
