evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:56,Jump Ball Jones vs Jones (Vaughn gains possession),0,-80,0,0,0,10,1628280,1611661317,1628280,0,0,201913,1611661317,60000,1
7,09:42,[PHO] Turner Jump Shot: Missed,-90,21,2,0,1,2,,1611661317,1629488,0,0,,1611661317,70000,1
8,09:41,[CON] Jones Rebound (Off:0 Def:1),-90,21,0,0,0,4,,1611661323,1628280,0,0,,1611661317,80000,1
9,09:17,[CON 2-0] Hiedeman Jump Shot: Made (2 PTS),59,57,2,0,1,1,,1611661323,1629567,2,0,,1611661323,90000,1
10,09:04,[PHO 2-2] Vaughn Layup Shot: Made (2 PTS) Assist: Turner (1 AST),26,11,2,0,5,1,,1611661317,201913,2,2,1629488,1611661317,100000,1
12,08:48,[CON] Thomas Turnover : Lost Ball (1 TO) Steal:Diggins-Smith (1 ST),73,36,1,0,2,5,203400,1611661323,203826,2,2,,1611661323,120000,1
14,08:41,[PHO 4-2] Diggins-Smith Layup Shot: Made (2 PTS),0,24,2,1,5,1,,1611661317,203400,2,4,,1611661317,140000,1
15,08:19,[CON] Thomas Layup Shot: Missed,-5,36,2,0,5,2,,1611661323,203826,2,4,,1611661323,150000,1
16,08:19,[CON] Team Rebound,-5,36,1,0,0,4,,1611661323,0,2,4,,1611661323,160000,1
17,08:15,[CON] Bonner 3pt Shot: Missed,220,86,3,0,1,2,,1611661323,201886,2,4,,1611661323,170000,1
18,08:13,[PHO] Turner Rebound (Off:0 Def:1),220,86,0,0,0,4,,1611661317,1629488,2,4,,1611661323,180000,1
19,08:06,[PHO] Taurasi 3pt Shot: Missed,-146,203,3,0,1,2,,1611661317,100940,2,4,,1611661317,190000,1
20,08:05,[PHO] Turner Rebound (Off:1 Def:1),-146,203,1,0,0,4,,1611661317,1629488,2,4,,1611661317,200000,1
21,08:02,[PHO 7-2] Taurasi 3pt Shot: Made (3 PTS) Assist: Walker-Kimbrough (1 AST),241,29,3,0,1,1,,1611661317,100940,2,7,1628278,1611661317,210000,1
23,07:50,[PHO] Taurasi Foul: Personal (1 PF),2,59,0,0,1,6,201886,1611661317,100940,2,7,,1611661323,230000,1
25,07:37,[CON] Charles Jump Shot: Missed,112,160,2,0,1,2,,1611661323,1630097,2,7,,1611661323,250000,1
26,07:35,[PHO] Taurasi Rebound (Off:0 Def:1),112,160,0,0,0,4,,1611661317,100940,2,7,,1611661323,260000,1
27,07:30,[PHO 10-2] Taurasi 3pt Shot: Made (6 PTS),-143,212,3,0,79,1,,1611661317,100940,2,10,,1611661317,270000,1
28,07:30,[CON] Team Timeout : Regular,0,-80,0,0,1,9,,1611661323,1611661323,2,10,,1611661323,280000,1
29,07:14,[CON] Bonner 3pt Shot: Missed,1,246,3,0,1,2,,1611661323,201886,2,10,,1611661323,290000,1
30,07:13,[CON] Thomas Rebound (Off:1 Def:0),1,246,1,0,0,4,,1611661323,203826,2,10,,1611661323,300000,1
31,07:05,[CON] Charles 3pt Shot: Missed,226,10,3,0,1,2,,1611661323,1630097,2,10,,1611661323,310000,1
32,07:05,[CON] Team Rebound,226,10,1,0,0,4,,1611661323,0,2,10,,1611661323,320000,1
33,07:05,Stoppage: Court Cleanup,0,-80,0,0,4,20,,0,0,2,10,,1611661323,330000,1
34,06:59,[CON] Hiedeman 3pt Shot: Missed,206,134,3,0,1,2,,1611661323,1629567,2,10,,1611661323,340000,1
35,06:57,[PHO] Turner Rebound (Off:1 Def:2),206,134,0,0,0,4,,1611661317,1629488,2,10,,1611661323,350000,1
36,06:40,[PHO] Diggins-Smith Driving Reverse Layup Shot: Missed,-12,23,2,0,73,2,,1611661317,203400,2,10,,1611661317,360000,1
37,06:37,[PHO] Vaughn Rebound (Off:1 Def:0),-12,23,1,0,0,4,,1611661317,201913,2,10,,1611661317,370000,1
38,06:37,[PHO 12-2] Vaughn Putback Layup Shot: Made (4 PTS),0,-5,2,0,72,1,,1611661317,201913,2,12,,1611661317,380000,1
39,06:15,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,2,12,,1611661323,390000,1
40,06:12,[CON] Hiedeman 3pt Shot: Missed,220,103,3,0,1,2,203400,1611661323,1629567,2,12,,1611661323,400000,1
42,06:09,[PHO] Diggins-Smith Rebound (Off:0 Def:1),220,103,0,0,0,4,,1611661317,203400,2,12,,1611661323,420000,1
43,06:08,[PHO] Diggins-Smith Driving Layup Shot: Missed,-24,28,2,1,6,2,203826,1611661317,203400,2,12,,1611661317,430000,1
45,06:04,[CON] Bonner Rebound (Off:0 Def:1),-24,28,0,0,0,4,,1611661323,201886,2,12,,1611661317,450000,1
46,06:00,[CON 4-12] Bonner Driving Finger Roll Layup Shot: Made (2 PTS),29,20,2,1,75,1,,1611661323,201886,4,12,,1611661323,460000,1
48,05:46,[CON] Jones Foul: Defense 3 Second (1 PF) (1 FTA),0,-80,0,0,17,6,,1611661323,1628280,4,12,,1611661317,480000,1
49,05:46,[PHO 13-4] Taurasi Free Throw Technical (7 PTS),0,-80,1,0,16,3,,1611661317,100940,4,13,,1611661317,490000,1
50,05:32,[PHO] Walker-Kimbrough 3pt Shot: Missed,-226,-10,3,0,1,2,,1611661317,1628278,4,13,,1611661317,500000,1
51,05:30,[CON] Jones Rebound (Off:0 Def:2),-226,-10,0,0,0,4,,1611661323,1628280,4,13,,1611661317,510000,1
52,05:10,[CON] Hiedeman 3pt Shot: Missed,-180,169,3,0,1,2,,1611661323,1629567,4,13,,1611661323,520000,1
53,05:08,[PHO] Vaughn Rebound (Off:1 Def:1),-180,169,0,0,0,4,,1611661317,201913,4,13,,1611661323,530000,1
54,05:03,[PHO 16-4] Walker-Kimbrough 3pt Shot: Made (3 PTS) Assist: Diggins-Smith (1 AST),226,43,3,1,1,1,,1611661317,1628278,4,16,203400,1611661317,540000,1
56,04:45,[CON] Hiedeman Pullup Jump shot: Missed,-96,85,2,0,79,2,,1611661323,1629567,4,16,,1611661323,560000,1
57,04:44,[PHO] Turner Rebound (Off:1 Def:3),-96,85,0,0,0,4,,1611661317,1629488,4,16,,1611661323,570000,1
58,04:32,[CON] Hiedeman Foul: Shooting (1 PF) (2 FTA),-73,184,0,0,2,6,100940,1611661323,1629567,4,16,,1611661317,580000,1
60,04:32,[PHO 17-4] Taurasi Free Throw 1 of 2 (8 PTS),0,-80,1,0,11,3,,1611661317,100940,4,17,,1611661317,600000,1
61,04:32,[CON] Hiedeman Substitution replaced by Mompremier,0,-80,0,0,0,8,,1611661323,1629567,4,17,1629492,1611661317,610000,1
62,04:32,[CON] Jones Substitution replaced by Holmes,0,-80,0,0,0,8,,1611661323,1628280,4,17,1627678,1611661317,620000,1
63,04:32,[CON] Charles Substitution replaced by Carson,0,-80,0,0,0,8,,1611661323,1630097,4,17,201502,1611661317,630000,1
64,04:32,[PHO] Vaughn Substitution replaced by Cunningham,0,-80,0,0,0,8,,1611661317,201913,4,17,1629482,1611661317,640000,1
69,04:32,[PHO 18-4] Taurasi Free Throw 2 of 2 (9 PTS),0,-80,1,0,12,3,,1611661317,100940,4,18,,1611661317,690000,1
70,04:20,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,4,18,,1611661323,700000,1
71,04:11,[CON 6-18] Bonner Driving Layup Shot: Made (4 PTS),-43,11,2,0,6,1,,1611661323,201886,6,18,,1611661323,710000,1
72,04:05,[PHO 20-6] Cunningham Layup Shot: Made (2 PTS) Assist: Taurasi (1 AST),38,11,2,1,5,1,,1611661317,1629482,6,20,100940,1611661317,720000,1
74,04:05,[CON] Team Timeout : Regular,0,-80,0,0,1,9,,1611661323,1611661323,6,20,,1611661323,740000,1
75,03:55,[PHO] Cunningham Foul: Personal (1 PF),-136,62,0,0,1,6,201886,1611661317,1629482,6,20,,1611661323,750000,1
77,03:50,[PHO] Diggins-Smith Foul: Personal (1 PF),75,43,0,0,1,6,201502,1611661317,203400,6,20,,1611661323,770000,1
79,03:43,[CON 8-20] Carson Layup Shot: Made (2 PTS) Assist: Bonner (1 AST),-41,13,2,0,5,1,,1611661323,201502,8,20,201886,1611661323,790000,1
81,03:29,[PHO] Diggins-Smith 3pt Shot: Missed,202,137,3,0,1,2,,1611661317,203400,8,20,,1611661317,810000,1
82,03:27,[CON] Bonner Rebound (Off:0 Def:2),202,137,0,0,0,4,,1611661323,201886,8,20,,1611661317,820000,1
84,03:27,[CON] Bonner Turnover : Out of Bounds - Bad Pass Turnover (1 TO),145,832,0,0,45,5,,1611661323,201886,8,20,,1611661323,840000,1
85,03:27,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,8,20,,1611661317,850000,1
86,03:15,[PHO 23-8] Taurasi 3pt Shot: Made (12 PTS) Assist: Diggins-Smith (2 AST),-97,296,3,0,1,1,,1611661317,100940,8,23,203400,1611661317,860000,1
88,03:00,[CON] Holmes Layup Shot: Missed,25,13,2,0,5,2,,1611661323,1627678,8,23,,1611661323,880000,1
89,03:00,[CON] Mompremier Rebound (Off:1 Def:0),25,13,1,0,0,4,,1611661323,1629492,8,23,,1611661323,890000,1
90,03:00,[PHO] Turner Foul: Shooting (1 PF) (2 FTA),-25,9,0,0,2,6,1629492,1611661317,1629488,8,23,,1611661323,900000,1
92,03:00,[CON 9-23] Mompremier Free Throw 1 of 2 (1 PTS),0,-80,1,0,11,3,,1611661323,1629492,9,23,,1611661323,920000,1
93,03:00,[CON 10-23] Mompremier Free Throw 2 of 2 (2 PTS),0,-80,1,0,12,3,,1611661323,1629492,10,23,,1611661323,930000,1
94,02:53,[CON] Carson Foul: Personal (1 PF),-62,249,0,0,1,6,100940,1611661323,201502,10,23,,1611661317,940000,1
96,02:48,[PHO 25-10] Diggins-Smith Finger Roll Layup Shot: Made (4 PTS) Assist: Turner (2 AST),-20,18,2,0,71,1,,1611661317,203400,10,25,1629488,1611661317,960000,1
98,02:36,[CON] Thomas Layup Shot: Missed,26,30,2,0,5,2,1629488,1611661323,203826,10,25,,1611661323,980000,1
100,02:36,[PHO] Turner Rebound (Off:1 Def:4),26,30,0,0,0,4,,1611661317,1629488,10,25,,1611661323,1000000,1
101,02:30,[PHO 28-10] Diggins-Smith 3pt Shot: Made (7 PTS) Assist: Turner (3 AST),-146,214,3,1,1,1,,1611661317,203400,10,28,1629488,1611661317,1010000,1
103,02:12,[CON] Carson 3pt Shot: Missed,186,143,3,0,1,2,,1611661323,201502,10,28,,1611661323,1030000,1
104,02:12,[PHO] Team Rebound,186,143,0,0,0,4,,1611661317,0,10,28,,1611661323,1040000,1
105,02:12,[CON] Mompremier Foul: Loose Ball (1 PF),24,810,0,0,3,6,100940,1611661323,1629492,10,28,,1611661317,1050000,1
107,02:12,[CON] Bonner Substitution replaced by Plaisance,0,-80,0,0,0,8,,1611661323,201886,10,28,203849,1611661317,1070000,1
108,02:12,[CON] Thomas Substitution replaced by Mosqueda-Lewis,0,-80,0,0,0,8,,1611661323,203826,10,28,204321,1611661317,1080000,1
109,02:12,[PHO] Taurasi Substitution replaced by Peddy,0,-80,0,0,0,8,,1611661317,100940,10,28,203035,1611661317,1090000,1
113,02:12,[PHO] Turner Substitution replaced by Vaughn,0,-80,0,0,0,8,,1611661317,1629488,10,28,201913,1611661317,1130000,1
115,02:00,[PHO] Diggins-Smith Jump Shot: Missed,0,156,2,0,1,2,,1611661317,203400,10,28,,1611661317,1150000,1
116,01:58,[CON] Holmes Rebound (Off:0 Def:1),0,156,0,0,0,4,,1611661323,1627678,10,28,,1611661317,1160000,1
117,01:50,[CON] Mompremier Jump Shot: Missed,-109,1,2,0,1,2,,1611661323,1629492,10,28,,1611661323,1170000,1
118,01:47,[PHO] Peddy Rebound (Off:0 Def:1),-109,1,0,0,0,4,,1611661317,203035,10,28,,1611661323,1180000,1
119,01:37,[PHO] Vaughn Jump Shot: Missed,2,206,2,0,1,2,,1611661317,201913,10,28,,1611661317,1190000,1
120,01:36,[CON] Mosqueda-Lewis Rebound (Off:0 Def:1),2,206,0,0,0,4,,1611661323,204321,10,28,,1611661317,1200000,1
121,01:19,[CON] Mosqueda-Lewis 3pt Shot: Missed,-153,202,3,0,1,2,,1611661323,204321,10,28,,1611661323,1210000,1
