evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:56,Jump Ball Stewart vs Parker (Canada gains possession),0,-80,0,0,0,10,204323,1611661328,1627668,0,0,1628886,1611661328,60000,1
7,09:45,[SEA 2-0] Loyd Layup Shot: Made (2 PTS) Assist: Canada (1 AST),-27,-6,2,0,5,1,,1611661328,204319,0,2,1628886,1611661328,70000,1
9,09:21,[CHI] Parker Hook Shot: Missed,-29,37,2,0,3,2,,1611661329,204323,0,2,,1611661329,90000,1
10,09:19,[SEA] Howard Rebound (Off:0 Def:1),-29,37,0,0,0,4,,1611661328,203827,0,2,,1611661329,100000,1
11,09:03,[SEA] Howard Jump Shot: Missed,36,27,2,0,1,2,,1611661328,203827,0,2,,1611661328,110000,1
12,08:58,[SEA] Howard Rebound (Off:1 Def:1),36,27,1,0,0,4,,1611661328,203827,0,2,,1611661328,120000,1
13,08:58,[SEA] Howard Turnover : Lost Ball (1 TO) Steal:Williams (1 ST),150,-7,1,0,2,5,1628931,1611661328,203827,0,2,,1611661328,130000,1
15,08:47,[CHI] Copper 3pt Shot: Missed,-18,247,3,0,1,2,,1611661329,1627674,0,2,,1611661329,150000,1
16,08:45,[SEA] Clark Rebound (Off:0 Def:1),-18,247,0,0,0,4,,1611661328,202252,0,2,,1611661329,160000,1
17,08:35,[SEA 4-0] Stewart Layup Shot: Made (2 PTS) Assist: Clark (1 AST),-27,5,2,0,5,1,,1611661328,1627668,0,4,202252,1611661328,170000,1
19,08:20,[CHI 2-4] Quigley Jump Shot: Made (2 PTS) Assist: Williams (1 AST),104,65,2,0,1,1,,1611661329,201516,2,4,1628931,1611661329,190000,1
21,07:58,Jump Ball Parker vs Loyd (Quigley gains possession),0,-80,0,0,0,10,204319,1611661329,204323,2,4,201516,1611661328,230000,1
24,07:58,[SEA] Loyd Turnover : Lost Ball (1 TO) Steal:Parker (1 ST),0,-80,1,0,2,5,204323,1611661328,204319,2,4,,1611661328,240000,1
26,07:55,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,2,4,,1611661329,260000,1
27,07:33,[CHI] Vandersloot Jump Shot: Missed,17,212,2,0,1,2,,1611661329,202664,2,4,,1611661329,270000,1
28,07:31,[SEA] Howard Rebound (Off:1 Def:2),17,212,0,0,0,4,,1611661328,203827,2,4,,1611661329,280000,1
29,07:17,[SEA] Loyd Turnover : Bad Pass (2 TO) Steal:Quigley (1 ST),145,-17,1,0,1,5,201516,1611661328,204319,2,4,,1611661328,290000,1
31,07:01,[CHI] Williams 3pt Shot: Missed,232,11,3,0,1,2,,1611661329,1628931,2,4,,1611661329,310000,1
32,06:59,[SEA] Stewart Rebound (Off:0 Def:1),232,11,0,0,0,4,,1611661328,1627668,2,4,,1611661329,320000,1
33,06:50,[SEA] Loyd 3pt Shot: Missed,239,-27,3,0,1,2,,1611661328,204319,2,4,,1611661328,330000,1
34,06:48,[CHI] Williams Rebound (Off:0 Def:1),239,-27,0,0,0,4,,1611661329,1628931,2,4,,1611661328,340000,1
35,06:41,[CHI 4-4] Copper Layup Shot: Made (2 PTS) Assist: Vandersloot (1 AST),27,5,2,0,5,1,,1611661329,1627674,4,4,202664,1611661329,350000,1
37,06:21,[SEA 6-4] Howard Jump Shot: Made (2 PTS) Assist: Clark (2 AST),30,40,2,0,1,1,,1611661328,203827,4,6,202252,1611661328,370000,1
39,05:57,[CHI] Williams 3pt Shot: Missed,3,239,3,0,1,2,,1611661329,1628931,4,6,,1611661329,390000,1
40,05:56,[CHI] Williams Rebound (Off:1 Def:1),3,239,1,0,0,4,,1611661329,1628931,4,6,,1611661329,400000,1
41,05:56,[CHI] Williams Jump Shot: Missed,3,55,2,0,1,2,203827,1611661329,1628931,4,6,,1611661329,410000,1
43,05:56,[CHI] Williams Rebound (Off:2 Def:1),3,55,1,0,0,4,,1611661329,1628931,4,6,,1611661329,430000,1
44,05:56,[SEA] Howard Foul: Shooting (1 PF) (2 FTA),20,28,0,0,2,6,1628931,1611661328,203827,4,6,,1611661329,440000,1
46,05:56,[CHI 5-6] Williams Free Throw 1 of 2 (1 PTS),0,-80,1,0,11,3,,1611661329,1628931,5,6,,1611661329,460000,1
47,05:56,[CHI 6-6] Williams Free Throw 2 of 2 (2 PTS),0,-80,1,0,12,3,,1611661329,1628931,6,6,,1611661329,470000,1
48,05:39,[SEA] Stewart Jump Shot: Missed,-59,186,2,0,1,2,,1611661328,1627668,6,6,,1611661328,480000,1
49,05:39,[SEA] Howard Rebound (Off:2 Def:2),-59,186,1,0,0,4,,1611661328,203827,6,6,,1611661328,490000,1
50,05:39,[SEA] Howard Turnover : Bad Pass (2 TO),-69,-2,0,0,1,5,,1611661328,203827,6,6,,1611661328,500000,1
51,05:39,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,6,6,,1611661329,510000,1
52,05:23,[CHI] Williams Turnover : Lost Ball (1 TO) Steal:Stewart (1 ST),-185,177,1,0,2,5,1627668,1611661329,1628931,6,6,,1611661329,520000,1
54,05:15,[SEA 8-6] Howard Jump Shot: Made (4 PTS) Assist: Clark (3 AST),36,35,2,0,1,1,,1611661328,203827,6,8,202252,1611661328,540000,1
56,04:59,[CHI 8-8] Vandersloot Jump Shot: Made (2 PTS),17,18,2,0,1,1,,1611661329,202664,8,8,,1611661329,560000,1
57,04:48,[SEA] Stewart Jump Shot: Missed,-55,11,2,0,1,2,,1611661328,1627668,8,8,,1611661328,570000,1
58,04:46,[CHI] Parker Rebound (Off:0 Def:1),-55,11,0,0,0,4,,1611661329,204323,8,8,,1611661328,580000,1
59,04:42,[CHI] Williams Turnover : Lost Ball (2 TO) Steal:Loyd (1 ST),49,179,1,0,2,5,204319,1611661329,1628931,8,8,,1611661329,590000,1
61,04:29,[SEA] Loyd Layup Shot: Missed,39,10,2,0,5,2,202664,1611661328,204319,8,8,,1611661328,610000,1
63,04:25,[CHI] Vandersloot Rebound (Off:0 Def:1),39,10,0,0,0,4,,1611661329,202664,8,8,,1611661328,630000,1
64,04:20,[CHI] Vandersloot Layup Shot: Missed,-114,144,2,0,5,2,,1611661329,202664,8,8,,1611661329,640000,1
65,04:19,[SEA] Stewart Rebound (Off:0 Def:2),-114,144,0,0,0,4,,1611661328,1627668,8,8,,1611661329,650000,1
66,04:11,[SEA 10-8] Clark Jump Shot: Made (2 PTS) Assist: Stewart (1 AST),8,37,2,0,1,1,,1611661328,202252,8,10,1627668,1611661328,660000,1
68,03:53,[CHI] Quigley Jump Shot: Missed,-58,157,2,0,1,2,,1611661329,201516,8,10,,1611661329,680000,1
69,03:51,[SEA] Howard Rebound (Off:2 Def:3),-58,157,0,0,0,4,,1611661328,203827,8,10,,1611661329,690000,1
70,03:47,[SEA 13-8] Loyd 3pt Shot: Made (5 PTS) Assist: Canada (2 AST),-233,64,3,0,1,1,,1611661328,204319,8,13,1628886,1611661328,700000,1
72,03:28,[CHI] Quigley 3pt Shot: Missed,-235,2,3,0,1,2,,1611661329,201516,8,13,,1611661329,720000,1
73,03:26,[SEA] Howard Rebound (Off:2 Def:4),-235,2,0,0,0,4,,1611661328,203827,8,13,,1611661329,730000,1
74,03:23,[SEA 15-8] Clark Jump Shot: Made (4 PTS) Assist: Canada (3 AST),81,119,2,0,1,1,,1611661328,202252,8,15,1628886,1611661328,740000,1
76,03:23,[CHI] Team Timeout : Regular,0,-80,0,0,1,9,,1611661329,1611661329,8,15,,1611661329,760000,1
77,03:23,[CHI] Parker Substitution replaced by Hebard,0,-80,0,0,0,8,,1611661329,204323,8,15,1630113,1611661329,770000,1
78,03:23,[CHI] Vandersloot Substitution replaced by Dolson,0,-80,0,0,0,8,,1611661329,202664,8,15,203828,1611661329,780000,1
79,03:23,[CHI] Quigley Substitution replaced by Colson,0,-80,0,0,0,8,,1611661329,201516,8,15,202641,1611661329,790000,1
80,03:23,[SEA] Canada Substitution replaced by Whitcomb,0,-80,0,0,0,8,,1611661328,1628886,8,15,1628244,1611661329,800000,1
