evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:56,Jump Ball Alarie vs Parker (Harris gains possession),0,-80,0,0,0,10,204323,1611661321,1630093,0,0,1630112,1611661321,60000,1
7,09:43,[DAL] Mabrey Turnover : Lost Ball (1 TO) Steal:Vandersloot (1 ST),162,267,1,0,2,5,202664,1611661321,1629497,0,0,,1611661321,70000,1
9,09:36,[CHI 2-0] Hebard Layup Shot: Made (2 PTS) Assist: Vandersloot (1 AST),26,22,2,1,5,1,,1611661329,1630113,0,2,202664,1611661329,90000,1
11,09:22,[DAL] Harris 3pt Shot: Missed,-230,-1,3,0,1,2,,1611661321,1630112,0,2,,1611661321,110000,1
12,09:20,[DAL] Samuelson Rebound (Off:1 Def:0),-230,-1,1,0,0,4,,1611661321,1629478,0,2,,1611661321,120000,1
13,09:12,[DAL] Mabrey Jump Shot: Missed,74,84,2,0,1,2,,1611661321,1629497,0,2,,1611661321,130000,1
14,09:07,[DAL] Alarie Rebound (Off:1 Def:0),74,84,1,0,0,4,,1611661321,1630093,0,2,,1611661321,140000,1
15,09:06,[DAL 2-2] Mabrey Jump Shot: Made (2 PTS),103,42,2,0,1,1,,1611661321,1629497,2,2,,1611661321,150000,1
16,08:49,[CHI 4-2] Hebard Cutting Layup Shot: Made (4 PTS) Assist: Copper (1 AST),-23,19,2,0,98,1,,1611661329,1630113,2,4,1627674,1611661329,160000,1
18,08:36,[DAL] Harris Driving Layup Shot: Missed,14,-2,2,0,6,2,,1611661321,1630112,2,4,,1611661321,180000,1
19,08:34,[CHI] Hebard Rebound (Off:0 Def:1),14,-2,0,0,0,4,,1611661329,1630113,2,4,,1611661321,190000,1
20,08:19,[CHI 6-2] Vandersloot Driving Layup Shot: Made (2 PTS),11,42,2,0,6,1,,1611661329,202664,2,6,,1611661329,200000,1
21,08:07,[DAL 4-6] Ogunbowale Pullup Jump shot: Made (2 PTS),-92,127,2,0,79,1,,1611661321,1629481,4,6,,1611661321,210000,1
22,07:48,[CHI 8-4] Hebard Hook Shot: Made (6 PTS) Assist: Copper (2 AST),1,50,2,0,3,1,,1611661329,1630113,4,8,1627674,1611661329,220000,1
24,07:39,[DAL 6-8] Harris Driving Layup Shot: Made (2 PTS),-25,3,2,0,6,1,,1611661321,1630112,6,8,,1611661321,240000,1
25,07:39,[CHI] Copper Foul: Shooting (1 PF) (1 FTA),-25,1,0,0,2,6,1630112,1611661329,1627674,6,8,,1611661321,250000,1
27,07:39,[DAL] Harris Free Throw 1 of 1 Missed,0,-80,2,0,10,3,,1611661321,1630112,6,8,,1611661321,270000,1
28,07:37,[CHI] Hebard Rebound (Off:0 Def:2),0,-80,0,0,0,4,,1611661329,1630113,6,8,,1611661321,270001,1
29,07:20,[CHI] Copper Driving Layup Shot: Missed,-24,17,2,0,6,2,,1611661329,1627674,6,8,,1611661329,290000,1
30,07:18,[DAL] Ogunbowale Rebound (Off:0 Def:1),-24,17,0,0,0,4,,1611661321,1629481,6,8,,1611661329,300000,1
