player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
ZUZANA KLIMESOVA,IND,40.0,50.0,0.0,100,0.0,0.0,0.0,0.0,0.0,33.3,0.0
CHAMIQUE HOLDSCLAW,WAS,31.1,31.7,10.9,44.8,27.8,39.3,22.0,24.2,34.2,16.1,0.0
BETTY LENNOX,SEA,29.8,32.3,46.0,15.8,13.4,20.7,15.4,29.3,25.9,27.0,0.0
LAUREN JACKSON,SEA,29.3,31.3,29.4,38.6,29.5,35.2,13.5,19.2,20.0,20.2,0.2
LISA LESLIE,LAS,29.0,29.9,13.1,33.1,36.2,32.8,12.4,24.3,42.3,25.7,0.0
TAMIKA CATCHINGS,IND,28.7,28.8,35.7,36.5,28.0,31.3,23.9,25.1,19.0,20.7,0.0
TINA THOMPSON,HOU,28.3,30.6,43.3,23.6,19.9,22.3,14.2,22.5,27.8,18.9,0.0
SHEILA LAMBERT,DET,27.4,27.2,32.0,31.3,20.0,17.7,29.8,29.0,20.0,17.9,0.0
SHERYL SWOOPES,HOU,26.7,28.3,29.0,25.8,14.7,17.3,32.9,21.5,22.1,12.6,0.0
NEVRIYE YILMAZ,PHO,26.3,26.8,0.0,11.1,21.4,11.1,25.0,33.3,0.0,38.9,0.0
NYKESHA SALES,CON,26.2,28.1,26.4,27.4,11.1,16.8,21.5,20.4,24.6,20.5,0.0
BECKY HAMMON,NYL,26.1,26.3,50.5,26.6,2.3,11.5,18.0,28.1,20.0,12.3,0.0
SWIN CASH,DET,26.1,26.9,15.3,30.2,22.0,19.7,25.6,23.2,33.0,15.9,0.0
TARI PHILLIPS,NYL,25.5,25.2,1.4,32.8,48.3,39.2,15.1,26.1,37.9,26.5,0.0
SVETLANA ABROSIMOVA,MIN,25.3,24.9,27.2,26.5,21.9,23.0,23.9,28.0,31.9,20.8,0.0
JANELL BURSE,SEA,24.8,24.4,1.4,35.2,33.9,30.6,10.6,22.7,36.8,36.7,0.0
TANGELA SMITH,SAC,24.3,27.7,14.8,12.9,24.4,24.4,12.2,17.5,12.0,22.4,0.0
MARGO DYDEK,SAN,24.1,24.3,0.5,26.8,20.3,31.7,18.8,24.0,13.9,24.4,0.0
MARIE FERDINAND-HARRIS,SAN,23.9,22.4,21.3,36.9,9.8,13.5,24.9,21.9,30.3,15.5,0.2
PENNY TAYLOR,PHO,23.9,25.5,36.4,22.8,19.3,20.6,21.9,20.7,23.0,13.0,0.0
DEMYA WALKER,SAC,23.8,21.4,5.7,40.6,30.2,26.2,16.2,26.6,32.5,28.5,0.3
KATIE SMITH,MIN,23.7,26.4,41.8,26.4,12.5,14.5,16.7,14.0,10.2,20.3,0.0
NATALIE WILLIAMS,IND,23.3,23.5,0.2,32.8,41.6,34.1,11.4,19.1,40.2,27.0,0.0
ADRIENNE GOODSON,SAN,23.2,24.5,19.3,19.2,29.7,22.5,22.2,23.2,22.2,20.0,0.0
MWADI MABIKA,LAS,23.1,24.0,28.1,22.7,13.9,16.3,17.9,21.0,24.7,20.4,0.0
YOLANDA GRIFFITH,SAC,23.1,21.1,0.6,40.0,35.1,31.4,10.7,23.4,34.3,26.7,0.0
ASJHA JONES,CON,23.0,23.8,6.2,18.6,29.0,22.4,16.3,24.0,12.9,28.7,0.0
LAQUANDA QUICK,SAN,22.8,27.6,60.5,3.1,18.2,22.4,9.8,14.9,7.1,20.2,0.0
LINDA FROHLICH,PHO,22.8,24.2,14.3,24.4,33.3,24.8,16.3,18.7,42.9,29.2,0.0
NAKIA SANFORD,WAS,22.7,21.5,0.0,50.0,29.4,28.9,2.4,21.5,20.0,47.9,1.3
IZIANE CASTRO MARQUES,PHO,22.7,24.7,42.2,25.0,10.3,9.4,14.5,15.6,16.7,10.9,0.0
SHERI SAM,SEA,22.6,25.8,20.1,23.0,18.8,19.0,21.9,12.8,25.3,16.6,0.0
CYNTHIA COOPER,HOU,22.6,18.4,41.9,48.3,6.5,8.6,43.1,27.5,25.0,15.0,0.0
JESSIE HICKS,SAN,22.6,21.4,0.0,25.0,34.8,26.8,6.7,28.0,47.6,34.1,0.0
MICHELE VAN GORP,MIN,22.5,22.4,0.6,23.0,24.6,26.6,8.4,23.8,25.4,35.5,0.7
ADRIAN WILLIAMS-STRONG,PHO,22.5,23.1,0.4,23.2,27.1,35.6,9.1,21.6,26.2,21.3,0.0
LUCIENNE BERTHIEU,HOU,22.4,17.9,1.5,45.5,32.8,24.9,8.6,28.6,25.9,36.5,0.0
ALLISON FEASTER,CHA,22.3,25.1,46.6,16.6,14.0,14.6,18.1,17.7,11.8,13.7,0.0
SLOBODANKA TUVIC,PHO,22.3,21.3,4.3,29.5,32.3,25.2,10.7,26.7,26.2,34.7,0.0
KELLY SCHUMACHER,IND,22.3,24.2,4.0,17.5,34.2,29.5,10.0,18.9,34.5,26.9,0.0
CHASITY MELVIN,WAS,22.1,21.8,3.5,32.8,29.5,26.0,12.8,18.0,24.8,21.6,0.4
TAMICHA JACKSON,WAS,22.0,24.1,40.6,5.5,9.2,11.8,44.9,24.4,14.8,13.9,0.0
ANDREA STINSON,CHA,21.9,23.2,20.3,18.5,11.6,19.6,26.5,21.4,18.4,14.5,0.0
SUE BIRD,SEA,21.9,21.6,33.6,14.8,8.0,12.6,47.4,28.6,11.8,9.0,0.0
LATOYA THOMAS,SAN,21.8,23.9,2.6,22.7,29.6,25.2,11.0,14.7,24.7,16.0,0.0
WENDY PALMER,CON,21.8,22.9,28.2,15.2,26.9,30.2,10.2,23.5,40.7,30.1,0.0
TAI DILLARD,SAN,21.6,25.9,43.4,5.9,2.3,10.9,35.7,19.4,13.3,22.0,0.0
SHALONDA ENIS,CHA,21.6,22.4,24.3,27.3,38.8,28.0,7.1,17.6,41.8,21.0,0.0
VICKIE JOHNSON,NYL,21.5,22.8,25.6,24.8,13.8,13.2,18.8,16.3,15.6,14.1,0.0
SHANNON JOHNSON,SAN,21.4,18.6,16.2,30.4,14.3,15.0,45.9,31.8,14.1,15.0,0.0
PLENETTE PIERSON,PHO,21.4,19.8,1.3,39.5,24.8,19.0,11.6,20.4,30.7,29.0,0.3
KAMILA VODICHKOVA,SEA,21.3,19.7,1.9,32.9,31.3,25.2,9.6,22.6,23.9,31.6,0.0
TAMECKA DIXON,LAS,21.1,22.6,13.5,18.6,15.3,14.3,21.1,19.0,17.1,16.1,0.2
KELLY MILLER,IND,20.8,22.8,26.8,17.2,13.6,14.2,24.2,18.0,12.5,14.5,0.0
TAUSHA MILLS,SAN,20.7,18.1,0.0,24.2,50.9,37.9,14.0,29.5,28.6,44.6,0.0
TAMIKA WHITMORE,NYL,20.7,20.6,1.1,26.0,23.3,21.4,7.8,20.7,25.8,29.1,0.0
LEIGH AZIZ,IND,20.7,21.5,0.0,20.0,20.0,25.0,10.0,23.1,28.6,27.8,5.3
SEMEKA RANDALL,SAN,20.6,19.0,1.3,24.6,28.1,18.7,25.0,26.0,37.5,20.0,0.0
TAMMY SUTTON-BROWN,CHA,20.5,19.7,0.0,33.2,35.6,32.7,4.8,18.8,32.7,30.6,0.0
BRIDGET PETTIS,IND,20.5,23.6,34.6,19.5,10.4,15.3,14.8,14.8,17.6,23.6,0.0
KEDRA HOLLAND-CORN,HOU,20.4,22.7,60.8,14.3,5.8,9.4,23.2,19.0,18.3,8.3,0.0
ALISA BURRAS,SEA,20.4,19.7,0.0,21.6,38.0,29.6,5.7,23.6,40.7,42.6,0.0
DELISHA MILTON-JONES,LAS,20.3,19.5,14.7,26.2,24.1,24.3,13.0,20.8,17.9,20.8,0.0
EDWINA BROWN,PHO,20.3,20.3,2.6,17.7,22.3,18.3,36.5,24.6,34.7,17.1,0.0
MACTABENE AMACHREE,SEA,20.2,15.6,0.0,23.5,36.4,29.2,0.0,33.3,50.0,18.8,0.0
JORDAN ADAMS,MIN,20.2,21.2,24.0,6.1,26.3,24.5,9.8,27.0,14.3,26.3,0.0
DEANNA NOLAN,DET,20.0,22.2,52.3,16.2,4.8,12.5,20.7,16.7,11.4,15.6,0.0
COCO MILLER,WAS,20.0,21.9,22.8,13.9,18.7,14.9,18.6,15.6,17.2,18.4,0.0
ANNA DEFORGE,PHO,19.8,21.8,51.6,15.9,11.4,13.6,19.8,14.9,11.5,11.9,0.0
ELENA BARANOVA,NYL,19.8,21.5,26.9,9.7,25.0,29.3,18.3,20.2,18.5,19.8,0.0
CORETTA BROWN,IND,19.7,21.6,39.4,13.0,8.1,10.7,16.7,18.8,14.7,11.8,0.0
TAJ MCWILLIAMS-FRANKLIN,CON,19.5,19.9,11.0,21.4,32.5,28.6,12.4,18.3,31.0,22.9,0.0
HELEN LUZ,WAS,19.4,20.5,42.1,20.8,5.0,8.0,28.4,16.9,0.0,18.0,0.0
STEPHANIE WHITE,IND,19.4,20.3,31.1,18.5,9.3,9.6,24.6,19.1,17.8,21.5,0.0
CHERYL FORD,DET,19.3,19.5,0.0,21.1,36.9,38.3,6.9,18.9,29.3,25.4,0.0
EDNA CAMPBELL,SAC,19.3,21.7,49.1,10.4,8.6,12.3,14.9,15.8,11.8,12.3,0.0
DANIELLE MCCULLEY,SEA,18.9,15.8,12.5,0.0,0.0,6.7,0.0,44.4,0.0,30.0,0.0
STACEY DALES,WAS,18.7,18.8,43.4,15.4,16.5,12.8,26.4,22.3,19.8,19.5,0.0
JANETH ARCAIN,HOU,18.7,20.1,12.5,18.4,11.1,16.2,17.3,13.7,11.9,16.0,0.0
CRYSTAL ROBINSON,NYL,18.7,21.4,42.9,12.9,6.0,9.3,15.4,12.1,10.0,20.0,0.0
KATIE DOUGLAS,CON,18.6,21.2,34.6,15.6,15.5,15.5,18.1,11.2,15.7,9.5,0.0
MFON UDOKA,HOU,18.6,19.4,2.4,20.7,34.9,25.6,5.6,18.9,10.0,36.2,0.8
RUTHIE BOLTON,SAC,18.5,20.9,44.5,11.6,11.2,13.8,17.0,12.4,19.6,20.6,0.0
HAMCHETOU MAIGA-BA,SAC,18.5,17.9,0.0,21.5,25.5,23.6,18.9,22.2,57.1,25.7,0.0
MERLAKIA JONES,DET,18.5,20.9,6.7,12.9,11.3,18.3,20.0,14.8,9.4,19.4,0.0
ASTOU NDIAYE-DIATTA,IND,18.5,20.8,0.0,5.3,19.2,21.5,5.0,20.9,16.7,15.8,0.0
DOMINIQUE CANTY,HOU,18.4,16.0,0.7,32.1,25.4,20.0,25.1,21.7,41.0,23.4,0.0
ADRIENNE JOHNSON,CON,18.4,21.6,20.8,9.4,15.1,12.4,8.3,10.9,9.5,12.2,0.0
LATASHA BYEARS,LAS,18.2,19.2,3.6,25.0,33.3,26.9,6.3,8.0,22.2,30.8,0.0
JOCELYN PENN,WAS,18.0,17.7,14.9,21.4,21.8,23.3,15.5,20.2,44.0,19.3,0.0
CHANTELLE ANDERSON,SAC,17.9,17.9,0.0,21.1,21.2,17.8,7.0,20.7,33.3,37.5,0.0
