player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
CHENNEDY CARTER,ATL,30.9,31.1,21.8,37.0,9.8,9.9,38.7,31.2,38.1,27.9,36.7
ARIKE OGUNBOWALE,DAL,29.9,31.9,28.3,35.0,6.1,10.1,25.6,19.9,27.4,14.4,30.2
SABRINA IONESCU,NYL,29.4,30.7,40.0,34.5,11.8,17.5,48.0,28.9,0.0,13.3,32.5
BREANNA STEWART,SEA,28.1,28.4,27.4,35.1,16.8,31.0,20.4,23.7,27.5,19.5,31.1
ANGEL MCCOUGHTRY,LVA,27.9,28.3,29.3,29.2,32.7,25.4,21.5,29.2,22.9,30.4,33.7
A'JA WILSON,LVA,27.5,28.7,0.0,35.2,23.6,28.7,12.1,16.7,25.0,19.7,30.2
DEWANNA BONNER,CON,26.8,27.9,32.5,34.4,19.3,26.5,18.9,20.4,18.5,14.4,32.3
BRIA HARTLEY,PHO,26.8,29.3,34.0,23.2,7.7,13.5,33.0,22.7,27.3,20.8,21.6
DIANA TAURASI,PHO,26.7,26.4,49.9,42.2,2.2,17.8,30.8,22.3,7.1,18.5,38.0
COURTNEY WILLIAMS,ATL,25.9,27.8,14.0,10.2,24.2,26.7,24.0,26.6,18.9,15.0,10.7
JAZMINE JONES,NYL,25.7,23.5,16.5,39.0,19.8,21.2,27.1,29.5,17.9,26.8,32.8
ODYSSEY SIMS,MIN,25.5,24.9,17.4,29.5,13.3,12.8,33.8,31.3,26.1,19.1,27.5
KIA NURSE,NYL,25.4,26.9,32.5,38.0,10.4,11.5,21.1,17.2,27.0,13.5,35.8
BRITTNEY GRINER,PHO,25.4,27.3,0.5,24.1,27.7,28.4,17.1,20.3,20.7,15.3,26.5
PARIS KEA,NYL,25.3,27.3,29.2,15.7,20.0,15.0,29.6,25.0,21.7,16.7,18.2
MYISHA HINES-ALLEN,WAS,25.3,26.4,16.0,24.5,31.8,37.9,16.7,23.2,28.6,23.9,26.6
TIFFANY MITCHELL,IND,24.8,25.7,31.6,31.5,13.9,15.6,21.9,22.7,25.0,20.6,29.8
SKYLAR DIGGINS,PHO,24.3,23.9,29.0,28.8,8.8,13.0,27.8,25.7,20.0,14.9,24.4
KELSEY MITCHELL,IND,24.0,25.7,38.6,22.4,3.8,8.2,17.9,20.5,19.0,19.1,21.8
SATOU SABALLY,DAL,23.9,22.9,21.0,40.8,39.8,34.4,24.4,23.5,35.3,22.3,37.0
CRYSTAL DANGERFIELD,MIN,23.9,24.9,28.8,22.9,3.5,7.6,23.9,22.9,13.0,12.3,20.0
KARIMA CHRISTMAS-KELLY,MIN,23.8,16.3,27.3,47.1,14.3,22.2,14.3,44.4,50.0,18.2,46.7
JEWELL LOYD,SEA,23.5,24.1,30.1,30.2,11.5,9.8,20.8,19.3,21.7,14.4,26.9
CHELSEA GRAY,LAS,23.3,24.1,19.9,17.8,12.7,15.1,34.0,26.0,16.3,13.5,15.6
CANDACE PARKER,LAS,23.0,21.9,16.3,28.9,33.0,39.3,29.8,26.9,15.0,17.3,24.7
BETNIJAH LANEY-HAMILTON,ATL,23.0,22.9,26.1,25.4,15.7,17.1,27.8,24.9,14.1,16.7,23.4
KALANI BROWN,ATL,22.9,22.8,0.0,32.3,33.3,22.2,0.0,23.8,40.0,37.0,26.7
TEAIRA MCCOWAN,IND,22.8,21.5,1.4,32.8,53.9,39.4,6.4,24.0,31.1,27.1,32.5
SHENISE JOHNSON,MIN,22.8,23.8,18.3,25.5,18.2,18.2,26.6,24.4,23.8,18.8,26.8
ALLIE QUIGLEY,CHI,22.6,26.5,37.5,16.7,5.1,11.8,14.9,11.3,11.7,11.4,17.5
SYLVIA FOWLES,MIN,22.6,23.6,0.0,34.1,50.0,42.2,7.5,13.6,23.5,25.7,28.2
DIAMOND DESHIELDS,CHI,22.6,22.4,15.9,25.4,8.3,12.2,16.4,28.3,35.7,25.5,20.9
CHEYENNE PARKER-TYUS,CHI,22.4,20.7,12.4,32.9,46.1,30.1,11.4,28.2,42.2,31.5,32.7
ALEXIS JONES,ATL,22.4,24.1,44.2,7.7,0.0,0.0,25.0,24.0,25.0,11.5,16.7
AERIAL POWERS,WAS,22.3,22.0,25.2,34.9,7.7,19.3,18.5,19.6,25.0,19.3,25.0
ALYSSA THOMAS,CON,21.8,20.4,0.3,35.5,24.1,31.3,30.9,21.5,25.0,18.2,30.1
