player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
JACKIE YOUNG,LVA,17.7,17.5,16.2,19.1,12.6,14.5,38.0,19.7,23.0,16.6,14.9
ASIA TAYLOR,PHO,17.6,18.2,5.3,23.5,34.8,22.3,21.1,16.7,40.0,22.2,10.0
LAYSHIA CLARENDON,CON,17.5,18.2,3.4,25.9,17.1,15.7,35.8,14.5,11.8,11.3,30.1
KELSEY PLUM,LVA,17.5,19.1,37.6,9.1,8.2,11.3,21.1,17.7,14.1,22.0,12.0
CRYSTAL LANGHORNE,SEA,17.5,18.7,16.7,19.6,24.5,23.2,14.0,17.1,27.3,15.4,21.6
NATALIE ACHONWA,IND,17.5,18.4,4.4,27.6,34.3,28.9,16.7,13.0,27.3,29.6,29.2
ALEXIS JONES,LAS,17.4,16.7,26.0,15.3,4.2,10.7,32.4,25.2,14.3,23.8,14.9
NAPHEESA COLLIER,MIN,17.4,18.1,17.5,22.7,23.4,22.7,15.2,14.5,18.5,21.9,23.2
ESSENCE CARSON,PHO,17.3,18.6,19.9,20.6,17.2,14.9,18.4,13.7,20.5,13.5,16.7
RESHANDA GRAY,NYL,17.3,16.7,0.9,25.2,47.0,37.7,7.4,19.3,31.3,38.0,27.7
SHAVONTE ZELLOUS,SEA,17.3,17.0,12.3,25.0,6.3,13.3,30.2,19.2,23.9,24.0,32.0
DAMIRIS DANTAS,MIN,17.2,18.9,34.4,10.0,19.6,20.5,25.6,15.8,14.7,26.5,10.1
RACHEL BANHAM,CON,17.1,18.8,38.3,6.6,1.1,9.9,15.9,19.7,9.3,21.7,8.5
SHATORI WALKER-KIMBROUGH,WAS,17.0,17.5,18.8,20.9,12.3,10.9,14.1,17.3,10.4,16.3,21.6
JANTEL LAVENDER,CHI,17.0,19.2,7.9,9.0,36.8,26.9,7.3,13.4,16.4,14.3,11.2
MONIQUE BILLINGS,ATL,17.0,15.5,0.3,23.8,42.1,40.9,7.8,21.6,22.7,25.4,20.1
