player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
TINA THOMPSON,HOU,30.9,33.3,40.9,34.4,20.4,22.0,14.7,21.8,24.7,18.6,0.0
CHAMIQUE HOLDSCLAW,WAS,30.8,32.6,11.0,32.3,25.4,30.7,21.0,23.2,26.2,16.8,0.0
DIANA TAURASI,PHO,29.0,31.3,43.1,26.4,12.7,19.5,31.4,23.6,16.4,18.4,0.0
VANESSA HAYDEN,MIN,28.3,32.4,0.0,21.7,27.1,29.5,5.6,21.9,35.5,33.3,0.0
LISA LESLIE,LAS,26.7,26.5,6.4,35.2,23.2,35.7,16.6,25.1,24.2,21.4,0.4
LAUREN JACKSON,SEA,26.7,28.8,31.9,33.1,24.3,24.9,11.5,17.4,25.3,18.1,0.2
TAMIKA CATCHINGS,IND,26.6,27.3,40.0,36.1,22.9,26.2,24.2,19.2,14.6,17.1,0.0
NYKESHA SALES,CON,26.2,29.3,35.5,16.7,12.8,16.3,20.9,20.7,22.0,19.8,0.0
KATIE SMITH,MIN,25.6,29.0,42.6,28.8,8.7,13.5,17.7,15.2,9.6,16.6,0.5
TEANA MILLER,CHA,25.5,25.5,0.0,43.8,40.9,34.6,0.0,20.8,33.3,52.5,0.0
TANGELA SMITH,SAC,25.2,29.1,12.1,13.5,18.5,20.8,13.6,17.3,21.4,20.7,0.0
JOCELYN PENN,SAN,25.0,66.7,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0
SHERYL SWOOPES,HOU,24.7,28.1,22.7,19.6,16.2,18.5,24.7,16.2,14.1,13.2,0.0
ALANA BEARD,WAS,24.6,23.9,26.4,28.4,10.9,17.5,26.2,25.9,14.8,19.5,0.2
TYNESHA LEWIS,CHA,24.3,26.8,23.8,22.9,17.7,15.4,25.3,21.1,13.0,16.1,0.0
TARI PHILLIPS,NYL,24.0,21.2,0.0,39.0,49.1,31.1,12.4,30.3,29.6,28.9,0.0
ADRIAN WILLIAMS-STRONG,SAN,24.0,25.2,0.0,19.3,27.6,27.1,12.3,23.1,19.2,25.5,0.0
BECKY HAMMON,NYL,23.3,22.0,31.7,26.4,8.1,14.4,32.3,29.2,30.1,15.0,0.0
MWADI MABIKA,LAS,23.2,26.2,31.1,20.9,18.0,15.6,16.6,14.3,18.7,18.1,0.0
LATOYA THOMAS,SAN,23.2,25.2,4.6,25.2,22.1,19.4,11.4,15.6,25.8,22.3,0.2
SWIN CASH,DET,23.2,22.5,13.9,34.4,24.1,21.8,28.2,20.0,24.5,16.0,0.0
DEANNA NOLAN,DET,23.0,24.9,63.7,18.1,9.0,13.5,23.0,21.3,10.7,13.9,0.0
MARIE FERDINAND-HARRIS,SAN,22.7,22.8,39.1,29.4,14.3,14.1,16.8,20.1,25.0,16.5,0.4
YOLANDA GRIFFITH,SAC,22.6,22.0,0.4,39.6,42.4,32.6,10.3,16.8,29.8,20.8,0.2
ALLISON FEASTER,CHA,22.5,24.9,40.5,18.7,10.5,12.3,18.3,18.6,13.2,12.5,0.0
BETTY LENNOX,SEA,22.5,23.7,26.7,15.6,12.7,22.1,20.3,23.8,19.5,19.9,0.0
ANNA DEFORGE,PHO,22.5,24.5,39.9,19.7,10.6,15.8,25.1,17.7,15.9,8.2,0.0
MERLAKIA JONES,DET,22.3,26.6,19.5,12.5,15.1,17.3,10.7,14.1,14.8,16.5,0.4
PLENETTE PIERSON,PHO,22.2,22.6,1.1,31.2,31.1,24.3,8.9,17.6,30.9,23.9,0.0
KELLY SCHUMACHER,IND,22.2,22.9,5.9,17.7,23.1,22.4,10.4,23.9,29.7,23.8,0.0
DEMYA WALKER,SAC,22.0,20.4,4.7,25.4,29.1,21.6,24.9,29.0,32.8,28.5,0.2
ASJHA JONES,CON,21.9,23.2,2.6,15.8,30.2,21.3,13.4,22.2,24.5,25.1,0.3
NICOLE OHLDE,MIN,21.8,21.7,0.5,37.4,32.7,24.9,15.1,16.4,54.9,21.7,0.2
STACEY LOVELACE,MIN,21.8,23.7,11.4,12.6,27.8,21.6,12.7,23.4,31.7,21.6,0.0
SHAMEKA CHRISTON,NYL,21.8,24.5,32.9,25.0,16.7,16.1,12.2,14.8,19.2,29.2,0.0
JESSIE HICKS,SAN,21.7,20.8,0.0,27.7,26.1,21.8,14.5,26.4,12.5,31.7,0.0
MICHELE VAN GORP,MIN,21.7,23.5,4.2,47.1,33.3,24.1,5.3,15.9,50.0,19.5,0.0
CHANTELLE ANDERSON,SAC,21.7,18.9,0.0,42.0,23.3,20.6,6.8,26.9,42.3,39.3,0.0
CATRINA FRIERSON,SEA,21.6,28.1,33.3,13.0,27.3,23.8,0.0,16.7,100,50.0,0.0
MARGO DYDEK,SAN,21.4,21.7,1.6,18.0,21.9,32.2,22.4,24.4,19.6,25.9,0.0
LA'KESHIA FRETT,NYL,21.2,22.3,0.0,24.3,32.1,22.2,14.6,20.2,44.0,21.3,0.7
CHASITY MELVIN,WAS,21.0,20.3,0.0,30.5,31.0,20.4,13.5,20.7,37.8,22.5,0.8
ISABEL SANCHEZ,DET,21.0,17.7,50.0,25.0,21.4,9.1,16.7,32.4,33.3,15.8,2.9
TAJ MCWILLIAMS-FRANKLIN,CON,21.0,20.9,3.0,26.3,33.3,28.8,13.5,19.7,19.1,19.4,0.0
NICOLE POWELL,CHA,20.8,24.7,39.7,7.0,18.9,30.3,13.8,17.5,22.2,20.7,0.0
TAMICHA JACKSON,WAS,20.8,22.0,30.1,10.1,8.0,12.9,34.1,22.6,7.1,11.5,0.0
NATALIE WILLIAMS,IND,20.7,20.6,1.3,29.8,32.5,29.6,15.3,18.4,41.9,27.4,0.0
PENNY TAYLOR,PHO,20.7,20.1,23.1,22.6,23.8,21.8,21.1,23.2,22.7,18.3,0.0
WENDY PALMER,CON,20.6,21.3,14.9,27.7,26.9,31.2,8.9,15.3,36.0,24.4,0.0
TAMMY SUTTON-BROWN,CHA,20.6,18.4,0.0,36.1,36.0,34.1,4.9,21.3,31.0,24.8,0.0
SVETLANA ABROSIMOVA,MIN,20.6,20.8,31.2,20.4,16.7,21.8,23.0,21.7,25.6,18.6,0.0
RUTH RILEY,DET,20.5,21.5,1.3,14.3,23.5,22.5,11.3,22.3,21.5,25.7,0.0
TERESA EDWARDS,MIN,20.5,20.1,29.8,9.5,16.1,17.2,28.8,29.7,10.8,12.6,0.0
MICHELLE GRECO,SEA,20.3,17.8,14.3,25.0,14.3,20.0,26.7,32.0,0.0,15.0,0.0
SEMEKA RANDALL,SAN,20.2,21.7,6.9,21.1,26.8,17.6,11.8,16.3,27.3,19.0,0.0
AGNIESZKA BIBRZYCKA,SAN,20.2,22.4,67.7,12.3,5.0,8.7,23.1,17.3,18.0,16.2,0.5
