player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
ANGEL MCCOUGHTRY,MIN,28.6,26.7,33.3,75.0,0.0,35.3,33.3,20.0,100,33.3,33.3
DIAMOND DESHIELDS,PHO,28.4,29.2,18.8,34.8,13.6,19.0,18.7,25.5,20.0,25.9,28.5
BREANNA STEWART,SEA,28.0,29.7,25.5,46.9,24.0,29.1,15.2,12.8,25.7,18.4,41.0
SKYLAR DIGGINS,PHO,27.8,29.0,19.6,33.3,16.9,15.6,32.8,23.1,27.4,15.7,30.3
ARIKE OGUNBOWALE,DAL,27.6,30.9,39.3,25.8,7.8,12.1,24.7,17.0,11.2,14.0,22.8
CHENNEDY CARTER,LAS,27.3,29.5,7.1,25.2,13.6,15.4,28.4,29.3,54.3,25.9,25.0
AERIAL POWERS,MIN,27.2,28.3,24.6,34.2,22.2,19.2,21.9,24.5,21.6,16.2,31.7
A'JA WILSON,LVA,26.7,27.5,12.9,34.2,38.2,35.2,12.8,19.5,32.5,18.6,35.9
SABRINA IONESCU,NYL,25.6,26.6,30.9,30.6,17.2,25.6,37.0,24.4,31.9,14.6,26.0
JEWELL LOYD,SEA,25.3,26.6,30.7,26.5,9.3,10.3,18.9,21.8,23.0,16.1,26.8
NATASHA HOWARD,NYL,25.3,24.8,13.3,34.4,37.1,28.3,14.6,27.4,26.0,24.7,32.8
ELENA DELLE DONNE,WAS,25.2,27.8,24.7,30.6,23.1,25.3,15.5,12.7,22.4,14.0,28.5
KELSEY PLUM,LVA,25.2,25.5,35.9,25.1,4.6,9.2,29.1,27.3,27.7,19.7,26.2
RHYNE HOWARD,ATL,25.0,27.9,42.0,28.8,12.1,16.8,21.1,13.1,16.4,16.4,25.2
DIANA TAURASI,PHO,25.0,25.4,41.1,30.2,5.2,14.4,26.0,25.2,15.7,18.4,25.4
TINA CHARLES,SEA,24.8,26.1,18.2,20.9,31.5,31.0,12.9,22.1,25.6,22.2,18.7
SATOU SABALLY,DAL,24.7,24.9,25.6,30.2,14.1,24.1,20.9,26.0,25.9,26.9,32.1
MYISHA HINES-ALLEN,WAS,24.6,25.5,21.1,24.3,29.8,31.6,21.2,25.9,23.1,22.8,19.3
LIZ CAMBAGE,LAS,24.6,24.5,6.6,36.6,36.3,34.8,17.6,23.8,30.0,33.5,36.1
TEAIRA MCCOWAN,DAL,24.1,21.6,0.0,42.9,59.0,43.1,8.1,27.2,39.1,38.1,41.1
MARINA MABREY,DAL,24.1,26.0,32.6,13.8,9.2,15.7,27.3,26.8,18.1,19.8,18.7
KAHLEAH COPPER,CHI,23.8,24.2,22.0,32.7,18.6,21.6,12.6,19.3,34.2,22.0,30.0
KELSEY MITCHELL,IND,23.6,25.1,33.9,27.4,5.7,7.1,26.9,18.7,19.4,14.8,26.9
