player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
CAPPIE PONDEXTER,PHO,30.3,31.1,26.4,35.0,9.6,13.6,33.9,26.3,27.2,13.8,30.2
ASHLEY SHIELDS,DET,30.1,35.8,52.4,24.2,0.0,5.8,17.6,26.9,0.0,18.2,18.2
DIANA TAURASI,PHO,28.9,29.6,44.7,37.7,8.7,17.4,26.4,21.4,24.8,20.4,38.0
BETTY LENNOX,ATL,28.2,29.4,39.6,27.1,14.4,18.1,21.8,25.9,24.0,15.1,28.7
MARCEDES WALKER,HOU,28.1,23.5,0.0,66.7,100,63.6,33.3,33.3,33.3,42.9,50.0
ASJHA JONES,CON,26.8,27.8,5.0,27.2,27.7,23.0,17.8,23.7,13.5,20.5,26.3
LAUREN JACKSON,SEA,26.7,29.2,34.8,29.1,21.2,24.5,8.4,18.1,19.6,20.3,26.8
MATEE AJAVON,WAS,26.7,28.9,31.6,25.0,19.4,11.7,25.5,22.8,24.7,24.9,19.6
KARA BRAXTON,DET,26.0,26.6,1.2,34.6,30.6,32.4,10.1,23.8,37.1,27.5,29.1
VANESSA HAYDEN,LAS,25.9,27.3,0.0,27.5,44.7,36.5,9.3,23.6,34.4,47.1,26.1
BECKY HAMMON,SAN,25.7,25.8,50.5,29.9,6.3,10.3,33.1,24.5,19.1,12.3,26.1
ALANA BEARD,WAS,25.6,27.5,39.0,26.7,1.4,13.1,29.8,21.7,11.9,18.3,25.8
CANDICE DUPREE,CHI,25.6,26.5,3.1,26.2,25.7,29.2,16.6,23.6,25.7,15.8,23.4
TINA THOMPSON,LAS,25.4,26.5,34.4,23.3,16.8,23.1,15.1,24.5,22.3,13.4,26.1
SOPHIA YOUNG-MALCOLM,SAN,25.4,26.5,0.7,37.9,27.5,22.2,15.5,14.8,34.9,18.5,33.0
SEIMONE AUGUSTUS,MIN,24.8,28.6,21.7,18.1,10.4,14.2,19.0,14.9,10.2,8.1,18.3
CANDICE WIGGINS,MIN,24.8,24.4,48.8,33.9,17.1,14.3,27.3,20.7,26.7,22.7,33.5
LISA LESLIE,LAS,24.8,24.1,4.8,31.9,29.0,30.3,16.8,25.0,28.0,21.6,31.9
JIA PERKINS,CHI,24.7,29.1,50.2,18.2,15.6,15.5,21.6,15.1,12.4,15.4,17.0
KATIE DOUGLAS,IND,24.7,25.9,33.3,26.9,14.7,14.7,26.4,21.2,25.7,9.2,27.0
JESSICA DAVENPORT,NYL,24.5,26.1,0.0,24.2,31.6,31.3,6.9,22.8,37.5,35.1,25.9
TAMIKA WHITMORE,CON,24.3,25.7,24.6,21.7,17.1,19.8,11.3,21.5,29.4,23.0,24.1
NICOLE POWELL,SAC,24.2,28.7,58.5,14.5,15.1,19.7,13.7,15.8,17.8,17.6,16.3
JANEL MCCARVILLE,NYL,24.2,24.5,2.0,30.9,28.6,26.1,19.2,22.5,40.8,21.0,32.4
SHERILL BAKER,IND,24.0,22.0,2.8,53.1,23.3,22.4,38.5,20.0,27.3,22.1,40.4
CANDACE PARKER,LAS,24.0,24.6,6.8,31.5,26.9,30.2,22.5,19.7,14.8,16.5,28.8
SHAMEKA CHRISTON,NYL,23.8,25.4,36.6,29.9,13.4,12.5,13.6,16.4,23.3,21.0,25.8
PLENETTE PIERSON,DET,23.7,23.8,0.9,31.5,29.9,22.7,20.6,21.7,26.5,27.8,32.5
