player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
ANGEL MCCOUGHTRY,ATL,31.9,32.7,27.6,38.6,22.0,20.5,22.8,27.4,28.3,21.2,37.0
MAYA MOORE,MIN,29.3,31.0,56.0,34.6,24.5,22.8,22.2,21.6,17.9,22.1,36.5
TINA CHARLES,NYL,29.0,30.9,1.6,25.4,28.7,30.0,18.1,23.4,23.9,12.3,25.5
ELENA DELLE DONNE,CHI,27.6,28.5,39.6,42.8,23.9,27.4,10.7,12.5,23.1,11.7,37.9
CANDACE PARKER,LAS,27.3,27.6,23.6,35.2,20.0,35.4,35.5,23.1,30.6,17.6,33.9
KELSEY BONE,CON,26.7,27.8,0.8,27.7,24.7,29.2,17.2,24.8,23.1,21.2,25.1
ODYSSEY SIMS,TUL,26.7,25.8,26.5,33.5,8.2,12.3,34.6,29.2,21.3,15.4,30.6
RIQUNA WILLIAMS,TUL,26.3,27.0,42.1,32.8,6.8,13.8,25.8,20.1,15.6,19.5,26.2
JIA PERKINS,SAN,25.5,28.0,36.9,28.1,13.9,14.1,16.6,14.0,15.3,17.5,18.6
KAYLA MCBRIDE,SAN,25.4,27.7,53.2,21.4,3.7,14.7,13.9,18.0,13.6,12.1,21.7
KALEENA MOSQUEDA-LEWIS,SEA,25.3,30.6,52.9,11.8,10.9,9.2,12.8,16.0,39.5,16.5,11.2
TAMIKA CATCHINGS,IND,24.8,25.3,20.1,35.0,25.5,32.1,22.6,18.6,25.0,19.7,31.1
JAMIERRA FAULKNER,CHI,24.5,24.5,24.7,18.2,4.8,11.3,42.7,36.1,34.1,27.0,13.4
BRITTANY BOYD-JONES,NYL,24.5,21.8,24.6,40.7,14.4,20.1,38.0,29.4,19.5,26.9,33.0
DEWANNA BONNER,PHO,24.4,24.7,32.6,37.0,19.8,20.9,26.0,18.2,30.8,13.1,30.2
SEIMONE AUGUSTUS,MIN,24.1,27.7,19.0,12.9,8.9,11.1,18.6,13.7,5.6,8.9,10.8
ALEX BENTLEY,CON,24.0,27.8,34.4,18.5,0.6,8.6,17.3,11.5,6.8,17.6,14.5
SYLVIA FOWLES,MIN,24.0,23.9,0.0,40.5,33.9,32.8,6.1,18.9,50.0,24.0,32.5
ALLIE QUIGLEY,CHI,23.7,25.9,39.1,14.5,6.1,9.2,19.1,20.4,18.6,12.1,14.8
TAYLER HILL,WAS,23.5,25.9,43.1,25.5,7.9,9.9,13.1,15.3,34.7,12.4,17.1
SKYLAR DIGGINS,TUL,23.5,23.8,20.9,30.4,10.8,8.8,35.7,20.2,19.3,12.5,29.1
