player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
BETTY LENNOX,MIN,30.4,33.4,32.8,24.0,26.0,26.5,21.6,25.0,26.2,21.4,2.1
RENEE ROBINSON,WAS,28.6,20.0,50.0,33.3,0.0,0.0,0.0,33.3,0.0,50.0,0.0
SHERYL SWOOPES,HOU,28.4,30.3,22.5,27.4,17.3,23.1,27.9,22.7,20.9,14.9,0.7
LISA LESLIE,LAS,28.3,27.2,9.0,38.1,31.1,34.9,12.4,29.4,36.3,24.6,0.8
BRANDY REED,PHO,28.0,29.6,12.9,27.2,25.4,25.1,21.8,25.4,35.1,10.0,0.7
CHAMIQUE HOLDSCLAW,WAS,27.9,30.9,13.4,24.9,21.2,28.6,17.1,21.4,20.7,14.8,0.9
SHERI SAM,MIA,27.6,31.2,61.9,23.0,15.4,19.5,21.9,19.9,32.9,14.6,1.1
EDNA CAMPBELL,SEA,27.5,30.8,34.3,26.0,8.1,10.4,24.5,19.9,18.0,13.3,1.2
ADRIENNE GOODSON,UTA,27.0,29.2,16.7,25.4,25.9,20.3,16.9,21.5,27.5,14.0,1.4
SOPHIA WITHERSPOON,POR,26.9,30.8,47.2,25.1,9.3,13.9,17.4,18.2,26.8,11.7,1.0
TAUSHA MILLS,WAS,26.7,25.1,0.0,38.3,47.0,34.8,8.2,28.0,37.9,39.9,2.3
ROBIN THREATT-ELLIOTT,SEA,26.6,31.6,40.7,21.1,13.0,14.0,17.0,17.8,22.5,18.4,1.1
KATIE SMITH,MIN,26.2,28.3,43.6,31.5,11.7,11.5,19.5,17.3,15.7,11.3,3.3
ANDREA STINSON,CHA,26.1,28.0,31.4,25.5,13.2,16.6,25.4,20.5,17.3,12.7,0.6
KAMILA VODICHKOVA,SEA,26.1,25.5,14.6,33.2,26.7,30.9,15.1,27.9,30.0,24.1,2.1
JENNIFER GILLOM,PHO,25.7,26.9,24.6,26.6,17.9,20.6,14.6,23.0,32.8,23.8,3.0
TARI PHILLIPS,NYL,25.6,26.1,2.8,30.7,36.8,34.2,8.0,23.4,23.9,24.4,2.5
CYNTHIA COOPER,HOU,25.5,24.7,30.0,30.6,7.3,10.1,37.3,28.4,27.4,13.6,1.8
RANKICA SARENAC,PHO,25.5,23.3,2.9,34.6,37.9,34.5,14.8,31.5,36.4,39.0,2.9
NIKKI MCCRAY,WAS,25.4,25.9,53.7,31.1,9.1,7.3,19.7,21.8,22.0,16.2,1.0
TAMIKA WHITMORE,NYL,25.3,26.4,1.4,32.7,25.6,21.5,7.5,20.5,34.1,29.8,4.2
JAMEKA JONES,MIA,25.1,28.5,42.2,14.6,13.7,12.5,16.9,23.1,32.0,24.2,2.4
KYM HOPE,UTA,25.0,12.5,0.0,28.6,0.0,33.3,0.0,100,50.0,0.0,0.0
TINA THOMPSON,HOU,24.8,25.4,32.9,23.4,29.7,29.5,11.1,24.1,16.2,20.0,1.1
WENDY PALMER,DET,24.6,26.7,24.4,26.4,27.9,32.2,10.8,17.8,44.4,23.4,2.1
ALISA BURRAS,POR,24.6,26.0,0.0,22.7,25.3,30.8,4.9,24.2,50.0,21.6,1.1
OLGA FIRSOVA,NYL,24.1,35.7,20.0,23.8,0.0,20.0,11.1,14.3,33.3,50.0,0.0
ALESSANDRA SANTOS DE OLIVE,IND,24.0,7.1,0.0,54.5,0.0,30.0,0.0,40.0,0.0,42.9,0.0
LINDA BURGESS,SAC,24.0,26.3,0.0,36.0,58.3,43.6,18.2,17.4,0.0,53.3,5.9
NATALIE WILLIAMS,UTA,23.7,23.1,2.4,37.6,44.4,37.9,11.5,18.5,23.4,21.5,1.6
YOLANDA GRIFFITH,SAC,23.7,22.1,0.0,37.7,45.4,39.3,10.3,23.6,25.0,24.2,1.2
RUTHIE BOLTON,SAC,23.6,26.7,49.7,19.0,15.6,14.7,14.7,14.7,27.0,15.8,0.2
