Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD,Unnamed: 0,RA_FGA,ITP_FGA,MR_FGA,LC3_FGA,RC3_FGA,AB3_FGA,Year,year,Total Minutes
A'QUONESIA FRANKLIN,SAC,-0.3955802486333999,0.4614364556882041,0.5942726946753231,-0.06286425566657892,-0.37331208447040276,-0.5436027770980244,-1.367107563340885,1.6614777842306465,0.24959729721597324,1.1499370633137689,-1.171850490917492,-0.8955949651836371,0.340610129938529,-1.0570016589994715,-1.0966634498140828,-0.4764846102417045,2.8404699702962355,-0.5777225816892975,-0.7862843021493188,0.11957284751692814,-0.7087638463168066,-1.723053080174388,-0.9151774501808939,-0.8971070303142314,-0.5919750973227553,0.3843060298120957,-0.3211113613133373,-0.31309513399190275,0,2008,350.20000000000005
ADRIAN WILLIAMS-STRONG,SAC,1.043242951079469,-1.050196595388868,-0.9154024233697831,-0.8048685848458698,-0.37331208447040276,1.3129361262592902,0.25629342672717415,-0.005350663721380481,-1.2867847393457368,-0.5523244282013415,-0.1703271062380073,-0.22306914530098798,-1.0286280260509966,0.024341680036563614,0.8457147124263106,1.1267940782969055,-0.8596264774885899,0.1291748525024607,0.29040425088973654,0.10309188073785408,-0.2100940231135853,-1.7050106395442897,0.6476313742579415,1.1013794070500316,-0.19778127529049272,-0.7508748582482482,-0.654372882243936,-0.8808804064966995,0,2008,686.8
ALEXIS HORNBUCKLE,DET,-0.01804646445218065,0.06479804578459929,0.24349524077660728,0.9462616320172567,-0.09364279719570372,-0.020887940230430845,-0.6197001768244023,0.8940765680943172,0.8738244814861731,-0.23027495683361787,-0.6813084249520303,-0.7717086299420965,-0.06724804418601049,-0.27806789782944624,0.14003055995767846,0.07975493476148691,0.29665366244416835,0.15925559438296147,-0.42243782560508625,0.09485139734831691,-0.3943850447321671,-1.6508833176539948,0.17199390595046968,-0.39748542097316575,-0.13208230495178236,0.3843060298120957,-0.654372882243936,-0.10017565680260393,0,2008,748.0
AMBER HOLT,CON,-0.5591782217785951,0.6333130999797665,0.5853922528044694,0.12511017439217478,-0.4301939734076296,-0.0704557264851165,0.24022014959778748,0.011152588238540522,0.8323628972911046,-0.14337271852804165,-0.517794402963543,-0.31155938475923134,0.2706915858028937,-0.31472360423744744,0.028239011051756448,-0.29107142857397417,0.09109274867834452,-0.8785300004943011,-0.05859134906085376,-0.11116068739010938,0.06092218514903487,-1.5787135551336016,-0.09979893308237119,-0.39748542097316575,-0.19778127529049272,0.3843060298120957,0.6786732014784587,0.46760961570219267,0,2008,714.0
ANNA DEFORGE,MIN,-0.9534912852567574,1.0475798836568648,1.2603058349893403,0.659353291401264,-0.7003829458594574,-0.9176142552015609,0.2603117460095209,-0.009476476711360805,0.6734268245433414,0.2093481310651795,-0.3542803809750559,0.11319376464033706,1.7273279219619633,-0.8645592003574653,-0.6145623951572945,-0.5201112412223469,-0.09733808894032711,-1.134216306478554,-0.8456878085238873,-0.8198422588902957,-0.914736164596398,-1.48850135198311,-0.5754364013898429,-0.5223908233084321,0.7877032797901636,1.5194869178724397,2.344980806131452,1.5322070016486866,0,2008,846.5999999999999
ARMINTIE HERRINGTON,CHI,1.02226885195829,-1.0281611281720011,-0.9154024233697831,2.8260059326047933,0.1481052307875105,1.0515787078254935,0.549630734338482,-0.30653501198994004,-1.2867847393457368,-0.5523244282013415,-0.0476915897466423,-0.2761632889759341,-0.9936687539831788,0.592505129360582,0.5662358401615055,0.057941619271165756,0.1767431294141044,-0.17163256630254284,1.5378778847556764,-0.1358821375587203,0.9064927549284094,-1.4704589113530118,1.2591652620818334,-0.39748542097316575,-0.06638333461307187,-0.7508748582482482,-0.654372882243936,-0.8808804064966995,0,2008,761.5999999999999
ASHLEY BATTLE,NYL,-0.2403719151366763,0.2983739982833889,0.2967778920017286,0.5604193808440252,0.2334280641933509,-0.09298653841906449,-0.4388758091188016,0.7084149835452053,0.8070252625052294,-0.08714185844796293,0.2793364542303325,0.18398595620693148,0.014323590638897325,0.6474886889725835,-0.027656763401204557,-0.1165649046514042,-0.045947860498871076,0.06901336874146019,-0.8976658766016348,-0.4902229233088136,0.158488020123578,-1.4524164707229135,-0.5754364013898429,-0.1476746163026328,-0.7890720083388866,0.7626996591655438,0.3454116805478599,-0.17114881586570357,0,2008,336.6
BARBARA FARRIS,SAC,1.043242951079469,-1.050196595388868,-0.9154024233697831,-0.6564677190100116,0.02960129550162114,0.25398796536373475,1.1202320724317105,-0.8924004565671377,-1.2867847393457368,-0.5523244282013415,-1.4988785348944664,-1.6389129766328814,-1.0286280260509966,-0.3880350170534499,0.2867569678967008,0.5487412178033934,-1.2193580765787813,-0.051309598780541324,-0.2813544979654859,0.424470732929799,-0.18841272645257576,-1.3802467082025203,-0.5074881916316326,-0.6472962256436986,-0.19778127529049272,-0.7508748582482482,-0.654372882243936,-0.8808804064966995,0,2008,554.2
BARBARA TURNER,CON,-1.5365712408255292,1.6601658722857657,1.2336645093767797,-0.4882800710627057,0.02012098067875002,-0.7779232212110835,-0.31028959208370765,0.5763889678658367,0.8070252625052294,-0.08714185844796293,-0.06813084249520278,-0.1876730495176908,0.969877027159247,0.4183905239225761,-0.5377057052844731,-0.19291150886752842,0.014007406016160769,0.03893262686095995,-0.7268807957747502,-0.2594893884017761,0.05008153681852991,-1.362204267572422,-0.3715917721152122,-0.7722016279789651,-0.5919750973227553,3.033061435286232,1.0119347224090571,0.8934485700807903,0,2008,663.0
BETTY LENNOX,ATL,-0.4375284468757576,0.5055073901219379,0.4965878340959338,0.10532339228072693,-0.23584751953877095,-0.7328615973431875,-0.8688359723298964,1.1498769734730938,0.5421318079256242,0.5007262242074056,2.0984299488522526,1.9360926974801491,1.27868393042497,0.8949147072265917,-0.4329011281851714,-0.16019153563204652,0.3137837385913203,1.106798963618722,0.31268056578019976,-0.5891087239832583,1.15582766653002,-1.2900345050520288,0.10404569619225938,1.4760956140558308,2.5615754789353455,1.141093288518992,0.012150159617261366,2.5258312285320805,0,2008,1009.8
