Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_FB,pct_PTS_FT,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD,RA_FGA,RA_FG%,ITP_FGA,ITP_FG%,MR_FGA,MR_FG%,LC3_FGA,LC3_FG%,RC3_FGA,RC3_FG%,AB3_FGA,AB3_FG%,EFG%,TS%,year,Total Minutes
ALIYAH BOSTON,IND,1.2330766229643235,-1.2286275290401474,-0.5513453490409126,-0.2662896699620483,0.1809644883751073,-0.05554531549224589,0.2749553221774332,0.4996398487312043,0.4367084893023258,0.4147132340161995,-1.1527104207920773,0.23457312103510944,1.8565049766275692,1.4300006704553565,0.08275259718705504,-0.12825438776058928,1.4211345568298897,0.3985065492561889,0.21103017601646112,2.7411633310506294,0.22932377087790756,1.1002782799282498,0.9418959222366797,0.2540003251250339,-0.11090056313194209,-0.95989755595179,-0.8610404808538583,-0.18752289237539813,0.3522517004942184,-0.7280613596506317,0.1137028708735062,0.6652236246618515,0.6171265486584137,2024,1236.0
ALLISHA GRAY,ATL,-0.21996409580710144,0.2519177418205356,0.4006396550540162,0.25509129347002485,-0.04946397014350856,0.18919866694995413,0.5103465702180952,-0.14080715744667693,0.7447194184149277,0.6981081316899461,0.992708978498364,0.8564185954165646,-0.353870533213222,-0.4833455971205447,-0.13447962256700177,-0.31287485424970074,0.03163847443419768,-0.45422212747710244,0.7128879479531577,0.964830190391148,-0.06879046874823921,0.8601341326408516,-0.28785592633844476,0.5863174171636202,0.4758834781814444,0.9972961620278334,1.0847156866580268,2.0205591653449155,0.7227767950990673,1.3188821237026525,0.2281712949013387,0.10012711714044573,0.26091747461660864,2024,1328.0
ALYSHA CLARK,LVA,-1.3301043499717002,1.3830717983188152,0.35105710275740537,-0.5633555677314853,1.1107635315204,-1.0431087534169134,0.670966480645841,-0.5778180557798194,-1.206016465964884,-1.250231789817061,0.04420777039101093,-0.9600247639608437,-0.2773869515578313,-0.22390881507635485,-0.37677709844652707,0.24098654521763402,-0.9168798093568732,0.7423487576163869,-0.7014385002320779,-0.6277443495104558,0.4385267460541508,-0.580730751083539,1.3005735447377573,-0.6598716779810778,0.38760623302810293,0.9972961620278334,0.9562957796022424,2.7565865179183535,0.10523497075765259,0.24154344825355545,0.5715765669848362,0.9049615369436597,0.8041363125303614,2024,972.0
ALYSSA THOMAS,CON,1.430244390113248,-1.4295274772985291,0.9757972616947023,0.16415275333652374,0.03543072510019214,0.099029831313354,-2.0983423198325357,-0.5778180557798194,0.08762943630804379,-0.594881088946522,-1.3484328923062932,0.32457707127453067,1.2446363233844435,1.3002822794332616,2.447241758356214,1.8779546814210912,0.19804519088877154,-0.5917590108211817,0.38439922450368375,1.8223703272612426,0.18225310146325252,0.9401821817366511,0.3398299130384414,-0.32755458594249176,-0.20437058741195036,-0.95989755595179,-0.8610404808538583,-0.923550244948836,-0.8228421709668737,-0.9435290947404511,-1.6033234895439812,0.4254857123800427,0.4123063310843754,2024,1296.0
ARIEL ATKINS,WAS,-0.42570437457119686,0.4615524704379773,-0.46209675490701296,-0.28447737798874856,0.031388120564777765,0.1033235853912874,0.529731731821444,-0.1935498520730907,1.03219628558669,1.070063934886738,0.608791822835864,0.3409414258635163,-0.16266157907474513,-0.5373949267130843,0.032622084936118984,0.22867851411836018,0.07324015354784115,-0.11037991911690448,0.6125163935658186,-0.13772141415611605,0.32346510970721687,0.7000380344492525,0.5319786393783046,1.666347966289025,0.8445707961748107,0.9972961620278334,0.9718618289423375,1.2845318127714773,0.23580095647555172,1.5882167925649266,0.41132077334587086,0.485420190450495,0.49245337274378204,2024,1196.0
BRIONNA JONES,CON,1.3359467623463708,-1.3334448933488685,-0.8190911314426113,0.04290136649185556,0.6256509872706821,-0.5278582640649131,0.670966480645841,-0.5778180557798194,0.7652534803557681,0.6803959505853368,-1.1752937828898715,0.7173215814101865,1.259933039715522,0.4787324696266597,-0.6608500012018322,-0.32518288534897477,0.7222263477206793,0.7285950692819788,0.7767607552905557,2.312393262615582,0.2868545890513742,1.0202302308324507,0.5255736818336428,0.4201588711443271,0.7822574466548052,-0.95989755595179,-0.8610404808538583,-0.923550244948836,-0.8228421709668737,-0.7819282934230866,-0.7848742577449789,0.6909098295491879,0.7507049514240905,2024,1088.0
CAITLIN CLARK,IND,-1.141509094437946,1.190906630419494,-0.0456033156154816,0.14596504530982346,-1.8241673611903935,2.074156707162689,-0.6693789787856933,3.068962544103645,1.730354391575254,0.9106543049452558,1.4970707320157661,0.9709690775394642,-1.1034096334360508,-0.1158101558912757,2.2968502216034055,2.776440951668101,0.18972485506604303,-0.4129610624738786,0.9866285508277194,0.8423244565525633,0.24501399401612564,0.059653641682856834,0.48073897902100793,-0.16139603992319862,0.4135701286614386,-0.4705991264568841,-0.8610404808538583,-0.923550244948836,2.7059682538412115,3.742894143463121,0.3712568249361293,0.5367926002251684,0.7685154051261804,2024,1416.0
CECILIA ZANDALASINI,MIN,-0.5457195371835858,0.5838393954648183,-0.20426748296463637,-0.5391052903625516,0.2982000199021227,-0.1800641837523129,0.670966480645841,-0.5778180557798194,-0.11771118310035748,0.007333068610188835,0.4431805007853738,-0.22362880745648903,-1.034574409946199,-0.8076415746757822,-0.23474064706887432,0.007133954331426107,0.6723043327843072,0.7561024459507946,-0.25432884887029367,-0.8727558171876255,-0.4348956753066649,-0.6607788001793384,0.47433402147634574,0.004762506096094478,0.7822574466548052,0.5079977325329275,0.8667909958966956,-0.923550244948836,-0.8228421709668737,-0.18939202192608323,0.97221605108225,0.836464990577429,0.6438422292115488,2024,488.0
COURTNEY WILLIAMS,MIN,0.8044510422057911,-0.7918885110871436,0.5394708014845268,-0.6785443852339201,-0.5790451642827841,0.7516804511592213,0.5518862022252708,-0.2538272173604207,1.1348665952908905,1.0523517537821292,-0.5956541557131558,-0.5918267857086664,-0.9045523211320349,0.1111970283973907,1.5031171109635817,1.090240691067548,-0.6090273839159116,-0.22040942579216743,-0.8018100546194171,-0.5052386156718709,-0.021719799333584554,-0.020394407412942715,0.3462348705831036,4.823360340655593,0.7095585388814655,-0.95989755595179,-0.8610404808538583,-0.923550244948836,2.7059682538412115,-0.13552508815362835,0.3311928765263878,0.08300298054888773,-0.08638637257415113,2024,1060.0
DEWANNA BONNER,CON,-0.17281528192366283,0.20387644984570513,0.013895747140451407,0.06108907451855583,0.22543313826466513,-0.10277661034951266,0.3857276741965682,0.19825302229455435,0.8063216042374483,0.9992152104683015,1.195959237378511,0.33275924856902334,-0.8510138139732615,0.30577461493053326,-0.5104584644490237,-0.5590354762351829,0.32285022822970194,-0.839325400840524,-0.04446105333312958,0.7810715896332707,0.6477297212303941,0.21974973987445576,-0.044467539641284914,1.666347966289025,0.1954734053414188,1.486594591522739,-0.1294361618693895,2.0205591653449155,-0.35351038446739846,1.2111482561577427,0.2338947161027304,0.10868918543622472,0.24310702091451813,2024,1272.0
