Player,Team,Year,Pos,Archetype,DBPM,mean,Total Minutes,BPM,RAPM
TYNESHA LEWIS,MIN,2006,G,Secondary Creator/Distributor,1.3813983734894992,2.118401863088721,203.3,-4.443204801647626,-1.9806349280883273
PAM MCGEE,LAS,1998,PowerF,Interior Primary Option,1.3793995234969416,-0.9644031577957444,570.0,-3.768472832098476,-2.6089736195488786
CHRISTI THOMAS,LAS,2006,PowerF,Roller/Cutter,1.3793754243722214,3.4223757084865034,545.4,-2.851990377233406,3.769279034773284
LATOYA BOND,CHA,2006,G,Secondary Creator/Distributor,1.3745984455850282,-0.0707233273764799,608.5999999999999,-5.359009723985492,-3.4381568457621228
MARKITA ALDRIDGE,WAS,1999,G,Secondary Creator/Distributor,1.3744345835893548,3.626841017352195,378.2,-0.09308743271405828,3.16718414627646
ADRIAN WILLIAMS-STRONG,PHO,2000,PowerF,Roller/Cutter,1.3743832064175034,3.029429602903837,352.8,-7.805153723819725,1.1062431927202578
NIKKI BLUE,WAS,2007,G,Secondary Creator/Distributor,1.366475223752825,2.6771997958108087,420.0,-5.048331537497367,-1.9884097631672337
RUTH RILEY,SAN,2010,C,Roller/Cutter,1.3626837575057726,-3.4304276955000157,260.0,-3.006360238864234,-11.733450949054678
LYNETTE WOODARD,DET,1998,G,Roller/Cutter,1.3613646154058003,-3.87447988271908,380.7,,
JANICE BRAXTON,CLE,1999,F,Roller/Cutter,1.3574012507552717,7.273382338862669,452.4,-9.558025843529085,-4.240281999949607
OLAYINKA SANNI,DET,2008,PowerF,Roller/Cutter,1.3541615839769647,-0.4883769981150174,325.5,-6.176799364281965,-8.264474355717635
YOLANDA GRIFFITH,SAC,2003,PowerF,Interior Primary Option,1.3516568982684867,6.191424691309784,1016.6,-5.926927481307809,-12.603445469979484
KAYLA PEDERSEN,CON,2014,F,Roller/Cutter,1.3461308753808578,9.580304147227505,310.0,-6.4081020711983605,-1.6268205874010988
CHELSEA NEWTON,SAC,2008,G,Secondary Creator/Distributor,1.34048486413917,5.299001313490083,392.6,-3.8979344552809536,-0.4003484648402864
EWELINA KOBRYN,PHO,2014,C,Roller/Cutter,1.339578063145089,-3.988087522703283,138.0,-3.425950508074798,-11.556996531853487
KIAH STOKES,NYL,2016,C,Roller/Cutter,1.3375214430930353,2.821133621715546,650.7,-0.754555805986481,-2.3518300778746117
KRYSTAL THOMAS,PHO,2013,C,Roller/Cutter,1.3318950192895915,0.7901817511008424,476.0,-2.600288434191943,-6.1278822315318235
JASMINE JAMES,PHO,2013,G,Secondary Creator/Distributor,1.3300361861653063,8.361861116886125,188.8,-5.16810640167869,0.08925396737154756
HAMCHETOU MAIGA-BA,HOU,2007,F,Roller/Cutter,1.3220009083752806,1.8591207990269891,979.2,-3.873464251355382,-3.3523640943225326
ANGIE POTTHOFF,MIN,1999,F,Roller/Cutter,1.3216773554994892,5.336647631502232,710.4,0.12995511122582193,6.491769843337355
AUDREY SAURET,WAS,2002,G,Secondary Creator/Distributor,1.3210917689158084,0.1552145774789209,165.0,-0.8604100820346563,1.3614599537565795
STELLA JOHNSON,WAS,2021,G,Spot-up Shooter,1.3183034329260304,13.601670154505074,31.200000000000003,-10.234068813275925,-11.277212463981114
ALANA BEARD,LAS,2016,SG,Secondary Creator/Distributor,1.311245177321662,5.122128802075064,996.2,0.382893731665498,5.817217897845187
BROOKE WYCKOFF,ORL,2001,F,Secondary Creator/Distributor,1.3088805433754762,-0.254630485217057,646.4,-1.7512590693640193,-0.5469027322152669
CHEYENNE PARKER-TYUS,CHI,2015,F,Roller/Cutter,1.3088102537099586,0.3780800336672688,279.0,-5.436110846737302,-0.28937773417847873
MONIQUE CURRIE,WAS,2011,F,Perimeter-Oriented Big/Wing,1.3042344139772464,-2.4121271344010227,76.4,-0.8157994667091635,-4.702577868790373
COURTNEY VANDERSLOOT,CHI,2013,G,Secondary Creator/Distributor,1.3038047880211536,6.5031572596719025,983.4,-0.07723345165228346,9.19669010148997
TAMMY SUTTON-BROWN,CHA,2001,C,Interior Primary Option,1.3034517070514422,1.47863005088969,603.2,-7.185343147363726,-3.643483175622963
BRIANNA KIESEL,ATL,2017,G,Secondary Creator/Distributor,1.302910856337893,-19.254248451997256,74.7,-4.034569408154338,-36.49331194612694
HELEN DARLING,SAN,2010,G,Secondary Creator/Distributor,1.298348279728835,4.489501119847728,392.7,-4.948960363467705,-6.065476495734823
LIZ CAMBAGE,TUL,2013,C,Interior Primary Option,1.2968799881646578,5.480168387335468,500.0,-0.2876864556194827,5.192588680577708
CANDACE PARKER,LAS,2018,PowerF,Perimeter-Oriented Big/Wing,1.296368827629215,2.2488003630216795,948.6,4.08591334268154,2.5418780017636604
STEPHANIE WHITE,IND,2000,SG,Spot-up Shooter,1.2959620054990915,4.567669466267073,633.6,-13.237125925677562,-14.274637411005688
KAYLA ALEXANDER,SAN,2015,C,Roller/Cutter,1.2944690112169324,1.956533211240134,356.70000000000005,-4.401555186686397,6.483173251023
KEITHA DICKERSON,MIN,2000,F,Roller/Cutter,1.2931883693790533,2.6314863674278817,790.4,3.1729645015801955,-4.652014335613351
YOLANDA MOORE,HOU,1998,PowerF,Roller/Cutter,1.2920418908893951,0.8177312221563974,531.0,-2.9362855562987455,-1.1891437879025522
JONQUEL JONES,NYL,2024,C,Interior Primary Option,1.2917659993860344,5.400520924257022,1166.1,4.924896652434345,9.87950721835039
ANDREA GARNER,SEA,2000,PowerF,Roller/Cutter,1.2905063504051189,1.8329866505247472,563.2,-5.776566811547231,-7.360605246366067
JONQUEL JONES,CON,2022,C,Interior Primary Option,1.289094041538801,7.643490841717131,871.1999999999999,3.040006059837612,11.900886379450611
MICHELLE CLEARY,PHO,2000,G,Spot-up Shooter,1.276266110807141,1.3589210047961882,506.4,0.3863400251374295,1.5120891876499147
SYLVIA FOWLES,CHI,2014,C,Interior Primary Option,1.2742331998706793,3.6807981304997894,596.0,-1.1427461628832956,-0.9012706688581313
SHERYL SWOOPES,HOU,2005,SG,Perimeter-Oriented Big/Wing,1.2707826150856556,-0.556047338591916,1224.3,3.2243751511960212,2.514679446189909
SASHA GOODLETT,CHI,2014,C,Roller/Cutter,1.2658281729119958,0.8947804586386982,438.6,-4.217670833851088,-2.94298173479391
SHARON MANNING,MIA,2000,PowerF,Interior Primary Option,1.264507234833922,3.049438101811885,400.7999999999999,-5.162820364926267,-1.7829647318794053
SHERYL SWOOPES,HOU,2002,SG,Perimeter-Oriented Big/Wing,1.2636469345426713,4.046467913186761,1155.2,-7.459002944390336,-6.193506445890935
CANDACE PARKER,LAS,2020,PowerF,Perimeter-Oriented Big/Wing,1.2632996444323463,5.693207002230903,660.0,3.0177713229343146,6.6820335321660895
YVETTE ANGEL,SAC,1997,G,Secondary Creator/Distributor,1.260156679709604,1.2083072259857162,91.0,,
DANIELLE MCCRAY,CON,2014,F,Secondary Creator/Distributor,1.2517216624449592,4.149826478467037,207.0,-13.144174238213685,-4.666422788317658
MARIA KLIUNDIKOVA,LAS,2019,F,Interior Primary Option,1.2483289563283262,8.610335987511009,180.0,2.9318823592690837,0.9357865305161033
JONQUEL JONES,CON,2021,C,Perimeter-Oriented Big/Wing,1.2481414972491256,8.461303704013394,855.9,6.51688985396878,16.641538020875497
NIKKI BLUE,WAS,2009,G,Secondary Creator/Distributor,1.2464747987370473,5.919442299789949,91.2,-7.872989253868843,-1.367997416485034
CHRISTELLE N'GARSANET,NYL,2006,C,Interior Primary Option,1.2460501356852576,2.162705352050867,91.5,-5.180793469588471,-9.576676138512004
AUDREY SAURET,WAS,2001,G,Secondary Creator/Distributor,1.2459216289356236,6.935685660576559,455.0,-15.90515374125464,-20.59509471280437
SHERYL SWOOPES,SEA,2008,SG,Secondary Creator/Distributor,1.2441211446001161,8.631064449133907,704.7,-1.7921580774278731,6.122576469129509
SCHOLANDA DORRELL,SAC,2007,G,Secondary Creator/Distributor,1.2398315460063651,5.346661280000349,506.6,-4.279837236249102,-1.3204042080420866
KATIE BENZAN,WAS,2022,G,Spot-up Shooter,1.2342053167070413,7.449206443538061,26.700000000000003,-0.7021439020161102,0.37607718662225764
KAYLA PEDERSEN,CON,2015,F,Roller/Cutter,1.233088265060009,3.667866534634338,511.5,-2.7429300869901216,3.8636028007310266
CAROLYN SWORDS,CHI,2013,C,Roller/Cutter,1.2318088254585988,4.732278148647359,180.8,-1.6773107613734801,0.3958100291962863
MIRANDA AYIM,TUL,2011,F,Roller/Cutter,1.2144562235990004,6.408238803071341,42.3,-7.3508008599727415,-4.967737506515722
JESSIE HICKS,SAN,2004,PowerF,Interior Primary Option,1.2141000610625323,-1.612494149137871,369.9,-2.4355553458831904,0.2025435351764473
ANGEL ROBINSON,SEA,2014,PowerF,Roller/Cutter,1.207861176119123,3.983951755136124,177.5,-2.9876236653993837,-2.933482038312954
ISABELLE HARRISON,PHO,2016,F,Roller/Cutter,1.2077074993395187,-2.9445745274600306,195.0,-4.718262838743403,-10.913100985325556
JENNY BOUCEK,CLE,1997,G,Secondary Creator/Distributor,1.2076630264359896,-4.533305984760627,112.0,,
MISTIE BASS,PHO,2016,F,Roller/Cutter,1.2068274035290838,7.241600200563489,432.3,-3.701827342186909,10.222726050411714
MARLA BRUMFIELD,MIA,2001,G,Secondary Creator/Distributor,1.2043226084335792,8.152943622711621,248.4,-17.293537474776066,-7.200980220481815
CHARMIN SMITH,SEA,2001,G,Spot-up Shooter,1.198986268053294,8.17938822961417,592.0,-0.8035387832937682,11.355613431737085
JONQUEL JONES,CON,2018,C,Interior Primary Option,1.1850450520727767,5.692058289330601,697.0,5.843320999720278,8.209851723153973
ELAINE POWELL,DET,2002,G,Secondary Creator/Distributor,1.1835036206512437,5.910295019721625,705.0,-5.052284658445281,-0.559673136310586
LISA LESLIE,LAS,1997,C,Perimeter-Oriented Big/Wing,1.18286613116074,0.4053771662424216,882.0,,
ANGELA AYCOCK,PHO,1999,G,Spot-up Shooter,1.177922202936311,7.178908550027411,28.8,1.142190853834179,7.772138601003504
GRETA KOSS,UTA,1997,F,Roller/Cutter,1.1745135713840889,-2.075967669580084,269.09999999999997,,
MONICA LAMB,HOU,2000,C,Roller/Cutter,1.1692833843454442,-0.4408786285599794,139.1,-1.884672809442063,-0.839135343377071
ASTOU NDOUR-FALL,CHI,2021,PowerF,Roller/Cutter,1.1676259549519303,0.8593418465351035,342.0,-3.62179675790966,-9.919408708768024
BROOKE WYCKOFF,CHI,2006,F,Spot-up Shooter,1.1650747514419748,4.401399925340435,343.5,-6.143823936915434,-6.103467122522932
SYDNEY COLSON,SAN,2015,G,Secondary Creator/Distributor,1.163502964570947,1.6237789646547869,540.6,-0.7713250819090587,1.8627120166900806
MICHELLE SNOW,CHI,2011,C,Roller/Cutter,1.1606136519486385,6.976556255790977,819.4000000000001,-4.796856717824848,2.1135553902126727
MICHELLE SNOW,HOU,2003,C,Interior Primary Option,1.1587396335518398,3.833600105197013,1030.2,0.4948835527355264,7.363558060449718
NIELE IVEY,PHO,2005,G,Secondary Creator/Distributor,1.1573609187350993,9.553126608942344,254.8,-2.541081601939638,-0.3153148055341788
TARI PHILLIPS,NYL,2003,PowerF,Interior Primary Option,1.1556290864742567,1.9612324122856375,1029.6,-1.9907867691982897,2.832625287555884
YOLANDA GRIFFITH,SAC,2004,PowerF,Interior Primary Option,1.1526119738328349,1.138080961564086,1033.6,-2.9545544813789935,-2.49529213914352
LINDSAY WISDOM-HYLTON,WAS,2012,F,Roller/Cutter,1.1485939513234416,4.887443900475507,499.7999999999999,-3.5876932201665817,1.1581647279010765
LAUREN JACKSON,SEA,2001,PowerF,Perimeter-Oriented Big/Wing,1.1483574388523101,2.058177504375125,1000.5,-8.221459184676364,-14.417802441207828
BARBARA FARRIS,DET,2005,PowerF,Roller/Cutter,1.146530243332202,2.8885716976131044,445.4,-6.557896750469772,-4.687463221345569
YELENA LEUCHANKA,WAS,2007,C,Roller/Cutter,1.1391851229708592,11.474119799303732,29.4,-5.1126602107294605,-3.659208356554224
MICHELLE BROGAN,PHO,2000,F,Roller/Cutter,1.1375691192389075,2.7175703583129684,728.0,-7.458829052115215,-4.413518000440407
NATASHA HOWARD,SEA,2019,F,Perimeter-Oriented Big/Wing,1.1360710229361086,6.94011610038499,1064.2,0.31923982635278736,10.51339336511444
ALEXIS HORNBUCKLE,MIN,2010,G,Secondary Creator/Distributor,1.133127217390618,0.2655254760113715,509.6,-4.775844307906521,-10.154833719674038
NATALIE ACHONWA,MIN,2021,F,Roller/Cutter,1.125942411760685,7.006069776582071,252.0,-1.4264866549564743,4.369351400345495
SHERYL SWOOPES,HOU,1998,SG,Primary On-Ball Creator,1.1214783458076776,6.077585702444855,936.7,-11.689255543694825,12.702754454431531
ANITA MAXWELL,CLE,1997,F,Interior Primary Option,1.1176329845721114,11.6940797902187,62.1,,
ERIN PERPEROGLOU,SAN,2009,F,Secondary Creator/Distributor,1.116481133919745,3.3990204565397706,578.0,-6.897840398472525,-3.46998688052744
SANCHO LYTTLE,ATL,2014,F,Perimeter-Oriented Big/Wing,1.1157378992756117,2.960733889502754,1064.2,0.23385290919288515,2.02446510493153
CLARISSE MACHANGUANA,LAS,1999,PowerF,Roller/Cutter,1.1065504416031668,-0.421293894430629,243.59999999999997,-2.0074783779903482,-0.7686102228906108
NICOLE KUBIK,PHO,2000,G,Secondary Creator/Distributor,1.1063698349932516,-9.920666863212322,19.6,-10.592418938499229,-19.94794330024336
MERCEDES RUSSELL,SEA,2024,C,Roller/Cutter,1.1051578842224685,7.703141458529624,584.6,-4.541693452078139,0.30185124792630447
NATASHA HOWARD,MIN,2016,F,Interior Primary Option,1.103938446043239,7.975279418211613,496.4,1.120758121932638,4.580518080781761
ASTOU NDOUR-FALL,DAL,2020,PowerF,Secondary Creator/Distributor,1.1029741301229863,-11.843969561111386,150.79999999999998,1.1762999173021536,-26.90725652608711
DANIELLE ADAMS,SAN,2012,PowerF,Perimeter-Oriented Big/Wing,1.0985674086687853,-1.1111749156956376,686.8,2.4442916408142206,5.283115989448018
NATASHA CLOUD,WAS,2015,G,Secondary Creator/Distributor,1.0958459817081116,3.131987426017733,656.2,-3.1875269847724237,2.347682211940177
SANCHO LYTTLE,ATL,2013,F,Perimeter-Oriented Big/Wing,1.0952301065363637,6.729430371735099,180.0,0.7875049487950714,12.542394081126417
RESHANDA GRAY,ATL,2015,F,Roller/Cutter,1.0919409472101487,-6.332006688486698,288.9,-4.136566664497918,-7.4397806614503175
PENNY TAYLOR,CLE,2001,F,Primary On-Ball Creator,1.087186770535009,2.7571800609136834,560.0,-2.791753108283169,3.3737261179881095
HELEN DARLING,MIN,2004,G,Secondary Creator/Distributor,1.0845935563464428,7.530422677343433,706.1999999999999,-7.0279882292855245,-8.235500453949392
KATIE DOUGLAS,CON,2003,SG,Spot-up Shooter,1.073239794727992,-1.325594583378046,848.4,-8.50922728258698,62.197526137837876
CANDACE FUTRELL,CON,2004,G,Spot-up Shooter,1.0710762125296815,-4.038030087205187,142.0,-11.123064435159272,-9.10090027016896
SUE WICKS,NYL,1999,F,Roller/Cutter,1.0686899604566618,2.9821186341093755,905.2,0.24131667362564557,7.340269976555803
PLENETTE PIERSON,DET,2008,F,Interior Primary Option,1.068536061447355,5.359750508671809,649.6,1.739170239182668,11.76693053282761
BRITTNEY GRINER,PHO,2013,C,Interior Primary Option,1.0665556968188867,-0.8631777285246807,699.3,-1.3046618681439517,2.169346700279254
DIJONAI CARRINGTON,CON,2024,SG,Interior Primary Option,1.0657984171830408,2.5175611738239843,1154.4,-0.7212002008531435,-0.22464328999830796
HELEN DARLING,SAN,2007,G,Secondary Creator/Distributor,1.0657251205655711,3.6752851288237713,683.1,-2.501316667273568,0.11762318290250962
KRISTEN VEAL,PHO,2001,G,Secondary Creator/Distributor,1.0642267475974019,0.0666487737256236,655.4000000000001,-13.508908981105275,-15.799841895483247
SHARON MANNING,CHA,1999,PowerF,Roller/Cutter,1.0626013770760878,3.1761925852796855,518.4,-11.71987831451517,-3.9481727664669224
DEVEREAUX PETERS,MIN,2013,F,Roller/Cutter,1.0617846224983774,5.948747672240294,632.4000000000001,-3.6303327621503687,2.7329162847435704
KRISTIN HAYNIE,ATL,2008,G,Secondary Creator/Distributor,1.0585696825008868,0.8537318224778978,485.1,-3.1657608819449226,-7.236107492382295
TAMMY JACKSON,HOU,2001,PowerF,Roller/Cutter,1.0580213526143327,12.253080836962914,438.4,-0.7079608442272931,15.094164587933026
SANDRINE GRUDA,LAS,2016,PowerF,Roller/Cutter,1.0529134393159085,8.422231732726027,37.1,-0.8411706471440068,2.9322505196397195
ALANNA SMITH,CHI,2023,F,Secondary Creator/Distributor,1.0507505794564298,0.9501896324129754,1007.0,1.5236397014886962,0.7537178493287114
TAMIKA CATCHINGS,IND,2004,F,Primary On-Ball Creator,1.049930842493203,0.932372381166672,1149.1999999999998,-2.019610945340102,-0.5378579492881113
ALANNA SMITH,PHO,2021,F,Spot-up Shooter,1.0497103016205485,5.8963920312498015,117.0,-7.26436357307206,-3.290736047385211
OLIVIA NELSON-ODODA,LAS,2022,C,Roller/Cutter,1.0495084748003365,-1.763273564829311,435.0,-3.98167270499402,-14.38639321370101
KATE STARBIRD,UTA,2000,SG,Secondary Creator/Distributor,1.0492172092449819,-2.4730968695627227,336.4,-1.2770243589268482,2.8765942319061826
KATRINA COLLETON,LAS,1998,F,Secondary Creator/Distributor,1.0463387028141808,0.4905609795069506,576.0,-2.575591583997057,11.33767722619108
LORELA CUBAJ,ATL,2024,PowerF,Roller/Cutter,1.0326129558530404,0.8210924985228928,221.2,-0.30825667635549414,-7.655734230170557
JISU PARK,LVA,2019,C,Roller/Cutter,1.0311154673580105,16.15192694267944,162.5,-4.680331538495756,1.473361402548102
LIZ MOEGGENBERG,CHI,2006,F,Secondary Creator/Distributor,1.0248996731461693,6.8051442447910375,272.7,-5.883032861115663,4.637335030562838
EMILY ENGSTLER,MIN,2023,F,Secondary Creator/Distributor,1.0240063078015131,-10.590354457292836,93.6,-5.733600161339826,-15.168191631557296
DANIELLE MCCULLEY,IND,2000,PowerF,Interior Primary Option,1.023318067294705,2.0881136475496724,458.2000000000001,4.0099287162498145,8.956039503202822
SHERYL SWOOPES,HOU,2007,SG,Secondary Creator/Distributor,1.022731558439499,-12.542489620029444,105.9,-4.76762879937816,-21.003623767799514
CANDACE PARKER,CHI,2021,PowerF,Perimeter-Oriented Big/Wing,1.0201433154979336,2.0073356680465873,616.4,2.153711040903159,2.7023097559990585
ELIZABETH WILLIAMS,CON,2015,PowerF,Roller/Cutter,1.0199300260836746,14.569299129511837,245.7,-1.754007417405891,8.844217956853141
TAMIKA CATCHINGS,IND,2012,F,Perimeter-Oriented Big/Wing,1.0198661391232273,0.6230483239772892,1037.0,3.4809563380648347,3.0783417733051532
LADY GROOMS,SAC,2000,F,Roller/Cutter,1.011590521244628,0.1877294510412602,399.0,-4.134187340022246,-1.3044856698087586
TRICIA BADER BINFORD,CLE,2002,G,Secondary Creator/Distributor,1.009950578634717,7.075602765252098,131.4,-3.94458687088792,6.713096065121393
KELLY FARIS,CON,2014,G,Spot-up Shooter,1.0066498657752216,5.256627476988159,192.5,-7.127025909965786,1.9415532974726135
AYANA WALKER,DET,2002,F,Secondary Creator/Distributor,1.0040775034832765,3.895747861431877,550.4,-8.68927377423115,-3.3525057178176
EBONY HOFFMAN,CON,2014,F,Roller/Cutter,1.0030216606108056,0.9533732179070296,68.0,-7.533609654526812,-7.8775036966265395
ADIA BARNES,MIN,1999,F,Secondary Creator/Distributor,0.9994955333660123,2.3066021185332217,91.2,-3.74556957353298,-0.518435504936507
ILIANA RUPERT,ATL,2023,C,Spot-up Shooter,0.9971469513296569,3.63147554236116,158.0,-1.0533065790842298,-4.976313855399633
TONI FOSTER,PHO,1998,PowerF,Roller/Cutter,0.994708464140249,3.310057228954957,217.6,-7.9547305331472185,-1.5655669289730083
SVETLANA ABROSIMOVA,SEA,2012,F,Secondary Creator/Distributor,0.9924377095751862,3.3376464944632502,328.7,-8.062897336411549,-3.883560378623862
JAYNETTA SAUNDERS,PHO,2001,F,Roller/Cutter,0.9923063119360954,4.523454837024846,254.8,-0.3285437266372525,6.425880216197597
CHANTELLE ANDERSON,SAN,2007,C,Roller/Cutter,0.9915800626524478,-4.157583188686921,85.8,-2.5619619319134896,-12.960560172443989
KAYTE CHRISTENSEN,CHI,2007,F,Roller/Cutter,0.9906467990596421,-0.941697492692262,209.0,-7.38055180373363,-7.408948557456507
GILLIAN GORING,WAS,2007,C,Roller/Cutter,0.9891046576210674,8.384023876636109,155.4,1.1748626857662257,5.680371216149409
HALEY JONES,ATL,2023,SG,Secondary Creator/Distributor,0.9883862160219181,2.22324328827902,584.0,-3.8803048951376846,-0.007332353853219065
ALANA BEARD,LAS,2013,SG,Secondary Creator/Distributor,0.9850240949106439,3.5143312429972977,704.0,-1.6837909694323057,9.387461469441345
JORDAN ADAMS,MIN,2003,C,Spot-up Shooter,0.9795162745071613,-6.535110487737216,97.0,2.24465776797524,-4.85571451639943
ELENA BARANOVA,NYL,2004,F,Secondary Creator/Distributor,0.9782470009761328,0.6833311704304442,1050.6,-4.712695238422143,-1.49409661586273
TEANA MILLER,CHA,2004,C,Interior Primary Option,0.9775422788327182,-10.017715797800296,76.5,-0.9623672421747929,-10.294984828224468
CAYLA GEORGE,LVA,2023,PowerF,Spot-up Shooter,0.9757866465443502,-2.8375325938291054,272.0,-5.401605843839154,-9.533794175252396
TASHA BUTTS,MIN,2004,F,Spot-up Shooter,0.974051868136617,5.717178772621926,426.0,-13.150934712948139,-3.1012395875483687
SANCHO LYTTLE,ATL,2015,F,Interior Primary Option,0.9673774622027266,5.860981516182736,720.0,-1.3742598567057764,5.789445658455991
RITA WILLIAMS,WAS,1998,G,Spot-up Shooter,0.967256948587222,0.4587630718559715,687.3,,
TICHA PENICHEIRO,SAC,2007,G,Secondary Creator/Distributor,0.9602579299203059,5.702830005587375,736.0,-2.697769684989954,5.6622804614849755
VERONICA BURTON,DAL,2022,G,Secondary Creator/Distributor,0.9585967619509325,5.946369653637497,547.1999999999999,-1.1724441217646886,5.151614781519283
COQUESE WASHINGTON,HOU,2000,G,Secondary Creator/Distributor,0.9574509512889198,-0.8623770405470038,235.0,-4.791739032052623,-7.004241841545069
LISA LESLIE,LAS,2004,C,Perimeter-Oriented Big/Wing,0.9573466431920327,1.2098595687909994,1149.1999999999998,-0.662582908883706,2.4527021332037062
ARMINTIE HERRINGTON,ATL,2010,G,Roller/Cutter,0.9555794247767135,2.142560217134461,561.0,-2.2273237866290816,-0.3253495028622222
LADY GROOMS,SAC,2003,F,Roller/Cutter,0.9546236153955652,6.356636074659169,469.2000000000001,-6.058938080607107,1.3512977352363187
KIAH STOKES,LVA,2021,C,Roller/Cutter,0.9456266403439637,2.997454528458652,444.0,-3.7093692623098224,0.0015060889548190737
CANDICE WIGGINS,MIN,2010,G,Spot-up Shooter,0.9451442047693712,-4.337895248405071,237.6,-0.9502206826851056,-3.163376514283356
MARGO DYDEK,UTA,1999,C,Perimeter-Oriented Big/Wing,0.9444787459014194,2.3281777624168063,736.0,-7.366992504648788,0.8119420121964647
TAJ MCWILLIAMS-FRANKLIN,ORL,1999,PowerF,Interior Primary Option,0.9429854196044026,2.811924135905344,1043.2,-3.7751623631437154,0.4014715694872102
CHELSEA NEWTON,CHI,2006,G,Secondary Creator/Distributor,0.9411327882249338,1.861345925100977,648.0,-4.050353893694372,-3.385825933297057
ALAINA COATES,IND,2022,C,Roller/Cutter,0.9402141938334994,-11.73199421151956,75.2,-0.06084928579158677,-7.909824419101636
TULLY BEVILAQUA,POR,2000,G,Spot-up Shooter,0.9374210963527689,1.959089936291996,796.8,-4.315682327885083,-0.036366869948616376
NAVONDA MOORE,MIN,2007,G,Secondary Creator/Distributor,0.9300718456610205,6.724144903650288,87.39999999999999,-11.307349967685917,1.4347733173891122
TAYLOR MIKESELL,ATL,2023,G,Spot-up Shooter,0.9261712708659191,-2.187926722475958,29.4,3.771664204921149,-1.6415794364463303
AMY HERRIG,UTA,2001,C,Roller/Cutter,0.9260411243381226,2.692065011317565,448.0,-1.9115500032725947,3.0169251512277095
TAMIKA CATCHINGS,IND,2011,F,Perimeter-Oriented Big/Wing,0.9253141813844589,2.79558866555527,1039.5,1.9156331861516667,6.37946420308732
TERESA WEATHERSPOON,NYL,2000,G,Secondary Creator/Distributor,0.9236447005408194,4.991536549908282,1078.4,-3.9707699532561476,5.737478717309439
JACINTA MONROE,TUL,2011,F,Roller/Cutter,0.9221103000240292,19.67781830874737,21.2,-15.556443442519415,15.045372259654737
TICHA PENICHEIRO,SAC,2003,G,Secondary Creator/Distributor,0.9215489661699844,0.6463019703480518,1091.4,-1.8249288789250784,6.342465583142084
OLYMPIA SCOTT,CHA,2004,C,Roller/Cutter,0.9205532889190484,1.959571755211652,401.2000000000001,-0.08950107244238192,6.736834292731782
TONYA MASSALINE,WAS,2000,F,Spot-up Shooter,0.920233746176633,-3.7782766784115,102.6,-2.5953397107405523,-5.792476400298013
IMANI MCGEE-STAFFORD,CHI,2016,C,Roller/Cutter,0.9121070248905081,1.287852094819849,589.0,-0.07385558034839357,3.6923210057411398
LINDSAY WISDOM-HYLTON,LAS,2010,F,Roller/Cutter,0.908559219849863,1.1760691252898532,483.2,-3.103625380250916,-3.1392339620791603
RUSHIA BROWN,CLE,2000,F,Interior Primary Option,0.9079980751213835,6.7422066853039375,666.0,-3.856163224079395,4.309485325893455
MONICA WRIGHT,MIN,2014,G,Secondary Creator/Distributor,0.9046274231952321,2.4898958240302074,441.6,-3.632860787650668,1.9548556866145712
TAMERA YOUNG,CHI,2009,F,Secondary Creator/Distributor,0.9044189346646128,4.757562650962757,201.6,-4.546114524487196,5.95053018156726
KIAH STOKES,NYL,2020,C,Spot-up Shooter,0.9009029474588445,1.961964090868824,600.6,-3.0828542377607477,-2.983850151792034
NAPHEESA COLLIER,MIN,2019,F,Interior Primary Option,0.897314634853489,4.494305395396997,1132.1999999999998,0.6954606436948906,5.180304557187289
SOPHIA YOUNG-MALCOLM,SAN,2012,F,Interior Primary Option,0.8962485910270666,2.9177869638174645,1049.4,1.296561098074142,6.804426564210928
NATALIA VODOPYANOVA,SEA,2005,F,Secondary Creator/Distributor,0.8946062401124869,11.9737685309834,98.6,-5.132885322720521,14.013085601824386
TICHA PENICHEIRO,SAC,2009,G,Secondary Creator/Distributor,0.8938278546383549,1.7341408277364507,723.0,-1.885423976553805,-1.4493263772738547
KATARINA LAZIC,NYL,2001,G,Interior Primary Option,0.8933012854670517,-10.539437400918816,54.4,-0.5163887216700307,-4.035716046056089
KARIMA CHRISTMAS-KELLY,MIN,2020,SG,Primary On-Ball Creator,0.891801293729774,16.95366710871026,25.0,-10.514982324518117,-3.633353799655442
SOPHIA WITHERSPOON,LAS,2002,G,Spot-up Shooter,0.8895431245666261,-0.448422044396702,359.59999999999997,-3.7327728901392874,0.07275482439630948
KELLY SCHUMACHER,IND,2002,C,Roller/Cutter,0.8870842533471702,3.771638734578481,353.40000000000003,-4.792101361461553,1.8570377819803645
TIERRA RUFFIN-PRATT,WAS,2013,G,Secondary Creator/Distributor,0.8845691580193568,6.786171017718575,503.2000000000001,-4.244096915513243,2.4914443193754403
BROOKE SMITH,PHO,2009,PowerF,Roller/Cutter,0.8816773538192879,0.4547688308609487,144.9,-4.266683386397959,-2.1366338089815375
MARLIES ASKAMP,MIA,2001,C,Roller/Cutter,0.8799108504869247,0.3083426798688239,435.0,-3.783425173761016,-3.5005016862982306
ELENA BARANOVA,UTA,1998,F,Perimeter-Oriented Big/Wing,0.873939154309667,0.1600882582088434,672.0,-9.695322760940769,-12.535197752936993
