Player,Team,Year,Pos,Archetype,OBPM,mean,Total Minutes
ALLISON HIGHTOWER,WAS,2017,G,Secondary Creator/Distributor,-4.252133408206353,1.34835156410603,145.2
TORA SUBER,CHA,1998,G,Spot-up Shooter,-4.252272956329738,-4.249949314522266,684.0
RAFFAELLA MASCIADRI,LAS,2008,F,Spot-up Shooter,-4.252935991980706,-2.6027257639821615,411.7999999999999
JANICE BRAXTON,CLE,1997,F,Interior Primary Option,-4.253229425231114,-0.4924535356543271,822.5
JAMIERRA FAULKNER,CHI,2015,G,Secondary Creator/Distributor,-4.253749525441145,-4.9870431910207795,316.8
JAMIE CAREY,CON,2006,G,Spot-up Shooter,-4.2554817684878055,-1.8167737721865904,288.0
ELAINE POWELL,ORL,2000,G,Secondary Creator/Distributor,-4.257285011161616,-7.034775685280925,321.09999999999997
STACEY DALES,CHI,2006,F,Spot-up Shooter,-4.260465084661792,-2.996788947565617,453.1
TULLY BEVILAQUA,POR,2002,G,Spot-up Shooter,-4.266659747619073,-4.234450000719058,418.5
SHONI SCHIMMEL,ATL,2015,G,Spot-up Shooter,-4.271843234963383,-0.7778357147926541,633.6
SONJA TATE,MIN,1999,G,Secondary Creator/Distributor,-4.272199727960861,2.8872204176244725,825.6
MATEE AJAVON,ATL,2015,G,Secondary Creator/Distributor,-4.27454539289237,-3.3217236516933606,580.8000000000001
MAGGIE LUCAS,IND,2014,G,Spot-up Shooter,-4.274852645575603,3.4725548040629524,312.0
TARI PHILLIPS,NYL,2000,PowerF,Perimeter-Oriented Big/Wing,-4.277412745504632,-1.177654268814903,979.6
AYANA WALKER,CHA,2006,F,Roller/Cutter,-4.279449704008666,3.138811021269841,182.5
JAZMINE JONES,NYL,2020,G,Primary On-Ball Creator,-4.280677088592368,3.9094538444568063,428.0
TIFFANY JACKSON,TUL,2011,F,Interior Primary Option,-4.280833098234311,-9.634272630367704,1152.6
NYARA SABALLY,NYL,2023,C,Roller/Cutter,-4.282706054385985,-7.677488456236217,260.7
NATASHA CLOUD,WAS,2015,G,Secondary Creator/Distributor,-4.283372966480536,-0.7843052140775564,656.2
ELAINE POWELL,DET,2005,G,Secondary Creator/Distributor,-4.2851241479879265,-2.0949182586207695,672.8
ESSENCE CARSON,NYL,2009,G,Primary On-Ball Creator,-4.286142329541171,-1.623461615489311,860.2
IZIANE CASTRO MARQUES,SEA,2005,SG,Secondary Creator/Distributor,-4.287827959764095,3.1228943443814283,881.1
TAN WHITE,CON,2011,G,Spot-up Shooter,-4.289418421289511,-3.4846535357308075,748.0
YELENA LEUCHANKA,CHA,2006,C,Roller/Cutter,-4.292991562587772,-15.137271287956446,38.0
THERESA PLAISANCE,WAS,2021,F,Spot-up Shooter,-4.293314355115291,-5.581904428094465,558.0
IVORY LATTA,TUL,2011,G,Primary On-Ball Creator,-4.294895993156084,-6.58526503813963,684.0
THERESA PLAISANCE,LVA,2022,F,Spot-up Shooter,-4.296378062786059,-6.784751941432437,399.9
TIFFANY MITCHELL,IND,2020,G,Primary On-Ball Creator,-4.2970953511562895,-4.007030064693597,501.6
