Player,Team,Year,Pos,Archetype,OBPM,mean,Total Minutes
DANA WYNNE,SAC,2001,F,Roller/Cutter,25.10191713259492,5.421225555894661,2.9
ANGEL MCCOUGHTRY,LVA,2021,SG,Perimeter-Oriented Big/Wing,24.544061414294482,-99.14585939712366,0.1
KATRYNA GAITHER,WAS,2002,C,Secondary Creator/Distributor,22.129060827640156,-43.192532512284345,6.2
ALEXIS PRINCE,ATL,2018,F,Perimeter-Oriented Big/Wing,19.136627502289176,38.92824921397919,6.0
TINA KRAJISNIK,CHI,2022,C,Roller/Cutter,17.43435739984024,68.26421825961599,5.4
JAIME NARED,LVA,2019,SG,Roller/Cutter,16.843125619621432,1.176852643305166,1.4
CARLA MCGHEE,ORL,2002,F,Interior Primary Option,15.191500457239338,19.82632494750137,4.0
ANGELA AYCOCK,MIN,2000,G,Secondary Creator/Distributor,13.143197980050424,39.62352555872169,12.8
KAILA CHARLES,ATL,2022,SG,Roller/Cutter,13.128170107245662,19.775453557934465,2.0
ELENA DELLE DONNE,WAS,2021,SG,Perimeter-Oriented Big/Wing,11.365706570234511,9.933903325435528,52.2
ELENA SHAKIROVA,CHA,2002,C,Roller/Cutter,9.294798863390142,40.21810578837941,5.4
TEANA MILLER,PHO,2007,C,Roller/Cutter,9.101020740757077,-6.479811547778592,5.2
ASIA TAYLOR,CON,2016,F,Interior Primary Option,8.677890655987627,20.26237731827964,17.2
ELENA DELLE DONNE,WAS,2019,SG,Perimeter-Oriented Big/Wing,8.175706905759514,17.7115631921217,902.1
ANGEL MCCOUGHTRY,LVA,2020,SG,Perimeter-Oriented Big/Wing,8.023211639630444,6.926689513393488,440.0
RAINA PEREZ,SEA,2022,G,Secondary Creator/Distributor,7.954800169195589,-1.8150350680434837,2.3
BERNADETTE NGOYISA,NYL,2002,C,Roller/Cutter,7.7454258156733795,-14.2655713962226,11.9
JESSICA ADAIR,MIN,2010,C,Roller/Cutter,7.712925066424208,55.0902509805091,13.6
ADIA BARNES,CLE,2001,F,Roller/Cutter,7.625682368489813,-19.217132354284807,2.7
SEIMONE AUGUSTUS,MIN,2009,SG,Perimeter-Oriented Big/Wing,7.331248275269397,15.740647724008983,178.2
ELENA DELLE DONNE,WAS,2017,SG,Perimeter-Oriented Big/Wing,6.959210546828691,6.299292503914264,757.5
COURTNEY VANDERSLOOT,CHI,2020,G,Primary On-Ball Creator,6.855501812808503,6.342413737729182,693.0
ALEXIS PRINCE,CHI,2020,F,Spot-up Shooter,6.8148020570241234,-31.129254314899462,16.0
STACEY FORD,NYL,2001,F,Roller/Cutter,6.709092213698164,48.38194831620349,2.5
A'JA WILSON,LVA,2024,C,Perimeter-Oriented Big/Wing,6.129354260066004,0.2368484788655528,1307.2
SHERILL BAKER,DET,2009,G,Secondary Creator/Distributor,6.124546992784401,40.01398172765713,11.4
ELENA DELLE DONNE,WAS,2018,SG,Perimeter-Oriented Big/Wing,5.76772829528998,7.692413253739174,933.8
NNEKA OGWUMIKE,LAS,2016,F,Interior Primary Option,5.566941719557968,6.227483797101432,1042.8
ELENA DELLE DONNE,CHI,2015,SG,Perimeter-Oriented Big/Wing,5.424934524658584,8.511269238801889,1032.3
A'JA WILSON,LVA,2023,C,Perimeter-Oriented Big/Wing,5.383699070391331,6.608875468990872,1228.0
LINDSAY ALLEN,MIN,2022,G,Secondary Creator/Distributor,5.344015469780247,-1.0262540216793343,133.20000000000002
ELENA DELLE DONNE,CHI,2016,SG,Perimeter-Oriented Big/Wing,5.2965736279661435,5.395099896966881,929.6
LAUREN JACKSON,SEA,2006,PowerF,Perimeter-Oriented Big/Wing,5.290592456935783,11.600106486404991,852.0
LIZ CAMBAGE,DAL,2018,C,Perimeter-Oriented Big/Wing,5.278995785415376,4.022208256495201,944.0
JONQUEL JONES,CON,2021,C,Perimeter-Oriented Big/Wing,5.268748356719654,8.180234316862103,855.9
ALAINA COATES,ATL,2019,C,Roller/Cutter,5.248809493026455,0.0116834973103106,167.9
QUEEN EGBO,LVA,2024,PowerF,Roller/Cutter,5.137433483147024,-14.073305979008127,28.8
BREANNA STEWART,NYL,2023,F,Perimeter-Oriented Big/Wing,5.07048005108072,7.0576959913559065,1364.0
ELENA DELLE DONNE,WAS,2022,SG,Perimeter-Oriented Big/Wing,4.970690859768241,3.94769434276098,695.0
BREANNA STEWART,SEA,2022,F,Perimeter-Oriented Big/Wing,4.894922357310786,4.2156845864733805,1050.6
EMMA MEESSEMAN,WAS,2019,F,Perimeter-Oriented Big/Wing,4.855595575065045,6.593536764982893,542.8000000000001
STELLA JOHNSON,WAS,2020,G,Secondary Creator/Distributor,4.758191900354759,17.37729614756771,99.9
SUE BIRD,SEA,2018,G,Spot-up Shooter,4.740462640323475,8.777680460727154,824.6
CHRISTY SMITH,CHA,1999,G,Spot-up Shooter,4.69433887371132,2.181799594632094,19.2
JONQUEL JONES,CON,2018,C,Interior Primary Option,4.6582759476475015,2.5177934338233725,697.0
JACKIE YOUNG,LVA,2023,G,Primary On-Ball Creator,4.545881973379214,11.615645518713544,1260.0
DIANA TAURASI,PHO,2018,G,Primary On-Ball Creator,4.536567165507827,5.531506363682544,990.0
BECKY HAMMON,NYL,2003,G,Primary On-Ball Creator,4.469189457455725,10.48400911756811,255.2
SHERYL SWOOPES,HOU,2000,SG,Perimeter-Oriented Big/Wing,4.46720361020963,9.09570673195144,1091.2
CHELSEA GRAY,LVA,2023,G,Primary On-Ball Creator,4.428121496647994,3.4718727337023556,1288.0
JONQUEL JONES,CON,2019,C,Perimeter-Oriented Big/Wing,4.379699378714021,4.248064096899489,979.2
KARA LAWSON,CON,2012,G,Primary On-Ball Creator,4.312443066529524,7.452878299640848,1067.6
CANDACE PARKER,LAS,2015,PowerF,Perimeter-Oriented Big/Wing,4.273799516003375,10.514702108827343,550.4
BREANNA STEWART,SEA,2018,F,Perimeter-Oriented Big/Wing,4.214005896403764,4.8751073193595795,1074.4
STEFANIE DOLSON,CHI,2020,C,Secondary Creator/Distributor,4.1304278592497425,5.126466772823247,273.0
EMILY ENGSTLER,WAS,2024,F,Secondary Creator/Distributor,4.0851517965584465,-1.7412536682653557,464.0
QUACY BARNES,PHO,2002,C,Interior Primary Option,4.043689847203697,-35.816468749517426,13.4
ELENA DELLE DONNE,CHI,2014,SG,Perimeter-Oriented Big/Wing,4.035662104781368,4.519264219398039,408.0
MAYA MOORE,MIN,2012,F,Primary On-Ball Creator,4.017084076936934,9.81440245903698,1009.8
SEIMONE AUGUSTUS,MIN,2007,SG,Perimeter-Oriented Big/Wing,3.9870904125557756,1.9231267261539184,1094.8000000000002
VANESSA NYGAARD,CLE,1999,F,Spot-up Shooter,3.9756207156011976,3.1022244465903652,19.6
SHEY PEDDY,WAS,2019,G,Secondary Creator/Distributor,3.9330729728078317,1.4846593409461948,70.5
ELENA DELLE DONNE,WAS,2023,SG,Perimeter-Oriented Big/Wing,3.9323145364116128,0.7703463625349133,632.5
LAUREN JACKSON,SEA,2007,PowerF,Perimeter-Oriented Big/Wing,3.815838102525485,7.100463844902852,1019.9
SUE BIRD,SEA,2020,G,Spot-up Shooter,3.807266849414617,14.081415937605827,257.4
JONQUEL JONES,CON,2017,C,Interior Primary Option,3.8049591652437584,5.742591460910985,969.0
CAPPIE PONDEXTER,NYL,2010,G,Primary On-Ball Creator,3.784270181571294,6.29539880495641,1166.1999999999998
PENNY TAYLOR,PHO,2016,F,Primary On-Ball Creator,3.772424543196766,2.929306011504356,642.5
ANNELI MALEY,CHI,2022,F,Spot-up Shooter,3.760323747586819,-3.484797498854452,44.4
EPIPHANNY PRINCE,LVA,2019,G,Spot-up Shooter,3.7425817477135546,19.609585551354712,28.200000000000003
LINDSAY WHALEN,CON,2008,G,Primary On-Ball Creator,3.7065216158501766,4.226530425415809,908.3
COURTNEY VANDERSLOOT,CHI,2019,G,Primary On-Ball Creator,3.7061029554501963,6.834044958505556,990.0
PENNY TAYLOR,PHO,2010,F,Primary On-Ball Creator,3.699415159298976,2.1581367658292683,960.0
PENNY TAYLOR,PHO,2011,F,Primary On-Ball Creator,3.697690908936327,5.838360211967318,864.2
DIANA TAURASI,PHO,2020,G,Primary On-Ball Creator,3.668642923236509,0.5893871902749607,533.9
KRISTI TOLIVER,WAS,2019,G,Primary On-Ball Creator,3.6611048972342917,9.622596286951664,678.5
COURTNEY VANDERSLOOT,CHI,2018,G,Primary On-Ball Creator,3.645989734210862,1.0115926363192655,954.0
JONQUEL JONES,NYL,2024,C,Interior Primary Option,3.6331306530483105,4.478986294093368,1166.1
EMMA MEESSEMAN,CHI,2022,F,Interior Primary Option,3.6306109717268855,7.352153462480724,1029.6
MAYA MOORE,MIN,2013,F,Primary On-Ball Creator,3.6158034569094406,7.60440355905598,1067.6
SYLVIA FOWLES,MIN,2020,C,Interior Primary Option,3.5578459776675184,-0.4265217476586092,168.70000000000002
CORNELIA GAYDEN,ORL,2000,G,Spot-up Shooter,3.5478859497188395,-16.15533849460993,6.0
LINDSAY WHALEN,MIN,2011,G,Perimeter-Oriented Big/Wing,3.491989752147631,3.334687841872595,955.4
TIANNA HAWKINS,WAS,2019,F,Interior Primary Option,3.491324901132566,-3.8990157786954738,477.4
A'JA WILSON,LVA,2022,C,Perimeter-Oriented Big/Wing,3.4912950393054323,7.801048116009912,1080.0
JENNA O'HEA,LAS,2012,F,Spot-up Shooter,3.4503187697367217,-0.7186401214561002,144.0
KAMIAH SMALLS,IND,2020,G,Spot-up Shooter,3.3959591990830926,-3.8929726875749617,99.4
SABRINA IONESCU,NYL,2023,G,Primary On-Ball Creator,3.3929240838241213,4.831846075765689,1134.0
ALYSHA CLARK,SEA,2020,F,Spot-up Shooter,3.3915551818115928,9.530179546429714,633.6
BREANNA STEWART,NYL,2024,F,Perimeter-Oriented Big/Wing,3.3561544739976936,3.2150003365133775,1242.6
JONQUEL JONES,CON,2016,C,Interior Primary Option,3.2189475971207053,2.4586659756866664,479.4
NNEKA OGWUMIKE,LAS,2017,F,Perimeter-Oriented Big/Wing,3.1960526695768774,5.040862451488889,1054.0
COURTNEY VANDERSLOOT,CHI,2017,G,Secondary Creator/Distributor,3.1959311280450673,0.1590702128386169,818.1
ADIA BARNES,CLE,2000,F,Roller/Cutter,3.1933778271304383,16.120181482318255,18.0
LA'TANGELA ATKINSON,SEA,2009,SG,Roller/Cutter,3.171896291689174,7.315453168090286,45.8
DIANA TAURASI,PHO,2008,G,Primary On-Ball Creator,3.151668211910122,5.921616613493597,1081.2
CAMILLE COOPER,NYL,2001,C,Interior Primary Option,3.056363730546015,-2.7552801392379007,50.4
LAUREN JACKSON,SEA,2010,PowerF,Perimeter-Oriented Big/Wing,3.055544160112642,9.69616338359996,992.0
TIFFANY STANSBURY,LAS,2006,PowerF,Roller/Cutter,3.0479856007826887,8.47991104425125,22.0
BRITTNEY GRINER,PHO,2017,C,Perimeter-Oriented Big/Wing,3.030768804922355,3.269204857157281,819.0
EVINA WESTBROOK,WAS,2022,G,Secondary Creator/Distributor,3.0295966700349877,-0.8134279466837555,204.0
CANDACE PARKER,LVA,2023,PowerF,Secondary Creator/Distributor,3.0209575656117944,7.6226271234590195,424.8
AMERYST ALSTON,NYL,2017,G,Interior Primary Option,3.0165907052410406,11.733970470297042,3.6
CYNTHIA COOPER,HOU,1999,G,Primary On-Ball Creator,2.9866106489551094,6.86792585565315,1100.5
DIANA TAURASI,PHO,2009,G,Primary On-Ball Creator,2.9810824637519473,1.9388612050704703,967.2
ILIANA RUPERT,LVA,2022,C,Spot-up Shooter,2.972821977583209,-5.2938164379813415,222.7
CHELSEA GRAY,LVA,2022,G,Primary On-Ball Creator,2.953415737170268,6.776814099007773,1039.5
KAHLEAH COPPER,CHI,2022,SG,Perimeter-Oriented Big/Wing,2.9367384998438855,5.911397434836086,892.8000000000001
TAMIKA CATCHINGS,IND,2002,F,Primary On-Ball Creator,2.870602333207364,0.5637933037294207,1168.0
TAYLOR MIKESELL,ATL,2023,G,Spot-up Shooter,2.8454929340552297,0.5463472860296278,29.4
LINDSAY WHALEN,MIN,2013,G,Perimeter-Oriented Big/Wing,2.838106975189065,-0.1746317276939011,1006.4
LINDSAY WHALEN,MIN,2014,G,Perimeter-Oriented Big/Wing,2.8345786004310183,4.661710529376307,1040.4
DIANA TAURASI,PHO,2006,G,Primary On-Ball Creator,2.8320401321686557,10.418831830283336,1112.1
DEWANNA BONNER,PHO,2018,SG,Primary On-Ball Creator,2.8314881921023134,2.8981131833558513,1118.6
CANDACE PARKER,LAS,2018,PowerF,Perimeter-Oriented Big/Wing,2.7895445150523246,0.293077638741981,948.6
COURTNEY VANDERSLOOT,CHI,2022,G,Secondary Creator/Distributor,2.7698954731765912,2.741142953907677,848.0
SKYLAR DIGGINS,PHO,2021,G,Primary On-Ball Creator,2.768873487476968,6.22308991250734,1040.0
CHELSEA GRAY,LAS,2017,G,Primary On-Ball Creator,2.752186947740283,4.53862634272669,1132.1999999999998
ADUT BULGAK,NYL,2016,C,Interior Primary Option,2.7517790819487566,3.1922824720380736,23.1
CRYSTAL ROBINSON,NYL,2001,F,Spot-up Shooter,2.725874914395014,3.646654966294724,979.2
DIANA TAURASI,PHO,2013,G,Primary On-Ball Creator,2.7124137440531224,5.383039288448821,1033.6
KELSEY PLUM,LVA,2023,G,Primary On-Ball Creator,2.6902401250681494,12.465512624010223,1263.6
AVERY WARLEY-TALBERT,SAN,2016,C,Roller/Cutter,2.680562563146029,-13.662666532913562,15.3
LATASHA BYEARS,LAS,2001,SG,Interior Primary Option,2.6610528167863827,8.334927044448493,739.2
DIANA TAURASI,PHO,2014,G,Primary On-Ball Creator,2.6550960795829996,3.331534546663846,1023.0
PENNY TAYLOR,PHO,2007,F,Perimeter-Oriented Big/Wing,2.5647465506954874,6.009330747585859,1009.8
DANIELLE ADAMS,CON,2017,PowerF,Spot-up Shooter,2.5315451659277706,7.532531154869527,83.60000000000001
JAYLYN SHERROD,NYL,2024,G,Secondary Creator/Distributor,2.5222350585792075,-0.7988724207031624,37.0
CHAMIQUE HOLDSCLAW,WAS,2002,F,Perimeter-Oriented Big/Wing,2.5072284447470867,1.085753905412126,626.0
JACKIE YOUNG,LVA,2022,G,Perimeter-Oriented Big/Wing,2.5040714446781904,4.808859588103343,1128.8000000000002
KELSEY PLUM,LVA,2022,G,Primary On-Ball Creator,2.488111148770936,5.48398241354081,1180.8
EMMA MEESSEMAN,WAS,2016,F,Perimeter-Oriented Big/Wing,2.4818263295594454,1.6111923712597815,996.2
CANDICE DUPREE,PHO,2010,F,Interior Primary Option,2.47280970251191,3.355920108319827,1013.2
TAMIKA CATCHINGS,IND,2012,F,Perimeter-Oriented Big/Wing,2.461090198941607,2.455293449327864,1037.0
KRISTI HARROWER,MIN,2001,G,Secondary Creator/Distributor,2.4577185261849155,10.242004856584586,71.6
CYNTHIA COOPER,HOU,1998,G,Primary On-Ball Creator,2.4441328220355962,7.426518891571289,1050.0
CHANDI JONES,MIN,2006,G,Spot-up Shooter,2.4302851096773814,-9.803880685594995,37.8
CATHY JOENS,CHI,2007,SG,Spot-up Shooter,2.4264928675758095,-1.1284940111972916,271.7
LAUREN JACKSON,SEA,2003,PowerF,Perimeter-Oriented Big/Wing,2.417587663942754,3.286088459987232,1108.8
CYNTHIA COOPER,HOU,1997,G,Primary On-Ball Creator,2.3540518867449034,5.36373513347153,980.0
NAPHEESA COLLIER,MIN,2024,F,Perimeter-Oriented Big/Wing,2.353631713080305,3.887728540419661,1179.8000000000002
ANGIE BRAZIEL,CHA,1999,F,Roller/Cutter,2.345243376349284,-19.72464839901179,39.9
SABRINA IONESCU,NYL,2022,G,Primary On-Ball Creator,2.3336640601660665,2.0215678313676135,1162.8
ANNA CRUZ,MIN,2016,G,Secondary Creator/Distributor,2.31304630212871,-11.813496889688135,60.0
SUE BIRD,SEA,2010,G,Spot-up Shooter,2.2822679734712974,7.224732993449989,1006.5
BREANNA STEWART,SEA,2021,F,Perimeter-Oriented Big/Wing,2.2778207715611294,4.5267017556637255,932.4
SKYLAR DIGGINS,TUL,2015,G,Primary On-Ball Creator,2.2709899451080533,11.329193923204189,289.8
PENNY TAYLOR,PHO,2013,F,Spot-up Shooter,2.2597426966453247,3.581639667415413,161.0
SUE BIRD,SEA,2021,G,Spot-up Shooter,2.249242104737389,2.391897751975851,831.0
COURTNEY VANDERSLOOT,NYL,2023,G,Secondary Creator/Distributor,2.24755293624743,6.243830634368799,1185.6
MAYA MOORE,MIN,2014,F,Primary On-Ball Creator,2.2434362790975126,2.9666933353387326,1179.8000000000002
LAURIE KOEHN,WAS,2005,G,Spot-up Shooter,2.224568884181755,1.5256605539824386,228.0
BREANNA STEWART,SEA,2017,F,Perimeter-Oriented Big/Wing,2.1744250945174795,4.413851919669505,1085.7
TA'SHIA PHILLIPS,NYL,2011,C,Roller/Cutter,2.1714248451244145,-3.232507989871885,72.0
SATOU SABALLY,DAL,2024,F,Primary On-Ball Creator,2.1415465869325963,8.00916280062054,513.0
JANEL MCCARVILLE,MIN,2013,PowerF,Secondary Creator/Distributor,2.137473748877928,8.547075821560746,700.8
BREANNA STEWART,SEA,2020,F,Perimeter-Oriented Big/Wing,2.1144778073000836,3.0023491869995147,608.0
COURTNEY VANDERSLOOT,CHI,2021,G,Secondary Creator/Distributor,2.114120712259776,-0.1177924438783065,976.0
MAYA MOORE,MIN,2016,F,Primary On-Ball Creator,2.089204616738316,5.767589560771322,1009.8
MEGAN GUSTAFSON,LVA,2024,C,Spot-up Shooter,2.0774701305714656,3.676234734414323,406.6
ALLIE QUIGLEY,CHI,2017,G,Primary On-Ball Creator,2.075460511837013,3.970407330425937,1001.3
SUE BIRD,SEA,2017,G,Spot-up Shooter,2.0662322468403183,2.310734135028407,900.0
SEIMONE AUGUSTUS,MIN,2011,SG,Perimeter-Oriented Big/Wing,2.0600254993827254,3.2072677240512437,996.2
SEIMONE AUGUSTUS,MIN,2013,SG,Perimeter-Oriented Big/Wing,2.0543945450204397,10.998216362816228,923.8
ALLIE QUIGLEY,CHI,2021,G,Primary On-Ball Creator,2.036851314827096,5.974039282150384,634.4
BRIONNA JONES,CON,2023,F,Interior Primary Option,2.0153899798594885,0.9653055413422156,412.1
ELENA DELLE DONNE,CHI,2013,SG,Perimeter-Oriented Big/Wing,2.0029709309450268,9.138432026708765,942.0
SKYLAR DIGGINS,DAL,2017,G,Primary On-Ball Creator,1.980466187636702,4.814972823104834,1162.8000000000002
SHERYL SWOOPES,HOU,2005,SG,Perimeter-Oriented Big/Wing,1.9535925361103654,3.070726784781825,1224.3
BRITTNEY GRINER,PHO,2021,C,Perimeter-Oriented Big/Wing,1.9379520316219399,4.6378935421388325,984.0
SATOU SABALLY,DAL,2023,F,Perimeter-Oriented Big/Wing,1.9342920518424767,6.699941213186248,1257.8
SEIMONE AUGUSTUS,MIN,2012,SG,Primary On-Ball Creator,1.9171326287590773,4.323862579045225,826.5
EPIPHANNY PRINCE,NYL,2015,G,Primary On-Ball Creator,1.9141901493782858,0.7231182404526171,686.4000000000001
EPIPHANNY PRINCE,CHI,2012,G,Primary On-Ball Creator,1.9041438710217409,4.490256579304262,780.0
BRIONNA JONES,CON,2022,F,Interior Primary Option,1.8929901336558066,5.196468540092913,903.6
JAMIE REDD,SEA,2002,F,Spot-up Shooter,1.89090856063464,-4.285056990719233,112.0
ELENA SHAKIROVA,HOU,2000,C,Secondary Creator/Distributor,1.8797761322011424,-7.283500703041232,151.20000000000002
BETNIJAH LANEY-HAMILTON,ATL,2020,SG,Primary On-Ball Creator,1.8740616350462667,-3.054313115987431,732.5999999999999
COURTNEY VANDERSLOOT,CHI,2015,G,Primary On-Ball Creator,1.8634322882652024,5.590822089471202,1013.2
KARA BRAXTON,NYL,2011,PowerF,Interior Primary Option,1.8413061079697755,6.817890834986552,520.8000000000001
LEILANI MITCHELL,PHO,2019,G,Primary On-Ball Creator,1.8401141566363697,-1.2775253752497602,972.8
SUE BIRD,SEA,2022,G,Spot-up Shooter,1.8131624109988138,1.7416072938467533,818.4
SKYLAR DIGGINS,PHO,2022,G,Perimeter-Oriented Big/Wing,1.7986338006278382,0.9454657711919262,1020.0
TINA CHARLES,WAS,2021,C,Perimeter-Oriented Big/Wing,1.7911435737999133,0.3584288597845796,899.0999999999999
CYNTHIA COOPER,HOU,2003,G,Primary On-Ball Creator,1.7854295166860463,1.7539015441807593,144.8
CANDACE PARKER,CHI,2022,PowerF,Perimeter-Oriented Big/Wing,1.7815585277251342,3.9506823628909737,902.4
CANDACE PARKER,LAS,2017,PowerF,Perimeter-Oriented Big/Wing,1.759327629150089,2.209290928763082,1013.1
ANGELA JACKSON,WAS,1998,C,Roller/Cutter,1.7558871486496899,1.8200992957986375,34.2
CANDACE PARKER,LAS,2020,PowerF,Perimeter-Oriented Big/Wing,1.7544716785019683,0.9888265299351864,660.0
JONQUEL JONES,CON,2022,C,Interior Primary Option,1.7509120182988114,4.257395537733482,871.1999999999999
DIANA TAURASI,PHO,2011,G,Primary On-Ball Creator,1.7258878149533101,6.85297370026831,963.2
KELSEY PLUM,LVA,2021,G,Primary On-Ball Creator,1.7225057351131772,1.8176505254991089,663.0
JACKIE YOUNG,LVA,2024,G,Primary On-Ball Creator,1.7085834136395859,0.6131806601220893,1206.2
TAMIKA CATCHINGS,IND,2010,F,Primary On-Ball Creator,1.7063703783499125,3.4719644636682205,1067.6
ERIN PHILLIPS,CON,2008,G,Primary On-Ball Creator,1.704957281078629,-2.949799365656189,85.6
NNEKA OGWUMIKE,LAS,2019,F,Perimeter-Oriented Big/Wing,1.703691961969802,2.770068238278813,892.8
ALANNA SMITH,MIN,2024,F,Secondary Creator/Distributor,1.688569476770446,1.840156944702085,1033.5
MARIA KLIUNDIKOVA,LAS,2019,F,Interior Primary Option,1.6835534029407573,-7.674549456994906,180.0
DEARICA HAMBY,LVA,2018,F,Interior Primary Option,1.677590748746162,1.990077774993088,475.2
MAYA MOORE,MIN,2011,F,Primary On-Ball Creator,1.670925947457217,7.226087572945372,952.0
DIANA TAURASI,PHO,2012,G,Primary On-Ball Creator,1.662085753696042,6.976853507366053,165.6
TAMIKA CATCHINGS,IND,2003,F,Primary On-Ball Creator,1.658522361532373,1.6429573314266623,1207.0
ALLISHA GRAY,ATL,2023,G,Perimeter-Oriented Big/Wing,1.65656555420788,-3.3651666424238607,1242.6
NNEKA OGWUMIKE,LAS,2023,F,Perimeter-Oriented Big/Wing,1.6445073252688902,4.537540552700778,1119.6
CHELSEA GRAY,LAS,2018,G,Primary On-Ball Creator,1.6390805386111988,-1.2895918182883457,1111.8000000000002
ALANA BEARD,WAS,2006,SG,Primary On-Ball Creator,1.6379303550701951,4.421256590331373,1001.6
SABRINA IONESCU,NYL,2024,G,Primary On-Ball Creator,1.6095420588777112,4.682970613062572,1219.8
CAPPIE PONDEXTER,PHO,2009,G,Primary On-Ball Creator,1.6054638755556545,2.015568835542906,1064.2
QUANITRA HOLLINGSWORTH,WAS,2013,C,Roller/Cutter,1.5936926153003483,-10.29209191527093,42.0
SKYLAR DIGGINS,PHO,2020,G,Primary On-Ball Creator,1.5753464755141198,0.6429886283295144,675.4
HANNAH SJERVEN,MIN,2022,C,Roller/Cutter,1.5544282296527725,4.435207600384999,9.0
DAMIRIS DANTAS,MIN,2019,PowerF,Spot-up Shooter,1.534765760323207,0.7237152572434599,665.6
LINDSAY WHALEN,CON,2007,G,Primary On-Ball Creator,1.5172844399745615,-0.6288812307886087,1016.6
SUE BIRD,SEA,2012,G,Primary On-Ball Creator,1.5143334375590627,5.130158680429203,896.0999999999999
BRIA HARTLEY,CON,2022,G,Secondary Creator/Distributor,1.5134280229598953,-6.247653762386756,123.5
PENNY TAYLOR,PHO,2006,F,Perimeter-Oriented Big/Wing,1.5073344415705878,3.8675088071397616,509.2
CANDACE PARKER,LAS,2008,PowerF,Perimeter-Oriented Big/Wing,1.5047844230290197,1.7652532277898654,1108.8
STEFANIE DOLSON,CHI,2019,C,Secondary Creator/Distributor,1.504633969863507,3.1689330745239666,850.0
LISA LESLIE,LAS,2001,C,Perimeter-Oriented Big/Wing,1.4845868802367677,4.967387280717498,1035.4
LINDSAY WHALEN,MIN,2012,G,Secondary Creator/Distributor,1.4819710917715163,3.2887864444228136,891.0
KATIE DOUGLAS,IND,2010,SG,Primary On-Ball Creator,1.4776833738766975,1.0084502058090874,1013.2
CHENNEDY CARTER,CHI,2024,G,Perimeter-Oriented Big/Wing,1.4688346767990723,5.115991386075594,858.0
MYISHA HINES-ALLEN,WAS,2020,F,Perimeter-Oriented Big/Wing,1.465042131172472,2.8291335236864117,657.8
MAYA MOORE,MIN,2017,F,Primary On-Ball Creator,1.464642496187539,9.810407885260853,1064.2
DIANA TAURASI,PHO,2007,G,Primary On-Ball Creator,1.4579410760942553,5.964023857413078,1024.0
KRISTI TOLIVER,LAS,2012,G,Primary On-Ball Creator,1.4517826906569418,3.471183881688937,1071.0
KATIE DOUGLAS,IND,2011,SG,Primary On-Ball Creator,1.4430393554088699,3.972572595162933,940.8
KRISTI CIRONE,CON,2009,G,Secondary Creator/Distributor,1.4181056092871713,17.194055621121958,22.8
KATIE DOUGLAS,CON,2006,SG,Primary On-Ball Creator,1.4041640699161249,5.698844403436442,1011.2
LEONIE FIEBICH,NYL,2024,F,Spot-up Shooter,1.4015824028965604,3.903866289714672,836.0
TAMIKA CATCHINGS,IND,2007,F,Primary On-Ball Creator,1.39728060336795,9.463432622192787,678.3
BRIA HARTLEY,PHO,2021,G,Secondary Creator/Distributor,1.3845097581271475,-19.212952066925627,51.0
JEWELL LOYD,SEA,2020,G,Primary On-Ball Creator,1.382351255244493,1.0737786516353502,611.6
KELSEY PLUM,LVA,2018,G,Spot-up Shooter,1.380214709103699,3.6905597990318424,790.5
SEIMONE AUGUSTUS,MIN,2014,SG,Perimeter-Oriented Big/Wing,1.3779738049304948,-0.766692894224678,748.8
SUE BIRD,SEA,2016,G,Primary On-Ball Creator,1.3768795463831156,4.293091237075585,1074.4
TAMIKA CATCHINGS,IND,2004,F,Primary On-Ball Creator,1.3733995066237088,0.8699654832278443,1149.1999999999998
TIFFANY HAYES,ATL,2022,G,Primary On-Ball Creator,1.3674889054959172,-3.98873072534349,302.5
KHADIJAH WHITTINGTON,IND,2009,F,Roller/Cutter,1.3643295893610279,-0.0864799211977367,24.9
BRITANY MILLER,DET,2009,C,Roller/Cutter,1.3596448732772581,-4.56337269626935,7.7
KAYLA MCBRIDE,LVA,2018,G,Primary On-Ball Creator,1.3571090735781177,2.453247773587657,1001.3
ALIYAH BOSTON,IND,2023,PowerF,Interior Primary Option,1.3496710515671495,3.465393444371998,1248.0
DEWANNA BONNER,CON,2023,SG,Primary On-Ball Creator,1.348802093037038,3.318424630017854,1204.0
DANIELLE ADAMS,SAN,2012,PowerF,Perimeter-Oriented Big/Wing,1.3457242321454352,6.394290905143656,686.8
MAYA MOORE,MIN,2015,F,Primary On-Ball Creator,1.3417431953691654,2.912211890747516,1102.2
CRYSTAL ROBINSON,NYL,1999,F,Spot-up Shooter,1.3344113906279833,1.0447470557766525,871.1
TULLY BEVILAQUA,CLE,1998,G,Secondary Creator/Distributor,1.3307539375094974,-2.941889321132404,121.0
JEWELL LOYD,SEA,2018,G,Primary On-Ball Creator,1.3193962591538235,6.624976177781914,1009.8
VICKIE JOHNSON,NYL,2005,SG,Secondary Creator/Distributor,1.3143618269321764,0.807235765281943,1023.4
SUE BIRD,SEA,2011,G,Primary On-Ball Creator,1.3131582511918936,2.5112511286764203,1122.0
BECKY HAMMON,SAN,2009,G,Primary On-Ball Creator,1.2971074370988709,3.9890822740285463,1047.8
SEIMONE AUGUSTUS,MIN,2017,SG,Secondary Creator/Distributor,1.2860923074662647,8.467129683017008,886.4
