Player,Year,Pos,Archetype,DBPM,mean,BPM,RAPM
SANIYA CHONG,2018,G,Roller/Cutter,7.802430101984212,7.786006437951866,2.022900278865305,2.7180576794708484
MACTABENE AMACHREE,2003,F,Roller/Cutter,7.742721553052338,35.33627381056146,0.5704454078451491,13.778032976574114
KAREN BOOKER,1998,C,Secondary Creator/Distributor,7.70223246510878,-61.141515077302,,
SAM THOMAS,2023,SG,Roller/Cutter,7.479352389245036,17.77405937625101,,
TYRESA SMITH,2007,F,Roller/Cutter,7.427784639372715,-39.18543200393435,,
KELLIE JOLLY HARPER,1999,G,Secondary Creator/Distributor,7.416781683425227,-32.51675326390666,,
ZANE TAMANE,2012,C,Roller/Cutter,7.365174732653253,-15.960461162403544,0.3298829170010631,-20.194039456799235
PAT LUCKEY,2001,F,Secondary Creator/Distributor,7.177473491416995,-37.66605798224587,,
BRITTANY BREWER,2020,F,Roller/Cutter,7.168728066337923,-3.6945227001664183,-7.155671320684128,-33.58630191812118
JIA PERKINS,2004,G,Interior Primary Option,7.152944250157554,24.478756593974342,-11.809990618168897,-18.713775918310002
AMAYA VALDEMORO,1998,F,Secondary Creator/Distributor,7.137506681645432,-5.042552170391209,-6.546899736636975,-17.49809281983172
WILLNETT CROCKETT,2008,F,Roller/Cutter,6.9831533747905015,7.688871710381565,-6.122676706790748,-7.17451210232391
FLORINA PASCALAU,2008,C,Roller/Cutter,6.977789612277668,-2.60056569574974,,
MADINAH SLAISE,2000,G,Secondary Creator/Distributor,6.932478738413651,62.98338969773506,,
TRACY REID,2003,F,Secondary Creator/Distributor,6.742552522950236,-36.808288391953695,-16.029472976042456,9.939875536204049
KERRI GARDIN,2011,F,Roller/Cutter,6.7278325626553475,2.443005787270769,1.8797936167953182,-8.231231330986581
LATOYA SANDERS,2016,PowerF,Roller/Cutter,6.659206411011154,-0.4388105933495606,-2.823194534357593,-7.409737344563251
CARA CONSUEGRA,2001,G,Secondary Creator/Distributor,6.589105993797053,-20.73723452924264,-3.422037623999622,-11.961814528677023
ASHLEY ROBINSON,2004,C,Roller/Cutter,6.384069406603347,9.519124287988374,-2.402683287586802,9.665232754371194
SANDORA IRVIN,2006,F,Roller/Cutter,6.336786275312481,21.377326377780996,-10.63697883513456,-4.9926383111501735
CHRISTY SMITH,1999,G,Spot-up Shooter,6.3292449094990575,-5.037579071351883,-0.3094786543125805,-34.08919371809898
