Player,Year,Pos,Archetype,OBPM,mean
STEPHANIE WHITE,2001,SG,Spot-up Shooter,-2.3639515910414,2.6956802118046617
ODYSSEY SIMS,2019,G,Perimeter-Oriented Big/Wing,-2.365422459001682,-0.2457578297891985
AMBER HOLT,2010,F,Secondary Creator/Distributor,-2.3660433297899672,-1.2500019450596431
TEMEKA JOHNSON,2013,G,Primary On-Ball Creator,-2.3669582438846684,-2.07119837688312
OLIVIA NELSON-ODODA,2023,C,Roller/Cutter,-2.3676018279028157,-6.1518933569868555
ALLISON FEASTER,2000,F,Spot-up Shooter,-2.3702748635883935,0.7916353495934885
ALLIE QUIGLEY,2014,G,Primary On-Ball Creator,-2.3702914155437282,-3.4169516941925178
SEIMONE AUGUSTUS,2016,SG,Perimeter-Oriented Big/Wing,-2.3706522082140036,-2.669140197954152
DORKA JUHÁSZ,2023,F,Roller/Cutter,-2.372512526176452,-1.8276156463276505
CHRISTI THOMAS,2005,PowerF,Roller/Cutter,-2.372533944500752,-1.7935782312807986
JENNA O'HEA,2015,F,Spot-up Shooter,-2.3726173191420408,-5.4632951196319945
IVORY LATTA,2008,G,Primary On-Ball Creator,-2.377362493514598,-2.118323853413297
ELENA BARANOVA,2004,F,Secondary Creator/Distributor,-2.380560887959524,1.4008348648251885
SOPHIE CUNNINGHAM,2021,G,Spot-up Shooter,-2.3810441240312663,2.452068561844293
YOLANDA GRIFFITH,2007,PowerF,Interior Primary Option,-2.3845747091705953,0.5920464870512646
TINA CHARLES,2010,C,Interior Primary Option,-2.390316591403123,-0.875030975661578
COURTNEY VANDERSLOOT,2013,G,Secondary Creator/Distributor,-2.3931521604232495,2.6935328418180675
SANDY BRONDELLO,2001,G,Primary On-Ball Creator,-2.394383585568655,0.4034406139701602
TAMMI REISS,1998,G,Spot-up Shooter,-2.394704513085573,-2.893361736853076
JANICE BRAXTON,1998,F,Interior Primary Option,-2.3976674301685725,1.249968194304242
AERIAL POWERS,2017,G,Primary On-Ball Creator,-2.398039649598338,3.0558059970893283
KALEENA MOSQUEDA-LEWIS,2018,F,Spot-up Shooter,-2.398648091877744,-2.245506942744081
RUTHIE BOLTON,1997,G,Primary On-Ball Creator,-2.3999009378758362,2.5095125978849095
BRIANNA TURNER,2022,PowerF,Roller/Cutter,-2.4034544795679085,0.0261268291845949
SHANNON JOHNSON,2008,G,Spot-up Shooter,-2.4038230783080863,0.0764610117612977
CANDICE DUPREE,2018,F,Perimeter-Oriented Big/Wing,-2.403930206877792,-0.2854532510069311
MONIQUE CURRIE,2016,F,Primary On-Ball Creator,-2.404076411509967,-5.814767748192251
HAIXIA ZHENG,1997,C,Interior Primary Option,-2.406187612674297,5.289805409384384
TANGELA SMITH,2008,C,Perimeter-Oriented Big/Wing,-2.409901499308156,5.628602004581515
JOY HOLMES,2000,F,Secondary Creator/Distributor,-2.412216058983008,1.596891651503957
ELENA TORNIKIDOU,2001,F,Primary On-Ball Creator,-2.4130605141787287,-1.8887492805773896
CLARISSE MACHANGUANA,2000,PowerF,Roller/Cutter,-2.413572724600309,-2.7914297852049232
DAWN STALEY,2006,G,Spot-up Shooter,-2.4150037100905983,1.3986284272819858
MARLIES ASKAMP,1998,C,Interior Primary Option,-2.4162165601298597,5.161320483020591
ALLIE QUIGLEY,2015,G,Primary On-Ball Creator,-2.420500133097984,-1.9818979930210512
WENDY PALMER,2002,F,Primary On-Ball Creator,-2.429379256445838,-3.1809649568536744
ESSENCE CARSON,2016,G,Secondary Creator/Distributor,-2.4296878322421134,0.5906553923190428
DAMIRIS DANTAS,2014,PowerF,Roller/Cutter,-2.430814061202699,4.69239202681445
WENDY PALMER,2000,F,Interior Primary Option,-2.434749894166739,-0.8411998677335693
KATIE SMITH,1999,G,Primary On-Ball Creator,-2.4349402351435288,-0.5324085331689313
RONEEKA HODGES,2013,G,Spot-up Shooter,-2.4362036628391994,-6.9658031101598885
JAMIE REDD,2001,F,Primary On-Ball Creator,-2.4371869173931056,-1.4206008681152624
LINDSAY ALLEN,2018,G,Secondary Creator/Distributor,-2.4404573346757323,-7.193187000312738
SYDNEY COLSON,2015,G,Secondary Creator/Distributor,-2.4409466288901087,0.2389330520352936
BRITTANY BOYD-JONES,2015,G,Primary On-Ball Creator,-2.4452704087216124,0.8015443038882342
BELLA ALARIE,2021,PowerF,Roller/Cutter,-2.447619406811956,-4.274395288501398
KRISTEN RASMUSSEN,2003,F,Secondary Creator/Distributor,-2.4539019754440856,0.4958244249821121
CANDICE WIGGINS,2010,G,Spot-up Shooter,-2.4542037664201786,1.1745187341217154
BECKY HAMMON,2000,G,Spot-up Shooter,-2.455913311865359,3.176225202122914
EPIPHANNY PRINCE,2018,G,Primary On-Ball Creator,-2.4597892469928384,-4.5843975484645165
KARA LAWSON,2003,G,Spot-up Shooter,-2.460169668460278,0.893886518135168
ERIKA DE SOUZA,2009,PowerF,Interior Primary Option,-2.4623558408292006,0.9114899164680028
AARI MCDONALD,2022,G,Primary On-Ball Creator,-2.4629146364132533,-1.3478157680794425
ANGEL MCCOUGHTRY,2014,SG,Perimeter-Oriented Big/Wing,-2.4631389760761353,0.4716529560902718
CHASITY MELVIN,2006,PowerF,Interior Primary Option,-2.46457541925536,2.865198614939762
ALYSHA CLARK,2015,F,Spot-up Shooter,-2.46504908113356,4.272571820140227
CHARLOTTE SMITH,2002,F,Secondary Creator/Distributor,-2.4655604352179865,4.977699586517968
TAMECKA DIXON,2003,G,Primary On-Ball Creator,-2.4669274727723436,-4.968276941274103
SIDNEY SPENCER,2010,G,Spot-up Shooter,-2.471766069008762,0.329570109785856
KAHLEAH COPPER,2017,SG,Secondary Creator/Distributor,-2.477371593375563,-6.3065011736065815
ELIZABETH WILLIAMS,2024,PowerF,Interior Primary Option,-2.4820025634353193,-0.0464248811300895
PLENETTE PIERSON,2011,F,Interior Primary Option,-2.4853083414180777,2.221145170153106
TICHA PENICHEIRO,2008,G,Secondary Creator/Distributor,-2.4868283919744565,1.1792884888510975
BRITTNEY GRINER,2020,C,Perimeter-Oriented Big/Wing,-2.487151336314764,1.0663084658088122
DEANNA NOLAN,2009,SG,Primary On-Ball Creator,-2.487775268414071,-0.954199196061354
NYKESHA SALES,1999,SG,Primary On-Ball Creator,-2.4885088717098878,-0.1211326721645643
DAWN STALEY,2002,G,Primary On-Ball Creator,-2.4894004128894656,1.569338764282613
KELLY MAZZANTE,2005,G,Spot-up Shooter,-2.493086269508627,-16.218204032383124
ELENA BARANOVA,2003,F,Secondary Creator/Distributor,-2.4937583508673855,3.473884313202196
JAELYN BROWN,2024,SG,Secondary Creator/Distributor,-2.4991433959224603,-10.113526808963178
CHEYENNE PARKER-TYUS,2019,F,Interior Primary Option,-2.4995861347287405,-1.107263227994168
CHASITY MELVIN,1999,PowerF,Interior Primary Option,-2.509651138884559,-0.35951720834082
DAWN STALEY,2000,G,Spot-up Shooter,-2.511164871121494,-0.5596763093229243
EVA NEMCOVA,1998,F,Secondary Creator/Distributor,-2.5147160408599505,3.3254546589116973
DELISHA MILTON-JONES,2005,F,Primary On-Ball Creator,-2.5150803299716293,2.705524210227601
SHAMEKA CHRISTON,2015,G,Spot-up Shooter,-2.5161680412474006,3.895540567069785
BETTY LENNOX,2000,G,Primary On-Ball Creator,-2.5177039506481713,-2.224003041071086
BRIANN JANUARY,2019,G,Secondary Creator/Distributor,-2.520580116489355,-2.1456719517627056
JASMINE THOMAS,2019,G,Primary On-Ball Creator,-2.5208193185545067,3.6047011770379673
MARIE FERDINAND-HARRIS,2002,G,Primary On-Ball Creator,-2.5212398396253777,1.773083316357556
TARA WILLIAMS,2000,G,Spot-up Shooter,-2.52209814095313,3.1030947131329887
MYISHA HINES-ALLEN,2019,F,Secondary Creator/Distributor,-2.529619469124568,-1.0267890250953775
AARI MCDONALD,2023,G,Secondary Creator/Distributor,-2.531018271027996,-6.207756400609893
NICKY ANOSIKE,2008,PowerF,Interior Primary Option,-2.531124228179073,-2.097960035836641
SONJA PETROVIC,2016,F,Secondary Creator/Distributor,-2.5315134974562645,-9.159785274755963
MARISSA COLEMAN,2013,SG,Spot-up Shooter,-2.532276514521481,-1.240522190073852
LUCIENNE BERTHIEU,2002,PowerF,Roller/Cutter,-2.5324299918660844,-2.5674930915119356
MERLAKIA JONES,2002,G,Perimeter-Oriented Big/Wing,-2.5333616123319507,-0.8906910742134143
IZIANE CASTRO MARQUES,2010,SG,Primary On-Ball Creator,-2.5345327947534573,0.0326263874493088
SHERI SAM,2003,SG,Perimeter-Oriented Big/Wing,-2.537725161572589,2.3287615602285197
ELENA BARANOVA,2005,F,Secondary Creator/Distributor,-2.537826226649951,3.6694692176814714
AERIAL POWERS,2016,G,Primary On-Ball Creator,-2.540281616058348,-0.843983045482829
K.B. SHARP,2007,G,Secondary Creator/Distributor,-2.5463227636778925,-0.6444138963022453
YOLANDA GRIFFITH,2006,PowerF,Interior Primary Option,-2.548985830724424,-0.759934005914787
ANN WAUTERS,2008,C,Perimeter-Oriented Big/Wing,-2.5520288456082865,0.1882756140372453
NYKESHA SALES,2002,SG,Primary On-Ball Creator,-2.5526225371780944,3.154844630062839
CRYSTAL LANGHORNE,2011,PowerF,Interior Primary Option,-2.55531019443272,0.4298664352280135
SOPHIA YOUNG-MALCOLM,2014,F,Interior Primary Option,-2.5599589424810487,0.314133142666645
KARA LAWSON,2014,G,Spot-up Shooter,-2.5610529207166977,0.0127903965674698
LOREE MOORE,2007,G,Spot-up Shooter,-2.5623965763635415,1.2131673307502326
SANDRA VANEMBRICQS,1998,PowerF,Roller/Cutter,-2.564501069136057,-1.4606169638985915
WALTIEA ROLLE,2014,C,Roller/Cutter,-2.5668414798395474,-3.691896963124069
LEXIE HULL,2024,G,Spot-up Shooter,-2.5690101222357473,7.498606815504595
JASMINE THOMAS,2021,G,Primary On-Ball Creator,-2.5767536023575133,4.748078173352793
KIAH STOKES,2017,C,Roller/Cutter,-2.5768726710956216,-5.2855272894952305
AMBER HOLT,2012,F,Spot-up Shooter,-2.5780587465771,-0.0914390215969298
ANGEL REESE,2024,F,Interior Primary Option,-2.5804374055154056,0.5590063153757733
LEILANI MITCHELL,2021,G,Spot-up Shooter,-2.580878200789444,0.6339224259582067
ALANA BEARD,2013,SG,Secondary Creator/Distributor,-2.5878296458035934,5.873130226444046
MONIQUE CURRIE,2011,F,Perimeter-Oriented Big/Wing,-2.590638900837168,-2.2904507343893497
SOPHIA YOUNG-MALCOLM,2011,F,Perimeter-Oriented Big/Wing,-2.592704442467687,-0.018494671435898
CAROLYN SWORDS,2018,C,Roller/Cutter,-2.5931133806307782,3.394567388304992
EPIPHANNY PRINCE,2011,G,Primary On-Ball Creator,-2.5972845364641146,-1.6887956108116262
SIDNEY SPENCER,2008,G,Spot-up Shooter,-2.598218599348309,-7.077399590828921
KRISTI TOLIVER,2021,G,Primary On-Ball Creator,-2.6007276653311346,-3.3875839626403508
ALLISON FEASTER,2001,F,Spot-up Shooter,-2.6025971543688655,2.560102611674063
NIKKI TEASLEY,2002,G,Spot-up Shooter,-2.602721255584994,-0.3599314964407876
NIKKI MCCRAY,2000,G,Primary On-Ball Creator,-2.603772733227029,1.056856762902972
RHONDA MAPP,1998,C,Interior Primary Option,-2.6060678300685787,4.131656599200393
RHONDA MAPP,1997,C,Interior Primary Option,-2.6071795726034366,-2.1297685782159146
STEPHANIE TALBOT,2024,F,Secondary Creator/Distributor,-2.60992360948848,3.453536854022319
JACKIE YOUNG,2019,G,Secondary Creator/Distributor,-2.618232909139578,-0.8727153308651628
ASJHA JONES,2012,F,Perimeter-Oriented Big/Wing,-2.619155468908565,2.642733754168856
LEILANI MITCHELL,2015,G,Spot-up Shooter,-2.623786212770428,-1.1035205857955952
DEVEREAUX PETERS,2012,F,Roller/Cutter,-2.624200761306887,-2.680089195450106
SUE BIRD,2015,G,Primary On-Ball Creator,-2.6246947327135484,2.349486555324719
SHENISE JOHNSON,2012,G,Secondary Creator/Distributor,-2.6280608420090337,-8.422588218558015
DAMIRIS DANTAS,2024,PowerF,Secondary Creator/Distributor,-2.631388733796459,-0.695024329438581
MAYA CALDWELL,2024,G,Secondary Creator/Distributor,-2.6337176582400095,-7.043603427551095
COURTNEY PARIS,2015,C,Roller/Cutter,-2.634417126868816,8.448916224316802
JANTEL LAVENDER,2014,F,Interior Primary Option,-2.6378004165486946,-3.370865549605934
AMANDA ZAHUI B,2016,C,Interior Primary Option,-2.6379628521284872,-4.903873487333428
DEBBIE BLACK,2001,G,Secondary Creator/Distributor,-2.6427163598337304,-1.856845055187652
RACHEL BANHAM,2022,G,Spot-up Shooter,-2.6451773434079087,-3.200229048648152
