Player,Year,Pos,Archetype,BPM,RAPM
BLAKE DIETRICK,2016,G,Roller/Cutter,25.227909677851223,12.176102457778548
AMISHA CARTER,2005,F,Roller/Cutter,18.95608571354039,40.415576996301006
KYSRE GONDREZICK,2024,G,Spot-up Shooter,16.383247124638146,69.20937300032085
SHAUNZINSKI GORTMAN,2004,G,Secondary Creator/Distributor,15.486769006035122,16.13684896104227
ERICA MCCALL,2020,F,Roller/Cutter,11.577287205043987,6.119559562108844
JAMILA WIDEMAN,2000,G,Roller/Cutter,11.436588911747638,-35.103132108363994
MONIQUE COKER,2004,PowerF,Spot-up Shooter,10.625137556721576,17.169777602712195
SHYLA HEAL,2021,G,Secondary Creator/Distributor,9.251625303308957,27.820914159212307
KALANA GREENE,2014,G,Roller/Cutter,9.169432217092403,1.9491450086227609
ADRIANA MOISES PINTO,2007,G,Secondary Creator/Distributor,9.02428234712983,-14.655398584174161
TAMERA YOUNG,2009,F,Secondary Creator/Distributor,8.95626574734067,20.49821037497174
SHATORI WALKER-KIMBROUGH,2021,G,Secondary Creator/Distributor,8.164549944293853,-4.025455755380136
CHEYENNE PARKER-TYUS,2015,F,Roller/Cutter,8.108327440771134,-1.8086661226293002
GRACE DALEY,2001,G,Secondary Creator/Distributor,8.037936706310155,4.3371785181500115
TANGELA SMITH,2009,C,Secondary Creator/Distributor,7.95926416733811,12.88982039601845
KELLEY GIBSON,2000,SG,Spot-up Shooter,7.857051013183554,8.957908649147313
TAMARA STOCKS,2001,PowerF,Roller/Cutter,7.779063721915277,-57.33540894344651
BRITTANY WILKINS,2006,C,Roller/Cutter,7.731666917104892,3.371900820142116
JESSICA BRUNGO,2005,F,Secondary Creator/Distributor,7.380452500203147,5.8503759214642415
CHRISTELLE N'GARSANET,2006,C,Interior Primary Option,7.349094443637269,3.647364692997062
TAMIKA CATCHINGS,2006,F,Primary On-Ball Creator,7.3042328481081435,17.36460417916412
POLLYANNA JOHNS KIMBROUGH,2004,C,Roller/Cutter,7.278555892839258,-6.67130737879395
MERCEDES RUSSELL,2023,C,Roller/Cutter,7.256647772344866,4.168220828774992
VICTORIA DUNLAP,2012,F,Interior Primary Option,7.153025385574805,64.49263157548447
DOMINIQUE CANTY,2004,G,Roller/Cutter,7.115860769783653,9.985041184192262
IVORY LATTA,2016,G,Spot-up Shooter,7.101816298732654,3.3675065030075726
COURTNEY PARIS,2019,C,Roller/Cutter,6.864424509537118,-3.8659168091497085
SONJA MALLORY,2003,C,Roller/Cutter,6.780741617212652,22.135100258707077
NATASHA LACY,2014,G,Secondary Creator/Distributor,6.689601715703829,2.6251660683249973
MWADI MABIKA,2000,G,Primary On-Ball Creator,6.649529995543503,11.10591864600724
TAMIKA CATCHINGS,2002,F,Primary On-Ball Creator,6.568354372188317,-0.8568288698398634
RESHANDA GRAY,2020,F,Roller/Cutter,6.540929372429034,38.57459265004705
STACEY THOMAS,2000,F,Secondary Creator/Distributor,6.481514855312517,11.88244322243499
TERA BJORKLUND,2004,C,Secondary Creator/Distributor,6.449669455785858,11.246543419627468
JONQUEL JONES,2022,C,Interior Primary Option,5.7175810304749675,13.481851053684448
CHANTEL TREMITIERE,1997,G,Secondary Creator/Distributor,5.688188522130489,2.068390004391732
BREANNA STEWART,2023,F,Perimeter-Oriented Big/Wing,5.599924456226134,6.581513078803657
KRYSTAL THOMAS,2011,C,Roller/Cutter,5.540183294735013,-10.614536266159595
LA'TANGELA ATKINSON,2009,SG,Roller/Cutter,5.515825642299927,9.965826680224033
ANDREA KUKLOVA,1999,SG,Secondary Creator/Distributor,5.51117388948442,-31.666229255818372
NATASHA CLOUD,2015,G,Secondary Creator/Distributor,5.508947025049355,6.061293437522089
CELESTE TAYLOR,2024,G,Secondary Creator/Distributor,5.350903883943335,3.5548560673566603
NYKESHA SALES,1999,SG,Primary On-Ball Creator,5.338596075654481,7.13643537958972
ALANA BEARD,2018,SG,Roller/Cutter,5.290771119481603,10.535573241456309
BETNIJAH LANEY-HAMILTON,2016,SG,Roller/Cutter,5.073721161968079,-21.378659926768925
CAMILLE SMITH,2007,F,Roller/Cutter,5.04987849535245,4.313181617815735
ESSENCE CARSON,2009,G,Primary On-Ball Creator,4.933170723842548,14.020233963764793
LA'TANGELA ATKINSON,2008,SG,Roller/Cutter,4.883458422849724,-16.065001709878896
ALANA BEARD,2017,SG,Secondary Creator/Distributor,4.866077980406771,10.583382985959656
ERIKA DE SOUZA,2002,PowerF,Interior Primary Option,4.85020516969796,-36.477144747608364
TICHA PENICHEIRO,2003,G,Secondary Creator/Distributor,4.80394937816671,9.742008702299492
KATIE MATTERA,2009,C,Roller/Cutter,4.775518904123673,-8.290828520634513
SYLVIA FOWLES,2009,C,Interior Primary Option,4.758860162865929,8.044521882275477
COURTNEY VANDERSLOOT,2013,G,Secondary Creator/Distributor,4.750302615852965,10.751221356571392
TASHA BUTTS,2004,F,Spot-up Shooter,4.679924019727278,10.236442992019965
CANDACE PARKER,2017,PowerF,Perimeter-Oriented Big/Wing,4.652815246491429,8.612697822788434
LEAH RUSH,2008,F,Secondary Creator/Distributor,4.649266551337615,-61.3952340047567
MICHELLE MARCINIAK,2002,G,Secondary Creator/Distributor,4.604744757656767,15.251192814216253
KISHA FORD,1999,SG,Roller/Cutter,4.590075699554237,13.71816173540262
TAJ MCWILLIAMS-FRANKLIN,2008,PowerF,Perimeter-Oriented Big/Wing,4.510669159992611,8.11637542885426
TAMMY JACKSON,1998,PowerF,Roller/Cutter,4.496647382911231,-0.4461163676738984
VICKI HALL,2002,F,Roller/Cutter,4.395892817808949,-15.380928422126276
JENNIFER WHITTLE,1999,C,Secondary Creator/Distributor,4.264386499382594,-18.956636269126804
BREANNA STEWART,2024,F,Perimeter-Oriented Big/Wing,4.1678072357968325,1.7116981019405473
DAVALYN CUNNINGHAM,2002,F,Roller/Cutter,4.147896191950306,-30.449366783533193
LINDA BURGESS,1997,F,Roller/Cutter,4.141757830554147,1.4750198893343152
YOLANDA GRIFFITH,2005,PowerF,Interior Primary Option,4.12497798000083,8.019120461199247
KIA VAUGHN,2012,C,Roller/Cutter,4.09189492247836,4.842151689042021
TAMIKA CATCHINGS,2012,F,Perimeter-Oriented Big/Wing,4.04050992635194,6.006087612426111
TIFFANY MITCHELL,2019,G,Secondary Creator/Distributor,4.0092920305634125,3.9801434929218606
KATIE LOU SAMUELSON,2021,F,Spot-up Shooter,3.961315395307597,14.124030775641197
CHANTE BLACK,2010,C,Roller/Cutter,3.9472159398771893,11.267882288955265
KHADIJAH WHITTINGTON,2008,F,Roller/Cutter,3.923780188193082,12.142842470225773
PENNY TAYLOR,2004,F,Primary On-Ball Creator,3.8946875123325517,6.212502902650715
DANIELLE ROBINSON,2020,G,Secondary Creator/Distributor,3.7422374141713215,0.8666766833027095
TAMIKA WHITMORE,1999,F,Interior Primary Option,3.7391970745113294,7.2856232824880935
ASHLEY BATTLE,2009,F,Secondary Creator/Distributor,3.7353293038895465,4.361668990810445
BETTY LENNOX,2007,G,Primary On-Ball Creator,3.703874075047591,5.219836393162998
TAJ MCWILLIAMS-FRANKLIN,1999,PowerF,Interior Primary Option,3.7025387211900163,9.035014048412684
TANGELA SMITH,2011,C,Spot-up Shooter,3.6862963643073843,2.5197869268032025
CINTIA DOS SANTOS,2001,C,Interior Primary Option,3.6837697018093714,9.39378081179585
LINDSAY ALLEN,2024,G,Secondary Creator/Distributor,3.6225155070226944,5.276063377168326
NAPHEESA COLLIER,2019,F,Interior Primary Option,3.496901523236274,9.30316498350034
JONQUEL JONES,2024,C,Interior Primary Option,3.4820755846660623,9.87950721835039
TICHA PENICHEIRO,1999,G,Secondary Creator/Distributor,3.4743253033459442,5.710979426824053
ALYSSA THOMAS,2019,F,Interior Primary Option,3.374978444837768,8.312530003301095
SANCHO LYTTLE,2011,F,Perimeter-Oriented Big/Wing,3.35200561623179,8.886902015718292
STEFANIE DOLSON,2024,C,Spot-up Shooter,3.327981239493307,6.103476927254036
SYDNEY COLSON,2018,G,Interior Primary Option,3.2556233164807624,-20.018312166512825
SHERYL SWOOPES,2005,SG,Perimeter-Oriented Big/Wing,3.190308985854996,2.514679446189909
TIFFANY HAYES,2017,G,Primary On-Ball Creator,3.175914516591381,8.88502570042637
PLENETTE PIERSON,2008,F,Interior Primary Option,3.1633464832086844,11.333789790822193
A'JA WILSON,2024,C,Perimeter-Oriented Big/Wing,3.1606652754776015,2.230212461516509
YOLANDA GRIFFITH,2003,PowerF,Interior Primary Option,3.147707490201559,11.782246780780987
JACKIE YOUNG,2023,G,Primary On-Ball Creator,3.106526195265,15.330953729741644
TAMIKA CATCHINGS,2009,F,Primary On-Ball Creator,3.0944198400875855,3.760183060416429
SOPHIA YOUNG-MALCOLM,2011,F,Perimeter-Oriented Big/Wing,3.079942818021054,13.048950096796503
EUGENIA RYCRAW,1998,C,Roller/Cutter,3.058268077501884,3.8868503418034557
MARIA STEPANOVA,2005,C,Interior Primary Option,3.0139774365965373,7.726338799253204
CHELSEA GRAY,2023,G,Primary On-Ball Creator,3.0119133683249872,7.232236290953716
JONQUEL JONES,2018,C,Interior Primary Option,3.001098695836031,6.415176529783218
PAULINE JORDAN,1998,PowerF,Roller/Cutter,2.997754369205424,4.269814540450544
DESTINY SLOCUM,2022,G,Spot-up Shooter,2.9929159934431824,-4.157121647057521
KATIE DOUGLAS,2002,SG,Spot-up Shooter,2.9741459848743994,0.7199841520665784
TARI PHILLIPS,2003,PowerF,Interior Primary Option,2.96715134147857,7.925256269698716
SHERYL SWOOPES,2000,SG,Perimeter-Oriented Big/Wing,2.955110554250446,9.458011872397229
NIA CLOUDEN,2023,G,Secondary Creator/Distributor,2.9447180133080195,-19.068598744853897
NAPHEESA COLLIER,2024,F,Perimeter-Oriented Big/Wing,2.9368751423847668,10.006670850150682
TINA CHARLES,2011,C,Perimeter-Oriented Big/Wing,2.92122342362081,3.7249515151081023
A'JA WILSON,2023,C,Perimeter-Oriented Big/Wing,2.904870616300862,10.736685573749362
LUCIENNE BERTHIEU,2003,PowerF,Interior Primary Option,2.853426260475564,16.3227936685609
CELINE DUMERC,2014,G,Spot-up Shooter,2.840142256094399,14.461748671247818
MARGO DYDEK,1998,C,Perimeter-Oriented Big/Wing,2.814014961325597,3.6825904898948645
ASHLEY SHIELDS,2008,G,Primary On-Ball Creator,2.8087030680457614,-0.18127143890954933
EVINA WESTBROOK,2022,G,Secondary Creator/Distributor,2.7981242318832082,-5.951425335301536
CRYSTAL BRADFORD,2021,F,Primary On-Ball Creator,2.79775784478228,5.822034662220924
MARIE FERDINAND-HARRIS,2007,G,Secondary Creator/Distributor,2.796765051576167,-3.2991881495537863
ADRIAN WILLIAMS-STRONG,2002,PowerF,Roller/Cutter,2.7643188833509718,4.117252220567251
RITA WILLIAMS,1998,G,Spot-up Shooter,2.753831955320175,1.101751700185486
SATOU SABALLY,2023,F,Perimeter-Oriented Big/Wing,2.747678621495634,6.163725434015193
TAMIKA CATCHINGS,2007,F,Primary On-Ball Creator,2.747382824489058,13.005681777241403
TAMMY JACKSON,1997,PowerF,Roller/Cutter,2.729265059852664,3.670717918600198
ASTOU NDOUR-FALL,2024,PowerF,Secondary Creator/Distributor,2.727514430498899,-0.1251183589358682
ARMINTIE HERRINGTON,2009,G,Roller/Cutter,2.723702319796214,-3.2160817723521897
NANCY LIEBERMAN,1997,G,Spot-up Shooter,2.593901297116977,17.586135107885664
VICKIE JOHNSON,2005,SG,Secondary Creator/Distributor,2.5922227725768785,7.6449657463213825
RONEEKA HODGES,2009,G,Spot-up Shooter,2.592102015734962,5.249394939429193
TA'SHIA PHILLIPS,2011,C,Roller/Cutter,2.592049941449398,-11.379141751534013
CAMILLE SMITH,2015,F,Secondary Creator/Distributor,2.576255038777588,2.8273742653588405
LINDSEY HARDING,2013,G,Secondary Creator/Distributor,2.557999250242689,-0.025291395651756476
STEFANIE DOLSON,2022,C,Roller/Cutter,2.526731500771006,1.2040373434799156
MFON UDOKA,1998,F,Interior Primary Option,2.432556860224033,-18.920183454168757
OLYMPIA SCOTT,2002,C,Interior Primary Option,2.426188951824063,2.87189344740419
TAMIKA CATCHINGS,2005,F,Primary On-Ball Creator,2.4205169706406218,5.774342662794949
JENNIFER AZZI,2003,G,Spot-up Shooter,2.409955647234108,4.6575356177834415
MARGO DYDEK,2001,C,Perimeter-Oriented Big/Wing,2.3950813739848713,5.839724840296745
AMBER HARRIS,2017,F,Roller/Cutter,2.391208211636406,-19.88333420011556
ELAINE POWELL,2003,G,Secondary Creator/Distributor,2.371678639981732,5.111473534748114
IVORY LATTA,2013,G,Primary On-Ball Creator,2.3324379866679394,7.001647695074346
HAMCHETOU MAIGA-BA,2007,F,Roller/Cutter,2.330394505746142,6.400225716172635
JENNIFER GILLOM,1998,PowerF,Perimeter-Oriented Big/Wing,2.3199009532449395,7.231010019416288
TICHA PENICHEIRO,1998,G,Secondary Creator/Distributor,2.3188197369311285,-1.8029443510374557
SEIMONE AUGUSTUS,2011,SG,Perimeter-Oriented Big/Wing,2.314894412368303,7.108064229794323
CHRISTI THOMAS,2010,PowerF,Roller/Cutter,2.307566724111757,3.2221967222407253
RUTH RILEY,2007,C,Roller/Cutter,2.2893435058324223,5.542119110690199
DEMYA WALKER,2001,F,Interior Primary Option,2.248997437862683,4.063927311050991
CANDACE PARKER,2018,PowerF,Perimeter-Oriented Big/Wing,2.2208490899348154,2.3049164717748933
DESTANNI HENDERSON,2024,G,Secondary Creator/Distributor,2.204562923681943,9.525915341331384
BRITTNEY GRINER,2014,C,Interior Primary Option,2.193108721352764,10.54898402719383
SHERYL SWOOPES,2003,SG,Primary On-Ball Creator,2.166034747663125,2.0646476329554253
ANGEL MCCOUGHTRY,2022,SG,Interior Primary Option,2.1483036840665592,-4.837928175155879
NIKKI MCCRAY,2002,G,Secondary Creator/Distributor,2.1371264503363987,5.103171034490634
ALAINA COATES,2023,C,Roller/Cutter,2.1246303544785143,-2.3624976511152056
TAMIKA CATCHINGS,2003,F,Primary On-Ball Creator,2.11568927525911,0.2951141085131379
KAYTE CHRISTENSEN,2005,F,Roller/Cutter,2.104137463829984,8.554281751818294
PLENETTE PIERSON,2012,F,Interior Primary Option,2.1001766822362393,0.15578143628104513
MICHELLE SNOW,2003,C,Interior Primary Option,2.0957530958479134,5.345052175858006
ALISON BALES,2008,C,Roller/Cutter,2.09311984917374,0.8660297524638946
SUGAR RODGERS,2016,G,Spot-up Shooter,2.0711177379115444,7.7486170560547
NNEKA OGWUMIKE,2013,F,Interior Primary Option,2.0625397045395046,8.793097956855117
CINDY BROWN,1998,F,Secondary Creator/Distributor,2.053512798686452,10.331283913519263
KRYSTAL THOMAS,2014,C,Roller/Cutter,2.0363402670824775,4.1136474034303925
ELIZABETH WILLIAMS,2021,PowerF,Roller/Cutter,2.0236931050328755,-2.6128982842671444
SANIYA CHONG,2018,G,Roller/Cutter,2.022900278865305,2.7180576794708484
VICKY BULLETT,2001,F,Secondary Creator/Distributor,2.0174931423843456,3.3879677631612686
ELENA BARANOVA,1997,F,Primary On-Ball Creator,2.0150370144144083,7.391078199085085
ANN STROTHER,2006,SG,Spot-up Shooter,1.9575808590102572,-0.8773807013283328
MONICA WRIGHT,2013,G,Secondary Creator/Distributor,1.9558468018240005,5.635379763289746
STACEY THOMAS,2003,F,Spot-up Shooter,1.9488511878328327,5.434926656567578
KAYLA MCBRIDE,2017,G,Primary On-Ball Creator,1.945751137028596,6.408846435326393
ADRIAN WILLIAMS-STRONG,2006,PowerF,Roller/Cutter,1.9190883855998693,-2.2394868867963393
JANETH ARCAIN,2005,G,Perimeter-Oriented Big/Wing,1.9171142989001493,7.070012698673577
KIA VAUGHN,2011,C,Interior Primary Option,1.9068243587084646,0.6640167168030695
LAURA SUMMERTON,2005,C,Roller/Cutter,1.8848728170774178,30.96310599670194
KERRI GARDIN,2011,F,Roller/Cutter,1.8797936167953182,-8.231231330986581
TAMIKA RAYMOND,2003,F,Roller/Cutter,1.8544988773103575,2.369231054237487
VANESSA HAYDEN,2005,C,Interior Primary Option,1.851011621103178,5.7824664881343075
TAMARA MOORE,2004,G,Secondary Creator/Distributor,1.8298563459029942,7.903968142987365
LINDSAY WHALEN,2007,G,Primary On-Ball Creator,1.8172483575129887,5.046157218186638
LAUREN JACKSON,2005,PowerF,Perimeter-Oriented Big/Wing,1.8060014052664544,2.329799871604225
SHONI SCHIMMEL,2016,G,Spot-up Shooter,1.793978424807662,17.95768116338302
KRISTI TOLIVER,2017,G,Spot-up Shooter,1.793721698362405,3.9276691899107785
SVETLANA ABROSIMOVA,2003,F,Primary On-Ball Creator,1.7925873910384498,4.315362282822206
KAREN BOOKER,1997,C,Roller/Cutter,1.7556312712309734,-2.008578618210529
YOLANDA GRIFFITH,2001,PowerF,Interior Primary Option,1.7434006763776928,3.4204218302223826
ALYSSA THOMAS,2017,F,Interior Primary Option,1.7386913193789533,8.840559187358167
ALYSSA THOMAS,2024,F,Interior Primary Option,1.7090445012957107,-1.1310909486576672
TAMMY SUTTON-BROWN,2008,C,Interior Primary Option,1.7064585801578465,10.336907935545073
JEWELL LOYD,2021,G,Primary On-Ball Creator,1.700525134125618,2.5310074585055737
ANDREA LLOYD-CURRY,1999,F,Spot-up Shooter,1.698989652522542,6.3006776533360505
ANGEL MCCOUGHTRY,2013,SG,Perimeter-Oriented Big/Wing,1.6989169806597122,8.905223300576912
SANDRA VANEMBRICQS,1998,PowerF,Roller/Cutter,1.686183353507961,-0.9449929131112015
RUTHY HEBARD,2021,F,Roller/Cutter,1.6811616499841975,1.3221906246958355
VICKIE JOHNSON,2003,SG,Primary On-Ball Creator,1.6808546049033188,2.7570946237773164
JESSICA DAVENPORT,2012,C,Interior Primary Option,1.6546306682364205,4.669474007859734
SOPHIE CUNNINGHAM,2023,G,Spot-up Shooter,1.6500601155136396,1.6587970221048085
MONICA MAXWELL,2000,F,Spot-up Shooter,1.6472443419567062,-1.9044524685548225
KIAH STOKES,2022,C,Roller/Cutter,1.6341591682630017,3.915006468093335
VICKIE JOHNSON,1997,SG,Perimeter-Oriented Big/Wing,1.6333960779703776,6.608772815157777
EZI MAGBEGOR,2021,PowerF,Interior Primary Option,1.6310960330151447,0.8394343932506818
ALANA BEARD,2016,SG,Secondary Creator/Distributor,1.613139574298373,9.872583304861527
SHANNON JOHNSON,2008,G,Spot-up Shooter,1.6096758568149783,4.132083707676714
WHITNEY KNIGHT,2016,G,Spot-up Shooter,1.607590236931081,-9.482116606467935
LE'COE WILLINGHAM,2011,F,Roller/Cutter,1.5860575854246246,12.885158820986096
EBONY HOFFMAN,2009,F,Secondary Creator/Distributor,1.583413720435924,6.152834227228224
KAYLA ALEXANDER,2014,C,Roller/Cutter,1.55272841486577,1.3163545563291195
MONICA MAXWELL,2002,F,Spot-up Shooter,1.54481483248536,10.269863175395173
DOMINIQUE CANTY,2005,G,Interior Primary Option,1.5374021406231373,2.865490115424832
MARINA MABREY,2019,G,Spot-up Shooter,1.532379817885091,3.414426867798242
ARICA CARTER,2019,G,Secondary Creator/Distributor,1.527013150712727,-10.239601530253875
TAMARA MOORE,2003,G,Secondary Creator/Distributor,1.5116129545249435,-11.07586373038033
CRYSTAL LANGHORNE,2009,PowerF,Interior Primary Option,1.5075878455264702,12.028856657334412
SHALONDA ENIS,2003,PowerF,Interior Primary Option,1.4999749724810343,0.718914386884856
AZURÁ STEVENS,2019,PowerF,Roller/Cutter,1.4944243742456282,-3.8765434071325036
JENNIFER HAMSON,2017,C,Roller/Cutter,1.4890299913403062,3.9614013935160832
KATASHA ARTIS,1997,F,Secondary Creator/Distributor,1.4683278466013396,-12.495608590663807
JAE KINGI-CROSS,2004,G,Secondary Creator/Distributor,1.4656638620307345,-4.223307418616625
KEDRA HOLLAND-CORN,2003,G,Spot-up Shooter,1.448719269433011,9.471263309356853
JANEL MCCARVILLE,2007,PowerF,Interior Primary Option,1.4475731811127885,6.628275292190155
MARIA KLIUNDIKOVA,2018,F,Roller/Cutter,1.4336348476232472,6.1813116985214265
MARGO DYDEK,2005,C,Roller/Cutter,1.42499746530582,8.229258995218288
DELISHA MILTON-JONES,2001,F,Perimeter-Oriented Big/Wing,1.4105238423134407,14.433169231126584
TEANA MILLER,2003,C,Roller/Cutter,1.4083347727554056,12.069061597355727
SYLVIA FOWLES,2010,C,Interior Primary Option,1.4067899588789907,6.482541575150487
TAMIKA CATCHINGS,2008,F,Primary On-Ball Creator,1.4050205665540765,0.840739400746547
LA'KESHIA FRETT,2002,F,Secondary Creator/Distributor,1.3977641749001024,2.102691351339257
NATASHA HOWARD,2016,F,Interior Primary Option,1.3649297949222097,10.459718271520247
NIKKI GREENE,2014,PowerF,Roller/Cutter,1.364077761671627,-8.718209617401149
GLORY JOHNSON,2012,F,Interior Primary Option,1.359257729401458,3.1602466949227765
LAQUANDA QUICK,2003,G,Spot-up Shooter,1.3550180353531482,-2.182167290785114
ALYSSA THOMAS,2023,F,Interior Primary Option,1.3504481020408983,6.499682052588193
VICTORIA MACAULAY,2015,F,Roller/Cutter,1.3483379997813256,-22.89584673402106
GRACE DALEY,2003,G,Secondary Creator/Distributor,1.347408367669254,22.073896903485462
BRIDGET CARLETON,2023,F,Spot-up Shooter,1.3432468709339773,3.097225245201712
MAYA MOORE,2014,F,Primary On-Ball Creator,1.335289233392744,5.80063254657788
KAYLA MCBRIDE,2021,G,Spot-up Shooter,1.318657730527429,9.804231897638731
QUANITRA HOLLINGSWORTH,2011,C,Roller/Cutter,1.317311763655165,11.261586928669988
TINA THOMPSON,2010,F,Perimeter-Oriented Big/Wing,1.3052418329539779,0.518999958312506
CRYSTAL ROBINSON,2001,F,Spot-up Shooter,1.300783094728386,0.5705298213854375
STEFANIE DOLSON,2014,C,Roller/Cutter,1.2962064384545502,8.321920754305884
SLOBODANKA TUVIC,2001,C,Roller/Cutter,1.2835998204239556,-4.95940927134274
BRIDGET CARLETON,2024,F,Spot-up Shooter,1.2801152869408323,3.7847161995236167
DELISHA MILTON-JONES,2000,F,Interior Primary Option,1.2757985090039656,12.946020926871654
LORELA CUBAJ,2023,PowerF,Roller/Cutter,1.274634820434688,-14.423405283351162
BREANNA STEWART,2016,F,Perimeter-Oriented Big/Wing,1.2688305830893427,5.4209253235760295
TONYA EDWARDS,1999,G,Primary On-Ball Creator,1.266028104898249,7.785492556885929
ERLANA LARKINS,2012,F,Roller/Cutter,1.240711254032199,9.53870226422748
KAYLA ALEXANDER,2017,C,Roller/Cutter,1.2405045733434394,2.751499272756517
VICKY BULLETT,2002,F,Secondary Creator/Distributor,1.240466702275599,5.343844392621387
TERESA WEATHERSPOON,2000,G,Secondary Creator/Distributor,1.2362735186177045,8.194173775941472
SHAY MURPHY,2012,G,Spot-up Shooter,1.2152439577568541,10.90934146076807
MORIAH JEFFERSON,2024,G,Secondary Creator/Distributor,1.2060019041624503,-7.704687422131901
BETNIJAH LANEY-HAMILTON,2019,SG,Secondary Creator/Distributor,1.2046166207531857,-1.060591811087989
SUE WICKS,2001,F,Roller/Cutter,1.1971103016276907,8.74879888448213
TAJ MCWILLIAMS-FRANKLIN,2000,PowerF,Interior Primary Option,1.1948812541050169,1.5734559644049848
KARA LAWSON,2008,G,Primary On-Ball Creator,1.1851706079527258,4.422582489979199
MARGO DYDEK,2003,C,Perimeter-Oriented Big/Wing,1.1796314706004443,10.379060210558459
MICHELE TIMMS,1999,G,Spot-up Shooter,1.177349823120462,3.233351524701951
CLARISSE MACHANGUANA,2002,PowerF,Roller/Cutter,1.1648827391365657,-1.3345109736266891
TAMMY JACKSON,2002,PowerF,Roller/Cutter,1.1613875199263548,2.223426746762435
KARA BRAXTON,2006,PowerF,Interior Primary Option,1.159463595297574,6.9714559963129235
CHANTE BLACK,2009,C,Roller/Cutter,1.1537997770264334,-1.1413093749311223
NIA COFFEY,2024,F,Secondary Creator/Distributor,1.15309753941869,2.7083170100536584
ALYSSA THOMAS,2022,F,Interior Primary Option,1.1451564129538587,6.99303455995361
ARMINTIE HERRINGTON,2013,G,Roller/Cutter,1.1356062544883438,2.220200858929505
CHEYENNE PARKER-TYUS,2018,F,Interior Primary Option,1.1130968542757769,-2.977685405149693
KELLY MILLER,2009,G,Spot-up Shooter,1.0697826806735562,-1.4688177053944051
BARBARA TURNER,2006,SG,Secondary Creator/Distributor,1.0618889750010199,6.12519549353647
BECKY HAMMON,2013,G,Secondary Creator/Distributor,1.0577002155574757,55.494612185085415
NATASHA CLOUD,2021,G,Secondary Creator/Distributor,1.046313886646725,2.0845920921365373
NATALIE WILLIAMS,2000,C,Interior Primary Option,1.0369831596098285,-3.664227879147769
CHASITY MELVIN,2007,PowerF,Interior Primary Option,1.031801213607967,0.6894746603771446
TONYA EDWARDS,2001,G,Secondary Creator/Distributor,1.0164978540964582,3.5091570094144133
LINDSAY WHALEN,2010,G,Secondary Creator/Distributor,1.0104271536676468,2.3130998774587264
BREANNA STEWART,2022,F,Perimeter-Oriented Big/Wing,1.0018159560176925,9.057126484574514
TINA CHARLES,2014,C,Perimeter-Oriented Big/Wing,0.9921845430730114,11.0655077561315
JURGITA STREIMIKYTE,2001,F,Interior Primary Option,0.9847012194359379,-0.07668521139371043
COURTNEY VANDERSLOOT,2023,G,Secondary Creator/Distributor,0.9616480590104377,9.489006451763494
KATIE DOUGLAS,2005,SG,Primary On-Ball Creator,0.9614801782945683,-1.2064908924019453
ELENA BARANOVA,2004,F,Secondary Creator/Distributor,0.9565713040357479,3.0154183823744236
CAPPIE PONDEXTER,2010,G,Primary On-Ball Creator,0.9462861213862186,7.655495094870798
CHINEY OGWUMIKE,2016,PowerF,Interior Primary Option,0.9345292657092553,5.898825107923366
LADY GROOMS,2002,F,Roller/Cutter,0.9334192860653914,-1.5003562366493868
ANDREA STINSON,2001,G,Primary On-Ball Creator,0.903042984065064,3.2220779125574905
TARI PHILLIPS,2000,PowerF,Perimeter-Oriented Big/Wing,0.9003665162716774,6.341526511374821
SASHA GOODLETT,2015,C,Roller/Cutter,0.8859304814377125,13.94929992971556
RONEEKA HODGES,2007,G,Spot-up Shooter,0.8823432174411829,-7.714431269938395
MARCIE ALBERTS,1997,G,Spot-up Shooter,0.8681567048150582,-22.006833729435087
ALEX BENTLEY,2013,G,Primary On-Ball Creator,0.8366765339837765,11.043225008848122
KAYLA THORNTON,2020,F,Spot-up Shooter,0.8353005027784789,4.775481037426211
NIKKI MCCRAY,2006,G,Secondary Creator/Distributor,0.821952745384564,-5.771835334494022
REBEKKAH BRUNSON,2015,F,Roller/Cutter,0.8219447138666768,3.556678519973132
KRISTEN RASMUSSEN,2000,F,Roller/Cutter,0.8168534855263552,7.613384980405292
SYDNEY COLSON,2024,G,Secondary Creator/Distributor,0.8010818651191041,-2.8332639820768644
BELINDA SNELL,2007,G,Spot-up Shooter,0.7965347675467299,4.187331138702597
MYISHA HINES-ALLEN,2018,F,Roller/Cutter,0.7839693089387083,5.273837035586967
CRYSTAL ROBINSON,2002,F,Spot-up Shooter,0.7813383412277627,3.2878401696271613
ALANA BEARD,2009,SG,Primary On-Ball Creator,0.7661361006179961,7.304565938545835
NICKY ANOSIKE,2009,PowerF,Interior Primary Option,0.7633659106682398,2.725341112023404
COURTNEY VANDERSLOOT,2012,G,Primary On-Ball Creator,0.7619522981565994,5.019209747701929
MURRIEL PAGE,2004,F,Roller/Cutter,0.7448239289576388,5.37405299775758
SHERYL SWOOPES,2004,SG,Perimeter-Oriented Big/Wing,0.7379954375189705,3.7540972751759623
SABRINA IONESCU,2022,G,Primary On-Ball Creator,0.7354260945163118,-0.3621667325583844
ALIYAH BOSTON,2024,PowerF,Interior Primary Option,0.7348957549468684,1.3081293036458164
LAUREN JACKSON,2001,PowerF,Perimeter-Oriented Big/Wing,0.7334387247839459,2.7532666001452473
