Player,Year,Pos,Archetype,BPM,RAPM
KARA BRAXTON,2010,PowerF,Interior Primary Option,-8.38854880719387,-4.302870471709834
LEILANI MITCHELL,2009,G,Spot-up Shooter,-8.393758041495285,-0.46471893481302384
KELLEY GIBSON,2003,SG,Spot-up Shooter,-8.403211660049909,7.7782092298250225
ICISS TILLIS,2006,PowerF,Roller/Cutter,-8.41684996493833,-11.45368393535793
TRACY HENDERSON,2002,C,Roller/Cutter,-8.416867251961683,-3.221794685131771
KRISTI HARROWER,2003,G,Spot-up Shooter,-8.425575515099476,-8.399644686092897
ERIN THORN,2009,G,Spot-up Shooter,-8.431992297794823,-5.062992170375251
QUANITRA HOLLINGSWORTH,2010,C,Roller/Cutter,-8.433812881756246,-17.345670766806915
KRISTI HARROWER,1998,G,Spot-up Shooter,-8.434393538820562,3.2538268093616014
NATALIE NOVOSEL,2012,G,Secondary Creator/Distributor,-8.438549202445868,0.8580443219246161
TIANNA HAWKINS,2016,F,Roller/Cutter,-8.440817250659986,-16.74290900350225
ERICA MCCALL,2019,F,Roller/Cutter,-8.443710925415115,-16.383659334961582
MORIAH JEFFERSON,2022,G,Secondary Creator/Distributor,-8.445288269621567,-13.627624308239966
REBECCA ALLEN,2017,SG,Spot-up Shooter,-8.44656668975117,3.0092542982576376
KRYSTAL THOMAS,2016,C,Roller/Cutter,-8.450831780109175,-13.920476890843554
PARIS KEA,2020,G,Primary On-Ball Creator,-8.453707946349397,-3.8486804329808804
AMY ATWELL,2024,F,Spot-up Shooter,-8.45555405845173,-42.41744318575602
CHELSEA DUNGEE,2021,G,Spot-up Shooter,-8.4632127904935,21.840973551272207
TINA THOMPSON,2005,F,Primary On-Ball Creator,-8.468233645571573,-5.325711129660439
CHARDE HOUSTON,2011,F,Secondary Creator/Distributor,-8.471397159780443,-10.638843896813722
TIFFANY HAYES,2022,G,Primary On-Ball Creator,-8.47343730154903,-7.5277292701025855
KALEENA MOSQUEDA-LEWIS,2015,F,Spot-up Shooter,-8.477296532583432,8.742968415282355
SANCHO LYTTLE,2018,F,Roller/Cutter,-8.482577945234876,-4.050342378880433
