player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year
Bella Alarie,DAL,C-F,31,407,11,4.1,8.2,0.5,0,0.3,0,4.1,7.9,0.516,2.2,2.5,0.85,5.3,13,2,2.3,2.5,2.3,5.3,10.3,2021
Lindsay Allen,IND,G,32,571,8,5.9,13.8,0.428,1.3,4.3,0.298,4.6,9.5,0.486,2.7,3.4,0.811,0.8,4.3,8.7,1.5,0.3,2.8,3.1,15.8,2021
Rebecca Allen,NYL,F-G,25,615,13,6,17.4,0.343,3.9,10.2,0.381,2.1,7.3,0.289,2.7,3,0.892,1.5,7.4,2.3,3.2,2.5,1.7,4.4,18.5,2021
Jillian Alleyne,WAS,C-F,2,8,0,0,12.8,0,0,0,,0,12.8,0,0,0,,6.4,25.5,0,6.4,0,0,0,0,2021
Ariel Atkins,WAS,G,30,918,30,9,22,0.407,3.7,10.2,0.359,5.3,11.8,0.448,5.5,6.6,0.831,1.9,4.6,4.4,2.7,0.9,3.4,5.3,27,2021
Rachel Banham,MIN,G,27,341,0,7.6,19.2,0.395,4.2,11.2,0.373,3.4,8,0.426,0.7,1.2,0.625,0.4,4.9,6.6,1.2,0.6,3.7,7,20.1,2021
Monique Billings,ATL,F,31,740,9,6.9,13.9,0.495,0,0.1,0,6.9,13.8,0.5,3.6,5.3,0.675,6.1,13.8,2.2,2.5,2.2,3,5.4,17.3,2021
Sue Bird,SEA,G,30,832,30,6.5,15.1,0.431,4.1,9.8,0.419,2.4,5.3,0.453,1.2,1.5,0.833,0.5,4.7,9.8,1.7,0.2,2.9,1.9,18.4,2021
DeWanna Bonner,CON,F-G,32,1022,32,8.4,21.3,0.395,2.3,7.4,0.317,6.1,14,0.436,6.6,7.4,0.892,1.1,10.8,5.9,2.1,1.2,3.6,2.8,25.7,2021
Brittany Boyd,CHI,G,2,22,0,2.3,9.1,0.25,2.3,4.6,0.5,0,4.6,0,2.3,4.6,0.5,0,4.6,9.1,4.6,0,9.1,4.6,9.1,2021
Crystal Bradford,ATL,F,24,440,9,9.5,22.1,0.429,3.4,9.4,0.358,6.1,12.7,0.482,2.1,4.5,0.462,3.6,10.5,4.2,3.2,1,2.7,6.5,24.4,2021
Jessica Breland,IND,F,26,544,18,6.4,17.1,0.372,0.5,1.5,0.313,5.9,15.6,0.378,1.2,1.8,0.684,3.5,15.5,5,1.5,3.7,4.6,4.8,14.5,2021
Kalani Brown,ATL,C,1,5,0,10.2,30.5,0.333,0,0,,10.2,30.5,0.333,0,0,,0,10.2,0,0,0,0,0,20.4,2021
Lexie Brown,CHI,G,17,162,0,3.1,11.8,0.263,2.5,10.2,0.242,0.6,1.6,0.4,0,0,,0,3.7,5.9,2.2,0,2.5,3.4,8.7,2021
Kennedy Burke,SEA,G-F,23,176,0,7.3,16.3,0.446,1.7,5.2,0.333,5.5,11,0.5,2.9,4.6,0.625,2,5.5,2,1.7,0.9,3.2,3.8,19.2,2021
Liz Cambage,LVA,C,25,595,24,11.6,21.5,0.543,0.4,1.2,0.357,11.2,20.3,0.553,5.9,8.3,0.71,3.2,17.1,2.7,1.8,3.4,3.7,6.2,29.6,2021
Jordin Canada,SEA,G,29,542,3,5.3,13.6,0.389,0.3,1.3,0.214,5,12.3,0.408,5,5.9,0.841,1.5,6.2,8.3,2,0.4,2.9,2.7,15.8,2021
Bridget Carleton,MIN,F,32,618,10,4.5,11.3,0.401,2.2,6.1,0.365,2.3,5.2,0.444,1.3,1.6,0.8,1.9,6.1,3.9,2.1,0.5,2.2,3.9,12.6,2021
DiJonai Carrington,CON,G-F,24,220,1,6.6,20.1,0.329,0.7,5.2,0.143,5.9,15,0.393,2.7,3.7,0.733,3.7,11.5,2.9,3.2,0.7,5.4,9.1,16.7,2021
Chennedy Carter,ATL,G,11,280,11,10.9,24,0.455,0.2,1.6,0.111,10.7,22.4,0.48,6.4,7.3,0.875,0.9,2.5,6.5,1.5,0.7,4.2,6,28.3,2021
Kaila Charles,CON,G-F,30,488,4,5.4,14.7,0.368,1.1,3.7,0.303,4.3,11.1,0.39,2.3,2.7,0.875,3.7,9.3,3.7,1.6,1.2,2.9,6.5,14.3,2021
Tina Charles,WAS,C,27,900,27,13.5,30.1,0.449,2.8,7.8,0.365,10.7,22.3,0.478,6,7.3,0.82,4.1,14.6,3.2,1.4,1.3,3.3,3.6,35.8,2021
Natasha Cloud,WAS,G,27,852,27,4.9,12.5,0.389,1.6,5.7,0.274,3.3,6.8,0.487,2.8,3.3,0.836,0.7,5.9,10.4,2.2,0.2,3.5,3.7,14,2021
Nia Coffey,LAS,F,32,805,17,6,14.2,0.421,3.2,7.7,0.417,2.8,6.5,0.426,1.8,2.3,0.778,1.2,7.9,1.8,1.7,2.4,2.9,5.5,17,2021
Charli Collier,DAL,C,28,345,18,6,12.9,0.465,0,0,,6,12.9,0.465,2.4,3.5,0.696,4.7,15.3,0.9,0.6,0.8,2,7.7,14.4,2021
Napheesa Collier,MIN,F,29,1003,29,8.9,20.1,0.441,1.1,4.2,0.253,7.8,15.9,0.49,5,5.8,0.86,2.5,9.7,4.7,1.9,1.9,3.4,4.2,23.7,2021
Te'a Cooper,LAS,G,31,682,13,7.4,19.5,0.379,1.8,5.6,0.324,5.6,13.9,0.401,4.8,6.4,0.75,0.3,4.1,3.3,2.1,0.5,4.3,5.3,21.4,2021
Kahleah Copper,CHI,G-F,32,986,32,8.8,19.2,0.459,1.3,4.3,0.306,7.5,14.9,0.503,4.6,5.6,0.818,1.9,6.8,2.9,1.4,0.4,3.1,4.9,23.5,2021
Sophie Cunningham,PHO,G,30,524,4,5.9,13.5,0.437,3.2,7.8,0.41,2.7,5.7,0.474,1.9,2.7,0.704,0.9,6,3.2,1.4,0.7,1.6,5.6,16.9,2021
Crystal Dangerfield,MIN,G,31,623,10,7.1,18.3,0.388,2.3,6.4,0.359,4.8,11.9,0.404,2.9,3.4,0.857,0.7,5,7.2,1.7,0.2,3.5,4.7,19.4,2021
Damiris Dantas,MIN,F,24,572,20,5.9,15.5,0.377,3,9.1,0.333,2.8,6.5,0.438,1.6,2.1,0.75,1.3,8.6,4.9,0.9,0.6,3.9,4.3,16.3,2021
Elena Delle Donne,WAS,F-G,3,52,3,12.8,26.5,0.481,2.9,4.9,0.6,9.8,21.6,0.455,11.8,11.8,1,2.9,12.8,2,0,1,2,2,40.3,2021
Diamond DeShields,CHI,G,32,860,22,7.2,18.3,0.393,1.4,4.7,0.3,5.8,13.6,0.425,5.3,6.5,0.82,0.8,6.5,4.4,2.2,0.7,3.5,5.9,21.1,2021
Blake Dietrick,ATL,G,9,141,0,2.9,9.7,0.296,1.8,5.8,0.313,1.1,4,0.273,0,0,,1.1,5.1,4,1.8,0.4,1.8,7.2,7.6,2021
Skylar Diggins-Smith,PHO,G,32,1040,32,8.9,19.8,0.45,2.5,6.8,0.37,6.4,13,0.492,8.2,10,0.818,0.9,5.1,8.5,1.7,1.3,4.1,3.6,28.5,2021
Stefanie Dolson,CHI,C,24,480,15,7.4,15.3,0.486,2,4.9,0.404,5.4,10.4,0.525,1.9,2,0.947,1.7,8.8,3.1,0.6,2,3.1,6.7,18.7,2021
Chelsea Dungee,DAL,G,14,64,0,2.4,13.8,0.176,1.6,8.1,0.2,0.8,5.7,0.143,0,0,,0.8,2.4,0.8,0,0.8,1.6,5.7,6.5,2021
Sylvia Fowles,MIN,C,31,934,31,11.3,17.7,0.64,0,0,,11.3,17.7,0.64,4.3,5.8,0.755,3.5,17,2.4,3,3,3.9,4.3,27,2021
Kysre Gondrezick,IND,G,19,173,0,3.9,13.8,0.283,2.4,8.4,0.286,1.5,5.4,0.278,0.6,1.2,0.5,0.9,5.7,5.4,2.1,0,5.1,4.2,10.8,2021
Aleah Goodman,CON,G,1,3,0,0,0,,0,0,,0,0,,0,0,,0,0,18,0,0,0,18,0,2021
Haley Gorecki,PHO,G,3,6,0,0,8.7,0,0,8.7,0,0,0,,0,0,,0,17.4,0,0,0,8.7,0,0,2021
Allisha Gray,DAL,G,25,694,16,7.9,18.1,0.438,2.2,6.1,0.366,5.7,11.9,0.475,4.2,4.9,0.862,2.5,9.7,3.1,1.9,1.6,2.5,4,22.3,2021
Chelsea Gray,LVA,G,32,926,32,7.9,17.4,0.454,1.4,3.8,0.38,6.5,13.6,0.475,1.7,1.9,0.889,0.8,4.9,10.1,2,0.5,4.7,2.3,19,2021
Reshanda Gray,NYL,F,15,210,0,8,15.1,0.531,0.5,2.1,0.222,7.6,13,0.582,4.3,6.1,0.692,3.1,12.5,1.2,0.9,0.9,5,11.1,20.8,2021
Brittney Griner,PHO,C,30,983,30,13.2,22.9,0.575,0.2,0.5,0.444,13,22.5,0.578,6.1,7.2,0.846,3.8,15.1,4.3,0.6,3.1,3.5,3.8,32.7,2021
Arella Guirantes,LAS,G,25,291,2,4.6,16.9,0.274,1.1,4.8,0.222,3.6,12.1,0.294,3.7,4.6,0.808,1.1,5.9,2.7,1.4,0.7,2.1,4.6,14.1,2021
Megan Gustafson,WAS,C,11,109,1,8.9,15,0.594,0,0.9,0,8.9,14.1,0.633,2.8,4.2,0.667,5.2,18.7,0,0.9,0.5,4.2,4.7,20.6,2021
Dearica Hamby,LVA,F,29,710,0,8.9,16.2,0.545,0.6,2.5,0.25,8.2,13.7,0.599,5.2,7.9,0.655,2.3,13.4,3.4,2.2,0.3,3,4,23.5,2021
Linnae Harper,MIN,G,1,5,0,0,0,,0,0,,0,0,,0,0,,0,10.2,0,0,0,0,20.3,0,2021
Isabelle Harrison,DAL,F,28,665,5,10.1,18.7,0.538,0,0.1,0,10.1,18.6,0.54,3.7,4.7,0.783,3.4,12.9,2.4,2.4,1.5,3.3,5.4,23.8,2021
Mikiah Herbert Harrigan,SEA,F,1,1,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2021
Tyasha Harris,DAL,G,32,522,3,4.8,14.2,0.336,2,5.9,0.339,2.8,8.3,0.333,2.5,3,0.833,0.9,5.1,8.4,1.3,1,3.2,4,14,2021
Bria Hartley,PHO,G,6,51,0,9.2,16.4,0.563,4.1,7.2,0.571,5.1,9.2,0.556,0,0,,2.1,4.1,5.1,1,0,5.1,1,22.6,2021
Bernadett Hatar,IND,C,7,106,2,6.8,14.1,0.483,0,0,,6.8,14.1,0.483,2.9,3.4,0.857,3.4,8.8,1,1.5,1.5,5.4,8.8,16.6,2021
Tianna Hawkins,ATL,F,28,433,8,5.9,14.8,0.397,1.9,7.8,0.242,4,7.1,0.567,2.5,2.7,0.913,1.6,10.2,2,1.3,1.6,3.8,7.3,16.1,2021
Tiffany Hayes,ATL,G,21,595,19,9,20.5,0.438,2.9,7.2,0.405,6.1,13.3,0.455,5.5,6.4,0.853,1.2,5.7,5.4,2.8,0.3,2.7,5.6,26.3,2021
Shyla Heal,CHI,G,4,31,0,1.6,13,0.125,0,4.9,0,1.6,8.1,0.2,9.7,9.7,1,1.6,4.9,4.9,0,0,16.2,9.7,13,2021
Ruthy Hebard,CHI,F,30,505,6,7.3,13.7,0.529,0,0.2,0,7.3,13.5,0.537,2.7,3.4,0.794,4.2,13.1,2.3,2,2,1.8,5.9,17.2,2021
Natisha Hiedeman,CON,G,32,644,5,6.5,16.4,0.4,4.3,10.7,0.398,2.3,5.6,0.403,2.9,4.2,0.7,0.6,5,5,2.3,0.5,2.5,5.1,20.3,2021
Myisha Hines-Allen,WAS,F,18,462,17,9.8,23.8,0.414,1.4,4.5,0.317,8.4,19.2,0.437,4.5,6.2,0.732,3.5,13.9,5,2.7,1.2,3.5,5,25.6,2021
Natasha Howard,NYL,F,13,357,13,12.1,24.5,0.494,1.7,5,0.333,10.4,19.5,0.536,3.3,4.3,0.774,3.9,13.1,3.1,2.4,1,6.8,5.3,29.2,2021
Sabrina Ionescu,NYL,G,30,899,26,6.2,16.5,0.379,3,9.2,0.325,3.3,7.3,0.447,4,4.4,0.911,1.2,9.4,10.1,1,0.9,5.3,3,19.4,2021
Briann January,CON,G,29,877,29,4.4,10.3,0.425,1.7,4.4,0.38,2.7,5.9,0.458,2,2.3,0.868,0.6,2.6,5.5,1.5,0.2,3.2,3.6,12.5,2021
Moriah Jefferson,DAL,G,29,500,28,6.8,15.2,0.449,2.4,5.2,0.46,4.5,10.1,0.443,0.3,0.5,0.6,1.2,6,7.5,2.5,0.5,4.1,4.1,16.4,2021
Stella Johnson,WAS,G,6,31,0,4.9,13.2,0.375,3.3,8.2,0.4,1.6,4.9,0.333,6.6,6.6,1,4.9,4.9,3.3,0,1.6,8.2,11.5,19.8,2021
Brionna Jones,CON,F,32,980,32,10.7,18.8,0.571,0,0.2,0,10.7,18.6,0.576,4.5,5.7,0.796,5.6,12.9,3.1,2.4,0.9,3.9,5.4,25.9,2021
Jazmine Jones,NYL,G,27,448,0,5.9,16.5,0.356,2,5.2,0.383,3.9,11.3,0.343,3.9,5.1,0.761,1.3,7.3,3.4,1.6,1.1,4.8,7.1,17.6,2021
Jonquel Jones,CON,C,27,856,27,12.1,23.6,0.515,2.7,7.3,0.362,9.5,16.2,0.584,6.1,7.6,0.802,4.2,19.1,4.7,2.1,2.1,4.9,5.3,33,2021
Stephanie Jones,CON,F,18,99,0,6.6,15.8,0.414,0,1.1,0,6.6,14.7,0.444,0.5,1.1,0.5,6,11.5,1.6,1.1,0.5,1.6,4.9,13.7,2021
Awak Kuier,DAL,F,16,142,0,4.4,14.2,0.308,1.1,6.6,0.167,3.3,7.7,0.429,4,5.1,0.786,3.3,14.2,3.3,1.8,4.4,5.8,3.7,13.9,2021
Betnijah Laney,NYL,G-F,32,1069,32,9.4,20.9,0.451,1.6,5.1,0.312,7.8,15.8,0.496,4.5,5.7,0.787,1.3,6.1,7.8,1,0.1,5.5,3.3,24.9,2021
Jantel Lavender,IND,F,27,539,14,7.3,18,0.404,0.4,1.9,0.2,6.9,16.1,0.429,1.7,1.9,0.9,4.4,10.1,3.9,0,0.4,3.6,4.6,16.7,2021
Kiara Leslie,WAS,G,9,86,0,4.8,14.3,0.333,1.2,4.2,0.286,3.6,10.1,0.353,4.2,4.8,0.875,1.2,11.9,1.2,2.4,0,2.4,6.5,14.8,2021
Jewell Loyd,SEA,G,31,962,31,10.3,24.4,0.42,3.5,9.2,0.376,6.8,15.2,0.448,5.5,6.2,0.889,1.3,6.6,6.2,2.4,0.3,3.8,3.4,29.5,2021
Marina Mabrey,DAL,G,32,773,8,10.6,26.2,0.405,4.2,12.3,0.342,6.4,13.8,0.461,3,3.4,0.882,1.5,8.3,6.2,2.1,0.7,4.6,5.3,28.4,2021
Ezi Magbegor,SEA,F-C,30,456,3,9.1,17.9,0.506,0.6,1,0.556,8.5,16.9,0.503,3.7,4.4,0.846,5.2,13,2.7,2,3.2,2.9,7.3,22.4,2021
Kayla McBride,MIN,G,32,1010,32,7.2,16.6,0.433,3.1,8.1,0.379,4.1,8.5,0.485,4.6,5,0.91,0.4,5.8,3.6,1.3,0.3,1.7,2.9,22,2021
Erica McCall,WAS,F,23,356,6,5.3,10.6,0.5,0,0.1,0,5.3,10.5,0.507,2.9,4.6,0.625,4.7,14.2,1.9,1,1.3,2.9,6.6,13.5,2021
Angel McCoughtry,LVA,F-G,1,0,0,,,0,,,,,,0,,,,,,,,,,,,2021
Teaira McCowan,IND,C,32,848,23,8.4,15.7,0.537,0,0,,8.4,15.7,0.537,5.2,8.1,0.644,6.6,18.8,2.1,1.1,3.1,3.2,6.5,22,2021
Aari McDonald,ATL,G,30,493,4,5.8,18,0.322,3.3,10.7,0.308,2.5,7.2,0.343,4.6,5.3,0.882,0.9,5.1,6.1,2.6,0.5,3.6,5.5,19.5,2021
Kelsey Mitchell,IND,G,32,1059,32,10.4,24,0.431,3.4,10.2,0.335,6.9,13.8,0.502,3.7,4.2,0.882,1,4.1,3.9,1.7,0.3,3.2,3.6,27.8,2021
Leilani Mitchell,WAS,G,31,725,12,4.5,12.5,0.36,3.5,9.9,0.357,1,2.7,0.368,1.3,1.6,0.826,0.8,4.3,5.4,1.1,0.1,2.5,3.2,13.9,2021
Tiffany Mitchell,IND,G,28,765,25,7.2,17.2,0.421,0.8,3.2,0.255,6.4,14,0.459,7.4,8.5,0.88,1.7,5.4,3.8,1.1,0.1,3.7,3.6,22.7,2021
Beatrice Mompremier,CON,F,32,275,0,5.1,10.4,0.491,0,0,,5.1,10.4,0.491,1,2.4,0.417,5.5,15.1,1.4,2.4,1.6,3.5,8.6,11.2,2021
Astou Ndour-Fall,CHI,C-F,20,342,8,6.8,17,0.397,1.2,5,0.235,5.6,12,0.463,4.7,5,0.941,4.7,14,1.2,1,2.4,2.5,6.3,19.4,2021
Kia Nurse,PHO,G,32,835,32,6.1,17.1,0.359,3.7,10.5,0.353,2.4,6.6,0.368,3.1,3.9,0.79,0.9,7.1,3.5,1.1,0.1,3,4.5,19.1,2021
Leaonna Odom,NYL,F,18,217,0,4.8,10.3,0.467,1.1,3.9,0.294,3.7,6.4,0.571,2.1,2.7,0.75,2.5,4.8,1.8,1.1,1.1,2.3,5.7,12.8,2021
Arike Ogunbowale,DAL,G,32,1003,32,10.3,26.9,0.383,4.1,11,0.376,6.1,15.9,0.388,6.3,7.2,0.864,1.2,5.3,5.4,1.9,0,3.5,3.7,31,2021
Chiney Ogwumike,LAS,F-C,7,134,3,7.7,19,0.408,1.2,1.5,0.75,6.6,17.4,0.378,2.3,3.1,0.75,4.3,11.2,3.5,2.3,1.2,2.3,8.9,19,2021
Nneka Ogwumike,LAS,F,18,570,18,9.9,18.7,0.532,1,2.7,0.367,8.9,15.9,0.56,2.9,3.6,0.8,2.4,10.7,4.4,2.4,0.5,3.6,2.9,23.8,2021
Michaela Onyenwere,NYL,F,32,711,29,6.4,15.9,0.401,2.6,7.9,0.327,3.8,8,0.474,3.9,4.7,0.836,1.5,6.6,1.3,1,0.6,2.4,5.6,19.2,2021
Candace Parker,CHI,F-C,23,615,23,9.5,20.7,0.458,2,6,0.329,7.5,14.7,0.511,4.1,5.1,0.794,2.6,15.8,7.4,1.6,2.2,4.6,3,25,2021
Cheyenne Parker,ATL,F,13,270,11,9.4,20.7,0.455,1.9,5.7,0.333,7.5,15.1,0.5,4.1,5.3,0.786,2.4,10.9,3,2.8,2.3,3.2,5.3,24.9,2021
JiSu Park,LVA,C,25,223,0,3.8,11.5,0.327,0,0.9,0,3.8,10.7,0.354,3.3,4,0.833,3.6,10.2,4.7,0.7,3.6,4.2,6.2,10.9,2021
Shey Peddy,PHO,G,32,560,5,5.7,13.8,0.412,2.5,7.6,0.333,3.2,6.3,0.507,2.1,2.3,0.92,2.2,7,7.4,2.7,0.3,2.9,3.1,16.1,2021
Chelsey Perry,IND,F,6,40,0,6.5,23.3,0.278,2.6,11.6,0.222,3.9,11.6,0.333,1.3,2.6,0.5,0,7.8,2.6,3.9,0,2.6,9.1,16.8,2021
Theresa Plaisance,WAS,F,31,559,11,6.5,18.5,0.351,3.2,10.6,0.302,3.3,7.9,0.419,2,2.5,0.815,1.9,12.3,3.8,2.3,1.9,3.4,6.2,18.2,2021
Kelsey Plum,LVA,G,26,665,0,9.5,21.8,0.437,3.3,8.5,0.386,6.2,13.3,0.469,6.3,6.7,0.944,0.8,4.9,6.9,1.9,0.1,3.2,4.2,28.6,2021
Aerial Powers,MIN,G,14,309,7,10,23.5,0.427,1.8,5.8,0.314,8.2,17.7,0.463,9,9.9,0.917,2.1,8.4,4.8,0.8,0.8,6.7,4.8,30.9,2021
Epiphanny Prince,SEA,G,29,416,2,7.1,16.2,0.439,3.1,6.1,0.5,4.1,10.1,0.402,3.2,3.6,0.897,1.2,5.8,5.9,2.5,0.7,3.1,4.1,20.5,2021
Allie Quigley,CHI,G,26,635,11,9.6,21.4,0.448,4.3,9.4,0.454,5.3,11.9,0.444,3.7,3.9,0.959,1.3,5.5,4.7,1,0.6,2.4,2.9,27.1,2021
DiDi Richards,NYL,G-F,31,346,0,3.9,9.2,0.422,1.4,3.2,0.455,2.4,6,0.405,0.9,1.4,0.6,1.3,4.9,3.6,2.4,0.9,2.3,3.4,10,2021
Danielle Robinson,IND,G,24,659,24,6.9,16.6,0.417,0.4,2,0.2,6.5,14.6,0.446,4.4,4.9,0.889,0.6,6.7,7,3,0.2,3.3,3.9,18.6,2021
Mercedes Russell,SEA,C,30,740,28,6.4,10.3,0.617,0,0,,6.4,10.3,0.617,2.5,3.2,0.766,3.5,12.7,3.4,1.9,0.8,2.6,5.5,15.2,2021
Satou Sabally,DAL,F,17,423,14,8.5,20.2,0.418,2.2,6.7,0.327,6.2,13.5,0.464,5.8,7.5,0.77,3.3,12.3,5.9,0.5,1.7,4.8,6.6,24.9,2021
Katie Lou Samuelson,SEA,F,27,566,24,6.5,14.3,0.456,2.3,6.7,0.351,4.2,7.6,0.548,1.7,2.3,0.731,1,8.6,4.2,1.6,0.6,2.7,4.1,17.1,2021
Jessica Shepard,MIN,F,22,231,0,3.5,9.7,0.364,0.2,2.6,0.083,3.3,7,0.469,2.6,3.5,0.75,5.3,15.6,8.4,0.7,0.9,4,4.4,9.9,2021
Kylee Shook,NYL,C,30,567,19,6.2,13.3,0.467,2.1,5.3,0.393,4.1,8,0.516,0.4,0.4,0.8,1.8,10.6,3.6,0.9,1.3,3.3,4.1,14.9,2021
Odyssey Sims,ATL,G,30,753,21,7.1,19.2,0.37,1.1,4.7,0.232,6,14.5,0.414,2.4,3.2,0.729,1,5.1,7.3,2.5,0.1,3.3,3,17.6,2021
Destiny Slocum,LVA,G,21,133,0,2.6,8.2,0.318,1.9,5.6,0.333,0.7,2.6,0.286,1.1,1.9,0.6,1.1,7.1,4.5,1.1,0.4,2.6,7.1,8.2,2021
Alanna Smith,PHO,F,18,117,0,3.6,15.2,0.235,1.8,9.4,0.19,1.8,5.8,0.308,0.4,1.8,0.25,2.2,10.7,4.5,3.1,2.7,2.7,4.5,9.4,2021
Azura Stevens,CHI,F-C,30,587,11,7.7,15.4,0.5,1.3,3.9,0.333,6.4,11.6,0.556,2.2,2.7,0.813,4.2,11.7,2,2.1,1.7,2.4,4.6,18.9,2021
Breanna Stewart,SEA,F,28,934,28,10.6,24.2,0.439,2.6,7.8,0.336,8,16.4,0.488,7.3,8.6,0.847,1.9,14.7,4.2,1.8,2.6,2.5,2.8,31.1,2021
Shekinna Stricklen,ATL,F,24,236,0,4.7,18.3,0.259,3,14.2,0.212,1.7,4.1,0.421,0.4,1.1,0.4,0.4,4.7,1.7,2.2,0.9,0.6,5.6,12.9,2021
Brittney Sykes,LAS,G,32,939,20,6.4,15.7,0.405,0.6,2.3,0.262,5.7,13.4,0.43,3.4,4.4,0.772,2,8.1,3.9,3.2,0.8,2.5,4.4,16.7,2021
Stephanie Talbot,SEA,F,30,538,9,6.6,13.6,0.483,2.6,6.2,0.415,4,7.4,0.538,0.6,0.8,0.75,1.1,8.2,4.6,1.3,1.2,4.7,5.5,16.2,2021
Diana Taurasi,PHO,G,16,455,16,8.1,22,0.366,4.7,13.9,0.339,3.3,8.1,0.414,7.1,8.3,0.861,0.3,8.2,9.1,0.3,1,5.4,4.4,27.9,2021
Alyssa Thomas,CON,F,3,37,0,5.8,21.9,0.267,0,0,,5.8,21.9,0.267,4.4,5.8,0.75,1.5,14.6,5.8,1.5,0,4.4,5.8,16.1,2021
Jasmine Thomas,CON,G,30,887,30,6.9,17.9,0.386,2.6,6.4,0.4,4.3,11.5,0.378,3,3.4,0.875,0.8,4.4,7.4,2.4,0.4,4.1,3.2,19.3,2021
Kayla Thornton,DAL,F,31,857,25,5,11.9,0.421,1.3,3.8,0.349,3.7,8.1,0.455,2.7,3.2,0.849,3.9,10.5,2.7,1.6,0.4,1.8,3.7,14.1,2021
Kristi Toliver,LAS,G,19,525,19,6.6,16,0.414,2.8,8.2,0.337,3.9,7.8,0.494,1.6,1.9,0.842,0.9,2.8,5.3,1.4,0,3.2,3.6,17.6,2021
Brianna Turner,PHO,F,32,994,32,5.7,10.3,0.554,0,0.1,0,5.7,10.2,0.557,1.7,2.4,0.717,4.1,15.9,2.9,1.3,2.2,2.5,3.7,13.1,2021
Courtney Vandersloot,CHI,G,32,977,32,6.6,15.3,0.433,1.9,5.3,0.346,4.8,10,0.479,2.2,2.5,0.857,0.8,5.6,14.1,2.8,0.6,5,3.4,17.3,2021
Kia Vaughn,PHO,C,28,441,2,7,15.8,0.444,0,0.1,0,7,15.7,0.447,1.4,2.4,0.6,2.7,9,4.3,0.6,0.7,4.3,5.2,15.4,2021
Victoria Vivians,IND,G-F,31,661,8,6,18.1,0.333,2.5,9.9,0.252,3.5,8.1,0.433,2,2.3,0.833,1.1,7.4,3.1,2.7,0.3,3.2,4.5,16.5,2021
Jasmine Walker,LAS,F,2,20,0,0,13,0,0,10.4,0,0,2.6,0,0,5.2,0,0,2.6,5.2,5.2,2.6,2.6,2.6,0,2021
Megan Walker,PHO,F,29,426,7,5.7,18.2,0.311,2.5,9.2,0.267,3.2,9,0.356,2.3,3.7,0.633,0.7,4.8,3.1,0.6,1,2.8,6.4,16.1,2021
Stephanie Watts,CHI,G,6,84,0,2.4,11.4,0.211,0.6,6,0.1,1.8,5.4,0.333,3.6,4.8,0.75,4.8,13.2,1.8,1.8,1.2,4.8,7.8,9,2021
Erica Wheeler,LAS,G,32,967,32,8.6,20.6,0.417,1.8,4.9,0.359,6.8,15.7,0.435,4.3,5.3,0.827,0.9,5.3,8.2,2.3,0.4,4.7,4.6,23.3,2021
Sami Whitcomb,NYL,G,30,843,28,7.3,15.4,0.473,4.5,10.5,0.425,2.8,4.9,0.578,1.6,1.9,0.818,0.6,8.9,4.8,1.8,0.6,3.7,3.1,20.7,2021
Sydney Wiese,WAS,G,27,578,8,3.6,11.2,0.323,2,7,0.291,1.6,4.2,0.375,1.2,1.6,0.778,0.4,3.2,3.8,0.9,0,2.4,1.8,10.5,2021
Courtney Williams,ATL,G,32,1101,32,10.5,25.2,0.418,1.8,4.7,0.382,8.7,20.5,0.426,1.6,2.4,0.642,2.1,10.1,5.9,1.6,0.7,2.7,2.4,24.4,2021
Elizabeth Williams,ATL,C-F,32,761,32,5.3,10.4,0.516,0,0,,5.3,10.4,0.516,1.8,3.5,0.509,4.2,10.5,2.5,2.4,2.9,1.7,4,12.5,2021
Kiana Williams,SEA,G,10,35,0,1.5,10.2,0.143,1.5,8.8,0.167,0,1.5,0,1.5,1.5,1,0,5.8,2.9,1.5,0,2.9,4.4,5.8,2021
Riquna Williams,LVA,G,32,833,32,6.8,15.3,0.444,3.7,9,0.417,3,6.3,0.481,2.7,3,0.92,0.4,4.9,3,1.5,0.7,1.2,2.8,20,2021
A'ja Wilson,LVA,C,32,1021,32,10,22.6,0.444,0,0,1,10,22.5,0.443,8.2,9.4,0.876,3.1,14.4,4.7,1.4,1.9,2.2,2.4,28.3,2021
Aaliyah Wilson,IND,G,14,119,0,2.6,11.3,0.231,0.4,3,0.143,2.2,8.3,0.263,0.9,1.7,0.5,2.2,5.2,3.5,1.3,0.9,3.9,7.4,6.5,2021
Jackie Young,LVA,G,32,1016,32,7.5,14.9,0.507,0.2,1,0.25,7.3,13.9,0.524,3.7,4.4,0.833,1,6.3,5,1.8,0.5,2.3,2.8,19,2021
Amanda Zahui B.,LAS,C,30,714,27,7.7,18,0.429,2.2,7.8,0.28,5.5,10.2,0.543,2.4,3.1,0.767,1.7,11.2,2.1,1.3,2.5,3.9,7.2,20,2021
