"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Iziane Castro Marques","ATL",102,2572,5327,24.816970152055568,7.339966209874226,15.731180777172893,0.4665871121718377,2.102496714848883,7.09592641261498,0.2962962962962963,0.2962962962962963,3.8295475877604654,6.007133470996808,8.672798948751643,4.167448845504036,2.140041299042613,0.4092071611253197,0.4134366925064599,0.6607142857142857,0.31085526315789475,0.4783584292763158,0.4597039473684211,0.48962194217939214,0.1501783367749202,1.1451098179087666,0.07279236276849642,0.11263375258119017,0.015873015873015872,25.17515923566879
"Brittney Sykes","ATL",97,2351,4611,23.85599653003687,6.679679028410323,15.267837779223596,0.4375,1.8867924528301887,6.506180871828237,0.29,0.29292929292929293,4.836261114725656,5.812188245499891,7.547169811320755,5.204944697462589,0.4554326610279766,0.43506493506493504,0.44966442953020136,0.9195402298850575,0.29880478087649404,0.49919650349650346,0.43675298804780877,0.478204010462075,0.4337453914552158,1.539796139666016,0.10085227272727272,0.04337453914552158,0.006666666666666667,24.35107376283847
"Layshia Clarendon","ATL",86,2291,4509,17.675759591927257,5.677533821246396,12.863162563761366,0.4413793103448276,0.6875138611665558,2.8165890441339543,0.2440944881889764,0.25,4.258150365934797,3.0605455755156354,8.294522066977157,1.4637391882900865,0.5988023952095808,0.26953125,0.2782258064516129,0.7096774193548387,0.17963224893917965,0.4731960227272728,0.42786421499292787,0.4846813725490196,0.35484586382789973,0.9314703925482368,0.07241379310344828,0,0,19.11484166348722
"Naz Hillmon","ATL",114,2083,4086,13.28928046989721,5.066079295154185,9.691629955947137,0.5227272727272727,0.024473813020068527,0.14684287812041116,0.16666666666666666,0.16666666666666666,3.0837004405286343,8.223201174743025,1.908957415565345,0.07342143906020558,0,0.8115942028985508,0.9281767955801105,1,0.014925373134328358,0.5458213930348259,0.5186567164179104,0.5752118644067796,1.2726382770435634,1.5663240332843857,0.16161616161616163,0,0,12.423539337692471
"Lindsey Harding","ATL",68,2077,4121,18.830380975491387,6.6488716330987625,14.268381460810483,0.46598639455782315,0.5823829167677748,2.2082018927444795,0.26373626373626374,0.2727272727272727,3.7854889589905363,3.4457655908760008,9.851977675321525,1.383159427323465,0.36398932297985925,0.2591240875912409,0.2610294117647059,0.7916666666666666,0.13402061855670103,0.45278241839762606,0.4565537555228277,0.5025974025974026,0.0970638194612958,0.8250424654210143,0.05782312925170068,0.02426595486532395,0.01098901098901099,18.9389265885256
"Aneika Morello","ATL",137,2030,3961,15.425397626861903,6.362029790456956,12.774551880838173,0.4980237154150198,0,0,0,0,2.7013380459479928,8.735167886897248,3.9888916940166625,0,0,0.6865079365079365,0.8781725888324873,0,0,0.4803420948616601,0.4980237154150198,0.5359649122807018,2.777076495834385,0.9593536985609694,0.07509881422924901,0,0,15.082600300364728
"Nia Coffey","ATL",115,1937,3854,15.179034769071095,3.3990659055526726,8.899844317592112,0.3819241982507289,2.127659574468085,6.149455111572392,0.3459915611814346,0.3459915611814346,1.9979242345614945,4.099636741048261,2.6984950700570836,6.227296315516346,0.15568240788790866,0.6030534351145038,0.7053571428571429,0.975609756097561,0.4086206896551724,0.5062931034482759,0.4379310344827586,0.4613564668769716,0.9859885832900882,1.3751946030098599,0.15451895043731778,0.02594706798131811,0.004219409282700422,17.74156529722286
"Aari McDonald","ATL",90,1934,3883,19.98454802987381,3.8114859644604686,8.575843420036055,0.4444444444444444,2.7040947720834407,8.344063868143188,0.32407407407407407,0.330188679245283,4.2492917847025495,1.5967035797064126,6.026268349214525,5.949008498583569,2.1632758176667526,0.20945945945945946,0.21232876712328766,0.7333333333333333,0.4931506849315068,0.5145660246533128,0.4649923896499239,0.5202702702702703,0.10301313417460727,0.5408189544166881,0.06306306306306306,0.025753283543651816,0.0030864197530864196,20
"Renee Montgomery","ATL",68,1884,3738,18.057784911717494,1.8191546281433921,3.852327447833066,0.4722222222222222,3.905831995719636,11.235955056179776,0.3476190476190476,0.3501199040767386,2.701979668271803,1.1235955056179776,2.5147137506688066,8.507223113964686,3.2102728731942216,0.3088235294117647,0.31343283582089554,0.726027397260274,0.7446808510638298,0.5079081249999999,0.5088652482269503,0.5413907284768212,0.05350454788657036,0.32102728731942215,0.08333333333333333,0.24077046548956663,0.02142857142857143,16.767441860465116
"Alex Bentley","ATL",79,1719,3385,20.088626292466767,5.612998522895126,14.091580502215658,0.39832285115303984,2.3042836041358936,8.242245199409158,0.27956989247311825,0.28363636363636363,1.9497784342688331,2.599704579025111,8.62629246676514,3.9881831610044314,2.9246676514032495,0.23157894736842105,0.23404255319148937,0.5769230769230769,0.36904761904761907,0.4507504672897196,0.4060846560846561,0.4258793969849246,0.11816838995568685,0.4431314623338257,0.031446540880503145,0.029542097488921712,0.0035842293906810036,22.87664307381193
"Courtney Williams","ATL",52,1710,3390,24.218289085545724,9.29203539823009,21.150442477876105,0.4393305439330544,1.3864306784660767,4.011799410029498,0.34558823529411764,0.34328358208955223,1.4749262536873156,6.902654867256637,11.68141592920354,3.3628318584070795,0.7964601769911505,0.37142857142857144,0.37987012987012986,0.8085106382978723,0.15943728018757328,0.4228401060070672,0.45193434935521687,0.4637599093997735,0.41297935103244837,0.6489675516224189,0.030683403068340307,0.058997050147492625,0.014705882352941176,25.369709331973482
