Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
QUACY BARNES,PHO,2002,C,Interior Primary Option,13.4,4.932577901430157,14.622418704395873
JONQUEL JONES,NYL,2024,C,Interior Primary Option,1166.1,4.924896652434345,9.87950721835039
CANDACE PARKER,LVA,2023,PowerF,Secondary Creator/Distributor,424.8,4.920725555479407,22.00854535264667
RENEE ROBINSON,WAS,2000,G,Spot-up Shooter,5.4,4.864235220166805,-27.523112052789415
STEFANIE DOLSON,CHI,2020,C,Secondary Creator/Distributor,273.0,4.83871237610411,6.083363644739129
MACTABENE AMACHREE,NYL,2001,F,Roller/Cutter,2.8,4.831612847542608,-90.68547471933944
TAMIKA CATCHINGS,IND,2007,F,Primary On-Ball Creator,678.3,4.8172585285971365,17.655006257668596
BREANNA STEWART,NYL,2023,F,Perimeter-Oriented Big/Wing,1364.0,4.739362175900993,6.581513078803657
A'JA WILSON,LVA,2024,C,Perimeter-Oriented Big/Wing,1307.2,4.67802738872542,2.230212461516509
PENNY TAYLOR,PHO,2013,F,Spot-up Shooter,161.0,4.594697930224136,3.691390786969357
