,Player,Team,Archetype,year
3454,JORDIN CANADA,SEA,Secondary Creator/Distributor,2018
3425,DEWANNA BONNER,PHO,Primary On-Ball Creator,2018
3432,JESSICA BRELAND,ATL,Roller/Cutter,2018
3431,JASMINE THOMAS,CON,Primary On-Ball Creator,2018
3430,GABBY WILLIAMS,CHI,Perimeter-Oriented Big,2018
3429,ESSENCE CARSON,LAS,Spot-up Shooter,2018
3428,ERICA WHEELER,IND,Secondary Creator/Distributor,2018
3427,ERICA MCCALL,IND,Perimeter-Oriented Big,2018
3426,DIAMOND DESHIELDS,CHI,Primary On-Ball Creator,2018
3424,COURTNEY PARIS,SEA,Roller/Cutter,2018
3434,JONQUEL JONES,CON,Perimeter-Oriented Big,2018
3423,CHEYENNE PARKER-TYUS,CHI,Interior Primary Option,2018
3422,CHELSEA GRAY,LAS,Primary On-Ball Creator,2018
3421,BRITTNEY GRINER,PHO,Interior Primary Option,2018
3420,BRIA HARTLEY,NYL,Secondary Creator/Distributor,2018
3419,BREANNA STEWART,SEA,Primary On-Ball Creator,2018
3418,AZURÁ STEVENS,DAL,Perimeter-Oriented Big,2018
3417,ALLISHA GRAY,DAL,Spot-up Shooter,2018
3433,JEWELL LOYD,SEA,Primary On-Ball Creator,2018
3435,KAYLA THORNTON,DAL,Spot-up Shooter,2018
3453,ELIZABETH WILLIAMS,ATL,Roller/Cutter,2018
3445,SYLVIA FOWLES,MIN,Interior Primary Option,2018
3452,DIANA TAURASI,PHO,Primary On-Ball Creator,2018
3451,DEARICA HAMBY,LVA,Perimeter-Oriented Big,2018
3450,CAMILLE SMITH,PHO,Perimeter-Oriented Big,2018
3449,BRIANN JANUARY,PHO,Spot-up Shooter,2018
3448,A'JA WILSON,LVA,Interior Primary Option,2018
3447,VICTORIA VIVIANS,IND,Spot-up Shooter,2018
3446,TIFFANY MITCHELL,IND,Secondary Creator/Distributor,2018
3444,SHEKINNA STRICKLEN,CON,Spot-up Shooter,2018
3436,KELSEY MITCHELL,IND,Primary On-Ball Creator,2018
3443,RENEE MONTGOMERY,ATL,Spot-up Shooter,2018
3442,ODYSSEY SIMS,LAS,Secondary Creator/Distributor,2018
3441,NATASHA HOWARD,SEA,Interior Primary Option,2018
3440,NATALIE ACHONWA,IND,Roller/Cutter,2018
3439,MORGAN TUCK,CON,Perimeter-Oriented Big,2018
3438,MAYA MOORE,MIN,Primary On-Ball Creator,2018
3437,KIA NURSE,NYL,Spot-up Shooter,2018
3493,COURTNEY VANDERSLOOT,CHI,Secondary Creator/Distributor,2018
3494,COURTNEY WILLIAMS,CON,Primary On-Ball Creator,2018
3495,JANTEL LAVENDER,LAS,Perimeter-Oriented Big,2018
3545,DAMIRIS DANTAS,ATL,Perimeter-Oriented Big,2018
3552,HIND BEN ABDELKADER,IND,Secondary Creator/Distributor,2018
3551,ASIA TAYLOR,IND,Perimeter-Oriented Big,2018
3550,MORIAH JEFFERSON,LVA,Secondary Creator/Distributor,2018
3549,EPIPHANNY PRINCE,NYL,Primary On-Ball Creator,2018
3548,JAMIERRA FAULKNER,CHI,Secondary Creator/Distributor,2018
3547,SANCHO LYTTLE,PHO,Roller/Cutter,2018
3546,SHATORI WALKER-KIMBROUGH,WAS,Secondary Creator/Distributor,2018
3544,ALEX MONTGOMERY,CHI,Perimeter-Oriented Big,2018
3555,SYDNEY WIESE,LAS,Secondary Creator/Distributor,2018
3543,TAYLER HILL,DAL,Spot-up Shooter,2018
3542,NOELLE QUINN,SEA,Secondary Creator/Distributor,2018
3541,KARLIE SAMUELSON,LAS,Spot-up Shooter,2018
3540,ENDY MIYEM,MIN,Perimeter-Oriented Big,2018
3539,MARISSA COLEMAN,NYL,Spot-up Shooter,2018
3538,LETICIA ROMERO,DAL,Secondary Creator/Distributor,2018
3537,SHAVONTE ZELLOUS,NYL,Perimeter-Oriented Big,2018
3554,ERLANA LARKINS,MIN,Roller/Cutter,2018
3556,JAZMON GWATHMEY,IND,Secondary Creator/Distributor,2018
3535,ASTOU NDOUR-FALL,CHI,Perimeter-Oriented Big,2018
3566,ALEXIS PRINCE,ATL,Perimeter-Oriented Big,2018
3496,KAYLA ALEXANDER,IND,Roller/Cutter,2018
3572,IMANI WRIGHT,PHO,Spot-up Shooter,2018
3571,AMBER HARRIS,CHI,Roller/Cutter,2018
3570,ADAORA ELONU,ATL,Secondary Creator/Distributor,2018
3569,SYDNEY COLSON,MIN,Secondary Creator/Distributor,2018
3568,SHONI SCHIMMEL,LVA,Secondary Creator/Distributor,2018
3567,RAIGYNE LOUIS,LVA,Roller/Cutter,2018
3565,SEQUOIA HOLMES,LVA,Roller/Cutter,2018
3557,MAGGIE LUCAS,DAL,Spot-up Shooter,2018
3564,TEANA MULDROW,DAL,Spot-up Shooter,2018
3563,CHELSEA HOPKINS,CHI,Roller/Cutter,2018
3562,SANIYA CHONG,DAL,Roller/Cutter,2018
3561,DEVEREAUX PETERS,PHO,Roller/Cutter,2018
3560,KARIMA CHRISTMAS-KELLY,DAL,Perimeter-Oriented Big,2018
3559,BREANNA LEWIS,DAL,Roller/Cutter,2018
3558,THERESA PLAISANCE,DAL,Perimeter-Oriented Big,2018
3536,LEXIE BROWN,CON,Secondary Creator/Distributor,2018
3553,LYNETTA KIZER,MIN,Roller/Cutter,2018
3534,MARIE GÜLICH,PHO,Roller/Cutter,2018
3515,NATASHA CLOUD,WAS,Secondary Creator/Distributor,2018
3513,BRIONNA JONES,CON,Roller/Cutter,2018
3512,REBECCA ALLEN,NYL,Perimeter-Oriented Big,2018
3511,NIA COFFEY,LVA,Perimeter-Oriented Big,2018
3510,LATOYA SANDERS,WAS,Roller/Cutter,2018
3509,DANIELLE ROBINSON,MIN,Secondary Creator/Distributor,2018
3508,KIA VAUGHN,NYL,Roller/Cutter,2018
3507,IMANI MCGEE-STAFFORD,ATL,Roller/Cutter,2018
3506,GLORY JOHNSON,DAL,Perimeter-Oriented Big,2018
3505,ELENA DELLE DONNE,WAS,Primary On-Ball Creator,2018
3504,CECILIA ZANDALASINI,MIN,Spot-up Shooter,2018
3503,BRITTNEY SYKES,ATL,Primary On-Ball Creator,2018
3502,BETNIJAH LANEY-HAMILTON,CON,Perimeter-Oriented Big,2018
3501,ARIEL ATKINS,WAS,Primary On-Ball Creator,2018
3500,ANGEL MCCOUGHTRY,ATL,Primary On-Ball Creator,2018
3499,AMANDA ZAHUI B,NYL,Perimeter-Oriented Big,2018
3498,TEMI FÁGBÉNLÉ,MIN,Roller/Cutter,2018
3533,CAYLA GEORGE,DAL,Spot-up Shooter,2018
3514,KAELA DAVIS,DAL,Secondary Creator/Distributor,2018
3497,KIAH STOKES,NYL,Roller/Cutter,2018
3516,NNEKA OGWUMIKE,LAS,Interior Primary Option,2018
3524,STEPHANIE MAVUNGA,IND,Roller/Cutter,2018
3532,MYISHA HINES-ALLEN,WAS,Perimeter-Oriented Big,2018
3531,MERCEDES RUSSELL,SEA,Roller/Cutter,2018
3530,LINNAE HARPER,CHI,Secondary Creator/Distributor,2018
3529,LINDSAY ALLEN,LVA,Secondary Creator/Distributor,2018
3527,ANGEL ROBINSON,PHO,Roller/Cutter,2018
3526,ALYSSA THOMAS,CON,Interior Primary Option,2018
3525,AERIAL POWERS,WAS,Secondary Creator/Distributor,2018
3528,KRYSTAL THOMAS,WAS,Roller/Cutter,2018
3523,REBEKKAH BRUNSON,MIN,Perimeter-Oriented Big,2018
3522,MARIA KLIUNDIKOVA,LAS,Perimeter-Oriented Big,2018
3521,CRYSTAL LANGHORNE,SEA,Roller/Cutter,2018
3520,CAROLYN SWORDS,LVA,Roller/Cutter,2018
3519,BLAKE DIETRICK,ATL,Spot-up Shooter,2018
3518,ALEXIS JONES,MIN,Secondary Creator/Distributor,2018
3517,STEFANIE DOLSON,CHI,Perimeter-Oriented Big,2018
3307,ALYSHA CLARK,SEA,Spot-up Shooter,2017
3315,REBECCA ALLEN,NYL,Spot-up Shooter,2017
3314,RAMU TOKASHIKI,SEA,Roller/Cutter,2017
3313,KAELA DAVIS,DAL,Secondary Creator/Distributor,2017
3312,GLORY JOHNSON,DAL,Interior Primary Option,2017
3311,CANDICE DUPREE,IND,Interior Primary Option,2017
3310,CANDACE PARKER,LAS,Primary On-Ball Creator,2017
3309,BREANNA STEWART,SEA,Interior Primary Option,2017
3308,ALYSSA THOMAS,CON,Interior Primary Option,2017
3299,SHEKINNA STRICKLEN,CON,Spot-up Shooter,2017
3306,YVONNE TURNER,PHO,Secondary Creator/Distributor,2017
3305,TINA CHARLES,NYL,Interior Primary Option,2017
3304,TIERRA RUFFIN-PRATT,WAS,Roller/Cutter,2017
3303,THERESA PLAISANCE,DAL,Perimeter-Oriented Big,2017
3302,SYLVIA FOWLES,MIN,Interior Primary Option,2017
3301,STEPHANIE TALBOT,PHO,Spot-up Shooter,2017
3300,SKYLAR DIGGINS,DAL,Primary On-Ball Creator,2017
3317,SANIYA CHONG,DAL,Secondary Creator/Distributor,2017
3316,SAMI WHITCOMB,SEA,Spot-up Shooter,2017
3325,IMANI MCGEE-STAFFORD,ATL,Perimeter-Oriented Big,2017
3318,STEFANIE DOLSON,CHI,Interior Primary Option,2017
3328,NAYO RAINCOCK-EKUNWE,NYL,Roller/Cutter,2017
3335,MATEE AJAVON,ATL,Secondary Creator/Distributor,2017
3334,KELSEY PLUM,SAN,Secondary Creator/Distributor,2017
3333,DIANA TAURASI,PHO,Primary On-Ball Creator,2017
3332,ALLIE QUIGLEY,CHI,Primary On-Ball Creator,2017
3331,ALEX BENTLEY,CON,Secondary Creator/Distributor,2017
3330,SEIMONE AUGUSTUS,MIN,Secondary Creator/Distributor,2017
3329,NOELLE QUINN,SEA,Spot-up Shooter,2017
3327,JASMINE THOMAS,CON,Primary On-Ball Creator,2017
3319,SUGAR RODGERS,NYL,Spot-up Shooter,2017
3326,JANTEL LAVENDER,LAS,Perimeter-Oriented Big,2017
3297,RENEE MONTGOMERY,MIN,Secondary Creator/Distributor,2017
3324,DANIELLE ROBINSON,PHO,Secondary Creator/Distributor,2017
3323,CAYLA GEORGE,PHO,Perimeter-Oriented Big,2017
3322,BRIA HOLMES,ATL,Perimeter-Oriented Big,2017
3321,TIFFANY HAYES,ATL,Primary On-Ball Creator,2017
3320,TIANNA HAWKINS,WAS,Perimeter-Oriented Big,2017
3298,SHAVONTE ZELLOUS,NYL,Secondary Creator/Distributor,2017
3337,CAROLYN SWORDS,SEA,Roller/Cutter,2017
3296,PLENETTE PIERSON,MIN,Perimeter-Oriented Big,2017
3267,CHELSEA GRAY,LAS,Primary On-Ball Creator,2017
3274,ERICA WHEELER,IND,Primary On-Ball Creator,2017
3273,EMMA CANNON,PHO,Roller/Cutter,2017
3272,ELIZABETH WILLIAMS,ATL,Roller/Cutter,2017
3271,DEARICA HAMBY,SAN,Interior Primary Option,2017
3270,DAMIRIS DANTAS,ATL,Perimeter-Oriented Big,2017
3269,CRYSTAL LANGHORNE,SEA,Interior Primary Option,2017
3268,COURTNEY WILLIAMS,CON,Primary On-Ball Creator,2017
3266,CAMILLE SMITH,PHO,Perimeter-Oriented Big,2017
3276,ISABELLE HARRISON,SAN,Interior Primary Option,2017
3265,BRITTNEY SYKES,ATL,Primary On-Ball Creator,2017
3264,BRIA HARTLEY,NYL,Spot-up Shooter,2017
3263,ALLISHA GRAY,DAL,Primary On-Ball Creator,2017
3262,ALEX MONTGOMERY,SAN,Spot-up Shooter,2017
3261,ALANA BEARD,LAS,Perimeter-Oriented Big,2017
3260,TAMERA YOUNG,ATL,Perimeter-Oriented Big,2017
3259,MONIQUE CURRIE,PHO,Primary On-Ball Creator,2017
3275,ERLANA LARKINS,IND,Roller/Cutter,2017
3277,IVORY LATTA,WAS,Primary On-Ball Creator,2017
3295,NNEKA OGWUMIKE,LAS,Interior Primary Option,2017
3287,KRISTI TOLIVER,WAS,Spot-up Shooter,2017
3294,NATASHA HOWARD,MIN,Perimeter-Oriented Big,2017
3293,NATALIE ACHONWA,IND,Roller/Cutter,2017
3292,MAYA MOORE,MIN,Primary On-Ball Creator,2017
3291,MARISSA COLEMAN,IND,Spot-up Shooter,2017
3290,LEILANI MITCHELL,PHO,Secondary Creator/Distributor,2017
3289,LAYSHIA CLARENDON,ATL,Secondary Creator/Distributor,2017
3288,KRYSTAL THOMAS,WAS,Roller/Cutter,2017
3286,KIAH STOKES,NYL,Roller/Cutter,2017
3278,JESSICA BRELAND,CHI,Perimeter-Oriented Big,2017
3285,KAYLA THORNTON,DAL,Perimeter-Oriented Big,2017
3284,KAYLA ALEXANDER,SAN,Roller/Cutter,2017
3283,KARIMA CHRISTMAS-KELLY,DAL,Secondary Creator/Distributor,2017
3282,KAHLEAH COPPER,CHI,Perimeter-Oriented Big,2017
3281,JONQUEL JONES,CON,Interior Primary Option,2017
3280,JIA PERKINS,MIN,Secondary Creator/Distributor,2017
3279,JEWELL LOYD,SEA,Primary On-Ball Creator,2017
3336,ODYSSEY SIMS,LAS,Secondary Creator/Distributor,2017
3382,KEISHA HAMPTON,CHI,Spot-up Shooter,2017
3338,ERICA MCCALL,IND,Perimeter-Oriented Big,2017
3387,MAKAYLA EPPS,CHI,Secondary Creator/Distributor,2017
3394,JENNIFER HAMSON,IND,Roller/Cutter,2017
3393,AERIAL POWERS,DAL,Primary On-Ball Creator,2017
3392,BREANNA LEWIS,DAL,Roller/Cutter,2017
3391,SHENISE JOHNSON,IND,Primary On-Ball Creator,2017
3390,JENNIE SIMMS,IND,Secondary Creator/Distributor,2017
3389,EVELYN AKHATOR,DAL,Roller/Cutter,2017
3388,ANGEL ROBINSON,PHO,Perimeter-Oriented Big,2017
3386,ALEXIS PETERSON,SEA,Secondary Creator/Distributor,2017
3397,BASHAARA GRAVES,CHI,Roller/Cutter,2017
3385,TAYLER HILL,WAS,Primary On-Ball Creator,2017
3384,KALEENA MOSQUEDA-LEWIS,SEA,Spot-up Shooter,2017
3383,ALEXIS PRINCE,PHO,Perimeter-Oriented Big,2017
3339,KAYLA MCBRIDE,SAN,Primary On-Ball Creator,2017
3381,DANIELLE ADAMS,CON,Spot-up Shooter,2017
3380,LYNETTA KIZER,CON,Roller/Cutter,2017
3379,COURTNEY PARIS,DAL,Roller/Cutter,2017
3395,ALLISON HIGHTOWER,WAS,Secondary Creator/Distributor,2017
3398,CIERRA BURDICK,SAN,Perimeter-Oriented Big,2017
3377,MORIAH JEFFERSON,SAN,Secondary Creator/Distributor,2017
3408,NADIA COLHADO,IND,Roller/Cutter,2017
3415,FEYONDA FITZGERALD,CON,Roller/Cutter,2017
3414,BRITTANY BOYD-JONES,NYL,Interior Primary Option,2017
3413,AMERYST ALSTON,NYL,Roller/Cutter,2017
3412,CHELSEA HOPKINS,ATL,Roller/Cutter,2017
3411,CECILIA ZANDALASINI,MIN,Perimeter-Oriented Big,2017
3410,SOPHIE BRUNNER,SAN,Roller/Cutter,2017
3409,HALEY PETERS,WAS,Spot-up Shooter,2017
3407,DARXIA MORRIS,ATL,Perimeter-Oriented Big,2017
3399,MAIMOUNA DIARRA,LAS,Roller/Cutter,2017
3406,ADUT BULGAK,CHI,Perimeter-Oriented Big,2017
3405,IFY IBEKWE,LAS,Roller/Cutter,2017
3404,ANEIKA MORELLO,ATL,Roller/Cutter,2017
3403,SANDRINE GRUDA,LAS,Roller/Cutter,2017
3402,RACHEL HOLLIVAY,ATL,Roller/Cutter,2017
3401,LANAY MONTGOMERY,SEA,Roller/Cutter,2017
3400,BRIANNA KIESEL,ATL,Secondary Creator/Distributor,2017
3378,TEMI FÁGBÉNLÉ,MIN,Roller/Cutter,2017
3396,MEIGHAN SIMMONS,ATL,Spot-up Shooter,2017
3376,MORGAN TUCK,CON,Perimeter-Oriented Big,2017
3347,SANCHO LYTTLE,ATL,Perimeter-Oriented Big,2017
3355,AMBER HARRIS,CHI,Roller/Cutter,2017
3354,SYDNEY WIESE,LAS,Spot-up Shooter,2017
3353,SYDNEY COLSON,SAN,Secondary Creator/Distributor,2017
3352,LINDSAY ALLEN,NYL,Secondary Creator/Distributor,2017
3351,KIA VAUGHN,NYL,Roller/Cutter,2017
3350,JORDAN HOOPER,CHI,Spot-up Shooter,2017
3348,EPIPHANNY PRINCE,NYL,Primary On-Ball Creator,2017
3346,JEANETTE POHLEN-MAVUNGA,IND,Spot-up Shooter,2017
3357,ERIKA DE SOUZA,SAN,Roller/Cutter,2017
3345,CAPPIE PONDEXTER,CHI,Primary On-Ball Creator,2017
3344,AMANDA ZAHUI B,NYL,Perimeter-Oriented Big,2017
3343,ALEXIS JONES,MIN,Secondary Creator/Distributor,2017
3342,SUE BIRD,SEA,Spot-up Shooter,2017
3341,REBEKKAH BRUNSON,MIN,Perimeter-Oriented Big,2017
3340,RACHEL BANHAM,CON,Spot-up Shooter,2017
3375,LINDSAY WHALEN,MIN,Secondary Creator/Distributor,2017
3356,COURTNEY VANDERSLOOT,CHI,Secondary Creator/Distributor,2017
3349,JAZMON GWATHMEY,IND,Spot-up Shooter,2017
3358,NIA COFFEY,SAN,Roller/Cutter,2017
3366,BRIANN JANUARY,IND,Secondary Creator/Distributor,2017
3373,EMMA MEESSEMAN,WAS,Interior Primary Option,2017
3372,CHEYENNE PARKER-TYUS,CHI,Roller/Cutter,2017
3371,BRIONNA JONES,CON,Roller/Cutter,2017
3370,NATASHA CLOUD,WAS,Secondary Creator/Distributor,2017
3369,ESSENCE CARSON,LAS,Spot-up Shooter,2017
3368,ASIA TAYLOR,WAS,Roller/Cutter,2017
3367,ELENA DELLE DONNE,WAS,Primary On-Ball Creator,2017
3374,RIQUNA WILLIAMS,LAS,Spot-up Shooter,2017
3365,TIFFANY JACKSON,LAS,Roller/Cutter,2017
3364,SHAY MURPHY,SAN,Spot-up Shooter,2017
3363,KAYLA PEDERSEN,CON,Roller/Cutter,2017
3362,BRITTNEY GRINER,PHO,Interior Primary Option,2017
3361,TIFFANY MITCHELL,IND,Primary On-Ball Creator,2017
3360,SHATORI WALKER-KIMBROUGH,WAS,Secondary Creator/Distributor,2017
3359,SEQUOIA HOLMES,SAN,Spot-up Shooter,2017
3150,ERLANA LARKINS,IND,Roller/Cutter,2016
3158,SHAVONTE ZELLOUS,NYL,Secondary Creator/Distributor,2016
3157,REBEKKAH BRUNSON,MIN,Roller/Cutter,2016
3156,NOELLE QUINN,SEA,Secondary Creator/Distributor,2016
3155,NNEKA OGWUMIKE,LAS,Interior Primary Option,2016
3154,MISTIE BASS,PHO,Roller/Cutter,2016
3153,LYNETTA KIZER,IND,Roller/Cutter,2016
3152,KRISTI TOLIVER,LAS,Spot-up Shooter,2016
3151,JANEL MCCARVILLE,MIN,Perimeter-Oriented Big,2016
3147,CHINEY OGWUMIKE,CON,Interior Primary Option,2016
3149,DIANA TAURASI,PHO,Primary On-Ball Creator,2016
3148,CRYSTAL LANGHORNE,SEA,Perimeter-Oriented Big,2016
3160,TIFFANY HAYES,ATL,Primary On-Ball Creator,2016
3146,CHELSEA GRAY,LAS,Secondary Creator/Distributor,2016
3145,CAPPIE PONDEXTER,CHI,Primary On-Ball Creator,2016
3144,CAMILLE SMITH,CON,Perimeter-Oriented Big,2016
3143,BRITTANY BOYD-JONES,NYL,Secondary Creator/Distributor,2016
3142,BRIA HOLMES,ATL,Perimeter-Oriented Big,2016
3159,SUGAR RODGERS,NYL,Spot-up Shooter,2016
3178,NATASHA CLOUD,WAS,Secondary Creator/Distributor,2016
3161,AERIAL POWERS,DAL,Primary On-Ball Creator,2016
3171,TAYLER HILL,WAS,Primary On-Ball Creator,2016
3140,AMANDA ZAHUI B,NYL,Roller/Cutter,2016
3177,KELLY FARIS,CON,Spot-up Shooter,2016
3176,IMANI MCGEE-STAFFORD,CHI,Roller/Cutter,2016
3175,ERIKA DE SOUZA,CHI,Roller/Cutter,2016
3174,ALYSSA THOMAS,CON,Interior Primary Option,2016
3173,TINA CHARLES,NYL,Interior Primary Option,2016
3172,TIERRA RUFFIN-PRATT,WAS,Perimeter-Oriented Big,2016
3170,TAMERA YOUNG,CHI,Roller/Cutter,2016
3162,CANDICE DUPREE,PHO,Roller/Cutter,2016
3169,RACHEL HOLLIVAY,ATL,Roller/Cutter,2016
3168,MATEE AJAVON,ATL,Secondary Creator/Distributor,2016
3167,MARISSA COLEMAN,IND,Spot-up Shooter,2016
3166,LINDSAY WHALEN,MIN,Perimeter-Oriented Big,2016
3165,KALEENA MOSQUEDA-LEWIS,SEA,Spot-up Shooter,2016
3164,JORDAN HOOPER,DAL,Spot-up Shooter,2016
3163,ERIN PHILLIPS,DAL,Spot-up Shooter,2016
3141,ANGEL MCCOUGHTRY,ATL,Primary On-Ball Creator,2016
3102,ALEX BENTLEY,CON,Primary On-Ball Creator,2016
3139,ALYSHA CLARK,SEA,Spot-up Shooter,2016
3110,ELIZABETH WILLIAMS,ATL,Roller/Cutter,2016
3117,JASMINE THOMAS,CON,Secondary Creator/Distributor,2016
3116,JANTEL LAVENDER,LAS,Roller/Cutter,2016
3115,JAMIERRA FAULKNER,CHI,Secondary Creator/Distributor,2016
3114,HALEY PETERS,SAN,Spot-up Shooter,2016
3113,ESSENCE CARSON,LAS,Perimeter-Oriented Big,2016
3112,ERICA WHEELER,IND,Secondary Creator/Distributor,2016
3111,EMMA MEESSEMAN,WAS,Interior Primary Option,2016
3109,DEWANNA BONNER,PHO,Primary On-Ball Creator,2016
3119,JESSICA BRELAND,CHI,Roller/Cutter,2016
3108,COURTNEY PARIS,DAL,Roller/Cutter,2016
3107,CAROLYN SWORDS,NYL,Roller/Cutter,2016
3106,CANDACE PARKER,LAS,Interior Primary Option,2016
3105,BRITTNEY GRINER,PHO,Interior Primary Option,2016
3104,BREANNA STEWART,SEA,Interior Primary Option,2016
3103,ALLIE QUIGLEY,CHI,Primary On-Ball Creator,2016
3180,SONJA PETROVIC,PHO,Perimeter-Oriented Big,2016
3118,JAYNE APPEL MARINELLI,SAN,Roller/Cutter,2016
3120,JEWELL LOYD,SEA,Primary On-Ball Creator,2016
3138,TIFFANY MITCHELL,IND,Primary On-Ball Creator,2016
3130,NATASHA HOWARD,MIN,Interior Primary Option,2016
3137,TAMIKA CATCHINGS,IND,Primary On-Ball Creator,2016
3136,SYLVIA FOWLES,MIN,Interior Primary Option,2016
3135,SYDNEY COLSON,SAN,Secondary Creator/Distributor,2016
3134,SUE BIRD,SEA,Primary On-Ball Creator,2016
3133,STEFANIE DOLSON,WAS,Perimeter-Oriented Big,2016
3132,RENEE MONTGOMERY,MIN,Secondary Creator/Distributor,2016
3131,ODYSSEY SIMS,DAL,Primary On-Ball Creator,2016
3129,MORIAH JEFFERSON,SAN,Primary On-Ball Creator,2016
3121,JIA PERKINS,MIN,Perimeter-Oriented Big,2016
3128,MONIQUE CURRIE,SAN,Primary On-Ball Creator,2016
3127,MAYA MOORE,MIN,Primary On-Ball Creator,2016
3126,LAYSHIA CLARENDON,ATL,Secondary Creator/Distributor,2016
3125,KIA VAUGHN,WAS,Roller/Cutter,2016
3124,KELSEY BONE,PHO,Perimeter-Oriented Big,2016
3123,KARIMA CHRISTMAS-KELLY,DAL,Primary On-Ball Creator,2016
3122,JONQUEL JONES,CON,Perimeter-Oriented Big,2016
3179,RAMU TOKASHIKI,SEA,Roller/Cutter,2016
3101,ALANA BEARD,LAS,Perimeter-Oriented Big,2016
3181,SWIN CASH,NYL,Perimeter-Oriented Big,2016
3231,MARTA XARGAY,PHO,Spot-up Shooter,2016
3238,ANEIKA MORELLO,CON,Roller/Cutter,2016
3237,VICKI BAUGH,SAN,Roller/Cutter,2016
3236,JEANETTE POHLEN-MAVUNGA,IND,Spot-up Shooter,2016
3235,BASHAARA GRAVES,MIN,Roller/Cutter,2016
3234,ABBY BISHOP,SEA,Perimeter-Oriented Big,2016
3233,BRIANNA KIESEL,DAL,Secondary Creator/Distributor,2016
3232,RACHEL BANHAM,CON,Spot-up Shooter,2016
3230,JELENA DUBLJEVIC,LAS,Perimeter-Oriented Big,2016
3240,TIFFANY BIAS,DAL,Secondary Creator/Distributor,2016
3229,MONICA WRIGHT,SEA,Secondary Creator/Distributor,2016
3228,SHONI SCHIMMEL,NYL,Spot-up Shooter,2016
3227,KAYLA MCBRIDE,SAN,Primary On-Ball Creator,2016
3226,GLORY JOHNSON,DAL,Interior Primary Option,2016
3225,SANCHO LYTTLE,ATL,Perimeter-Oriented Big,2016
3224,KRYSTAL THOMAS,SEA,Roller/Cutter,2016
3223,RUTH HAMBLIN,DAL,Roller/Cutter,2016
3239,LEILANI MITCHELL,WAS,Spot-up Shooter,2016
3241,WHITNEY KNIGHT,SAN,Spot-up Shooter,2016
3221,CLARISSA DOS SANTOS,CHI,Roller/Cutter,2016
3251,ASIA TAYLOR,CON,Roller/Cutter,2016
3258,AMERYST ALSTON,NYL,Secondary Creator/Distributor,2016
3257,ZOI DIMITRAKOU,WAS,Spot-up Shooter,2016
3256,BLAKE DIETRICK,SAN,Roller/Cutter,2016
3255,AVERY WARLEY-TALBERT,SAN,Roller/Cutter,2016
3254,NIRRA FIELDS,PHO,Secondary Creator/Distributor,2016
3253,MAGGIE LUCAS,IND,Primary On-Ball Creator,2016
3252,LATOYA SANDERS,WAS,Roller/Cutter,2016
3250,EPIPHANNY PRINCE,NYL,Spot-up Shooter,2016
3242,BETNIJAH LANEY-HAMILTON,CHI,Roller/Cutter,2016
3249,ANNA CRUZ,MIN,Perimeter-Oriented Big,2016
3248,SANDRINE GRUDA,LAS,Roller/Cutter,2016
3247,JAMIE WEISNER,WAS,Secondary Creator/Distributor,2016
3246,ADUT BULGAK,NYL,Perimeter-Oriented Big,2016
3245,FRIDA ELDEBRINK,SAN,Secondary Creator/Distributor,2016
3244,CIERRA BURDICK,ATL,Roller/Cutter,2016
3243,BRENE MOSELEY,IND,Secondary Creator/Distributor,2016
3222,EVGENIIA BELYAKOVA,LAS,Spot-up Shooter,2016
3182,ASTOU NDOUR-FALL,SAN,Perimeter-Oriented Big,2016
3220,REBECCA ALLEN,NYL,Perimeter-Oriented Big,2016
3190,ALEX HARDEN,PHO,Spot-up Shooter,2016
3198,PLENETTE PIERSON,DAL,Perimeter-Oriented Big,2016
3197,MARKEISHA GATLING,ATL,Roller/Cutter,2016
3196,KIAH STOKES,NYL,Roller/Cutter,2016
3195,KEISHA HAMPTON,MIN,Spot-up Shooter,2016
3194,CARLA CORTIJO,ATL,Secondary Creator/Distributor,2016
3193,SHEKINNA STRICKLEN,CON,Spot-up Shooter,2016
3191,ELENA DELLE DONNE,CHI,Primary On-Ball Creator,2016
3189,TANISHA WRIGHT,NYL,Secondary Creator/Distributor,2016
3200,THERESA PLAISANCE,DAL,Perimeter-Oriented Big,2016
3188,SHENISE JOHNSON,IND,Primary On-Ball Creator,2016
3187,SEIMONE AUGUSTUS,MIN,Primary On-Ball Creator,2016
3186,BRIANN JANUARY,IND,Secondary Creator/Distributor,2016
3185,KAHLEAH COPPER,WAS,Perimeter-Oriented Big,2016
3184,DEVEREAUX PETERS,IND,Perimeter-Oriented Big,2016
3183,COURTNEY VANDERSLOOT,CHI,Secondary Creator/Distributor,2016
3219,ANN WAUTERS,LAS,Roller/Cutter,2016
3199,SKYLAR DIGGINS,DAL,Primary On-Ball Creator,2016
3192,RESHANDA GRAY,ATL,Roller/Cutter,2016
3201,ISABELLE HARRISON,PHO,Roller/Cutter,2016
3210,PENNY TAYLOR,PHO,Primary On-Ball Creator,2016
3202,LINDSEY HARDING,PHO,Secondary Creator/Distributor,2016
3217,JAZMON GWATHMEY,SAN,Spot-up Shooter,2016
3216,IVORY LATTA,WAS,Spot-up Shooter,2016
3215,ANA DABOVIC,LAS,Secondary Creator/Distributor,2016
3214,ALLY MALOTT,WAS,Spot-up Shooter,2016
3212,NATALIE ACHONWA,IND,Roller/Cutter,2016
