Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Ramu Tokashiki,SEA,F,33,411,33,1,411,5.3,12,0.442,0,0.4,0,5.3,11.6,0.457,2.8,3.4,0.815,2.4,6.8,2.6,1.1,1.1,3.3,9.3,13.4,2017
Kristi Toliver,WAS,G,34,989,34,34,989,7.3,17.9,0.407,4,11.9,0.338,3.3,6,0.544,2.7,3.2,0.867,0.6,3.5,6.1,1.2,0.4,3.3,3.4,21.3,2017
Morgan Tuck,CON,F,22,366,22,5,366,6.1,17.1,0.354,1.5,5.1,0.289,4.6,12,0.382,2.3,2.8,0.81,1.5,6.6,2.7,1.1,0,3,4.7,15.9,2017
Yvonne Turner,PHO,G,34,434,34,4,434,7.7,18.9,0.41,1.5,6.3,0.241,6.2,12.5,0.495,3.4,4.5,0.763,1.4,3.9,4.3,2.2,0.1,4.3,4.5,20.4,2017
Courtney Vandersloot,CHI,G,27,817,27,22,817,7.7,14.9,0.516,1.6,4.1,0.382,6.1,10.8,0.567,1.9,2.2,0.861,1,6.1,13.2,2,0.4,4.9,3.6,18.9,2017
Kia Vaughn,NYL,C,28,549,28,22,549,7,13,0.536,0,0,,7,13,0.536,1.3,2.3,0.583,5.1,12.9,1.9,1.1,1,2.2,5.2,15.3,2017
Shatori Walker-Kimbrough,WAS,G,27,336,27,8,336,5.6,15.1,0.371,1.7,5.1,0.333,3.9,9.9,0.391,5.4,6.4,0.854,1.1,4.7,1.9,2.3,0.6,2.6,4,18.3,2017
Lindsay Whalen*,MIN,G,22,520,22,22,520,6.8,15.1,0.451,1.2,3.3,0.353,5.6,11.7,0.479,2.7,3.5,0.75,0.8,5.3,8.9,1.1,0.2,4.3,3.6,17.4,2017
Erica Wheeler,IND,G,34,898,34,26,898,9.1,22.7,0.4,2.9,8.8,0.331,6.2,13.9,0.444,2.2,2.8,0.792,0.6,4.4,8,2.7,0.1,4.5,4.5,23.3,2017
Sami Whitcomb,SEA,G,33,404,33,0,404,6.2,17.1,0.361,4.4,13.1,0.333,1.8,4,0.452,2.2,2.7,0.81,1.8,7.2,4.4,3.1,0,3.7,6.4,18.9,2017
Sydney Wiese,LAS,G,28,222,28,0,222,5.4,14,0.383,3.3,8.1,0.4,2.1,5.8,0.36,0.9,1.9,0.5,0.7,5.1,1.9,1.2,0.7,0.5,4.4,14.9,2017
Courtney Williams,CON,G,34,884,34,28,884,10.3,21.8,0.473,0.7,2.1,0.324,9.6,19.7,0.489,2,2.3,0.878,2.6,8,4,1,0.4,2.6,3.1,23.3,2017
Elizabeth Williams,ATL,C-F,34,1069,34,34,1069,7,14.4,0.485,0,0,0,7,14.4,0.487,2.5,3.9,0.659,5,11.6,2.2,1.7,3.1,2.2,3.8,16.5,2017
Riquna Williams,LAS,G,23,408,23,6,408,5.7,17.7,0.321,2.5,9.4,0.27,3.2,8.4,0.379,4.8,5.6,0.864,0.8,4.1,2,2.4,0.4,3.3,5.3,18.7,2017
Amanda Zahui B.,NYL,C,29,155,29,0,155,8.7,21.7,0.4,0.7,2.7,0.25,8,19.1,0.421,3,4,0.75,3,10.4,3.3,1.7,2,5,11.7,21.1,2017
Cecilia Zandalasini,MIN,F,3,19,3,0,19,2.7,10.8,0.25,0,0,,2.7,10.8,0.25,0,0,,0,2.7,0,0,0,5.4,5.4,5.4,2017
Shavonte Zellous,NYL,G,34,991,34,34,991,6.4,15.2,0.423,0.8,2.5,0.333,5.6,12.7,0.44,7.1,8.6,0.823,1.7,7.1,5,1.5,0.4,3.4,6,20.8,2017
Imani McGee-Stafford,TOT,C,32,430,32,4,430,6.6,14.2,0.463,0.1,0.3,0.333,6.5,13.9,0.467,1.7,2.7,0.652,5.2,14.5,1.6,1,2.8,2.8,7.3,15,2017
Sophie Brunner,TOT,F,4,15,4,0,15,0,3.4,0,0,0,,0,3.4,0,0,0,,3.4,13.6,0,0,0,3.4,10.2,0,2017
Cierra Burdick,TOT,F,10,86,10,0,86,9.1,13.3,0.682,0.6,1.2,0.5,8.5,12.1,0.7,0,0,,2.4,7.3,5.4,1.2,0.6,4.8,11.5,18.7,2017
Monique Currie,TOT,F,36,784,36,10,784,8.6,20,0.428,2.6,6.4,0.398,6,13.6,0.442,5.8,7.1,0.824,1.3,8.7,5,1.6,0.8,3.5,5.2,25.5,2017
Jordan Hooper,TOT,F,28,299,28,0,299,6.2,16.5,0.374,4.8,12.5,0.387,1.3,4,0.333,0.7,1,0.667,0.5,6,1.5,1.5,0.2,1.5,2.7,17.8,2017
Chelsea Hopkins,TOT,G,3,9,3,0,9,0,5.6,0,0,0,,0,5.6,0,0,0,,0,0,0,0,0,0,0,0,2017
Shay Murphy,TOT,G,26,253,26,0,253,4.7,12.8,0.365,2.4,7.3,0.333,2.2,5.5,0.407,1.6,2.4,0.667,2.4,7.7,3.5,2,0.2,2.4,5.3,13.4,2017
Haley Peters,TOT,F-G,4,43,4,0,43,3.6,10.9,0.333,3.6,7.3,0.5,0,3.6,0,0,0,,0,3.6,1.2,0,0,4.8,7.3,10.9,2017
Jennie Simms,TOT,G,14,104,14,0,104,3,12.6,0.24,1,4.5,0.222,2,8,0.25,4.5,6,0.75,3,8,4,2,1,3,3,11.6,2017
Tamera Young,TOT,F,35,867,35,22,867,6.3,17.7,0.357,1.4,4.2,0.342,4.9,13.5,0.362,2.8,4.1,0.676,1.3,6.7,3.8,2.1,0.9,3.5,4,16.8,2017
Imani McGee-Stafford,CHI,C,22,340,22,4,340,6.4,14.4,0.444,0.1,0.4,0.333,6.3,14,0.448,1.8,2.5,0.706,4.8,14,1.8,1.2,2.5,3.1,7.7,14.7,2017
Sophie Brunner,PHO,F,3,13,3,0,13,0,3.9,0,0,0,,0,3.9,0,0,0,,3.9,15.6,0,0,0,3.9,7.8,0,2017
Cierra Burdick,NYL,F,6,36,6,0,36,8.6,15.8,0.545,1.4,1.4,1,7.2,14.4,0.5,0,0,,2.9,8.6,5.8,1.4,1.4,5.8,8.6,18.7,2017
Monique Currie,SAS,F,14,324,14,3,324,9.5,21.9,0.434,2.3,6.3,0.359,7.2,15.6,0.464,5.3,6.4,0.825,1.4,10.8,4.7,1.3,1,5.3,5,26.5,2017
Jordan Hooper,CON,F,3,11,3,0,11,0,9,0,0,4.5,0,0,4.5,0,0,0,,0,4.5,0,0,0,0,4.5,0,2017
Chelsea Hopkins,NYL,G,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2017
Shay Murphy,PHO,G,9,127,9,0,127,4.4,13.2,0.333,1.2,6.4,0.188,3.2,6.8,0.471,1.6,2.4,0.667,3.2,8.8,2.8,2.4,0,2,5.2,11.6,2017
Haley Peters,SAS,F-G,2,35,2,0,35,4.5,11.9,0.375,4.5,7.4,0.6,0,4.5,0,0,0,,0,3,1.5,0,0,4.5,6,13.4,2017
Jennie Simms,WAS,G,10,50,10,0,50,2.1,12.5,0.167,0,3.1,0,2.1,9.4,0.222,8.3,10.4,0.8,5.2,11.5,6.3,2.1,2.1,3.1,1,12.5,2017
Tamera Young,CHI,F,24,697,24,21,697,6.5,17.7,0.365,1.6,4.6,0.344,4.9,13.2,0.373,2.8,4.1,0.69,1.3,6.5,4.2,2.3,0.7,3.8,3.9,17.4,2017
Imani McGee-Stafford,ATL,C,10,90,10,0,90,7.3,13.4,0.542,0,0,,7.3,13.4,0.542,1.7,3.3,0.5,6.7,16.2,1.1,0.6,3.9,1.7,5.6,16.2,2017
Sophie Brunner,SAS,F,1,2,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,26.1,0,2017
Cierra Burdick,SAS,F,4,50,4,0,50,9.4,11.5,0.818,0,1,0,9.4,10.4,0.9,0,0,,2.1,6.3,5.2,1,0,4.2,13.5,18.8,2017
Monique Currie,PHO,F,22,460,22,7,460,8,18.8,0.424,2.8,6.5,0.424,5.2,12.3,0.423,6.2,7.5,0.824,1.2,7.3,5.3,1.9,0.7,2.3,5.4,24.9,2017
Jordan Hooper,ATL,F,15,102,15,0,102,7.9,19.7,0.4,5.9,13.8,0.429,2,5.9,0.333,1.5,2,0.75,1,6.4,1.5,2,0,2,3,23.2,2017
Chelsea Hopkins,ATL,G,2,8,2,0,8,0,6.3,0,0,0,,0,6.3,0,0,0,,0,0,0,0,0,0,0,0,2017
Shay Murphy,SAS,G,17,126,17,0,126,5,12.4,0.4,3.7,8.3,0.45,1.2,4.1,0.3,1.7,2.5,0.667,1.7,6.6,4.1,1.7,0.4,2.9,5.4,15.3,2017
Haley Peters,WAS,F-G,2,8,2,0,8,0,6.5,0,0,6.5,0,0,0,,0,0,,0,6.5,0,0,0,6.5,13,0,2017
Jennie Simms,IND,G,4,54,4,0,54,3.9,12.6,0.308,1.9,5.8,0.333,1.9,6.8,0.286,1,1.9,0.5,1,4.9,1.9,1.9,0,2.9,4.9,10.7,2017
Tamera Young,ATL,F,11,170,11,1,170,5.6,17.4,0.322,0.9,2.7,0.333,4.7,14.8,0.32,2.4,3.8,0.615,1.5,7.4,2.4,0.9,1.5,2.4,4.4,14.5,2017
Jordan Hooper,CHI,F,10,186,10,0,186,5.6,15.2,0.368,4.5,12.3,0.37,1.1,2.9,0.364,0.3,0.5,0.5,0.3,5.9,1.6,1.3,0.3,1.3,2.4,16,2017
Natalie Achonwa,IND,F,24,195,24,0,195,9.6,17.6,0.545,0,0,,9.6,17.6,0.545,3.7,5.3,0.7,4.3,12.5,1.6,2.7,0.3,3.2,7.2,22.9,2016
Matee Ajavon,ATL,G,32,338,32,2,338,5.4,17.7,0.305,0.4,1.9,0.231,4.9,15.7,0.314,4.5,6,0.75,2.8,7.8,5.7,1.8,1.2,4.9,7.8,15.7,2016
Kayla Alexander,SAS,C,25,489,25,0,489,8.3,15.3,0.546,0,0,,8.3,15.3,0.546,5,6.6,0.754,5.1,12.2,1.4,1.2,1.4,3,6,21.7,2016
Rebecca Allen,NYL,F-G,21,280,21,6,280,8.2,17.9,0.459,3.1,5.5,0.567,5.1,12.4,0.412,2.4,2.7,0.867,2.2,6.4,2,1.6,2,2.4,6.4,21.9,2016
Ameryst Alston,NYL,G,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2016
Jayne Appel-Marinelli,SAS,C,34,786,34,34,786,3.4,8,0.429,0,0.3,0,3.4,7.8,0.443,2.4,3.3,0.735,2.8,12.4,4.9,2,2.4,3.6,7.6,9.3,2016
Seimone Augustus*,MIN,G-F,29,765,29,29,765,9.2,20.1,0.46,0.9,2.6,0.333,8.4,17.5,0.479,2.5,3.1,0.804,0.9,5.6,4.8,1,0.7,3.7,2.9,21.8,2016
Rachel Banham,CON,G,15,164,15,0,164,6.2,15.1,0.408,4,11.4,0.351,2.2,3.7,0.583,0.6,0.9,0.667,0.3,3.4,4.3,2.5,0.3,2.5,5.9,17,2016
Mistie Bass,PHO,F,33,434,33,1,434,4.3,9.4,0.463,0,0,,4.3,9.4,0.463,2.6,3.2,0.815,3.3,7.5,2.9,1.9,1.3,2.3,5.8,11.3,2016
Vicki Baugh,SAS,F-C,11,148,11,0,148,6.8,11.8,0.576,0,0,,6.8,11.8,0.576,2.1,3.2,0.667,5.7,14.7,1.1,1.4,1.1,5,9,15.8,2016
Alana Beard,LAS,G-F,34,997,34,34,997,5.3,11.2,0.467,0.7,2,0.342,4.6,9.2,0.494,1.4,2,0.692,1.6,5.8,3.8,3,1.1,2.3,5,12.6,2016
Evgeniya Belyakova,LAS,F,21,238,21,0,238,3.5,11.9,0.296,1.1,6.2,0.179,2.4,5.7,0.423,1.5,3.5,0.438,0.4,3.3,3.3,2.9,0.2,1.8,5.3,9.7,2016
Alex Bentley,CON,G,34,979,34,34,979,8.7,22.7,0.385,2.5,8.7,0.286,6.3,14,0.446,2.6,3.4,0.785,0.5,3.3,4.4,1.6,0.2,2.5,4.3,22.6,2016
Tiffany Bias,DAL,G,10,64,10,0,64,6.4,18.3,0.348,2.4,8.8,0.273,4,9.5,0.417,8,9.5,0.833,0.8,4,4.8,1.6,0,8.8,4,23.1,2016
Sue Bird*,SEA,G,34,1076,34,34,1076,7.7,17.2,0.449,3.5,7.8,0.444,4.3,9.4,0.454,2.1,2.7,0.786,0.3,4.7,9.5,1.6,0.3,4.1,2.2,21.1,2016
Abby Bishop,SEA,F,13,67,13,0,67,3.1,8.6,0.364,0.8,4.7,0.167,2.3,3.9,0.6,2.3,3.1,0.75,0,4.7,6.2,0.8,0.8,0.8,13.2,9.3,2016
DeWanna Bonner,PHO,G-F,34,1064,34,24,1064,7.4,17.4,0.424,2.4,7.3,0.329,5,10.1,0.493,6.4,8,0.798,2,8.7,4,2.1,1,2.7,2.6,23.6,2016
Brittany Boyd,NYL,G,33,651,33,9,651,5.9,16.3,0.361,0.5,2.8,0.167,5.4,13.5,0.401,4.6,6.4,0.728,1.3,6.5,9.3,4.1,0.2,5.1,6.4,16.9,2016
Imani McGee-Stafford,CHI,C,31,587,31,16,587,7.5,13.6,0.554,0,0,,7.5,13.6,0.554,2.9,4.3,0.66,4.7,15.2,1.6,1.6,3.6,2.4,8.1,17.9,2016
Jessica Breland,CHI,F,34,585,34,16,585,7.6,15.3,0.494,0,0,,7.6,15.3,0.494,2.7,3.4,0.795,3.8,13.1,2.1,1.5,3.2,3.1,6.5,17.8,2016
Rebekkah Brunson,MIN,F,33,812,33,33,812,5.8,12.2,0.477,0,0.1,0,5.8,12.1,0.479,3.8,4.4,0.857,4.6,15.1,3.7,1.9,0.6,1.8,5.3,15.4,2016
Adut Bulgak,NYL,C,7,23,7,0,23,11.1,24.4,0.455,2.2,4.4,0.5,8.9,20,0.444,6.7,8.9,0.75,6.7,20,0,0,0,2.2,6.7,31.1,2016
Cierra Burdick,ATL,F,8,29,8,0,29,1.7,14,0.125,0,0,,1.7,14,0.125,1.7,3.5,0.5,5.2,7,0,0,0,3.5,10.5,5.2,2016
Essence Carson,LAS,G,34,791,34,34,791,6.8,15,0.449,1.5,4.2,0.359,5.2,10.8,0.485,3.2,3.6,0.891,0.8,4.5,3.4,2.4,0.5,2.8,3,18.3,2016
Swin Cash*,NYL,F,31,604,31,23,604,5.2,13.6,0.379,0.1,0.7,0.125,5.1,12.9,0.392,3.5,5.1,0.683,3.2,8.9,3.6,1.9,1.2,3.5,4.6,13.9,2016
Tamika Catchings*,IND,F,34,844,34,34,844,9,20.7,0.433,2.2,6.2,0.35,6.8,14.6,0.468,6.5,7.6,0.862,2.5,10,4.1,3.8,0.6,2.6,4.3,26.6,2016
Tina Charles,NYL,C,32,1077,32,32,1077,12.9,29.5,0.439,0.8,2.3,0.347,12.1,27.2,0.447,5.9,7.3,0.812,3.5,15,5.7,1.3,1.2,3,2.3,32.6,2016
Karima Christmas-Kelly,DAL,F-G,34,1075,34,34,1075,6.1,15.2,0.4,1.8,5.7,0.317,4.3,9.5,0.45,6.1,7.7,0.796,3.9,9.5,3.4,1.9,1.1,2.4,4.4,20,2016
Layshia Clarendon,ATL,G,34,959,34,32,959,6.5,14,0.466,0.9,2.7,0.346,5.6,11.3,0.495,4.6,6.1,0.765,2.3,7.8,6.2,1.3,0.2,4,4.2,18.7,2016
Alysha Clark,SEA,F,33,911,33,32,911,6,12.4,0.484,2.1,5.3,0.387,3.9,7.1,0.556,2.9,3.4,0.847,2.3,6.9,3.7,1.4,0.1,2.5,5,16.9,2016
Natasha Cloud,WAS,G,31,753,31,28,753,3.9,11.2,0.348,1.6,4.7,0.338,2.3,6.5,0.355,3,4,0.754,0.3,6.6,8.2,1.7,0.2,3,4.5,12.4,2016
Marissa Coleman,IND,G-F,32,781,32,21,781,5.7,16.4,0.346,2.2,8.2,0.268,3.5,8.2,0.423,4.3,5.7,0.753,1.5,7,4.2,1.9,0.6,3.7,4.5,17.8,2016
Sydney Colson,SAS,G,34,573,34,0,573,5.5,12.7,0.431,0.5,2.4,0.192,5,10.3,0.486,4.5,5.5,0.831,1.3,5.1,8,3.5,0.1,4.7,5.7,15.9,2016
Kahleah Copper,WAS,G-F,30,487,30,3,487,7,16.8,0.417,1.5,3.2,0.467,5.5,13.6,0.405,4.6,6.8,0.683,1.4,9.9,2.5,1.6,0.2,3.6,5.8,20.2,2016
Carla Cortijo,ATL,G,27,294,27,1,294,7.7,21.8,0.354,2.2,7.7,0.289,5.5,14.1,0.39,4.3,5.5,0.781,0.7,7.2,7.4,1.4,0.2,4.8,5.5,22,2016
Anna Cruz,MIN,G,6,60,6,0,60,4.3,9.4,0.455,0.9,0.9,1,3.4,8.5,0.4,5.1,5.1,1,0.9,5.1,10.2,1.7,0,1.7,6.8,14.5,2016
Monique Currie,SAS,F,34,868,34,34,868,7.6,19.8,0.386,1.5,4.8,0.321,6.1,15,0.407,5.5,6,0.918,2.2,9,4.5,1.6,0.8,3.7,5.4,22.3,2016
Ana Dabovic,LAS,G,22,236,22,0,236,4.4,12,0.37,0.7,4.2,0.158,3.8,7.8,0.486,4.9,6.4,0.759,1.3,3.8,6.4,2.9,0,4.2,8.2,14.4,2016
Elena Delle Donne,CHI,F-G,28,927,28,28,927,11.7,24.2,0.485,2.4,5.5,0.426,9.4,18.7,0.503,7.1,7.6,0.935,2.6,10.8,2.9,0.9,2.4,1.9,3.5,33,2016
Erika de Souza,CHI,F-C,31,516,31,18,516,7.6,14.7,0.517,0,0,,7.6,14.7,0.517,2.7,3.5,0.75,6,15.9,2,1.7,2.2,2.2,6.2,17.8,2016
Skylar Diggins,DAL,G,27,765,27,25,765,7.5,19.3,0.39,1.5,5.1,0.299,6,14.2,0.423,6.9,8.8,0.788,0.8,3.4,6.1,1.9,0.5,4.2,3.5,23.5,2016
Zoi Dimitrakou,WAS,F,2,11,2,0,11,4.8,14.3,0.333,4.8,9.6,0.5,0,4.8,0,0,0,,0,4.8,4.8,0,0,4.8,14.3,14.3,2016
Stefanie Dolson,WAS,C,34,765,34,31,765,8.2,17,0.482,0.6,2.1,0.3,7.6,14.9,0.507,4.8,5.7,0.843,3.3,10.9,2.6,0.9,2.2,2.7,6,21.8,2016
Clarissa Dos Santos,CHI,C,20,187,20,0,187,5.4,16,0.339,0,0.3,0,5.4,15.8,0.345,4.6,5.4,0.85,5.2,12,2.4,1.4,1.1,2.7,8.4,15.5,2016
Jelena Dubljevic,LAS,F,15,79,15,0,79,6,14.6,0.409,0.7,2,0.333,5.3,12.6,0.421,2,2,1,1.3,8.6,4.6,0.7,0.7,4.6,6.6,14.6,2016
Candice Dupree,PHO,F,32,930,32,32,930,8.3,15.4,0.541,0,0.1,0,8.3,15.3,0.543,3.1,3.9,0.792,2.1,9.4,3.3,1.4,0.3,1.9,3.2,19.8,2016
Frida Eldebrink,SAS,G,8,44,8,0,44,1.2,9.6,0.125,0,7.2,0,1.2,2.4,0.5,1.2,2.4,0.5,1.2,3.6,8.4,1.2,0,4.8,2.4,3.6,2016
Kelly Faris,CON,G,31,317,31,0,317,3.4,8.5,0.396,0.8,3.2,0.25,2.6,5.3,0.485,2.2,2.4,0.933,1.9,6.1,3.5,3.5,0.6,4.6,7.2,9.7,2016
Jamierra Faulkner,CHI,G,34,655,34,14,655,7.9,18.6,0.425,1.7,5.1,0.333,6.2,13.5,0.46,3.1,4,0.769,0.8,3.9,12.1,2.8,0.3,5.4,4.7,20.7,2016
Nirra Fields,PHO,G,4,17,4,0,17,3,21,0.143,0,3,0,3,18,0.167,3,6,0.5,0,0,0,0,0,6,6,9,2016
Sylvia Fowles*,MIN,C,34,969,34,34,969,9.6,16.2,0.595,0,0,,9.6,16.2,0.595,5.8,8,0.717,4.4,15.3,2.2,2.4,3.2,3.3,5.3,25,2016
Bashaara Graves,MIN,F,12,41,12,0,41,2.5,8.7,0.286,0,0,,2.5,8.7,0.286,0,0,,3.7,5,2.5,0,0,3.7,5,5,2016
Chelsea Gray,LAS,G,33,540,33,1,540,6.9,15.2,0.452,1.4,4.5,0.304,5.5,10.8,0.514,3.8,4.8,0.78,0.8,5.6,6.9,1.6,0.4,3.9,3.7,18.9,2016
Reshanda Gray,ATL,F,28,269,28,5,269,7.1,13.7,0.521,0,0.2,0,7.1,13.5,0.528,3.8,6.8,0.556,4.5,13.3,0.8,0.8,0.8,3.4,11.8,18,2016
Brittney Griner,PHO,C,34,992,34,34,992,9.1,16.7,0.548,0,0,,9.1,16.7,0.548,7.1,8.5,0.831,2.4,11.4,1.8,0.7,5.5,3.6,6.4,25.4,2016
Sandrine Gruda,LAS,F-C,7,37,7,0,37,4.2,12.7,0.333,0,0,,4.2,12.7,0.333,1.4,1.4,1,2.8,5.7,2.8,1.4,1.4,1.4,8.5,9.9,2016
Jazmon Gwathmey,SAS,G,22,351,22,10,351,4.1,11.8,0.346,1.4,4.1,0.333,2.7,7.7,0.353,1.5,2,0.769,1.4,5.7,2.4,1.2,1.2,1.7,5.6,11,2016
Ruth Hamblin,DAL,C,20,130,20,0,130,3.1,12.5,0.25,0,0,,3.1,12.5,0.25,2,2.7,0.714,3.5,11.4,1.6,0.8,3.5,1.6,5.1,8.2,2016
Dearica Hamby,SAS,F,25,633,25,25,633,6.8,16.1,0.422,0.2,1.2,0.143,6.6,14.9,0.444,5,6.9,0.723,3,10.6,2.1,1.1,1,3.4,4.9,18.8,2016
Keisha Hampton,MIN,F,27,183,27,0,183,5.3,15.9,0.333,3.4,10.1,0.333,2,5.9,0.333,5.6,6.4,0.87,1.4,2.8,2.8,2.2,0.8,2.8,6.7,19.6,2016
Alex Harden,PHO,G,28,210,28,1,210,4.4,9.7,0.45,0.7,2.9,0.25,3.6,6.8,0.536,0.2,0.5,0.5,2.4,5.3,3.2,2.9,1,2.2,4.9,9.7,2016
Isabelle Harrison,PHO,F,26,194,26,1,194,8.4,16,0.525,0,0,,8.4,16,0.525,4.5,6.6,0.68,4.5,12.3,0.3,2.9,0.5,4.7,9.5,21.3,2016
Bria Hartley,WAS,G,24,406,24,5,406,6.5,17.2,0.376,2.7,7.5,0.362,3.8,9.7,0.387,4.7,5.8,0.8,1.2,6.1,7,1.3,0,4.5,5.7,20.3,2016
Tianna Hawkins,WAS,F,24,252,24,0,252,8.8,17.7,0.494,2.3,4.6,0.5,6.5,13.1,0.492,3.8,4.4,0.857,5,12.3,2.1,1,0.8,4.8,10.8,23.6,2016
Tiffany Hayes,ATL,G,33,1016,33,33,1016,7.6,17.3,0.441,1.6,5.8,0.274,6,11.4,0.526,7.8,9.7,0.804,1.6,5.6,3.9,2,0.4,2.9,4.7,24.6,2016
Aneika Henry-Morello,CON,F-C,10,50,10,2,50,5.1,13.2,0.385,0,0,,5.1,13.2,0.385,2,5.1,0.4,4,14.2,2,1,1,6.1,8.1,12.1,2016
Tayler Hill,WAS,G,32,937,32,32,937,7.8,22.4,0.348,3.4,9.6,0.351,4.4,12.8,0.346,8.7,10.5,0.829,0.7,4.7,5.2,2,0.2,2.2,3.7,27.7,2016
Rachel Hollivay,ATL,C,32,284,32,1,284,2.1,6.8,0.316,0,0,,2.1,6.8,0.316,2.7,5.7,0.469,3.6,11.8,0.7,0.5,2.3,2,9.1,6.9,2016
Bria Holmes,ATL,G,33,702,33,10,702,6.6,15.1,0.435,1.2,4.5,0.274,5.3,10.6,0.503,3.5,4.5,0.774,1.7,6.1,3,2.2,0.4,2.8,1.9,17.8,2016
Jordan Hooper,DAL,F,32,291,32,1,291,7.3,19.6,0.375,4.9,14.3,0.341,2.4,5.2,0.467,1.2,1.4,0.875,1.4,6.5,0.9,1,0.3,2.8,5.4,20.8,2016
Natasha Howard,MIN,F,34,495,34,1,495,9.6,16.7,0.574,0.1,0.5,0.2,9.5,16.2,0.586,4.3,6.4,0.677,4.2,12.5,2.9,2.4,2.8,3.8,10.2,23.7,2016
Briann January,IND,G,29,816,29,27,816,5.5,13.8,0.401,1.8,4.7,0.392,3.7,9.1,0.406,4.9,5.6,0.875,1.1,3.3,8.7,2.3,0.2,3.2,5,17.8,2016
Moriah Jefferson,SAS,G,34,1034,34,34,1034,9.5,22.2,0.426,1.7,4.5,0.375,7.8,17.7,0.439,3.5,4.6,0.775,0.8,3.7,7.3,2.8,0.2,3,3.6,24.2,2016
Glory Johnson,DAL,F,18,502,18,6,502,7.3,16.5,0.442,0.4,1.4,0.286,6.9,15.1,0.456,5.6,7.4,0.753,4.9,16.3,2.3,1.7,1.1,2.6,4,20.6,2016
Shenise Johnson,IND,G,29,651,29,10,651,7.8,19.1,0.41,2.2,6.2,0.359,5.6,12.8,0.435,4.8,5.1,0.938,2.2,8.1,4.8,2.8,0.8,3.8,4.1,22.7,2016
Jonquel Jones,CON,C,34,479,34,6,479,9,16.9,0.531,1.2,3.5,0.333,7.8,13.4,0.583,5.4,7.3,0.739,6.4,13.3,2.3,2.3,4,2.6,7.6,24.5,2016
Brianna Kiesel,DAL,G,14,103,14,0,103,2,11.4,0.174,0.5,3,0.167,1.5,8.4,0.176,1.5,2,0.75,0.5,3,8.9,2.5,0,4.9,7.4,5.9,2016
Lynetta Kizer,IND,F,33,569,33,12,569,12.7,22.8,0.556,0,0.1,0,12.7,22.7,0.558,3.7,4.6,0.8,3.2,9.7,1.8,2.3,0.9,3.2,7.4,29,2016
Betnijah Laney-Hamilton,CHI,G-F,8,42,8,1,42,2.4,14.5,0.167,0,1.2,0,2.4,13.3,0.182,4.8,4.8,1,1.2,6.1,1.2,1.2,0,2.4,7.3,9.7,2016
Crystal Langhorne,SEA,F-C,33,843,33,33,843,7.8,12.4,0.63,0.1,0.1,1,7.7,12.3,0.628,3.7,4.9,0.759,2.7,11.2,2.9,1.4,0.6,3.2,3.8,19.3,2016
Erlana Larkins,IND,F,33,880,33,33,880,6.3,9.8,0.639,0,0,,6.3,9.8,0.639,3.6,4.1,0.884,4.5,14.4,4,1.8,0.9,3.2,4.7,16.1,2016
Ivory Latta,WAS,G,22,458,22,2,458,6.3,19.1,0.331,3.7,12.1,0.305,2.6,7,0.377,4.6,5.1,0.909,1,4.2,4.8,0.9,0.1,3.6,3.9,20.9,2016
Jantel Lavender,LAS,F,34,659,34,0,659,11.9,22.2,0.538,0,0.1,0,11.9,22.1,0.54,2.2,3.3,0.683,2.9,9.9,3.5,0.8,1.4,3.2,3.3,26.1,2016
Camille Smith,CON,F,33,812,33,29,812,6,15.6,0.384,1.8,5.6,0.322,4.2,10,0.419,2.2,3.6,0.632,1.6,6.1,4.1,2.4,0.6,3.5,5.7,16,2016
Jewell Loyd,SEA,G,34,1075,34,34,1075,9.5,21.9,0.431,1.9,6.4,0.303,7.5,15.5,0.484,6.3,7.1,0.891,1.6,5.7,5.6,2,0.5,3.7,2.8,27.2,2016
Maggie Lucas,IND,G,4,55,4,0,55,10.4,19.8,0.524,1.9,9.4,0.2,8.5,10.4,0.818,6.6,6.6,1,0.9,7.6,2.8,1.9,0,4.7,7.6,29.3,2016
Sancho Lyttle,ATL,F,19,571,19,18,571,5.5,13.2,0.416,0.2,0.8,0.222,5.3,12.4,0.429,1.7,2.2,0.76,3.7,13.2,3.1,3.5,1.7,2,3.8,12.8,2016
Ally Malott,WAS,F,23,179,23,0,179,4.4,14.4,0.306,2.9,9.4,0.313,1.5,5,0.294,2.6,3.2,0.818,1.8,7.6,2.9,1.8,0.9,3.5,3.8,14.4,2016
Kayla McBride,SAS,G,17,523,17,17,523,10.3,28.2,0.367,2.9,9.6,0.305,7.4,18.5,0.399,5.9,6.9,0.853,1.3,6.9,3.3,1.8,0.2,3.4,2.2,29.5,2016
Janel McCarville,MIN,F-C,33,417,33,0,417,5.9,12.9,0.457,0.2,1.4,0.182,5.6,11.5,0.489,1.5,2.5,0.6,2.7,10.3,6.5,2.6,1.4,2.8,6.4,13.5,2016
