Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Rhyne Howard,ATL,G,39,1283,39,39,1283,8.7,22.6,0.385,3.8,10.8,0.352,4.9,11.8,0.415,5,6.3,0.788,1,7.4,5.3,2,1,2.9,4.2,26.2,2023
Lexie Hull,IND,G,30,619,30,25,619,4.5,12,0.372,1.1,5,0.217,3.4,7,0.482,1.4,1.8,0.773,2.9,6.8,2.7,2.5,0.7,2.5,7,11.4,2023
Sabrina Ionescu,NYL,G,36,1134,36,36,1134,8.7,20.6,0.423,5.7,12.8,0.448,3,7.8,0.383,4.2,4.9,0.872,1.3,8.9,8.6,1.7,0.4,4.2,2.7,27.4,2023
Moriah Jefferson,PHO,G,39,972,39,36,972,8.8,20.4,0.433,2,5.7,0.355,6.8,14.6,0.464,2.2,2.7,0.82,0.5,4.1,7.5,2.3,0.4,3.4,4.5,21.8,2023
Marine Johannes,NYL,G,35,662,35,5,662,6.8,16.4,0.414,4.3,11.6,0.368,2.5,4.8,0.524,1.1,1.5,0.75,0.6,3.8,4.4,1.8,0.2,3.6,4.2,19,2023
Brionna Jones,CON,F,13,412,13,13,412,10,17.5,0.571,0.2,0.5,0.5,9.7,17,0.574,5.6,7.2,0.776,5.1,13.2,3.9,3,0.9,3.6,6.6,25.9,2023
Haley Jones,ATL,F-G,40,584,40,6,584,4.7,14,0.337,0.5,2.4,0.214,4.2,11.7,0.362,2.6,3.5,0.756,1.2,7.9,7.8,1.4,1,4.6,5.8,12.6,2023
Jonquel Jones,NYL,C,40,1001,40,40,1001,8.9,16.9,0.527,1.6,4.6,0.352,7.3,12.3,0.593,3.5,4,0.863,5.2,17,3.7,1.2,2.6,4.2,5.7,22.9,2023
Dorka Juhász,MIN,F,38,919,38,27,919,5.2,11,0.472,0.7,2.7,0.271,4.5,8.4,0.536,1.5,2.8,0.54,3.5,13.6,5.5,2,1.3,2.6,3.9,12.6,2023
Sika Koné,CHI,F,20,186,20,0,186,6.8,12.9,0.532,0.5,1.6,0.333,6.3,11.2,0.561,5.5,7.1,0.769,6,16.1,2.7,0.8,0.3,5.7,9.3,19.7,2023
Awak Kuier,DAL,F,37,399,37,4,399,4.5,11.4,0.396,0.3,2.9,0.087,4.3,8.5,0.5,2.6,3.4,0.778,2.9,11.8,2.5,0.9,3,2.8,3.8,11.9,2023
Betnijah Laney-Hamilton,NYL,G-F,40,1201,40,40,1201,8.4,16.9,0.499,2.5,6.4,0.392,5.9,10.5,0.565,2.2,2.8,0.791,1.3,5.5,4.1,1.4,0.2,3.2,3.6,21.6,2023
Jewell Loyd,SEA,G,38,1344,38,38,1344,10.7,28.8,0.37,4.3,12.1,0.356,6.4,16.7,0.38,9.5,10.7,0.888,1.5,6.7,4.9,1.4,0.6,3.9,2.4,35.1,2023
Marina Mabrey,CHI,G,39,1169,39,39,1169,8.8,21.4,0.411,3.9,9.9,0.39,4.9,11.4,0.43,4,4.8,0.836,1.5,6.4,6.1,1.3,0.8,3.7,4,25.5,2023
Ezi Magbegor,SEA,F-C,40,1304,40,40,1304,8.4,16.3,0.513,1.2,3,0.385,7.2,13.3,0.542,3.3,4.7,0.699,2.5,12.4,3.9,1.7,2.9,3.6,5,21.2,2023
Kayla McBride,MIN,G,38,1208,38,38,1208,7.9,18.6,0.424,3.5,10.2,0.342,4.4,8.3,0.525,3.6,4.1,0.867,0.6,5.1,3.6,2,0.3,2.7,2.7,22.8,2023
Teaira McCowan,DAL,C,30,783,30,29,783,9.6,17.4,0.551,0,0.3,0,9.6,17.1,0.56,3.7,6.3,0.586,6.6,17.4,2.9,1,2.2,2.9,6.4,22.9,2023
Aari McDonald,ATL,G,24,565,24,9,565,5.8,14.3,0.402,2.2,6.8,0.321,3.6,7.5,0.477,2.8,3.7,0.762,0.5,4.2,6.4,1.3,0,3.4,3.3,16.5,2023
Jade Melbourne,SEA,G,29,307,29,0,307,4.1,10.5,0.391,0.5,3.3,0.15,3.6,7.2,0.5,3.8,4.7,0.793,1,5.6,5.7,2,0.2,4.3,7.5,12.4,2023
Li Meng,WAS,G,34,539,34,1,539,5.8,15.4,0.378,4.1,11.4,0.364,1.7,4,0.419,2.1,2.4,0.846,0.6,3.4,3.3,0.9,0.1,2.6,3.6,17.8,2023
Abby Meyers,WAS,G,9,36,9,0,36,7,18.3,0.385,0,5.6,0,7,12.6,0.556,4.2,4.2,1,1.4,5.6,0,1.4,2.8,1.4,7,18.3,2023
Taylor Mikesell,ATL,G,6,29,6,0,29,8.5,17,0.5,5.1,11.9,0.429,3.4,5.1,0.667,6.8,6.8,1,0,3.4,3.4,0,0,1.7,0,28.9,2023
Nikolina Milic,MIN,F,39,494,39,3,494,9.2,19.8,0.464,0.8,2.3,0.364,8.3,17.5,0.476,4.6,5.8,0.804,2.9,9.6,3.4,0.4,0.5,4.3,7,23.8,2023
Diamond Miller,MIN,F,32,834,32,32,834,8.5,21.2,0.403,1.9,6.2,0.307,6.7,15,0.443,4.6,5.9,0.792,1.3,6.9,4.9,1.8,0.7,4.5,4.9,23.6,2023
Kelsey Mitchell,IND,G,40,1349,40,40,1349,9.3,21.1,0.441,3.9,9.7,0.398,5.4,11.4,0.478,5.2,6.3,0.824,0.5,2.5,4.8,1.4,0.1,3.5,3.1,27.7,2023
Tiffany Mitchell,MIN,G,33,763,33,21,763,5.7,14.2,0.404,0.9,3,0.289,4.9,11.2,0.435,3.7,4.4,0.833,1.2,5.1,5.1,1.1,0.2,4.7,5.9,16,2023
Olivia Nelson-Ododa,CON,C,39,585,39,0,585,5.7,10.6,0.537,0,0,,5.7,10.6,0.537,4,5.7,0.708,4.4,12.7,2,1.8,2.9,2.6,7.7,15.5,2023
Kia Nurse,SEA,G,40,789,40,20,789,5.1,14.8,0.343,3.2,9.1,0.35,1.9,5.7,0.333,1.5,1.7,0.889,0.8,5.8,3.4,1.5,0.1,1.8,4.9,14.9,2023
Arike Ogunbowale,DAL,G,40,1489,40,40,1489,10,25.2,0.398,3.9,11.4,0.343,6.1,13.8,0.443,4.5,5.1,0.876,0.6,4.5,6.1,2.3,0.1,3.5,3.7,28.5,2023
Chiney Ogwumike,LAS,F-C,10,212,10,4,212,8.2,19,0.43,0.2,3.1,0.077,7.9,15.9,0.5,3.6,5,0.714,3.4,10.3,3.1,3.1,0.7,2.9,8.9,20.2,2023
Nneka Ogwumike,LAS,F,36,1119,36,36,1119,12,23.5,0.512,1,2.8,0.339,11.1,20.7,0.535,6.4,7.3,0.87,2.7,14.4,4.4,2.8,1.2,3.6,4.2,31.4,2023
Michaela Onyenwere,PHO,F,40,953,40,27,953,7.1,17.5,0.404,1.9,6,0.315,5.2,11.5,0.45,3.3,4.3,0.759,2.6,8,2.8,1.6,1,4.4,6.2,19.3,2023
