Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"R. Hodges, C. Paris, G. Johnson, S. Diggins-Smith, O. Sims",TUL,422,103.8,103.2
"P. Taylor, D. Taurasi, C. Dupree, D. Bonner, B. Griner",PHO,412,109.5,85.4
"M. Currie, I. Latta, K. Vaughn, E. Meesseman, B. Hartley",WAS,360,100.0,92.5
"B. Hammon, S. Young-Malcolm, J. Appel Marinelli, D. Robinson, K. McBride",SAN,286,95.3,105.0
"K. Douglas, K. Bone, A. Bentley, C. Ogwumike, A. Thomas",CON,227,91.8,98.0
"E. de Souza, S. Lyttle, A. McCoughtry, J. Thomas, T. Hayes",ATL,220,99.6,91.8
"L. Whalen, J. McCarville, S. Augustus, M. Moore, D. Dantas",MIN,216,105.1,90.2
"C. Pondexter, T. Charles, A. Montgomery, A. Warley-Talbert, A. Cruz",NYL,214,90.7,98.6
"A. Beard, C. Parker, K. Toliver, J. Lavender, N. Ogwumike",LAS,200,95.3,98.5
"T. Catchings, E. Larkins, M. Coleman, B. January, S. Zellous",IND,188,100.9,91.7
"S. Bird, T. Wright, C. Little, C. Langhorne, A. Clark",SEA,181,98.8,91.5
"T. Young, S. Fowles, E. Prince, J. Breland, J. Faulkner",CHI,181,93.8,90.1
"C. Paris, G. Johnson, S. Diggins-Smith, O. Sims, J. Hooper",TUL,174,107.2,94.2
"D. Taurasi, E. Phillips, C. Dupree, D. Bonner, B. Griner",PHO,163,115.0,84.7
"E. de Souza, S. Lyttle, A. McCoughtry, T. Hayes, C. Dumerc",ATL,155,107.8,91.9
"S. Bird, T. Wright, C. Little, C. Langhorne, S. Stricklen",SEA,153,87.9,106.9
"E. Larkins, M. Coleman, B. January, S. Zellous, N. Howard",IND,139,98.5,94.3
"B. Hammon, J. Appel Marinelli, D. Adams, D. Robinson, K. McBride",SAN,138,83.5,95.1
"L. Whalen, R. Brunson, J. McCarville, S. Augustus, M. Moore",MIN,138,110.9,88.4
"E. de Souza, S. Lyttle, A. McCoughtry, T. Hayes, S. Schimmel",ATL,108,100.5,76.2
"P. Pierson, C. Pondexter, T. Charles, A. Montgomery, A. Cruz",NYL,100,99.0,93.7
"A. Beard, A. Herrington, K. Toliver, J. Lavender, N. Ogwumike",LAS,88,91.9,98.8
"T. Young, J. Breland, C. Vandersloot, S. Goodlett, E. Delle Donne",CHI,87,104.1,86.6
"A. Beard, A. Herrington, C. Parker, J. Lavender, N. Ogwumike",LAS,84,107.3,89.7
"P. Pierson, C. Pondexter, E. Carson, T. Charles, A. Cruz",NYL,83,84.2,83.0
