Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"D. Milton-Jones, A. Beard, C. Parker, K. Toliver, N. Ogwumike",LAS,460,108.8,95.3
"B. Hammon, S. Christon, S. Young-Malcolm, J. Appel Marinelli, D. Robinson",SAN,356,105.8,93.8
"T. McWilliams-Franklin, L. Whalen, R. Brunson, S. Augustus, M. Moore",MIN,329,109.9,91.6
"T. Sutton-Brown, T. Catchings, K. Douglas, B. January, S. Zellous",IND,263,97.6,90.2
"A. Jones, K. Lawson, T. Charles, K. Greene, A. Hightower",CON,172,112.1,83.4
"B. Hammon, J. Perkins, S. Young-Malcolm, D. Adams, D. Robinson",SAN,145,105.3,99.7
"K. Smith, A. Wauters, S. Bird, T. Wright, C. Little",SEA,145,100.0,95.6
"E. de Souza, S. Lyttle, L. Harding, A. Herrington, T. Hayes",ATL,118,90.6,87.2
"E. de Souza, S. Lyttle, L. Harding, A. Herrington, A. McCoughtry",ATL,116,95.9,93.5
"K. Lawson, M. Bass, T. Charles, K. Greene, A. Hightower",CON,116,96.6,88.4
"S. Lyttle, L. Harding, A. Herrington, A. Morello, T. Hayes",ATL,114,91.9,85.3
"A. Hornbuckle, C. Houston, D. Bonner, K. Thomas, S. Prahalis",PHO,112,87.3,94.0
"M. Snow, M. Currie, M. Ajavon, C. Langhorne, J. Thomas",WAS,105,83.0,114.5
"P. Pierson, N. Powell, K. Braxton, C. Pondexter, E. Carson",NYL,105,100.4,91.0
"P. Pierson, N. Powell, C. Pondexter, L. Mitchell, K. Vaughn",NYL,104,96.7,103.8
"S. Lyttle, L. Harding, A. Herrington, A. McCoughtry, A. Morello",ATL,98,101.0,90.2
"J. Perkins, S. Young-Malcolm, D. Adams, D. Robinson, S. Johnson",SAN,97,96.7,88.7
"S. Cash, T. Young, E. Prince, C. Vandersloot, C. Swords",CHI,97,97.4,93.7
"S. Lyttle, Y. Leuchanka, L. Harding, A. Herrington, A. McCoughtry",ATL,89,104.8,79.3
"R. Riley, S. Cash, S. Fowles, E. Prince, C. Vandersloot",CHI,83,100.6,87.9
"D. Walker, C. Pondexter, E. Carson, L. Mitchell, K. Vaughn",NYL,81,93.1,93.7
"M. Snow, N. Quinn, M. Ajavon, C. Langhorne, J. Thomas",WAS,81,82.7,83.4
"P. Pierson, C. Pondexter, E. Carson, L. Mitchell, K. Vaughn",NYL,81,92.3,98.8
"A. Hornbuckle, D. Bonner, K. Thomas, S. Prahalis, A. Warley-Talbert",PHO,79,73.2,113.3
"T. Catchings, K. Douglas, J. Davenport, B. January, S. Zellous",IND,75,111.0,86.3
"B. Hammon, S. Christon, S. Young-Malcolm, D. Adams, D. Robinson",SAN,74,101.3,104.6
"D. Walker, N. Powell, C. Pondexter, L. Mitchell, K. Vaughn",NYL,74,94.3,92.1
"A. Robinson, M. Currie, N. Quinn, C. Langhorne, J. Thomas",WAS,72,100.0,111.4
"R. Riley, S. Cash, T. Young, S. Fowles, C. Vandersloot",CHI,68,73.5,97.0
