Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"T. Weatherspoon, V. Johnson, C. Robinson, T. Whitmore, T. Phillips",NYL,406,97.9,93.6
"S. Witherspoon, T. Bevilaqua, K. Folkl, S. Crawley, J. Stiles",POR,399,91.7,86.1
"M. Dydek, A. Goodson, N. Williams, J. Azzi, M. Ferdinand-Harris",UTA,362,97.2,89.6
"V. Bullett, N. McCray, M. Page, C. Holdsclaw, A. Burgess",WAS,347,84.4,90.6
"E. Baranova, S. Brondello, D. Black, S. Sam, R. Riley",MIA,346,95.8,78.9
"S. Johnson, T. McWilliams-Franklin, E. Powell, N. Sales, B. Wyckoff",ORL,281,85.9,94.9
"T. Penicheiro, T. Smith, E. Campbell, Y. Griffith, K. Holland-Corn",SAC,256,96.3,80.8
"J. Arcain, T. Thompson, C. Washington, T. Johnson, A. Lassiter",HOU,252,98.9,90.5
"L. Leslie, T. Dixon, M. Mabika, U. Figgs, D. Milton-Jones",LAS,231,103.8,77.3
"M. Jones, R. Brown, M. Andrade, C. Melvin, H. Darling",CLE,210,95.4,83.0
"W. Palmer, A. Ndiaye-Diatta, E. Tornikidou, E. Brown, J. Kingi-Cross",DET,206,101.4,96.3
"A. Stinson, A. Feaster, C. Smith, D. Staley, T. Sutton-Brown",CHA,188,89.8,83.3
"M. Jones, R. Brown, M. Andrade, A. Wauters, H. Darling",CLE,179,96.2,72.8
"S. Edwards, S. Henning, K. Steding, L. Jackson, S. Randall",SEA,162,92.0,93.0
"M. Askamp, E. Baranova, S. Brondello, D. Black, S. Sam",MIA,161,93.0,81.7
"R. Williams, O. Scott, N. Malcolm, N. Ivey, J. Streimikyte",IND,151,92.2,89.8
"A. Stinson, A. Feaster, C. Smith, D. Staley, C. Machanguana",CHA,149,100.0,97.1
"M. Timms, J. Gillom, M. Stepanova, L. Harrison, T. Fallon",PHO,149,96.6,90.6
"A. Stinson, A. Feaster, S. Enis, D. Staley, T. Sutton-Brown",CHA,140,108.8,103.5
"T. Weatherspoon, V. Johnson, S. Wicks, C. Robinson, T. Phillips",NYL,137,96.6,86.4
"S. Edwards, C. Smith, S. Henning, L. Jackson, S. Randall",SEA,136,69.0,76.2
"M. Dydek, K. Hlede, A. Goodson, N. Williams, J. Azzi",UTA,128,85.3,84.6
"T. Smith, E. Campbell, L. Frett, Y. Griffith, K. Holland-Corn",SAC,116,88.9,85.0
"L. Leslie, T. Dixon, L. Byears, U. Figgs, D. Milton-Jones",LAS,111,104.7,79.2
"J. Arcain, T. Thompson, C. Washington, T. Johnson, K. Gibson",HOU,102,95.0,92.0
"A. Stinson, A. Feaster, S. Enis, D. Staley, C. Machanguana",CHA,101,88.0,96.2
"M. Dydek, N. Williams, J. Azzi, K. Starbird, M. Ferdinand-Harris",UTA,96,101.6,98.4
"V. Bullett, N. McCray, M. Page, C. Holdsclaw, A. Sauret",WAS,92,89.1,86.0
"J. Arcain, T. Thompson, C. Washington, T. Johnson, T. Lewis",HOU,88,90.5,96.6
"D. Canty, C. Neves, A. Ndiaye-Diatta, E. Tornikidou, B. Farris",DET,87,93.3,90.8
"T. Weatherspoon, S. Wicks, B. Hammon, C. Robinson, T. Phillips",NYL,86,101.9,79.4
"T. McWilliams-Franklin, E. Powell, N. Sales, T. McCain, B. Wyckoff",ORL,85,104.1,95.3
"L. Leslie, M. Mabika, L. Byears, U. Figgs, D. Milton-Jones",LAS,83,98.7,87.4
"M. Jones, M. Andrade, C. Melvin, H. Darling, V. Hall",CLE,83,95.7,75.5
"E. Baranova, K. Ford, D. Black, S. Sam, R. Riley",MIA,82,90.7,78.8
"J. Arcain, T. Thompson, T. Jackson, C. Washington, A. Lassiter",HOU,81,91.7,78.3
"A. Goodson, N. Williams, J. Azzi, A. Herrig, M. Ferdinand-Harris",UTA,79,100.7,102.9
"J. Gillom, M. Stepanova, L. Harrison, T. Edwards, K. Veal",PHO,78,82.8,102.0
"R. Williams, O. Scott, G. Grubin, N. Malcolm, J. Streimikyte",IND,71,71.3,114.3
"S. Johnson, T. McWilliams-Franklin, E. Powell, N. Sales, K. Douglas",ORL,71,107.2,97.9
"T. Weatherspoon, V. Johnson, S. Wicks, B. Hammon, T. Phillips",NYL,71,94.4,80.3
"M. Van Gorp, K. Smith, K. Paye, L. Pride, S. Abrosimova",MIN,70,88.1,89.4
"M. Jones, M. Andrade, C. Melvin, A. Wauters, H. Darling",CLE,69,78.5,97.5
"J. Gillom, M. Stepanova, L. Harrison, T. Fallon, K. Veal",PHO,68,81.1,92.8
"R. Bolton, L. Grooms, T. Penicheiro, T. Smith, Y. Griffith",SAC,64,111.4,80.8
"W. Palmer, D. Canty, C. Neves, A. Ndiaye-Diatta, E. Tornikidou",DET,62,89.7,101.7
"K. Smith, M. Martin, S. Abrosimova, E. Perperoglou, G. Schweitzer",MIN,59,72.9,88.3
"M. Dydek, K. Hlede, N. Williams, J. Azzi, K. Starbird",UTA,59,84.1,100.0
"L. Leslie, T. Dixon, M. Mabika, L. Byears, D. Milton-Jones",LAS,57,102.8,86.1
"L. Leslie, T. Dixon, M. Mabika, L. Byears, U. Figgs",LAS,55,79.4,101.9
"M. Jones, J. Rizzotti, C. Melvin, A. Wauters, P. Taylor",CLE,55,91.2,82.0
"T. Weatherspoon, B. Hammon, C. Robinson, T. Whitmore, T. Phillips",NYL,55,81.9,100.0
"M. Dydek, A. Goodson, J. Azzi, A. Herrig, M. Ferdinand-Harris",UTA,54,78.5,98.9
"V. Bullett, N. McCray, M. Page, C. Holdsclaw, H. Luz",WAS,54,95.9,90.0
