Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"W. Palmer, T. McWilliams-Franklin, N. Sales, K. Douglas, L. Whalen",CON,495,97.3,94.8
"S. Sam, B. Lennox, K. Vodichkova, L. Jackson, S. Bird",SEA,415,99.0,91.6
"A. Stinson, A. Feaster, C. Smith, D. Staley, T. Sutton-Brown",CHA,389,90.7,91.9
"E. Powell, D. Nolan, R. Riley, S. Cash, C. Ford",DET,337,95.4,87.7
"A. DeForge, P. Taylor, S. Tuvic, P. Pierson, D. Taurasi",PHO,279,95.1,85.1
"E. Baranova, V. Johnson, B. Hammon, C. Robinson, B. Donaphin",NYL,260,102.4,97.8
"T. Penicheiro, T. Smith, Y. Griffith, D. Walker, K. Lawson",SAC,194,101.8,89.3
"T. Penicheiro, T. Smith, E. Campbell, Y. Griffith, D. Walker",SAC,186,92.3,89.8
"E. Baranova, V. Johnson, B. Hammon, C. Robinson, T. Phillips",NYL,183,95.1,93.6
"M. Dydek, A. Goodson, S. Johnson, M. Ferdinand-Harris, L. Thomas",SAN,170,100.0,103.7
"T. McWilliams-Franklin, N. Sales, K. Douglas, A. Jones, L. Whalen",CON,166,94.2,90.4
"L. Leslie, T. Dixon, M. Mabika, D. Milton-Jones, N. Teasley",LAS,147,91.3,87.7
"K. Smith, H. Darling, T. Raymond, T. Edwards, N. Ohlde",MIN,144,87.6,89.4
"N. Williams, S. White, K. Miller, T. Catchings, D. Jackson",IND,142,95.2,105.8
"S. Swoopes, T. Thompson, D. Canty, S. Lambert, M. Snow",HOU,137,92.4,85.7
"K. Smith, A. Lassiter, T. Raymond, T. Edwards, N. Ohlde",MIN,134,93.5,89.1
"D. Nolan, R. Riley, S. Cash, C. Ford, C. Jones",DET,132,93.9,95.1
"M. Dydek, A. Goodson, S. Johnson, S. Randall, L. Thomas",SAN,131,105.8,100.4
"M. Page, C. Melvin, N. Sanford, S. Dales, A. Beard",WAS,130,110.6,97.9
"N. Williams, K. Miller, T. Catchings, D. Jackson, E. Hoffman",IND,129,99.1,85.7
"H. Darling, S. Abrosimova, T. Raymond, T. Edwards, N. Ohlde",MIN,122,90.6,86.4
"L. Leslie, M. Mabika, D. Milton-Jones, N. Teasley, L. Macchi",LAS,114,100.9,90.6
"S. Swoopes, T. Johnson, K. Holland-Corn, S. Lambert, M. Snow",HOU,107,78.8,97.4
"L. Leslie, T. Dixon, M. Mabika, N. Teasley, C. Thomas",LAS,103,104.5,80.8
"M. Page, C. Holdsclaw, N. Sanford, S. Dales, A. Beard",WAS,101,92.8,88.1
"M. Dydek, A. Goodson, S. Johnson, L. Thomas, A. Bibrzycka",SAN,99,91.4,100.5
"A. Feaster, C. Smith, D. Staley, T. Sutton-Brown, T. Lewis",CHA,97,92.4,89.4
"N. Williams, K. Miller, T. Catchings, K. Schumacher, D. Jackson",IND,97,104.6,85.6
"S. Sam, B. Lennox, J. Burse, L. Jackson, S. Bird",SEA,97,102.6,91.0
"L. Leslie, T. Dixon, M. Mabika, T. Whitmore, N. Teasley",LAS,87,83.2,91.3
"S. Swoopes, T. Thompson, K. Holland-Corn, S. Lambert, M. Snow",HOU,85,83.9,78.0
"L. Leslie, T. Dixon, M. Mabika, N. Teasley, L. Macchi",LAS,84,118.7,78.4
"J. Hicks, A. Goodson, S. Johnson, M. Ferdinand-Harris, L. Thomas",SAN,79,76.1,100.0
"R. Bolton, T. Penicheiro, T. Smith, Y. Griffith, D. Walker",SAC,78,106.6,94.5
"A. DeForge, P. Taylor, S. Tuvic, K. Christensen, D. Taurasi",PHO,74,103.8,87.9
"N. Williams, K. Rasmussen, K. Miller, T. Catchings, D. Jackson",IND,74,87.3,100.0
"A. Barnes, S. Sam, K. Vodichkova, L. Jackson, S. Bird",SEA,72,100.8,84.0
"S. Swoopes, T. Thompson, T. Johnson, K. Holland-Corn, F. Ragland",HOU,64,84.6,94.0
"E. Baranova, V. Johnson, B. Hammon, C. Robinson, L. Frett",NYL,63,117.6,86.8
"K. Smith, T. Raymond, T. Edwards, N. Ohlde, T. Butts",MIN,61,99.0,103.1
"A. Feaster, C. Smith, D. Staley, T. Sutton-Brown, K. Mazzante",CHA,60,86.0,91.3
"N. Williams, K. Rasmussen, K. Miller, T. Catchings, C. Brown",IND,57,104.9,96.0
"N. Williams, S. White, K. Rasmussen, K. Miller, T. Catchings",IND,57,86.1,96.9
"E. Powell, B. Farris, D. Nolan, S. Cash, C. Ford",DET,56,85.6,78.2
"R. Bolton, H. Maiga-Ba, C. Anderson, K. Lawson, R. Brunson",SAC,56,92.4,98.0
"N. McCray, A. DeForge, A. Williams-Strong, P. Taylor, D. Taurasi",PHO,54,89.6,86.6
"A. DeForge, P. Taylor, K. Christensen, P. Pierson, D. Taurasi",PHO,52,88.9,94.1
"C. Holdsclaw, C. Melvin, T. Jackson, C. Miller, A. Beard",WAS,51,94.6,113.9
"C. Holdsclaw, T. Jackson, N. Sanford, S. Dales, A. Beard",WAS,49,94.4,83.5
"E. Baranova, V. Johnson, B. Hammon, C. Robinson, D. White",NYL,49,127.1,94.3
"L. Leslie, M. Mabika, T. Whitmore, D. Milton-Jones, N. Teasley",LAS,49,96.7,81.6
"M. Jones, D. Nolan, R. Riley, S. Cash, C. Ford",DET,49,83.5,100.0
"M. Page, C. Holdsclaw, C. Melvin, K. Brown, C. Miller",WAS,49,84.1,80.7
"A. Stinson, A. Feaster, D. Staley, T. Sutton-Brown, N. Powell",CHA,48,87.1,88.1
"E. Baranova, V. Johnson, B. Hammon, B. Donaphin, S. Christon",NYL,48,106.7,80.0
"K. Rasmussen, K. Miller, T. Catchings, K. Schumacher, C. Brown",IND,48,100.0,107.0
"M. Page, C. Holdsclaw, C. Melvin, S. Dales, A. Beard",WAS,48,89.9,98.9
"S. Swoopes, T. Thompson, D. Canty, K. Holland-Corn, M. Snow",HOU,47,109.2,101.2
"J. Hicks, A. Goodson, S. Johnson, M. Ferdinand-Harris, G. Jackson",SAN,45,101.3,78.9
"S. Swoopes, T. Thompson, K. Holland-Corn, M. Snow, F. Ragland",HOU,45,93.6,106.3
"E. Baranova, V. Johnson, B. Hammon, A. Wauters, D. White",NYL,44,98.7,96.3
"L. Leslie, T. Dixon, N. Teasley, C. Thomas, D. Lewis",LAS,44,101.1,94.6
"A. Stinson, A. Feaster, O. Scott, C. Smith, D. Staley",CHA,43,91.7,73.0
"D. Black, T. McWilliams-Franklin, N. Sales, K. Douglas, A. Jones",CON,43,87.1,100.0
"S. Swoopes, T. Thompson, T. Johnson, D. Canty, K. Holland-Corn",HOU,42,86.8,103.0
"W. Palmer, D. Black, T. McWilliams-Franklin, N. Sales, K. Douglas",CON,42,88.5,98.8
"A. Barnes, S. Sam, J. Burse, L. Jackson, S. Bird",SEA,41,98.7,84.2
"E. Baranova, V. Johnson, B. Hammon, A. Wauters, S. Christon",NYL,41,80.3,91.4
"T. Penicheiro, Y. Griffith, H. Maiga-Ba, K. Lawson, R. Brunson",SAC,40,90.0,81.7
"A. Goodson, S. Johnson, M. Ferdinand-Harris, L. Thomas, M. Stevenson",SAN,39,87.3,82.9
"E. Powell, D. Nolan, R. Riley, S. Cash, A. Walker",DET,39,106.9,88.4
"M. Dydek, A. Goodson, L. Thomas, A. Bibrzycka, T. Williams",SAN,39,78.7,91.9
"M. Page, C. Holdsclaw, N. Sanford, C. Miller, A. Beard",WAS,39,90.9,118.8
"N. Williams, K. Miller, T. Catchings, D. Jackson, C. Brown",IND,38,101.4,114.5
"S. Edwards, S. Sam, B. Lennox, L. Jackson, S. Bird",SEA,38,104.5,79.4
"T. Thompson, D. Canty, S. Lambert, M. Snow, F. Ragland",HOU,38,115.3,82.6
"A. Barnes, B. Lennox, K. Vodichkova, L. Jackson, S. Bird",SEA,37,85.1,91.4
"E. Powell, B. Farris, D. Nolan, R. Riley, S. Cash",DET,37,109.7,73.8
"N. McCray, A. DeForge, P. Taylor, S. Tuvic, D. Taurasi",PHO,37,88.5,79.4
"N. McCray, A. DeForge, P. Taylor, P. Pierson, D. Taurasi",PHO,36,85.5,93.8
"S. Swoopes, T. Johnson, D. Canty, K. Holland-Corn, M. Snow",HOU,36,77.9,81.5
"A. Stinson, C. Smith, D. Staley, T. Sutton-Brown, T. Lewis",CHA,35,116.4,96.7
"C. Holdsclaw, C. Melvin, T. Jackson, C. Miller, A. Smith",WAS,34,100.0,89.3
"M. Page, C. Melvin, N. Sanford, C. Miller, A. Beard",WAS,34,87.5,94.9
"R. Bolton, T. Smith, Y. Griffith, D. Walker, K. Lawson",SAC,34,84.4,95.5
"S. Swoopes, T. Thompson, S. Lambert, M. Snow, F. Ragland",HOU,34,93.1,98.3
"T. Dixon, M. Mabika, T. Whitmore, N. Teasley, C. Thomas",LAS,34,95.4,82.8
"L. Grooms, T. Penicheiro, T. Smith, Y. Griffith, D. Walker",SAC,33,87.1,96.8
