Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"R. Lobo, T. Weatherspoon, K. Hampton, V. Johnson, S. Witherspoon",NYL,378,93.6,84.1
"M. Timms, J. Gillom, B. Pettis, T. Foster, U. Webb",PHO,282,92.2,80.9
"C. Cooper, W. Guyton, J. Arcain, T. Thompson, K. Perrot",HOU,278,97.4,86.6
"R. Bolton, B. Gordon, P. McGee, C. Tremitiere, L. Byears",SAC,271,95.4,98.0
"V. Bullett, A. Stinson, R. Mapp, A. Congreaves, N. Levesque",CHA,233,98.4,84.4
"L. Leslie, P. Toler, H. Zheng, T. Dixon, K. Colleton",LAS,185,107.5,84.6
"J. Braxton, M. Edwards, I. Fijalkowski, L. Woodard, E. Nemcova",CLE,181,101.7,86.7
"E. Baranova, L. Grooms, W. Palmer, T. Reiss, G. Koss",UTA,139,81.3,88.2
"E. Baranova, L. Grooms, W. Palmer, T. Reiss, K. Williams",UTA,123,85.0,104.2
"J. Braxton, I. Fijalkowski, L. Woodard, E. Nemcova, T. Nicholson",CLE,118,98.2,92.7
"V. Bullett, A. Stinson, S. Manning, P. McCray, Nikki (, N. Levesque",CHA,116,88.7,80.9
"C. Cooper, J. Arcain, T. Thompson, T. Jackson, K. Perrot",HOU,101,88.1,79.9
"V. Bullett, A. Stinson, R. Mapp, T. Suber, P. McCray, Nikki (",CHA,100,90.6,97.4
"C. Cooper, W. Guyton, J. Arcain, T. Thompson, T. Woosley",HOU,92,90.8,82.0
"R. Lobo, T. Weatherspoon, K. Hampton, S. Witherspoon, K. Ford",NYL,87,92.9,80.2
"R. Bolton, B. Gordon, J. Mosley-McAfee, P. McGee, C. Tremitiere",SAC,86,84.7,91.4
"M. Timms, J. Gillom, B. Pettis, U. Webb, M. Askamp",PHO,80,97.6,77.4
"R. Bolton, B. Gordon, C. Tremitiere, T. Abraham, L. Byears",SAC,74,82.3,85.2
"M. Edwards, I. Fijalkowski, L. Woodard, E. Nemcova, R. Brown",CLE,63,86.9,90.2
"J. Braxton, M. Edwards, E. Nemcova, M. Jones, R. Brown",CLE,62,86.6,78.9
"J. Braxton, M. Edwards, I. Fijalkowski, E. Nemcova, M. Jones",CLE,60,91.8,89.8
"C. Cooper, T. Thompson, T. Jackson, F. Harris, T. Woosley",HOU,57,105.7,92.6
"M. Edwards, I. Fijalkowski, E. Nemcova, M. Jones, R. Brown",CLE,56,101.0,85.8
"R. Bolton, B. Gordon, J. Mosley-McAfee, C. Tremitiere, T. Abraham",SAC,56,86.1,94.1
"R. Lobo, T. Weatherspoon, V. Johnson, S. Witherspoon, T. Trice",NYL,55,84.7,78.8
"E. Baranova, D. Head, W. Palmer, T. Reiss, K. Williams",UTA,54,81.4,77.3
"M. Timms, J. Gillom, B. Pettis, T. Foster, T. Jackson",PHO,53,87.2,84.1
"V. Bullett, A. Stinson, R. Mapp, T. Suber, A. Congreaves",CHA,53,67.0,98.9
"L. Leslie, P. Toler, J. Wideman, L. Burgess, H. Burge",LAS,52,76.4,86.0
"L. Leslie, P. Toler, H. Zheng, J. Wideman, T. Dixon",LAS,51,101.9,89.2
"R. Lobo, T. Weatherspoon, V. Johnson, T. Trice, K. Ford",NYL,51,87.9,82.5
"J. Braxton, I. Fijalkowski, L. Woodard, E. Nemcova, M. Jones",CLE,50,87.8,74.7
"M. Hagiwara, M. Timms, J. Gillom, B. Pettis, T. Foster",PHO,50,69.8,83.5
"V. Bullett, A. Stinson, T. Suber, S. Manning, P. McCray, Nikki (",CHA,49,77.3,72.4
"E. Baranova, L. Grooms, W. Palmer, T. Reiss, D. Carter",UTA,48,73.7,111.5
"M. Timms, B. Pettis, T. Foster, U. Webb, M. Askamp",PHO,48,91.0,70.2
"V. Bullett, A. Stinson, T. Suber, S. Manning, A. Congreaves",CHA,48,77.5,94.2
"E. Baranova, L. Grooms, W. Palmer, T. Reiss, K. Booker",UTA,47,78.6,92.5
"R. Lobo, T. Weatherspoon, S. Witherspoon, T. Trice, K. Ford",NYL,47,81.5,92.5
"R. Lobo, T. Weatherspoon, V. Johnson, S. Wicks, S. Witherspoon",NYL,47,96.0,71.6
"C. Cooper, T. Thompson, T. Jackson, K. Perrot, F. Harris",HOU,41,105.3,110.8
"R. Lobo, T. Weatherspoon, K. Hampton, V. Johnson, K. Ford",NYL,41,76.9,100.0
"V. Bullett, A. Stinson, S. Manning, A. Congreaves, N. Levesque",CHA,40,110.8,98.6
"C. Cooper, W. Guyton, J. Arcain, T. Jackson, K. Perrot",HOU,39,107.1,91.5
"E. Baranova, D. Head, W. Palmer, T. Reiss, K. Booker",UTA,39,68.0,57.9
"L. Leslie, P. Toler, T. Dixon, K. Colleton, L. Burgess",LAS,39,81.5,84.6
"J. Braxton, M. Edwards, L. Woodard, E. Nemcova, R. Brown",CLE,37,76.3,85.5
"V. Bullett, A. Stinson, R. Mapp, P. McCray, Nikki (, N. Levesque",CHA,37,76.7,84.7
"E. Baranova, D. Head, W. Palmer, K. Williams, D. Carter",UTA,36,80.2,80.0
"S. Swoopes, C. Cooper, T. Thompson, T. Jackson, K. Perrot",HOU,34,106.5,62.5
"C. Cooper, J. Arcain, T. Thompson, T. Jackson, T. Woosley",HOU,33,88.2,85.3
"L. Leslie, P. Toler, D. Charles, T. Dixon, K. Colleton",LAS,33,87.0,70.8
"B. Gordon, M. Hagiwara, P. McGee, C. Tremitiere, L. Byears",SAC,32,117.7,93.8
"C. Cooper, W. Guyton, T. Thompson, K. Perrot, F. Harris",HOU,32,100.0,61.3
"M. Timms, J. Gillom, T. Foster, T. Jackson, U. Webb",PHO,32,80.0,79.4
"E. Baranova, L. Grooms, D. Head, W. Palmer, T. Reiss",UTA,31,101.7,110.5
"M. Timms, J. Gillom, T. Jackson, U. Webb, M. Askamp",PHO,31,91.2,72.4
"B. Gordon, P. McGee, C. Tremitiere, L. Byears, L. Savasta",SAC,30,91.2,116.4
"E. Baranova, L. Grooms, W. Palmer, K. Williams, D. Carter",UTA,30,89.7,84.5
"B. Gordon, C. Tremitiere, T. Abraham, Y. Angel, L. Byears",SAC,27,71.2,90.7
"L. Leslie, P. Toler, H. Zheng, J. Wideman, L. Burgess",LAS,27,83.3,102.1
"V. Bullett, A. Stinson, R. Mapp, T. Suber, D. Williams",CHA,27,74.5,92.3
"R. Bolton, B. Gordon, P. McGee, C. Tremitiere, T. Abraham",SAC,26,87.8,86.5
"E. Baranova, W. Palmer, T. Reiss, K. Williams, G. Koss",UTA,25,84.6,129.4
"M. Timms, J. Gillom, B. Pettis, T. Jackson, M. Askamp",PHO,25,73.6,82.7
