Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"C. Vandersloot, B. Laney, B. Stewart, J. Jones, S. Ionescu",NYL,522,116.5,97.6
"E. Williams, K. Copper, C. Williams, M. Mabrey, A. Smith",CHI,477,103.5,99.6
"N. Howard, T. McCowan, A. Ogunbowale, C. Dangerfield, S. Sabally",DAL,404,108.4,96.9
"D. Bonner, T. Hayes, A. Thomas, R. Allen, N. Hiedeman",CON,330,103.8,102.1
"C. Gray, K. Stokes, K. Plum, A. Wilson, J. Young",LVA,325,114.5,95.4
"A. Clark, C. Gray, K. Plum, A. Wilson, J. Young",LVA,254,112.9,95.7
"C. Parker, C. Gray, K. Plum, A. Wilson, J. Young",LVA,239,116.0,92.1
"E. Wheeler, K. Mitchell, N. Smith, L. Hull, A. Boston",IND,216,104.2,116.9
"D. Bonner, T. Hayes, A. Thomas, B. Jones, N. Hiedeman",CON,208,104.0,97.4
"E. Delle Donne, N. Cloud, B. Sykes, A. Atkins, S. Austin",WAS,206,105.9,82.5
"D. Robinson, C. Parker, N. Coffey, A. Gray, R. Howard",ATL,191,99.7,96.5
"K. McBride, L. Allen, N. Collier, D. Miller, D. Juhász",MIN,164,97.9,105.7
"T. Hawkins, N. Cloud, S. Walker-Kimbrough, B. Sykes, M. Hines-Allen",WAS,162,105.2,101.2
"N. Ogwumike, L. Clarendon, K. Samuelson, J. Canada, A. Stevens",LAS,138,104.0,89.9
"E. Wheeler, K. Mitchell, K. Wallace, N. Smith, A. Boston",IND,130,106.4,101.2
"J. Loyd, S. Whitcomb, E. Magbegor, J. Horston, D. Fankam Mendjiadeu",SEA,120,100.0,92.8
"D. Taurasi, B. Griner, M. Jefferson, S. Cunningham, B. Turner",PHO,111,102.8,104.2
"N. Howard, K. Brown, A. Ogunbowale, S. Sabally, V. Burton",DAL,110,103.0,110.3
"T. Hawkins, N. Cloud, S. Walker-Kimbrough, B. Sykes, Q. Egbo",WAS,109,95.5,105.2
"E. Wheeler, K. Mitchell, V. Vivians, N. Smith, A. Boston",IND,107,95.8,100.5
"C. Parker, N. Coffey, A. Gray, A. McDonald, R. Howard",ATL,102,91.9,91.8
"K. McBride, T. Mitchell, N. Collier, D. Miller, D. Juhász",MIN,100,101.0,108.3
"C. Parker, N. Coffey, A. Gray, R. Howard, H. Jones",ATL,99,106.9,95.5
"J. Loyd, S. Whitcomb, M. Russell, E. Magbegor, J. Horston",SEA,99,86.9,94.2
"N. Howard, K. Brown, A. Ogunbowale, C. Dangerfield, S. Sabally",DAL,98,104.0,102.4
"E. Williams, K. Copper, C. Williams, M. Mabrey, M. Bertsch",CHI,95,94.0,109.0
"C. Vandersloot, B. Laney, B. Stewart, J. Jones, M. Johannès",NYL,93,104.2,100.0
"N. Howard, A. Ogunbowale, C. Dangerfield, S. Sabally, V. Burton",DAL,90,101.6,112.6
"E. Williams, K. Copper, C. Williams, A. Smith, D. Evans",CHI,89,91.3,105.1
"D. Robinson, C. Parker, A. Gray, M. Billings, R. Howard",ATL,86,88.1,93.1
"D. Bonner, T. Hayes, A. Thomas, N. Hiedeman, O. Nelson-Ododa",CON,85,110.5,102.5
"J. Loyd, S. Whitcomb, K. Nurse, M. Russell, E. Magbegor",SEA,83,91.2,103.4
"A. Clark, K. Stokes, K. Plum, A. Wilson, J. Young",LVA,78,111.8,81.9
"E. Wheeler, K. Mitchell, V. Vivians, L. Hull, A. Boston",IND,78,103.9,109.7
"K. McBride, T. Mitchell, N. Collier, J. Shepard, D. Juhász",MIN,78,93.5,105.2
"D. Taurasi, B. Griner, S. Cunningham, S. Sutton, M. Onyenwere",PHO,77,93.2,98.1
"K. McBride, L. Allen, N. Collier, J. Shepard, D. Miller",MIN,75,108.8,87.2
"B. Griner, M. Jefferson, B. Turner, S. Sutton, M. Onyenwere",PHO,73,88.7,111.6
"N. Howard, T. McCowan, A. Ogunbowale, S. Sabally, V. Burton",DAL,69,116.9,85.8
"J. Loyd, S. Whitcomb, G. Williams, E. Magbegor, D. Fankam Mendjiadeu",SEA,68,105.0,82.1
"B. Laney, B. Stewart, J. Jones, S. Ionescu, M. Johannès",NYL,65,116.0,92.4
"E. Wheeler, K. Mitchell, V. Vivians, K. Wallace, A. Boston",IND,65,114.3,120.2
"D. Robinson, N. Coffey, A. Gray, M. Billings, R. Howard",ATL,63,110.5,100.8
"J. Loyd, K. Nurse, M. Russell, E. Magbegor, I. Dojkic",SEA,63,103.1,114.9
"D. Bonner, T. Hayes, A. Thomas, R. Allen, T. Harris",CON,59,122.0,96.7
"K. McBride, T. Mitchell, N. Collier, J. Shepard, D. Miller",MIN,58,87.5,101.7
"N. Ogwumike, D. Hamby, K. Samuelson, J. Canada, A. Stevens",LAS,58,82.0,95.0
"J. Loyd, K. Nurse, E. Magbegor, I. Dojkic, J. Horston",SEA,57,95.8,105.0
"D. Bonner, T. Hayes, A. Thomas, D. Carrington, T. Harris",CON,56,102.8,91.1
"D. Bonner, A. Thomas, D. Carrington, T. Harris, O. Nelson-Ododa",CON,54,96.3,99.1
"K. McBride, T. Mitchell, N. Collier, B. Carleton, D. Juhász",MIN,54,88.3,90.0
"N. Ogwumike, D. Hamby, K. Samuelson, L. Brown, J. Canada",LAS,54,108.0,95.7
"N. Ogwumike, L. Clarendon, D. Hamby, K. Samuelson, J. Canada",LAS,53,87.3,91.0
"E. Wheeler, E. Cannon, K. Mitchell, L. Hull, A. Boston",IND,52,87.0,102.9
"B. Griner, M. Jefferson, S. Cunningham, B. Turner, M. Onyenwere",PHO,51,86.9,104.0
"Y. Turner, J. Loyd, K. Nurse, M. Russell, E. Magbegor",SEA,51,96.2,109.4
"D. Taurasi, B. Griner, S. Cunningham, B. Turner, S. Sutton",PHO,50,102.8,116.5
"C. Vandersloot, S. Dolson, B. Laney, B. Stewart, S. Ionescu",NYL,49,104.8,104.0
"D. Robinson, C. Parker, A. Gray, R. Howard, N. Hillmon",ATL,48,93.8,77.6
"J. Loyd, S. Whitcomb, M. Russell, G. Williams, E. Magbegor",SEA,48,88.5,105.0
"C. Vandersloot, K. Thornton, B. Laney, B. Stewart, S. Ionescu",NYL,47,111.9,102.0
"M. Jefferson, S. Cunningham, B. Turner, S. Sutton, M. Onyenwere",PHO,47,87.1,107.2
"N. Howard, T. McCowan, A. Ogunbowale, C. Dangerfield, A. Kuier",DAL,47,83.0,95.5
"O. Sims, N. Howard, K. Brown, A. Ogunbowale, S. Sabally",DAL,47,88.5,94.1
"C. Parker, A. Gray, R. Howard, N. Hillmon, H. Jones",ATL,46,97.0,110.9
"N. Ogwumike, D. Hamby, K. Samuelson, J. Canada, Z. Cooke",LAS,46,85.9,100.0
"C. Parker, A. Gray, A. McDonald, R. Howard, N. Hillmon",ATL,44,99.0,96.7
"D. Bonner, A. Thomas, R. Allen, N. Hiedeman, D. Carrington",CON,44,95.6,79.2
"D. Bonner, T. Hayes, A. Thomas, T. Harris, O. Nelson-Ododa",CON,44,86.8,94.5
"E. Williams, K. Copper, M. Mabrey, A. Smith, D. Evans",CHI,44,80.2,83.7
"A. Thomas, R. Allen, D. Carrington, T. Harris, O. Nelson-Ododa",CON,43,101.2,81.6
"N. Ogwumike, L. Clarendon, D. Hamby, L. Brown, J. Canada",LAS,43,94.4,77.9
"D. Taurasi, B. Griner, M. Jefferson, B. Turner, M. Onyenwere",PHO,42,97.7,98.8
"K. McBride, L. Allen, N. Collier, B. Carleton, D. Juhász",MIN,42,115.6,101.1
"L. Clarendon, D. Hamby, J. Canada, A. Stevens, R. Burrell",LAS,42,108.5,125.9
"E. Wheeler, K. Mitchell, N. Smith, A. Boston, G. Berger",IND,41,89.2,96.2
"A. Gray, M. Billings, A. McDonald, R. Howard, N. Hillmon",ATL,40,103.6,103.4
"C. Vandersloot, S. Dolson, K. Thornton, B. Stewart, M. Johannès",NYL,40,109.9,89.7
"J. Thomas, N. Ogwumike, D. Hamby, K. Samuelson, J. Canada",LAS,40,97.4,90.4
"E. Delle Donne, T. Hawkins, N. Cloud, B. Sykes, A. Atkins",WAS,39,102.5,103.6
"C. Vandersloot, K. Thornton, B. Laney, B. Stewart, J. Jones",NYL,38,105.3,79.5
"D. Bonner, T. Hayes, A. Thomas, N. Hiedeman, D. Carrington",CON,38,107.9,76.3
"N. Ogwumike, L. Clarendon, C. Ogwumike, L. Brown, J. Canada",LAS,38,88.8,110.8
