Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
ADIA BARNES,MIN,23,0.2,0.4,37.5,0.1,0.2,33.3,0.1,0.5,22.2,0.0,0.0,0.0,0.5,0.5,100,0.0,0.4,0.0
ADRIENNE GOODSON,UTA,33,2.5,4.7,53.6,1.4,2.9,47.9,1.3,4.0,33.3,0.1,0.3,33.3,0.2,0.8,20.0,0.4,1.8,24.4
ADRIENNE JOHNSON,ORL,26,0.1,0.3,37.5,0.2,0.5,33.3,0.6,1.1,51.6,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.9,14.3
ALESSANDRA SANTOS DE OLIVE,WAS,26,1.7,2.7,62.9,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALISA BURRAS,CLE,25,2.5,3.8,64.4,0.5,1.6,32.0,0.3,0.6,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLISON FEASTER,LAS,24,0.6,0.9,69.0,0.3,0.5,62.5,0.0,0.0,0.0,0.4,0.4,100,0.0,0.5,0.0,0.8,2.2,35.3
AMANDA WILSON,PHO,23,0.2,0.4,40.0,0.1,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,20.0
AMAYA VALDEMORO,HOU,23,0.3,0.7,41.7,0.1,0.3,40.0,0.3,0.8,30.8,1.0,1.0,100,-,-,-,0.2,0.8,25.0
ANDREA CONGREAVES,ORL,30,1.3,2.1,61.2,0.4,0.8,48.1,0.2,0.5,40.0,0.0,0.2,0.0,0.0,0.3,0.0,0.6,1.6,38.5
ANDREA KUKLOVA,PHO,28,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-,-,-,-,-,-,-,-,-
ANDREA LLOYD-CURRY,MIN,34,0.9,1.4,62.2,0.1,0.6,15.8,0.4,1.4,30.4,0.2,0.3,50.0,0.3,0.5,50.0,0.8,2.5,31.6
ANDREA NAGY,WAS,28,0.7,1.2,56.8,0.3,1.1,26.5,0.5,0.9,53.6,0.0,0.0,0.0,0.1,0.4,20.0,0.4,1.3,28.6
ANDREA STINSON,CHA,32,2.7,4.6,58.5,0.8,1.8,44.1,1.3,3.3,39.4,0.2,0.8,21.4,0.3,0.4,66.7,0.6,1.9,32.0
ANGELA AYCOCK,PHO,27,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,1.5,0.0
ANGIE BRAZIEL,CHA,23,0.9,0.9,100,0.0,0.4,0.0,0.1,0.7,20.0,-,-,-,-,-,-,0.0,0.0,0.0
ANGIE POTTHOFF,MIN,26,1.0,1.8,55.4,0.0,0.3,10.0,0.6,1.8,32.1,0.0,0.0,0.0,0.2,0.6,33.3,0.1,0.7,14.3
ANNIE BURGESS,MIN,31,0.2,0.5,50.0,0.1,0.4,30.0,0.1,0.8,15.0,0.2,0.5,33.3,0.3,1.0,33.3,0.6,1.2,50.0
ASTOU NDIAYE-DIATTA,DET,26,1.1,1.6,66.0,0.3,1.4,23.8,0.9,2.2,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
BECKY HAMMON,NYL,23,0.5,0.7,63.6,0.1,0.1,66.7,0.0,0.1,0.0,0.7,0.7,100,0.5,1.0,50.0,0.4,1.8,24.2
BRANDY REED,MIN,23,2.0,3.4,58.8,1.4,2.9,49.3,2.8,6.8,40.6,0.1,0.3,50.0,0.3,0.3,100,0.5,1.7,31.4
BRIDGET PETTIS,PHO,29,1.0,2.2,47.1,0.1,0.5,17.6,0.2,0.9,24.1,0.2,0.9,20.0,0.0,0.3,0.0,0.7,2.8,23.8
CARLA BOYD,DET,24,0.8,1.4,57.8,0.3,0.5,47.1,0.6,1.9,29.5,0.2,0.7,25.0,0.0,0.6,0.0,0.5,1.4,37.8
CARLA MCGHEE,ORL,32,0.3,0.7,38.1,0.1,0.7,20.0,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASS BAUER-BILODEAU,CHA,28,0.2,0.4,60.0,0.2,0.5,30.0,0.2,0.5,30.8,0.0,0.0,0.0,-,-,-,0.0,0.2,0.0
