,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,A'JA WILSON,LVA,26,3.1,4.9,64.6,1.7,3.9,43.9,1.5,3.4,45.1,0.0,0.0,100,0.1,0.2,33.3,0.8,2.1,36.8,2022
1,AARI MCDONALD,ATL,24,1.5,2.6,57.0,0.6,1.5,42.6,0.2,0.8,23.3,0.0,0.1,50.0,0.0,0.0,0.0,1.3,3.8,34.1,2022
2,AERIAL POWERS,MIN,29,1.2,2.1,56.2,1.1,3.5,32.0,1.6,4.0,41.0,0.1,0.2,33.3,0.0,0.0,0.0,0.9,2.9,31.0,2022
3,AISHA SHEPPARD,LVA,24,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.1,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,1.5,29.0,2022
4,ALAINA COATES,IND,28,0.5,0.9,57.1,0.4,0.6,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
5,ALANNA SMITH,IND,26,0.7,0.8,85.7,0.1,0.3,33.3,0.1,0.8,14.3,0.2,0.3,50.0,0.0,0.0,0.0,0.6,2.4,22.7,2022
6,ALLIE QUIGLEY,CHI,37,0.9,1.4,62.5,1.0,1.9,52.3,0.5,1.5,32.0,0.2,0.3,63.6,0.1,0.2,50.0,1.2,3.6,32.8,2022
7,ALLISHA GRAY,DAL,28,1.5,2.2,64.9,0.6,2.1,30.9,0.4,1.4,28.3,0.0,0.1,25.0,0.0,0.4,8.3,1.9,4.3,44.0,2022
8,ALYSHA CLARK,WAS,35,1.2,1.5,79.1,0.6,1.4,43.9,0.3,0.4,69.2,0.2,0.3,50.0,0.1,0.3,25.0,0.8,2.8,28.4,2022
9,ALYSSA THOMAS,CON,31,3.6,5.9,60.8,1.2,3.4,36.4,0.4,1.1,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
10,AMY ATWELL,LAS,24,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,16.7,2022
11,ANGEL MCCOUGHTRY,MIN,36,1.0,1.0,100.0,0.0,0.5,0.0,0.5,2.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
12,ANNELI MALEY,CHI,24,0.0,0.3,0.0,0.3,0.3,100,0.0,0.3,0.0,0.3,0.3,100,0.5,0.5,100,0.0,0.3,0.0,2022
13,ARIEL ATKINS,WAS,26,0.9,1.3,72.3,0.8,2.0,40.8,1.4,3.6,40.0,0.3,0.5,62.5,0.0,0.2,14.3,1.6,4.7,34.9,2022
14,ARIKE OGUNBOWALE,DAL,26,1.5,2.6,57.7,1.0,2.8,36.9,1.5,3.7,40.2,0.1,0.3,40.0,0.0,0.1,0.0,2.6,7.4,35.4,2022
15,ASIA (AD) DURR,ATL,26,0.5,1.0,48.0,0.7,1.8,38.6,0.3,1.1,30.8,0.0,0.2,0.0,0.1,0.1,100,0.9,2.1,41.5,2022
16,AWAK KUIER,DAL,21,0.8,1.0,76.5,0.1,0.4,14.3,0.1,0.5,11.8,0.0,0.0,0.0,0.1,0.1,100,0.1,0.6,15.0,2022
17,AZURÁ STEVENS,CHI,27,2.0,3.0,66.3,0.6,1.2,46.5,0.5,1.6,34.5,0.2,0.4,50.0,0.3,0.6,50.0,0.7,2.4,31.0,2022
18,BEATRICE MOMPREMIER,ATL,26,1.0,1.5,63.3,0.0,0.4,0.0,0.1,0.4,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
19,BETNIJAH LANEY-HAMILTON,NYL,29,2.1,3.3,63.3,0.2,0.3,66.7,0.7,3.1,21.4,0.7,1.1,62.5,0.1,0.2,50.0,0.6,2.1,26.3,2022
20,BREANNA STEWART,SEA,28,2.5,3.4,71.8,1.9,4.1,45.0,1.2,3.1,38.7,0.1,0.2,66.7,0.0,0.2,20.0,1.8,4.9,37.3,2022
21,BRIA HARTLEY,CON,30,0.2,0.4,40.0,0.1,0.3,25.0,0.3,0.8,36.4,0.2,0.2,100,0.0,0.0,0.0,0.4,1.1,35.7,2022
22,BRIANN JANUARY,SEA,36,0.2,0.3,72.7,0.1,0.2,33.3,0.4,0.9,41.9,0.1,0.2,33.3,0.0,0.0,100,0.6,1.9,29.9,2022
23,BRIANNA TURNER,PHO,26,1.7,2.6,64.8,0.3,0.5,47.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
24,BRIDGET CARLETON,MIN,26,0.4,0.8,53.6,0.1,0.3,44.4,0.2,0.4,40.0,0.2,0.3,55.6,0.1,0.3,42.9,0.6,1.9,31.3,2022
25,BRIONNA JONES,CON,27,4.0,6.0,66.8,0.6,1.6,38.6,0.5,1.3,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2022
26,BRITTNEY SYKES,LAS,29,2.5,3.6,71.1,0.6,2.1,29.4,1.2,3.7,31.6,0.1,0.3,25.0,0.0,0.1,50.0,0.3,1.3,26.2,2022
27,CANDACE PARKER,CHI,37,1.9,2.8,68.1,0.9,1.5,57.1,0.8,2.3,37.5,0.1,0.1,66.7,0.0,0.0,0.0,1.3,4.1,30.3,2022
28,CHARLI COLLIER,DAL,23,0.2,0.3,60.0,0.2,0.6,30.0,0.4,0.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2022
29,CHELSEA GRAY,LVA,30,1.1,1.5,70.4,1.3,2.6,51.6,1.8,3.7,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,2.8,34.7,2022
30,CHENNEDY CARTER,LAS,24,2.0,3.2,64.5,0.7,2.4,29.3,0.7,1.9,37.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,25.0,2022
31,CHEYENNE PARKER-TYUS,ATL,30,2.8,4.1,68.2,1.0,2.5,40.4,0.8,1.7,45.0,0.1,0.2,66.7,0.0,0.0,0.0,0.2,1.4,16.3,2022
32,CHINEY OGWUMIKE,LAS,31,1.6,2.6,61.8,0.5,1.2,38.7,0.3,1.2,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,44.4,2022
33,COURTNEY VANDERSLOOT,CHI,34,2.6,4.1,64.1,0.3,1.1,32.4,0.4,1.2,30.8,0.1,0.1,50.0,0.0,0.0,0.0,0.8,2.3,37.0,2022
34,COURTNEY WILLIAMS,CON,29,0.7,1.4,51.1,0.8,1.5,54.0,2.7,6.6,40.9,0.1,0.2,50.0,0.1,0.2,33.3,0.5,1.6,32.1,2022
35,CRYSTAL DANGERFIELD,NYL,25,0.6,0.9,61.3,0.3,1.1,31.4,0.4,0.9,44.8,0.1,0.1,75.0,0.0,0.2,16.7,0.6,1.8,31.7,2022
36,DAMIRIS DANTAS,MIN,30,0.5,0.8,58.3,0.3,0.7,40.0,0.1,0.6,11.1,0.2,0.2,100,0.1,0.3,33.3,0.8,3.7,21.8,2022
37,DANA EVANS,CHI,24,0.3,0.5,64.7,0.3,0.9,34.5,0.2,0.5,35.3,0.0,0.1,0.0,0.1,0.1,100,0.6,1.9,31.7,2022
38,DANIELLE ROBINSON,IND,34,1.6,2.8,58.0,0.4,1.5,28.9,0.4,1.0,40.0,0.0,0.2,20.0,0.0,0.1,33.3,0.2,1.0,22.6,2022
39,DEWANNA BONNER,CON,35,1.7,2.5,69.5,0.3,1.0,26.5,1.3,3.0,44.4,0.3,0.7,45.0,0.1,0.3,40.0,1.0,3.3,30.3,2022
40,DEARICA HAMBY,LVA,29,2.3,3.7,62.7,0.6,1.2,47.6,0.0,0.2,12.5,0.0,0.2,0.0,0.1,0.5,11.8,0.4,1.5,28.0,2022
41,DESTANNI HENDERSON,IND,24,0.8,1.6,49.2,0.2,0.5,36.8,0.3,0.8,32.1,0.1,0.3,44.4,0.1,0.2,57.1,0.5,1.4,34.6,2022
42,DESTINY SLOCUM,ATL,25,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.3,0.3,100,0.7,2.3,28.6,2022
43,DIDI RICHARDS,NYL,24,0.4,1.3,29.4,0.2,0.3,50.0,0.1,0.3,25.0,0.0,0.2,0.0,0.0,0.1,0.0,0.2,0.6,33.3,2022
44,DIJONAI CARRINGTON,CON,25,1.4,2.8,51.0,0.3,0.8,39.3,0.1,0.3,18.2,0.0,0.0,0.0,0.0,0.2,25.0,0.5,1.6,31.6,2022
45,DIAMOND DESHIELDS,PHO,28,2.3,3.6,63.3,1.1,3.0,37.4,0.6,2.6,23.4,0.1,0.3,25.0,0.0,0.3,12.5,0.6,2.5,25.0,2022
46,DIANA TAURASI,PHO,41,1.0,1.6,61.2,0.3,0.9,35.7,0.6,1.7,34.6,0.3,0.5,50.0,0.1,0.3,50.0,2.6,8.1,32.3,2022
47,ELENA DELLE DONNE,WAS,33,1.3,1.6,80.5,2.0,4.1,50.0,1.4,3.4,42.4,0.0,0.1,0.0,0.0,0.0,0.0,1.4,3.7,37.6,2022
48,ELISSA CUNANE,MIN,22,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.3,0.0,2022
49,ELIZABETH WILLIAMS,WAS,30,1.8,2.8,63.5,0.5,1.7,28.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
50,EMILY ENGSTLER,IND,23,1.4,2.8,49.5,0.1,0.7,13.0,0.1,0.5,29.4,0.0,0.1,0.0,0.0,0.1,50.0,0.4,1.1,37.5,2022
51,EMMA CANNON,IND,34,0.9,1.4,61.8,0.3,0.7,35.3,1.0,1.9,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,50.0,2022
52,EMMA MEESSEMAN,CHI,30,2.5,3.2,79.8,1.3,2.5,53.9,1.2,2.8,42.4,0.0,0.1,33.3,0.0,0.0,0.0,0.3,1.0,34.3,2022
53,EPIPHANNY PRINCE,SEA,35,0.2,0.5,46.7,0.2,0.5,33.3,0.3,1.1,31.4,0.1,0.1,66.7,0.0,0.1,33.3,0.5,1.6,34.0,2022
54,ERICA WHEELER,ATL,32,0.8,1.7,45.1,0.6,1.5,41.3,1.1,3.5,30.2,0.0,0.1,0.0,0.1,0.3,37.5,0.7,2.1,33.9,2022
55,EVINA WESTBROOK,WAS,24,0.4,0.6,70.0,0.3,0.8,40.0,0.1,0.4,25.0,0.1,0.1,100,0.1,0.1,100,0.2,0.9,16.7,2022
56,EZI MAGBEGOR,SEA,23,2.9,4.2,69.3,0.7,1.7,40.0,0.2,0.6,28.6,0.0,0.0,0.0,0.1,0.1,50.0,0.2,0.8,32.0,2022
57,GABBY WILLIAMS,SEA,26,1.8,2.7,66.7,0.4,1.0,43.2,0.3,1.1,25.0,0.1,0.4,13.3,0.0,0.1,0.0,0.4,1.5,30.2,2022
58,HAN XU,NYL,23,1.6,2.7,58.1,0.8,1.9,43.3,0.5,1.2,43.6,0.0,0.0,100,0.0,0.0,100,0.4,1.1,41.2,2022
59,HANNAH SJERVEN,MIN,25,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0,2022
60,ILIANA RUPERT,LVA,21,0.4,0.5,75.0,0.1,0.2,66.7,0.2,0.3,60.0,0.1,0.4,40.0,0.1,0.4,33.3,0.6,1.6,37.0,2022
61,ISABELLE HARRISON,DAL,29,2.2,3.9,57.0,0.7,2.1,34.7,0.3,1.1,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100.0,2022
