Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
KATRINA COLLETON,LAS,28,0.3,0.9,35.7,0.2,0.6,29.4,0.3,1.2,28.6,0.2,1.0,20.0,0.0,0.0,0.0,0.3,1.1,28.6
KELLY BOUCHER,CHA,31,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.9,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,16.7
KERI CHACONAS,WAS,24,0.3,0.7,52.6,0.0,0.3,14.3,0.1,0.6,18.8,0.2,1.2,18.8,0.2,1.0,22.2,1.0,3.0,32.5
KIM PERROT,HOU,32,1.5,2.5,60.0,0.3,0.7,45.5,0.1,0.4,30.8,0.3,1.2,28.6,0.0,0.6,0.0,0.9,3.1,28.1
KIM WILLIAMS,UTA,24,1.6,3.5,44.3,0.5,1.2,44.4,0.6,1.8,35.8,0.2,0.2,100,0.7,1.3,50.0,0.3,1.2,26.1
KISHA FORD,NYL,24,1.3,2.1,60.3,0.2,0.6,27.8,0.5,1.5,32.6,0.0,0.0,0.0,0.5,1.0,50.0,0.1,1.0,11.1
KORIE HLEDE,DET,24,1.6,3.8,41.7,0.6,2.1,26.8,1.8,4.1,42.9,0.2,0.7,22.2,0.0,0.0,0.0,1.1,2.7,41.5
KRISTI HARROWER,PHO,24,0.2,0.3,50.0,0.1,0.2,42.9,0.0,0.1,0.0,0.2,0.3,50.0,0.0,0.7,0.0,0.5,1.4,37.0
KYM HAMPTON,NYL,36,1.9,3.3,56.0,0.9,2.4,39.4,0.5,1.5,31.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LA'SHAWN BROWN,WAS,26,0.3,0.8,41.2,0.2,0.7,30.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATONYA JOHNSON,UTA,23,0.9,1.2,70.6,0.2,0.9,19.2,0.5,1.3,41.7,0.3,1.0,28.6,0.0,0.5,0.0,0.5,1.8,30.0
LADY GROOMS,SAC,28,1.9,3.0,62.8,0.6,1.6,34.8,0.1,0.4,18.2,0.0,0.0,0.0,-,-,-,0.1,0.5,16.7
LATASHA BYEARS,SAC,25,3.1,5.5,57.2,1.7,3.9,44.6,1.1,3.3,32.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.8,25.0
LEILA DE SOUZA SOBRAL,WAS,24,0.1,0.5,28.6,0.1,0.2,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,1.4,30.0
LESLIE JOHNSON,WAS,24,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.2,100,-,-,-,-,-,-,-,-,-
LINDA BURGESS,SAC,29,1.9,3.3,55.7,0.8,1.9,39.3,0.3,0.8,39.1,0.0,0.0,0.0,-,-,-,0.1,0.6,12.5
LISA LESLIE,LAS,26,3.8,5.5,69.0,2.0,4.8,41.5,1.1,3.9,27.3,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.3,40.9
LYNETTE WOODARD,DET,39,0.6,1.2,46.9,0.4,1.0,37.0,0.4,1.3,32.4,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
MARGO DYDEK,UTA,25,2.6,3.9,67.2,1.3,3.8,35.1,0.9,2.2,40.9,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.4,16.7
MARGO GRAHAM,WAS,28,0.8,1.1,70.0,0.0,0.7,0.0,0.1,0.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIA STEPANOVA,PHO,20,1.0,1.8,52.8,0.3,1.1,27.8,0.1,0.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARLIES ASKAMP,PHO,28,1.4,2.2,64.3,0.2,0.7,33.3,0.3,1.2,23.3,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
MERLAKIA JONES,CLE,26,1.3,1.8,70.4,1.0,2.3,45.6,1.1,3.1,35.5,0.0,0.2,0.0,-,-,-,0.4,1.1,36.8
MFON UDOKA,DET,23,0.3,1.7,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
MICHELE TIMMS,PHO,34,0.5,1.2,43.2,0.4,1.2,36.1,0.4,1.5,23.9,0.4,0.8,50.0,0.3,1.2,28.6,0.9,3.1,28.4
MICHELLE BROGAN,PHO,26,2.0,3.4,57.3,0.3,1.1,31.3,0.4,0.9,50.0,0.2,0.2,100,-,-,-,0.7,1.5,45.5
MICHELLE EDWARDS,CLE,33,0.8,1.6,51.4,0.7,1.7,42.1,1.0,2.3,40.7,0.5,0.5,100,-,-,-,0.5,1.7,30.3
MICHELLE REED,LAS,26,0.1,0.3,33.3,0.0,0.2,0.0,0.1,0.2,50.0,1.0,1.0,100,-,-,-,0.0,0.6,0.0
MIKIKO HAGIWARA,PHO,29,0.2,0.4,50.0,0.3,0.3,100,0.0,0.3,0.0,1.0,1.0,100,0.0,0.7,0.0,0.6,1.8,33.3
MONICA LAMB,HOU,34,1.0,1.7,59.6,1.1,2.1,52.4,0.1,0.2,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURRIEL PAGE,WAS,23,2.1,3.4,61.0,0.8,1.9,42.6,0.6,1.9,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
MWADI MABIKA,LAS,22,0.9,2.1,44.3,0.5,1.3,36.1,0.5,1.8,26.4,0.2,0.4,50.0,0.4,1.1,40.0,1.0,3.5,29.5
NADINE DOMOND,SAC,23,0.3,0.4,75.0,0.0,0.1,0.0,0.4,1.3,33.3,0.0,1.0,0.0,0.0,1.0,0.0,0.4,2.0,21.4
NIKKI MCCRAY,WAS,27,3.0,5.4,55.3,1.1,3.2,33.3,1.6,4.5,34.9,0.0,0.1,0.0,0.0,0.2,0.0,0.9,2.7,32.4
NYREE ROBERTS,HOU,23,0.4,0.5,85.7,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0
OCTAVIA BLUE,LAS,23,0.3,0.7,47.6,0.1,0.6,20.0,0.2,0.7,35.0,0.3,1.0,33.3,0.3,0.3,100,0.3,1.3,23.5
OLYMPIA SCOTT,UTA,23,1.3,2.4,52.9,0.6,1.4,41.0,0.1,0.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,20.0
PAM MCGEE,LAS,36,1.6,2.7,61.3,0.7,1.9,35.7,0.4,1.4,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
PAULINE JORDAN,SAC,31,0.7,1.3,55.2,0.3,1.3,25.9,0.0,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
PENNY MOORE,WAS,30,0.7,1.4,51.3,0.5,1.6,33.3,1.2,3.0,38.8,0.4,1.2,30.0,0.0,0.5,0.0,0.5,2.5,21.0
PENNY TOLER,LAS,33,1.0,2.0,49.2,1.6,3.9,40.2,1.5,3.8,38.9,0.8,0.8,100,0.1,0.1,100,0.7,2.1,35.2
POLLYANNA JOHNS KIMBROUGH,CHA,23,0.9,1.6,53.8,0.0,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUACY BARNES,SAC,22,0.2,0.4,66.7,0.1,0.5,25.0,0.0,0.1,0.0,-,-,-,-,-,-,0.0,0.0,0.0
RACHAEL SPORN,DET,31,1.6,2.6,60.3,0.3,1.2,22.2,0.2,1.1,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAEGAN SCOTT,CLE,23,0.2,0.5,50.0,0.2,0.6,30.8,0.2,0.6,38.5,0.0,0.0,0.0,-,-,-,0.0,0.7,0.0
RAZIJA BRCANINOVIC,DET,32,1.8,3.1,58.5,1.2,2.5,47.4,0.5,1.1,44.1,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
REBECCA LOBO,NYL,25,2.8,4.0,68.6,0.7,1.8,41.5,0.6,2.3,27.9,0.3,0.3,100,0.0,1.0,0.0,0.5,1.7,29.7
REHEMA STEPHENS,SAC,29,0.5,1.0,50.0,0.3,1.4,18.2,0.4,1.3,30.0,-,-,-,0.0,0.0,0.0,0.4,2.4,16.7
RHONDA BLADES,DET,26,0.2,0.4,53.8,0.0,0.3,0.0,0.0,0.3,12.5,0.2,0.6,33.3,0.3,1.0,33.3,0.5,2.3,22.7
RHONDA MAPP,CHA,29,1.8,2.9,61.7,1.4,2.9,49.2,0.7,1.6,45.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1.0,11.1
RITA WILLIAMS,WAS,23,0.7,1.4,50.0,0.1,0.3,22.2,0.2,0.7,26.3,0.1,0.7,12.5,0.6,1.3,41.7,0.2,1.5,15.6
RUSHIA BROWN,CLE,27,1.4,2.5,57.3,0.5,1.4,37.5,0.2,0.8,26.1,0.0,0.0,0.0,-,-,-,0.0,0.1,0.0
RUTHIE BOLTON,SAC,32,0.8,1.4,57.1,0.2,1.2,16.7,1.6,3.8,42.1,0.0,1.0,0.0,-,-,-,0.8,4.4,18.2
SANDRA VANEMBRICQS,LAS,31,1.0,1.7,60.4,0.3,0.8,38.1,0.2,0.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDY BRONDELLO,DET,30,0.8,1.9,44.6,1.1,2.7,41.5,2.7,6.2,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,36.4
SHARON MANNING,CHA,30,1.6,2.7,58.8,0.4,1.4,26.8,0.0,0.4,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
SHERYL SWOOPES,HOU,28,2.6,4.0,65.2,0.9,2.9,32.5,1.2,3.7,32.7,0.2,0.7,33.3,0.0,0.7,0.0,1.3,3.4,37.0
SONIA CHASE,CHA,23,0.4,0.7,60.0,0.1,0.3,28.6,0.1,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOPHIA WITHERSPOON,NYL,29,2.3,4.5,50.4,0.4,1.3,30.8,1.0,3.0,34.8,0.1,0.7,20.0,0.5,1.3,40.0,1.0,2.9,34.9
SUE WICKS,NYL,32,1.1,1.9,56.9,0.4,0.9,40.7,0.1,0.6,10.5,0.0,0.0,0.0,-,-,-,0.0,0.6,0.0
SUZIE MCCONNELL SERIO,CLE,32,0.8,1.6,50.0,0.8,1.5,48.8,0.3,0.6,44.4,0.3,0.8,37.5,0.5,1.3,40.0,0.9,2.1,41.4
TAJAMA ABRAHAM,DET,23,0.2,0.5,33.3,0.2,0.6,40.0,0.1,0.3,33.3,-,-,-,-,-,-,0.0,0.0,0.0
TAMECKA DIXON,LAS,23,2.4,3.8,63.1,0.7,2.5,29.1,1.5,3.9,40.0,0.0,0.3,0.0,0.2,0.2,100,1.0,2.7,35.7
TAMMI REISS,UTA,29,1.0,1.9,54.8,0.1,0.5,20.0,0.6,1.3,46.4,0.3,0.5,50.0,0.0,0.7,0.0,0.8,2.5,30.0
TAMMY JACKSON,HOU,36,0.4,0.8,50.0,0.1,0.2,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANGELA SMITH,SAC,22,1.1,2.1,55.4,1.3,3.7,33.7,1.5,3.9,39.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.8,38.5
TANJA KOSTIC,CLE,26,0.4,0.4,100,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
TERESA WEATHERSPOON,NYL,33,1.1,2.1,50.8,0.3,0.6,42.1,0.6,1.9,29.8,0.0,0.4,0.0,0.0,1.0,0.0,0.6,1.7,35.6
TIA PASCHAL,CHA,30,0.2,0.3,66.7,0.3,0.8,30.8,0.1,0.7,14.3,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.7,50.0
TICHA PENICHEIRO,SAC,24,0.9,1.8,50.9,0.3,1.2,27.8,0.2,1.0,17.2,0.3,0.3,100,0.3,0.3,100,0.3,1.7,19.5
TIFFANI JOHNSON,SAC,23,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0
TIFFANY WOOSLEY,HOU,26,0.1,0.2,66.7,0.1,0.2,33.3,0.1,0.3,20.0,0.0,0.5,0.0,1.0,2.0,50.0,0.2,1.0,22.2
TINA THOMPSON,HOU,24,1.6,2.8,56.0,1.0,2.8,36.8,0.5,1.3,40.0,0.1,1.1,8.3,0.7,1.2,57.1,1.3,3.4,38.1
TONI FOSTER,PHO,27,1.3,1.8,71.4,0.4,1.4,30.4,0.1,0.6,11.1,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
TORA SUBER,CHA,24,0.5,1.2,37.8,0.1,0.2,28.6,0.2,0.8,24.0,0.4,0.9,40.0,0.8,1.0,75.0,1.0,3.4,28.4
