,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,ADIA BARNES,CLE,25,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,2001
1,ADRIAN WILLIAMS-STRONG,PHO,25,0.6,1.7,38.1,0.6,1.8,33.3,0.3,1.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
2,ADRIANA MOISES PINTO,PHO,23,1.1,2.4,47.1,0.3,0.6,50.0,0.0,0.4,0.0,0.0,0.0,0.0,-,-,-,0.7,2.0,33.3,2001
3,ADRIENNE GOODSON,UTA,35,2.4,4.1,58.3,0.9,2.7,32.9,1.5,3.5,42.3,0.0,0.6,0.0,0.0,0.0,0.0,0.2,1.2,19.2,2001
4,ALESSANDRA SANTOS DE OLIVE,SEA,28,0.4,1.1,36.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2001
5,ALICIA THOMPSON,IND,25,0.9,1.5,62.5,0.8,1.6,47.2,1.0,2.9,34.9,0.3,0.4,80.0,0.0,0.0,0.0,0.7,2.1,34.2,2001
6,ALISA BURRAS,POR,27,1.5,2.5,59.1,0.2,0.5,30.8,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
7,ALLISON FEASTER,CHA,26,0.8,1.4,55.6,0.4,1.1,37.1,1.0,2.8,37.5,0.6,1.5,40.0,0.4,1.1,33.3,1.0,3.4,30.0,2001
8,AMANDA LASSITER,HOU,23,0.3,0.5,68.8,0.2,0.8,29.2,0.2,1.0,21.9,0.2,0.4,50.0,0.5,1.3,40.0,0.8,2.2,37.5,2001
9,AMY HERRIG,UTA,25,0.7,1.1,58.3,0.3,0.8,42.3,0.3,1.0,35.5,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2001
10,ANDREA NAGY,NYL,30,0.2,0.4,55.6,0.1,0.3,33.3,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.0,54.5,2001
11,ANDREA STINSON,CHA,34,2.5,3.7,68.1,0.8,2.4,34.2,1.3,3.4,39.1,0.3,0.6,60.0,0.4,0.8,44.4,0.8,1.8,41.3,2001
12,ANGELINA WOLVERT,CLE,23,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,-,-,-,-,-,-,-,-,-,2001
13,ANGIE BRAZIEL,IND,25,1.1,1.4,81.3,0.8,2.0,40.0,0.3,1.7,16.2,0.0,0.0,0.0,-,-,-,0.0,0.1,0.0,2001
14,ANN WAUTERS,CLE,21,2.8,4.4,62.3,0.8,1.3,59.4,0.1,0.5,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2001
15,ANNIE BURGESS,WAS,33,0.3,0.6,40.0,0.4,1.1,36.4,0.4,1.3,31.7,0.1,0.3,20.0,0.1,0.2,50.0,0.5,1.5,30.0,2001
16,ASTOU NDIAYE-DIATTA,DET,28,2.3,3.3,67.9,1.0,2.4,40.3,1.5,4.5,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,33.3,2001
17,AUDREY SAURET,WAS,25,0.6,1.1,51.9,0.3,1.3,24.2,0.3,1.0,32.0,0.0,0.1,0.0,0.0,0.2,0.0,0.2,1.2,12.5,2001
18,BARBARA FARRIS,DET,25,1.3,2.2,58.8,0.1,0.6,21.1,0.1,0.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
19,BECKY HAMMON,NYL,25,0.8,1.2,69.2,0.2,0.5,35.3,0.5,0.9,50.0,0.3,0.8,41.2,0.5,0.9,57.1,1.0,2.9,35.6,2001
20,BETTY LENNOX,MIN,25,1.0,1.6,61.1,0.3,2.0,13.6,0.6,1.6,38.9,0.3,0.9,33.3,0.0,1.0,0.0,1.6,4.1,40.0,2001
21,BRANDY REED,PHO,25,0.0,1.0,0.0,1.0,3.0,33.3,0.0,4.0,0.0,-,-,-,-,-,-,-,-,-,2001
22,BRIDGET PETTIS,PHO,31,0.9,2.0,43.1,0.0,0.5,0.0,0.2,0.5,33.3,0.4,0.5,80.0,0.4,0.6,75.0,0.5,2.2,24.1,2001
23,BROOKE WYCKOFF,ORL,22,0.5,0.8,61.5,0.3,0.7,34.8,0.3,1.2,28.2,0.0,0.5,0.0,0.0,0.3,0.0,0.2,1.2,20.7,2001
24,CAMILLE COOPER,NYL,23,1.3,1.3,100.0,1.0,2.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2001
25,CARA CONSUEGRA,UTA,23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-,-,-,0.0,1.0,0.0,2001
26,CARLA BOYD,DET,26,0.2,0.5,45.5,0.1,0.3,16.7,0.3,0.7,42.9,0.1,0.5,25.0,0.1,0.4,33.3,0.5,1.7,31.0,2001
27,CARLA MCGHEE,ORL,34,0.1,0.1,50.0,0.1,0.6,22.2,0.2,0.8,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
28,CAROLYN YOUNG,POR,32,0.3,0.7,41.2,0.5,1.3,39.3,0.4,0.9,45.0,0.4,0.6,66.7,0.0,0.5,0.0,0.5,2.0,26.7,2001
29,CASS BAUER-BILODEAU,WAS,30,0.2,0.3,60.0,0.1,0.4,16.7,0.1,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2001
30,CHAMIQUE HOLDSCLAW,WAS,24,2.5,3.9,64.3,1.7,4.4,38.0,1.9,6.2,30.6,0.1,0.4,33.3,0.1,0.1,100,0.4,1.8,20.5,2001
31,CHARLOTTE SMITH,CHA,28,1.2,1.9,61.4,0.2,0.8,29.2,0.2,1.1,15.2,0.0,0.0,0.0,0.0,0.3,0.0,0.4,1.3,33.3,2001
32,CHARMIN SMITH,SEA,27,0.1,0.1,66.7,0.1,0.4,18.2,0.1,0.3,18.2,0.2,0.4,42.9,0.0,0.3,0.0,0.4,1.4,26.7,2001
33,CHASITY MELVIN,CLE,26,2.5,4.8,52.3,0.8,2.2,36.7,0.4,0.9,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100,2001
34,CINDY BLODGETT,SAC,26,0.1,0.5,20.0,0.2,0.3,66.7,0.2,0.6,33.3,0.0,0.0,0.0,-,-,-,1.0,1.8,57.1,2001
35,CINTIA DOS SANTOS,ORL,27,0.1,0.6,16.7,0.5,1.3,40.0,0.2,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
36,CLARISSE MACHANGUANA,CHA,25,1.6,2.2,70.1,0.3,1.1,31.3,0.2,0.9,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
37,CLAUDIA NEVES,DET,27,0.5,1.1,41.7,0.2,0.5,33.3,0.1,0.4,22.2,0.0,0.2,0.0,0.2,0.3,50.0,0.9,2.4,37.5,2001
38,COCO MILLER,WAS,23,0.1,0.1,100.0,0.2,0.7,23.1,0.3,1.0,31.6,0.0,0.0,0.0,-,-,-,0.2,0.7,33.3,2001
39,COQUESE WASHINGTON,HOU,31,0.5,0.9,60.7,0.2,0.9,25.0,0.3,1.3,25.0,0.2,0.3,57.1,0.3,0.6,40.0,0.8,2.3,33.8,2001
40,CRYSTAL ROBINSON,NYL,28,0.8,1.0,78.8,0.2,0.5,37.5,0.7,1.6,42.0,0.3,0.9,38.9,0.5,1.2,45.5,1.7,4.1,41.4,2001
41,DANA WYNNE,SAC,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0,2001
42,DANIELLE MCCULLEY,IND,27,0.4,1.0,37.5,0.1,0.9,14.3,0.0,0.1,0.0,0.0,0.0,0.0,-,-,-,0.3,0.5,50.0,2001
43,DAWN STALEY,CHA,32,0.8,1.8,45.8,0.6,1.9,29.0,0.9,2.2,40.8,0.0,0.2,0.0,0.3,0.7,42.9,0.9,2.5,38.0,2001
44,DELISHA MILTON-JONES,LAS,27,1.6,2.7,58.6,0.9,2.0,43.1,1.3,3.4,39.4,0.1,0.4,12.5,0.0,0.0,0.0,0.5,1.2,40.7,2001
45,DEMYA WALKER,POR,24,1.6,3.1,50.0,0.4,1.0,36.4,0.0,0.4,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,66.7,2001
46,DEANNA NOLAN,DET,22,0.6,1.4,38.5,0.3,1.0,30.8,0.7,2.1,35.7,0.1,0.9,15.4,0.3,0.6,50.0,0.7,2.2,30.4,2001
47,DEBBIE BLACK,MIA,35,0.2,0.5,37.5,0.3,0.9,37.9,1.6,3.8,41.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.9,17.6,2001
