,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
32,COURTNEY WILLIAMS,CHI,30,0.6,0.9,70.6,0.7,1.8,39.4,1.9,4.8,40.1,0.1,0.2,83.3,0.1,0.1,50.0,1.0,2.4,42.1,2023
33,CRYSTAL DANGERFIELD,DAL,26,0.8,1.1,71.1,0.9,1.9,46.2,1.0,2.4,41.7,0.0,0.1,50.0,0.0,0.1,33.3,0.7,2.5,29.1,2023
34,CYESHA GOREE,WAS,30,0.7,0.9,77.8,0.1,0.2,50.0,0.4,0.7,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,21.4,2023
35,DANA EVANS,CHI,25,0.5,1.1,48.8,0.9,2.2,40.7,0.5,1.3,36.0,0.0,0.1,33.3,0.0,0.1,50.0,1.0,3.5,29.0,2023
36,DANIELLE ROBINSON,ATL,35,1.0,1.8,56.1,0.4,1.0,43.8,0.5,1.1,47.1,0.0,0.2,14.3,0.0,0.1,50.0,0.2,0.7,33.3,2023
37,DEWANNA BONNER,CON,36,2.5,3.9,64.9,0.6,1.7,34.3,0.9,2.5,35.4,0.1,0.4,33.3,0.1,0.4,35.7,1.6,5.0,32.8,2023
38,DEARICA HAMBY,LAS,30,2.5,4.4,56.9,0.5,1.9,27.3,0.1,0.4,21.4,0.0,0.0,100,0.0,0.0,0.0,0.2,1.0,20.5,2023
39,DESTANNI HENDERSON,PHO,25,0.6,1.1,60.0,0.4,0.8,50.0,0.1,0.4,16.7,0.1,0.3,33.3,0.0,0.1,0.0,0.1,1.3,11.1,2023
40,DIJONAI CARRINGTON,CON,26,1.8,3.3,55.4,0.4,1.6,25.5,0.0,0.3,11.1,0.0,0.1,0.0,0.0,0.0,0.0,0.7,1.8,39.0,2023
41,DIAMOND MILLER,MIN,23,2.1,4.0,52.8,0.6,1.9,32.3,0.7,1.8,38.6,0.1,0.2,33.3,0.0,0.1,33.3,0.9,2.9,30.4,2023
42,DIANA TAURASI,PHO,42,1.2,1.5,75.0,0.7,1.3,48.6,0.7,2.2,30.4,0.2,0.5,46.2,0.1,0.3,33.3,2.2,6.5,33.3,2023
43,DORKA JUHÁSZ,MIN,24,1.8,2.5,69.1,0.2,0.6,30.4,0.2,0.9,26.5,0.0,0.2,16.7,0.0,0.0,100,0.3,1.1,26.8,2023
44,DULCY FANKAM MENDJIADEU,SEA,24,1.6,2.6,61.6,0.1,0.4,14.3,0.0,0.2,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
