Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
A'QUONESIA FRANKLIN,SAC,23,0.1,0.4,33.3,0.1,0.2,25.0,0.2,0.7,26.1,0.1,0.3,33.3,0.0,0.1,0.0,0.2,0.8,25.0
ADRIAN WILLIAMS-STRONG,SAC,32,1.3,2.7,48.4,0.8,1.8,41.9,0.5,1.3,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRIANNE ROSS,SAN,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,-,-,-,-,-,-,-,-,-
ALANA BEARD,WAS,27,1.7,3.1,56.4,0.6,1.9,31.7,1.8,5.0,35.5,0.0,0.2,25.0,0.2,0.2,80.0,1.4,4.1,34.1
ALEXIS HORNBUCKLE,DET,23,0.8,2.0,40.3,0.2,0.6,42.1,0.4,1.4,25.5,0.1,0.3,33.3,0.0,0.0,0.0,0.4,1.1,36.8
ALISON BALES,PHO,24,0.7,1.5,51.1,0.1,0.4,15.4,0.5,1.4,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,37.5
ALLIE QUIGLEY,PHO,23,0.4,0.6,55.6,0.1,0.3,33.3,0.4,1.1,31.3,0.0,0.5,0.0,0.0,0.7,0.0,0.3,1.0,28.6
ALLISON FEASTER,IND,33,0.1,0.2,80.0,0.0,0.0,0.0,0.1,0.3,33.3,0.1,0.6,22.2,0.1,0.8,16.7,0.7,2.1,33.3
AMBER HOLT,CON,24,0.9,1.6,55.4,0.3,0.6,45.5,0.4,1.3,33.3,0.0,0.3,0.0,0.2,0.4,50.0,0.6,1.9,33.9
AMBER JACOBS,LAS,27,0.0,0.3,0.0,0.1,0.2,50.0,0.0,0.3,0.0,0.4,0.4,100,0.0,0.5,0.0,0.4,1.4,27.3
ANDREA GARDNER,WAS,29,0.5,1.2,46.2,0.4,1.0,35.0,0.1,0.6,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANN STROTHER,ATL,25,0.1,0.2,40.0,0.0,0.1,0.0,0.2,0.5,33.3,0.5,0.5,100,0.0,0.2,0.0,0.4,1.1,31.3
ANN WAUTERS,SAN,28,3.9,5.5,71.4,0.9,2.4,38.5,0.9,2.6,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,35.5
ANNA DEFORGE,MIN,33,0.6,0.9,63.3,0.2,0.5,43.8,1.0,2.8,34.4,0.1,0.6,22.2,0.3,0.9,38.9,1.3,3.4,37.3
ARMINTIE HERRINGTON,CHI,24,1.9,3.6,54.5,0.2,0.6,31.6,0.4,1.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
