,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,ADRIENNE GOODSON,CHA,39,1.1,2.0,53.0,0.3,1.1,29.4,0.4,1.3,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,66.7,2005
1,ALANA BEARD,WAS,24,1.8,3.3,56.1,0.8,2.3,33.8,1.5,4.7,31.9,0.1,0.5,27.3,0.0,0.3,16.7,0.9,2.8,33.3,2005
2,ALICIA THOMPSON,SEA,29,0.2,0.5,50.0,0.1,0.4,27.3,0.5,1.1,44.1,0.1,0.3,33.3,0.0,0.2,0.0,0.4,1.1,33.3,2005
3,ALLISON FEASTER,CHA,30,0.3,0.6,50.0,0.1,0.5,20.0,0.8,2.6,29.6,0.3,0.8,37.5,0.3,0.6,40.0,1.5,3.5,43.8,2005
4,AMANDA LASSITER,MIN,27,0.2,0.2,71.4,0.0,0.3,12.5,0.3,0.9,28.6,0.2,0.9,23.1,0.2,0.9,20.0,0.7,1.8,38.8,2005
5,AMBER JACOBS,MIN,24,0.3,0.7,45.8,0.0,0.2,20.0,0.2,0.7,36.4,0.2,0.3,60.0,0.2,0.3,66.7,0.5,1.6,33.3,2005
6,AMISHA CARTER,NYL,25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0,2005
7,ANDREA STINSON,DET,38,0.2,0.3,66.7,0.1,0.4,20.0,0.1,0.1,50.0,0.4,0.6,66.7,0.0,0.0,0.0,0.0,1.0,0.0,2005
8,ANGELINA WILLIAMS,PHO,22,0.3,0.7,36.4,0.0,0.2,0.0,0.4,1.1,38.9,0.0,0.7,0.0,0.3,0.7,50.0,0.3,1.1,22.2,2005
9,ANN WAUTERS,NYL,25,3.3,5.1,63.6,1.4,3.0,45.2,0.7,1.8,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100,2005
10,ANNA DEFORGE,PHO,30,1.0,1.5,68.0,0.2,0.9,23.3,1.6,4.2,38.6,0.1,0.1,66.7,0.4,0.9,43.8,1.2,3.8,30.4,2005
11,ASHLEY BATTLE,SEA,24,0.5,0.5,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,2005
