,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,A'QUONESIA FRANKLIN,SEA,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-,-,-,0.0,2.0,0.0,2009
1,ALANA BEARD,WAS,28,2.5,3.8,65.8,0.6,1.5,37.5,2.0,5.4,36.7,0.1,0.3,28.6,0.3,0.8,40.0,0.8,2.8,28.2,2009
2,ALEXIS HORNBUCKLE,DET,24,0.9,1.6,58.8,0.1,0.7,17.4,0.7,2.3,29.3,0.2,0.4,36.4,0.4,0.6,66.7,0.5,1.5,37.8,2009
3,ALLIE QUIGLEY,PHO,24,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.3,50.0,-,-,-,0.0,1.0,0.0,1.0,1.5,66.7,2009
4,AMBER HOLT,CON,25,0.6,1.5,40.0,0.3,0.6,50.0,0.3,1.0,25.0,0.2,0.7,28.6,0.2,0.7,33.3,0.4,1.5,24.1,2009
5,ANETE JEKABSONE-ZOGOTA,CON,26,0.8,1.4,56.4,0.3,0.9,36.0,1.0,2.6,38.0,0.4,0.6,57.1,0.1,0.5,16.7,1.2,3.2,38.0,2009
6,ANGEL MCCOUGHTRY,ATL,23,2.2,3.5,62.5,0.9,1.9,47.6,1.2,3.0,39.2,0.0,0.1,0.0,0.0,0.2,0.0,0.5,1.4,33.3,2009
7,ANN WAUTERS,SAN,29,2.9,4.4,65.3,1.3,2.4,53.7,1.2,2.7,43.5,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5,20.0,2009
8,ANNA DEFORGE,DET,34,0.1,0.1,100.0,0.0,0.3,0.0,0.6,1.6,36.4,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,2009
9,ANNA MONTANANA,MIN,29,0.3,0.6,50.0,0.2,0.4,50.0,0.1,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4,33.3,2009
10,ARMINTIE HERRINGTON,ATL,25,0.6,1.1,56.8,0.1,0.5,26.7,0.2,1.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
11,ASHLEY BATTLE,NYL,28,1.0,2.0,52.2,0.1,0.6,26.3,0.1,0.5,25.0,0.2,0.6,30.8,0.2,0.5,44.4,0.4,0.9,45.8,2009
12,ASHLEY ROBINSON,SEA,27,0.1,0.2,40.0,0.1,0.3,33.3,0.0,0.5,7.7,0.0,0.1,0.0,-,-,-,0.0,0.0,0.0,2009
13,ASHLEY WALKER,SEA,23,0.3,0.9,33.3,0.2,0.8,25.0,0.0,0.2,0.0,0.0,0.0,0.0,-,-,-,0.3,2.0,16.7,2009
14,ASJHA JONES,CON,29,2.3,3.7,62.4,1.0,3.1,33.8,3.3,7.3,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,31.3,2009
15,BARBARA FARRIS,DET,33,0.2,0.2,66.7,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
16,BARBARA TURNER,CON,26,0.3,1.4,20.0,0.3,0.3,100,0.0,0.3,0.0,0.2,0.7,25.0,0.0,1.0,0.0,0.4,2.3,18.8,2009
17,BECKY HAMMON,SAN,33,2.5,3.9,63.6,0.6,1.9,33.9,0.9,2.0,44.3,0.3,0.8,42.9,0.2,0.6,40.0,2.0,5.6,36.4,2009
18,BELINDA SNELL,SAN,29,0.3,0.6,47.1,0.2,0.5,40.0,0.2,0.5,38.5,0.3,0.8,33.3,0.1,0.3,25.0,1.3,4.3,30.8,2009
19,BERNICE MOSBY,WAS,26,0.3,0.5,46.2,0.2,0.7,33.3,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2009
20,BETTY LENNOX,LAS,33,1.0,1.7,60.0,0.7,1.1,58.8,1.2,3.4,35.6,0.3,0.6,50.0,0.3,0.6,50.0,0.5,2.1,22.0,2009
21,BRIANN JANUARY,IND,23,0.4,1.2,34.1,0.1,0.5,25.0,0.6,1.4,42.6,0.2,0.7,23.5,0.3,0.4,75.0,0.6,2.1,27.7,2009
22,BRITANY MILLER,DET,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,2009
23,BROOKE SMITH,PHO,26,0.3,0.4,66.7,0.1,0.2,33.3,0.0,0.1,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2009
24,BROOKE WYCKOFF,CHI,30,0.2,0.3,71.4,0.0,0.1,0.0,0.1,0.5,23.1,0.1,0.2,33.3,0.2,0.6,33.3,0.6,1.6,41.0,2009
25,CAMILLE SMITH,SEA,25,2.3,3.8,60.2,0.9,2.1,41.7,0.3,1.0,28.6,0.0,0.1,50.0,0.0,0.0,0.0,0.2,0.8,23.1,2009
26,CANDACE PARKER,LAS,24,3.4,5.3,63.9,0.8,2.2,38.9,0.8,2.4,33.9,0.0,0.0,100,0.0,0.1,0.0,0.2,0.9,18.2,2009
27,CANDICE DUPREE,CHI,25,2.9,5.3,54.4,1.1,2.7,42.9,1.3,4.2,30.1,0.0,0.1,50.0,0.1,0.1,100,0.7,1.9,36.2,2009
28,CANDICE WIGGINS,MIN,23,1.8,3.6,49.2,0.6,1.8,34.4,0.4,1.4,26.1,0.3,0.7,41.2,0.1,0.7,14.3,1.1,3.3,32.7,2009
29,CAPPIE PONDEXTER,PHO,27,2.1,3.9,53.4,1.0,2.3,44.2,2.5,5.2,47.5,0.3,0.4,66.7,0.2,0.3,66.7,1.0,3.0,32.4,2009
30,CATHRINE KRAAYEVELD,NYL,28,0.9,1.9,43.9,0.1,0.5,31.3,0.3,1.1,28.9,0.0,0.1,0.0,0.1,0.4,20.0,1.7,3.9,43.9,2009
31,CHAMIQUE HOLDSCLAW,ATL,32,1.6,3.0,51.3,0.7,1.4,52.9,2.8,7.2,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.6,20.0,2009
32,CHANTE BLACK,CON,24,0.8,1.4,60.9,0.1,0.5,14.3,0.2,0.9,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2009
33,CHARDE HOUSTON,MIN,24,2.3,4.0,57.7,1.6,3.6,46.3,0.5,1.4,34.7,0.1,0.1,50.0,0.0,0.2,0.0,0.7,2.0,33.8,2009
34,CHASITY MELVIN,WAS,34,2.0,4.0,50.0,0.4,0.8,46.2,0.1,0.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
35,CHELSEA NEWTON,SEA,27,0.4,0.9,50.0,0.2,0.4,62.5,0.3,1.3,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,33.3,2009
36,CHEN NAN,CHI,27,0.7,1.2,54.8,0.6,1.2,51.6,0.5,1.3,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
37,CHERYL FORD,DET,29,2.6,4.9,53.1,0.3,1.3,26.3,0.4,1.5,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2009
38,CHRISTI THOMAS,MIN,27,0.0,0.5,0.0,0.1,0.4,25.0,0.0,0.5,0.0,0.0,0.0,0.0,-,-,-,0.0,1.2,0.0,2009
