,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,ADRIAN WILLIAMS-STRONG,MIN,30,0.8,1.7,50.0,0.4,1.0,40.6,0.6,1.5,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2006
1,AGNIESZKA BIBRZYCKA,SAN,24,0.9,1.3,71.4,0.5,1.1,44.4,0.9,2.4,38.2,0.0,0.4,0.0,0.5,1.1,50.0,1.5,4.4,35.0,2006
2,ALANA BEARD,WAS,25,3.0,4.7,64.2,0.8,1.7,47.3,2.3,5.0,44.7,0.2,0.5,30.0,0.2,0.5,41.7,0.9,2.6,36.3,2006
3,ALLISON FEASTER,CHA,31,0.0,0.1,33.3,0.0,0.0,0.0,0.1,0.4,15.4,0.2,0.7,28.6,0.0,0.2,0.0,0.4,1.8,25.0,2006
4,AMANDA LASSITER,CHI,28,0.7,1.1,60.0,0.2,0.6,36.8,0.5,1.6,31.4,0.4,0.9,43.8,0.3,1.0,33.3,1.1,3.6,31.3,2006
5,AMBER JACOBS,MIN,25,0.6,1.0,55.9,0.4,0.9,41.4,0.7,1.4,51.0,0.4,0.7,57.1,0.1,0.2,33.3,1.0,2.6,36.9,2006
6,AMBROSIA ANDERSON,NYL,23,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,2006
7,ANASTASIA KOSTAKI,HOU,29,0.3,0.5,52.9,0.1,0.2,40.0,0.0,0.2,20.0,0.0,0.1,0.0,0.0,0.6,0.0,0.3,1.1,24.0,2006
8,ANGELINA WILLIAMS,DET,23,0.2,0.4,44.4,0.3,0.6,44.4,0.2,0.8,23.5,0.0,0.1,0.0,0.3,0.3,100,0.1,0.5,16.7,2006
9,ANN STROTHER,PHO,23,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,50.0,1.0,2.3,42.9,0.0,0.0,0.0,0.3,1.0,33.3,2006
