,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,ADUT BULGAK,CHI,25,1.0,1.8,55.6,0.2,0.6,33.3,0.4,1.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,33.3,2017
1,AERIAL POWERS,DAL,24,0.8,1.7,45.0,0.4,2.0,20.8,1.1,2.7,40.6,0.0,0.1,0.0,0.1,0.1,100,1.0,3.3,30.0,2017
2,ALANA BEARD,LAS,36,1.5,2.3,64.6,0.2,0.5,44.4,0.9,2.3,40.3,0.0,0.1,50.0,0.1,0.2,60.0,0.1,0.4,16.7,2017
3,ALEX BENTLEY,CON,27,1.0,1.8,57.1,0.3,0.7,45.5,1.2,3.4,34.0,0.0,0.0,0.0,0.2,0.2,100,0.6,2.3,25.7,2017
4,ALEX MONTGOMERY,SAN,29,0.9,1.6,56.6,0.0,0.3,0.0,0.8,2.4,35.0,0.0,0.4,10.0,0.0,0.1,50.0,0.6,1.9,33.3,2017
5,ALEXIS JONES,MIN,24,0.4,1.0,39.3,0.1,0.3,25.0,0.1,0.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,37.9,2017
6,ALEXIS PETERSON,SEA,23,0.1,0.6,18.2,0.3,0.6,40.0,0.3,0.7,36.4,0.1,0.2,50.0,0.0,0.3,0.0,0.1,0.6,22.2,2017
7,ALEXIS PRINCE,PHO,24,0.2,0.2,75.0,0.2,0.6,30.0,0.2,0.6,27.3,0.0,0.1,0.0,0.0,0.2,0.0,0.3,0.9,35.7,2017
8,ALLIE QUIGLEY,CHI,32,1.2,1.5,80.4,0.8,1.4,61.9,1.6,3.6,45.9,0.2,0.5,46.2,0.1,0.2,50.0,2.2,5.1,43.0,2017
9,ALLISHA GRAY,DAL,23,2.2,3.7,60.8,0.6,2.4,27.2,0.5,2.1,23.9,0.0,0.3,11.1,0.1,0.2,33.3,0.9,3.0,31.4,2017
10,ALLISON HIGHTOWER,WAS,30,0.6,1.0,63.6,0.7,1.5,50.0,0.3,1.5,18.8,0.0,0.0,0.0,0.0,0.4,0.0,0.3,1.2,23.1,2017
11,ALYSHA CLARK,SEA,30,1.7,2.5,69.1,0.6,1.2,55.3,0.2,0.5,43.8,0.2,0.5,41.2,0.1,0.3,50.0,0.3,1.3,26.2,2017
12,ALYSSA THOMAS,CON,26,4.5,7.2,62.4,1.0,3.1,33.0,0.2,0.8,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2017
13,AMANDA ZAHUI B,NYL,24,0.3,0.5,64.3,0.2,0.3,66.7,0.3,1.2,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,25.0,2017
14,AMBER HARRIS,CHI,30,0.4,0.6,66.7,0.1,0.2,50.0,0.2,0.6,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2017
15,AMERYST ALSTON,NYL,24,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,-,-,-,-,-,-,0.0,0.0,0.0,2017
16,ANEIKA MORELLO,ATL,32,0.3,0.3,100.0,0.2,0.2,100.0,0.6,0.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
17,ANGEL ROBINSON,PHO,31,1.1,1.9,58.6,0.3,0.4,80.0,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100.0,2017
18,ASIA TAYLOR,WAS,26,0.4,1.0,40.9,0.1,0.4,14.3,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2017
19,BASHAARA GRAVES,CHI,24,1.0,1.5,66.7,0.0,0.1,0.0,0.1,0.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
20,BREANNA LEWIS,DAL,24,0.1,0.5,14.3,0.0,0.4,0.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
21,BREANNA STEWART,SEA,23,2.8,4.4,64.8,1.4,2.8,50.0,1.0,3.0,33.7,0.1,0.2,50.0,0.0,0.1,0.0,1.4,3.7,37.7,2017
22,BRIA HARTLEY,NYL,25,1.2,2.2,54.1,0.1,0.5,27.8,0.5,1.1,44.4,0.1,0.3,42.9,0.1,0.4,33.3,0.9,2.7,34.4,2017
23,BRIA HOLMES,ATL,24,1.6,3.3,50.0,0.3,0.8,33.3,0.6,1.8,35.1,0.0,0.2,20.0,0.1,0.1,100,0.3,1.5,17.0,2017
24,BRIANN JANUARY,IND,31,0.8,1.3,62.5,0.2,0.6,35.7,1.5,4.1,37.3,0.1,0.3,33.3,0.0,0.1,50.0,0.6,1.9,31.3,2017
25,BRIANNA KIESEL,ATL,24,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,11.1,2017
26,BRIONNA JONES,CON,22,1.0,1.5,63.6,0.1,0.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
27,BRITTANY BOYD-JONES,NYL,25,2.5,4.5,55.6,1.0,1.0,100.0,1.0,1.5,66.7,0.0,0.0,0.0,-,-,-,0.0,0.5,0.0,2017
28,BRITTNEY GRINER,PHO,27,4.1,6.0,68.2,2.2,3.9,55.4,1.7,3.9,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
29,BRITTNEY SYKES,ATL,24,2.5,4.6,53.6,0.4,1.0,35.3,1.2,3.6,32.8,0.1,0.2,66.7,0.2,0.2,80.0,0.9,3.1,29.3,2017
30,CAMILLE SMITH,PHO,33,1.6,3.1,53.8,0.5,1.4,39.1,0.3,0.8,42.3,0.0,0.1,50.0,0.0,0.0,0.0,0.4,1.6,21.4,2017
31,CANDACE PARKER,LAS,32,3.1,4.7,66.5,1.1,1.9,54.7,0.8,2.7,28.1,0.1,0.3,50.0,0.1,0.1,100,1.2,3.5,33.3,2017
32,CANDICE DUPREE,IND,33,1.5,2.2,68.9,1.6,3.0,54.0,3.3,7.8,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2017
33,CAPPIE PONDEXTER,CHI,35,1.6,3.2,51.1,0.1,0.8,8.3,1.7,4.8,34.8,0.1,0.3,44.4,0.0,0.0,100,0.1,0.9,16.0,2017
34,CAROLYN SWORDS,SEA,28,0.8,1.0,73.3,0.1,0.5,28.6,0.1,0.4,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
35,CAYLA GEORGE,PHO,29,0.3,0.6,55.6,0.0,0.1,25.0,0.5,1.3,41.5,0.0,0.1,0.0,0.1,0.4,20.0,0.4,1.3,30.8,2017
36,CECILIA ZANDALASINI,MIN,22,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.0,33.3,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2017
37,CHELSEA GRAY,LAS,25,1.9,3.1,61.3,0.6,1.6,40.0,1.3,2.7,47.8,0.1,0.1,100,0.1,0.2,50.0,1.4,3.0,46.5,2017
38,CHELSEA HOPKINS,ATL,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
39,CHEYENNE PARKER-TYUS,CHI,25,1.2,2.1,56.3,0.2,0.4,44.4,0.0,0.4,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2017
