Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
ALANA BEARD,LAS,31,1.4,2.6,54.0,0.3,1.0,30.3,1.4,3.2,42.1,0.1,0.2,33.3,0.1,0.3,50.0,0.9,2.3,40.0
ALEX MONTGOMERY,NYL,24,0.4,0.8,55.0,0.1,0.2,40.0,0.1,0.6,18.8,0.1,0.3,50.0,0.1,0.4,33.3,0.3,1.0,33.3
ALEXIS GRAY-LAWSON,PHO,26,0.8,1.4,61.5,0.1,0.8,13.3,0.3,1.2,26.1,0.0,0.3,0.0,0.0,0.2,0.0,0.3,1.8,18.2
ALEXIS HORNBUCKLE,PHO,27,0.8,1.7,47.5,0.4,1.4,27.1,0.6,2.1,27.1,0.1,0.4,33.3,0.1,0.2,33.3,0.7,2.0,32.8
ALLISON HIGHTOWER,CON,25,1.0,1.8,54.8,0.6,2.0,31.9,0.5,1.4,32.7,0.1,0.4,25.0,0.1,0.3,33.3,0.4,1.7,22.0
ALYSHA CLARK,SEA,25,0.6,1.0,63.6,0.2,0.4,55.6,0.0,0.1,50.0,0.5,0.8,66.7,0.0,0.2,0.0,0.4,0.9,46.7
AMBER HARRIS,MIN,25,0.6,1.0,59.3,0.2,0.6,25.0,0.3,1.0,32.1,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,41.2
AMBER HOLT,TUL,28,0.8,1.3,66.7,0.2,0.5,41.7,0.6,1.8,34.9,0.4,0.8,50.0,0.1,0.3,50.0,0.4,1.6,27.3
ANDREA RILEY,PHO,24,0.2,0.5,40.0,0.0,0.5,0.0,0.2,0.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7,5.9
ANEIKA MORELLO,ATL,27,1.1,1.9,60.0,0.5,1.4,37.5,0.2,0.8,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGEL MCCOUGHTRY,ATL,26,3.8,5.8,64.3,0.8,2.5,31.1,1.7,4.7,35.7,0.3,0.5,60.0,0.0,0.0,0.0,1.0,3.3,32.1
ANN WAUTERS,SEA,32,2.1,3.3,62.7,0.8,2.0,39.2,0.6,1.2,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,45.0
APRIL SYKES,LAS,22,0.3,0.6,52.9,0.1,0.3,33.3,0.1,0.5,23.1,0.2,0.6,40.0,0.0,0.3,0.0,0.7,1.7,39.0
ARMINTIE HERRINGTON,ATL,28,2.4,3.5,69.5,0.2,1.2,20.0,0.5,1.5,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
ASHLEY ROBINSON,WAS,30,0.9,1.4,64.4,0.4,1.3,27.9,0.2,0.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASJHA JONES,CON,32,1.7,3.1,54.1,0.9,2.1,41.5,2.4,5.8,41.7,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.6,36.4
AVERY WARLEY-TALBERT,PHO,26,1.1,1.8,58.8,0.1,0.5,20.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BECKY HAMMON,SAN,36,1.5,2.7,56.7,0.5,1.2,36.6,0.4,1.5,29.2,0.1,0.4,33.3,0.1,0.3,28.6,2.2,5.1,44.3
BRIANA BUTLER,PHO,22,0.5,1.3,35.7,0.1,0.5,20.0,0.4,1.4,26.7,0.3,0.5,50.0,0.3,0.5,66.7,0.9,2.7,33.3
BRIANN JANUARY,IND,26,0.8,2.0,41.9,0.2,0.8,29.2,0.6,1.7,38.5,0.4,0.7,52.9,0.1,0.3,50.0,1.1,2.7,41.0
CAMILLE SMITH,SEA,28,2.5,4.4,56.4,0.8,2.2,37.8,0.2,0.5,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,33.3
CANDACE PARKER,LAS,27,3.9,5.9,66.7,1.3,3.1,43.6,1.1,3.6,29.4,0.0,0.2,0.0,0.0,0.1,0.0,0.6,1.6,35.8
CANDICE DUPREE,PHO,28,2.6,3.6,72.3,1.2,2.8,43.2,1.6,4.8,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANDICE WIGGINS,MIN,26,0.3,0.8,37.0,0.1,0.4,15.4,0.0,0.3,9.1,0.5,1.0,54.5,0.4,0.5,85.7,1.2,3.4,35.1
CAPPIE PONDEXTER,NYL,30,2.7,4.6,59.2,0.8,2.2,36.0,2.2,5.3,42.5,0.2,0.3,50.0,0.0,0.0,100,1.4,4.4,32.0
CAROLYN SWORDS,CHI,23,1.4,2.1,66.7,0.2,0.7,31.6,0.1,0.3,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATHRINE KRAAYEVELD,ATL,31,0.3,0.5,60.0,0.1,0.3,33.3,0.3,0.7,40.9,0.4,0.8,57.1,0.1,0.3,33.3,1.0,2.6,39.2
