,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,A'JA WILSON,LVA,25,3.0,4.6,64.9,2.2,5.7,38.7,1.3,4.3,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2021
1,AALIYAH WILSON,IND,23,0.1,0.4,20.0,0.0,0.1,0.0,0.3,1.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,14.3,2021
2,AARI MCDONALD,ATL,23,0.5,0.9,53.8,0.2,0.7,31.8,0.1,0.7,13.6,0.0,0.0,100,0.0,0.3,16.7,1.0,3.1,31.9,2021
3,AERIAL POWERS,MIN,28,0.9,2.0,46.4,1.3,2.7,47.4,1.4,3.0,45.2,0.0,0.2,0.0,0.1,0.1,100,0.7,2.3,31.3,2021
4,ALANNA SMITH,PHO,25,0.2,0.5,42.9,0.0,0.2,0.0,0.1,0.2,33.3,0.0,0.4,0.0,0.0,0.0,0.0,0.2,1.1,22.2,2021
5,ALEAH GOODMAN,CON,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0,2021
6,ALLIE QUIGLEY,CHI,36,0.4,0.7,61.1,0.9,2.1,41.8,1.3,3.0,42.3,0.2,0.3,66.7,0.2,0.3,66.7,1.8,4.1,43.0,2021
7,ALLISHA GRAY,DAL,27,1.7,2.7,62.7,0.8,1.8,43.5,0.6,1.9,29.8,0.1,0.1,100,0.0,0.0,100,1.1,3.1,34.6,2021
8,ALYSSA THOMAS,CON,30,2.0,4.0,50.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
9,AMANDA ZAHUI B,LAS,28,1.4,2.0,72.9,0.3,1.1,31.3,0.8,1.7,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,28.3,2021
10,ANGEL MCCOUGHTRY,LVA,35,-,-,-,-,-,-,0.0,1.0,0.0,-,-,-,-,-,-,-,-,-,2021
11,ARELLA GUIRANTES,LAS,24,0.1,0.3,37.5,0.2,1.0,16.0,0.5,1.4,37.1,0.1,0.1,50.0,0.1,0.2,50.0,0.2,0.9,17.4,2021
12,ARIEL ATKINS,WAS,25,0.7,1.0,64.5,1.0,2.4,41.7,1.5,3.6,41.3,0.1,0.3,50.0,0.2,0.3,71.4,1.9,5.6,33.7,2021
13,ARIKE OGUNBOWALE,DAL,25,1.8,3.7,50.4,0.8,2.7,30.2,1.1,3.3,32.7,0.1,0.2,60.0,0.0,0.1,0.0,2.4,6.4,37.6,2021
14,ASTOU NDOUR-FALL,CHI,27,1.7,2.9,57.1,0.3,0.7,38.5,0.1,0.7,7.7,0.1,0.3,25.0,0.0,0.1,0.0,0.4,1.5,24.1,2021
15,AWAK KUIER,DAL,20,0.3,0.5,71.4,0.2,0.8,27.3,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,16.7,2021
16,AZURÁ STEVENS,CHI,26,1.7,2.6,64.6,0.5,1.1,47.1,0.3,0.7,36.4,0.0,0.0,0.0,0.0,0.3,16.7,0.5,1.3,36.8,2021
17,BEATRICE MOMPREMIER,CON,25,0.6,1.2,50.0,0.2,0.2,100,0.1,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
18,BELLA ALARIE,DAL,24,1.0,1.5,65.9,0.1,0.5,14.3,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2021
19,BERNADETT HATÁR,IND,27,0.9,1.3,66.7,0.4,1.0,42.9,0.7,1.9,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
20,BETNIJAH LANEY-HAMILTON,NYL,28,2.4,3.8,65.0,1.1,2.8,40.4,1.7,4.1,41.7,0.1,0.4,23.1,0.1,0.1,75.0,0.9,2.9,30.4,2021
21,BLAKE DIETRICK,ATL,28,0.3,0.6,60.0,0.0,0.3,0.0,0.0,0.3,0.0,0.2,0.4,50.0,0.0,0.2,0.0,0.4,1.4,30.8,2021
22,BREANNA STEWART,SEA,27,2.4,3.9,63.0,1.7,4.1,41.7,1.1,2.7,40.0,0.0,0.1,0.0,0.0,0.1,33.3,1.7,5.0,33.8,2021
23,BRIA HARTLEY,PHO,29,0.8,1.2,66.7,0.0,0.3,0.0,0.2,0.2,100.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,1.0,66.7,2021
24,BRIA HOLMES,LVA,28,1.2,2.2,53.7,0.0,0.6,0.0,0.1,0.5,10.0,0.0,0.1,0.0,0.0,0.1,0.0,0.4,1.6,25.8,2021
25,BRIANN JANUARY,CON,35,0.3,0.6,56.3,0.2,0.6,38.9,1.0,2.1,45.2,0.0,0.1,25.0,0.0,0.0,0.0,0.9,2.2,40.0,2021
26,BRIANNA TURNER,PHO,25,2.9,4.8,60.8,0.5,1.2,40.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
27,BRIDGET CARLETON,MIN,25,0.5,0.8,55.6,0.2,0.6,27.8,0.3,0.6,44.4,0.3,0.3,77.8,0.1,0.3,33.3,0.6,1.8,31.0,2021
28,BRIONNA JONES,CON,26,4.3,6.5,65.7,1.1,2.6,43.9,0.7,1.5,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2021
29,BRITTANY BOYD-JONES,CHI,29,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,2021
30,BRITTNEY GRINER,PHO,31,4.0,5.2,76.4,2.4,5.0,47.7,1.8,3.9,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,44.4,2021
31,BRITTNEY SYKES,LAS,28,1.7,2.8,60.4,0.8,2.3,37.5,0.7,2.5,27.8,0.0,0.2,16.7,0.1,0.1,50.0,0.3,1.0,25.8,2021
32,CANDACE PARKER,CHI,36,2.6,3.9,66.3,1.2,2.7,43.5,0.3,1.3,20.7,0.0,0.1,50.0,0.0,0.0,0.0,1.0,3.0,32.9,2021
33,CANDICE DUPREE,ATL,37,0.8,1.2,67.7,0.9,1.9,47.9,1.1,3.2,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,14.3,2021
34,CHARLI COLLIER,DAL,22,0.6,1.3,48.6,0.5,1.2,40.0,0.4,0.8,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
35,CHELSEA DUNGEE,DAL,25,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,20.0,2021
36,CHELSEA GRAY,LVA,29,0.9,1.6,58.0,1.1,2.4,43.6,1.8,4.0,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,40.3,2021
37,CHELSEY PERRY,IND,23,0.2,0.4,50.0,0.2,0.7,25.0,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,22.2,2021
38,CHENNEDY CARTER,ATL,23,3.4,5.5,61.7,1.2,2.5,48.1,0.8,3.3,25.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.7,12.5,2021
39,CHEYENNE PARKER-TYUS,ATL,29,1.7,2.8,59.5,0.5,2.0,26.9,0.8,1.4,61.1,0.0,0.1,0.0,0.2,0.2,100,0.6,2.1,29.6,2021
40,CHINEY OGWUMIKE,LAS,30,1.6,2.3,68.8,0.6,2.9,20.0,0.3,1.3,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,75.0,2021
41,CIERRA BURDICK,SEA,28,0.4,0.5,66.7,0.1,0.2,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
42,COURTNEY VANDERSLOOT,CHI,33,1.5,2.6,56.6,0.6,1.4,44.4,0.8,2.1,39.4,0.1,0.1,50.0,0.1,0.1,100,1.0,3.0,33.3,2021
43,COURTNEY WILLIAMS,ATL,28,0.8,1.3,58.5,1.2,2.2,52.9,4.0,10.4,38.4,0.1,0.3,33.3,0.0,0.1,33.3,1.1,2.8,39.3,2021
44,CRYSTAL BRADFORD,ATL,28,1.4,2.4,58.6,0.5,1.3,36.7,0.3,0.9,36.4,0.0,0.1,0.0,0.3,0.5,66.7,1.0,2.9,32.9,2021
45,CRYSTAL DANGERFIELD,MIN,24,0.5,1.3,36.6,0.9,2.0,44.4,0.5,1.4,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.4,37.3,2021
46,DAMIRIS DANTAS,MIN,29,0.5,1.1,48.1,0.3,0.9,38.1,0.5,1.0,44.0,0.1,0.2,75.0,0.2,0.2,75.0,1.2,3.9,29.8,2021
47,DANA EVANS,CHI,23,0.1,0.3,28.6,0.1,0.5,28.6,0.1,0.4,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,40.0,2021
48,DANIELLE ROBINSON,IND,33,2.0,3.7,54.5,0.6,1.7,37.5,0.8,2.4,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,23.8,2021
49,DEWANNA BONNER,CON,34,1.8,3.1,60.2,0.6,1.6,36.0,1.2,3.6,32.8,0.0,0.1,0.0,0.0,0.2,16.7,1.3,4.0,33.6,2021
50,DEARICA HAMBY,LVA,28,2.8,4.1,66.7,1.1,2.1,51.7,0.2,0.6,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,25.7,2021
51,DESTINY SLOCUM,LVA,24,0.1,0.2,50.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,50.0,0.3,0.5,66.7,0.1,0.6,20.0,2021
52,DIDI RICHARDS,NYL,23,0.4,0.8,52.2,0.1,0.4,36.4,0.0,0.3,12.5,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.6,52.6,2021
53,DIJONAI CARRINGTON,CON,24,0.9,1.7,51.2,0.1,0.7,18.8,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.7,17.6,2021
54,DIAMOND DESHIELDS,CHI,27,1.8,3.2,56.9,0.8,1.9,40.0,0.5,2.2,23.9,0.1,0.3,36.4,0.0,0.2,25.0,0.6,2.0,29.7,2021
55,DIANA TAURASI,PHO,40,0.6,0.9,66.7,0.6,1.7,33.3,0.6,1.8,34.5,0.3,0.4,83.3,0.0,0.1,0.0,2.3,7.1,31.6,2021
56,ELENA DELLE DONNE,WAS,32,1.0,1.3,75.0,0.3,2.0,16.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,60.0,2021
57,ELIZABETH WILLIAMS,ATL,29,1.9,3.5,55.9,0.5,1.3,42.5,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
58,EMMA CANNON,IND,33,1.3,2.2,61.0,0.2,0.6,25.0,0.5,1.2,41.7,0.0,0.1,0.0,0.0,0.1,0.0,0.4,1.2,31.8,2021
59,EPIPHANNY PRINCE,SEA,34,0.3,0.7,42.1,0.4,1.1,35.5,0.5,1.1,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7,51.0,2021
60,ERICA MCCALL,WAS,26,1.2,1.7,70.0,0.2,0.8,22.2,0.2,0.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
61,ERICA WHEELER,LAS,31,2.1,3.8,54.1,0.8,2.3,34.7,1.1,3.0,37.1,0.0,0.1,0.0,0.0,0.0,100,1.0,2.8,36.4,2021
62,EZI MAGBEGOR,SEA,22,1.8,3.0,60.0,0.7,1.5,43.5,0.1,0.5,14.3,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.2,71.4,2021
63,HALEY GORECKI,PHO,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.5,0.0,2021
64,ISABELLE HARRISON,DAL,28,3.1,4.5,68.5,1.2,2.6,45.2,0.3,1.4,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
65,JACKIE YOUNG,LVA,24,1.0,1.3,78.6,1.8,3.3,53.3,1.9,4.3,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,26.3,2021
66,JANTEL LAVENDER,IND,33,1.0,1.9,50.0,0.4,0.9,41.7,1.3,3.4,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,22.2,2021
67,JASMINE THOMAS,CON,32,1.6,2.7,58.8,0.3,1.3,25.0,0.5,2.3,20.6,0.2,0.4,45.5,0.0,0.0,0.0,1.2,3.1,39.8,2021
68,JASMINE WALKER,LAS,24,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,2.0,0.0,2021
69,JAZMINE JONES,NYL,25,0.5,1.4,36.8,0.6,1.7,34.8,0.2,0.7,27.8,0.1,0.1,100,0.0,0.1,0.0,0.6,1.6,37.2,2021
70,JESSICA BRELAND,IND,34,0.9,1.8,50.0,0.5,1.5,35.0,0.9,3.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,31.3,2021
71,JESSICA SHEPARD,MIN,25,0.5,0.9,60.0,0.1,0.4,14.3,0.1,0.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,8.3,2021
72,JEWELL LOYD,SEA,28,1.5,2.7,55.3,1.1,2.6,42.7,1.5,3.8,38.7,0.2,0.4,54.5,0.1,0.2,60.0,1.8,5.0,36.4,2021
73,JISU PARK,LVA,23,0.4,0.7,56.3,0.2,0.5,33.3,0.2,0.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2021
74,JILLIAN ALLEYNE,MIN,27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,2021
75,JONQUEL JONES,CON,28,3.7,5.1,71.7,1.1,2.4,46.9,0.8,2.0,38.2,0.1,0.1,66.7,0.0,0.0,0.0,1.5,4.2,35.4,2021
