,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,ADIA BARNES,SEA,26,1.0,1.8,56.3,0.2,1.0,18.5,0.2,1.2,12.5,0.1,0.1,100,0.0,0.0,0.0,0.0,0.2,0.0,2002
1,ADRIAN WILLIAMS-STRONG,PHO,26,1.4,2.5,56.8,0.7,1.5,44.9,0.3,1.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
2,ADRIANA MOISES PINTO,PHO,24,1.0,1.9,52.5,0.2,0.4,50.0,0.2,0.7,21.7,0.0,0.4,0.0,0.3,0.6,50.0,0.6,2.0,29.3,2002
3,ADRIENNE GOODSON,UTA,36,3.6,6.4,56.4,1.1,2.8,38.2,1.0,3.1,32.7,0.1,0.4,33.3,0.0,0.0,0.0,0.3,1.0,28.0,2002
4,ADRIENNE JOHNSON,ORL,29,0.3,0.4,75.0,0.2,0.6,31.6,1.1,2.8,39.3,0.3,0.9,35.7,0.2,0.5,42.9,0.4,1.5,25.0,2002
5,ALICIA THOMPSON,IND,26,0.4,0.8,50.0,0.3,0.6,50.0,1.1,3.1,35.7,0.0,0.2,0.0,0.0,0.3,0.0,0.5,1.7,28.0,2002
6,ALISA BURRAS,POR,28,3.2,4.6,69.9,0.4,1.1,38.2,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
7,ALLISON FEASTER,CHA,27,0.5,1.2,39.5,0.1,0.5,12.5,0.6,1.5,38.8,0.8,1.5,50.0,0.3,0.9,29.4,1.7,4.2,41.0,2002
8,AMANDA LASSITER,SEA,24,0.3,0.5,62.5,0.2,0.9,26.9,0.3,0.9,37.0,0.1,0.6,14.3,0.1,0.6,20.0,0.7,2.3,30.5,2002
9,AMBER HALL,POR,25,0.4,0.9,44.4,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,2002
10,AMY HERRIG,UTA,26,0.3,0.5,64.3,0.4,0.8,45.0,0.2,0.7,26.3,-,-,-,-,-,-,0.0,0.0,0.0,2002
11,ANDREA GARDNER,UTA,23,0.5,1.1,47.1,0.1,0.4,16.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
12,ANDREA NAGY,SAC,31,0.2,0.7,23.5,0.1,0.3,33.3,0.1,0.3,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,21.4,2002
13,ANDREA STINSON,CHA,35,2.3,3.7,63.6,0.8,2.3,37.5,0.9,2.8,31.5,0.1,0.3,33.3,0.3,0.8,33.3,0.8,1.8,43.6,2002
14,ANN WAUTERS,CLE,22,3.2,4.6,69.5,0.9,2.5,34.3,0.3,0.6,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
15,ANNIE BURGESS,WAS,34,0.3,1.0,36.0,0.2,0.5,35.7,0.5,1.1,42.9,0.1,0.2,50.0,0.1,0.2,50.0,0.4,1.2,33.3,2002
16,ASJHA JONES,WAS,22,0.8,1.5,50.0,1.0,2.3,44.4,1.1,3.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,20.0,2002
17,ASTOU NDIAYE-DIATTA,DET,29,1.7,2.6,65.5,1.2,2.7,44.2,1.0,3.1,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
18,AUDREY SAURET,WAS,26,0.5,0.7,70.0,0.1,0.3,20.0,0.1,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,20.0,2002
19,AYANA WALKER,DET,23,1.0,2.1,49.3,0.2,0.7,31.8,0.7,2.2,30.4,0.1,0.1,100,0.1,0.3,33.3,0.0,0.3,0.0,2002
20,BARBARA FARRIS,DET,26,0.8,1.7,49.1,0.4,0.8,44.0,0.4,1.2,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
21,BECKY HAMMON,NYL,26,0.8,1.6,54.0,0.1,0.3,25.0,0.4,0.8,56.0,0.3,0.5,62.5,0.3,0.9,38.5,1.1,3.1,36.6,2002
22,BEGONA GARCIA,DET,26,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,2.0,50.0,2002
23,BERNADETTE NGOYISA,NYL,20,0.1,0.3,50.0,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,2002
24,BETTY LENNOX,MIA,26,0.8,2.0,38.1,0.7,1.6,43.1,0.7,2.8,26.4,0.7,1.9,37.8,0.6,1.2,50.0,1.0,3.5,29.5,2002
25,BRANDI MCCAIN,CLE,23,0.1,0.2,42.9,0.0,0.3,0.0,0.0,0.4,7.7,0.1,0.3,50.0,0.3,1.3,22.2,0.7,1.8,38.3,2002
26,BRANDY REED,PHO,26,0.8,1.2,66.7,0.4,1.2,33.3,1.8,4.8,37.5,-,-,-,-,-,-,0.0,1.3,0.0,2002
27,BRIDGET PETTIS,IND,32,0.4,0.8,56.0,0.1,0.4,33.3,0.3,0.8,40.7,0.2,0.3,50.0,0.0,0.5,0.0,0.3,1.7,18.9,2002
28,BROOKE WYCKOFF,ORL,23,0.3,0.5,47.1,0.1,0.3,37.5,0.2,0.6,30.0,0.1,0.5,16.7,0.2,0.2,66.7,0.5,1.7,26.8,2002
29,CAMILLE COOPER,NYL,24,0.2,0.4,55.6,0.3,0.8,33.3,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
30,CARLA MCGHEE,ORL,35,1.0,1.5,66.7,0.0,0.5,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0,2002
31,CAROLYN MOOS,MIA,25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,2002
32,CAROLYN YOUNG,POR,33,0.4,0.9,41.2,0.2,1.1,15.8,0.3,0.8,37.5,0.0,0.0,0.0,1.0,1.0,100,0.5,1.2,42.9,2002
33,CASS BAUER-BILODEAU,SAC,31,0.4,0.9,40.9,0.1,0.7,18.8,0.2,0.8,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
34,CHAMIQUE HOLDSCLAW,WAS,25,2.9,4.7,60.6,1.6,4.2,36.9,2.5,6.1,40.5,0.0,0.0,0.0,0.0,0.1,0.0,0.7,1.6,42.3,2002
35,CHARLOTTE SMITH,CHA,29,1.2,2.3,50.0,0.3,0.8,34.6,0.3,1.0,35.5,0.1,0.1,50.0,0.0,0.0,0.0,1.1,2.9,37.1,2002
36,CHASITY MELVIN,CLE,27,2.9,5.3,55.3,1.0,3.0,34.0,0.7,1.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,2002
37,CINTIA DOS SANTOS,ORL,28,0.7,1.2,53.1,0.1,0.4,22.2,0.3,0.4,63.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
38,CLARISSE MACHANGUANA,ORL,26,1.2,2.1,58.3,0.3,0.6,50.0,0.6,1.2,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
39,CLAUDIA NEVES,MIA,28,0.3,0.4,71.4,0.1,0.1,100.0,0.0,0.1,0.0,0.3,0.3,100,0.0,0.0,0.0,0.2,1.4,15.8,2002
40,CLAUDIA NEVES,MIA,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,1.0,0.0,2002
41,COCO MILLER,WAS,24,0.9,1.3,65.1,0.4,1.4,29.5,1.5,3.5,43.2,0.2,0.5,44.4,0.0,0.3,0.0,0.7,1.7,40.0,2002
42,COQUESE WASHINGTON,IND,32,0.3,0.6,45.0,0.0,0.3,9.1,0.3,1.2,29.7,0.3,0.5,60.0,0.0,0.6,0.0,0.8,1.8,43.2,2002
43,CRYSTAL ROBINSON,NYL,29,1.3,2.1,61.2,0.2,0.4,35.7,0.4,1.3,32.5,0.6,1.3,44.0,0.6,1.3,43.8,1.5,4.3,35.3,2002
44,DANIELLE CROCKROM,UTA,22,0.3,0.6,50.0,0.1,0.6,25.0,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2002
45,DANIELLE MCCULLEY,SEA,28,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2002
46,DAVALYN CUNNINGHAM,ORL,23,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.3,0.0,-,-,-,0.0,0.0,0.0,-,-,-,2002
47,DAWN STALEY,CHA,33,0.8,2.3,36.5,0.1,0.6,20.0,0.7,1.7,38.2,0.1,0.3,50.0,0.1,0.7,14.3,1.0,2.5,41.4,2002
48,DELISHA MILTON-JONES,LAS,28,1.8,2.9,62.0,0.8,1.7,50.0,0.8,2.3,36.0,0.2,0.4,40.0,0.0,0.0,0.0,0.6,1.5,42.2,2002
