,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes,Year
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A'JA WILSON,LVA,32,31.9,105.6,96.2,15.9,2.13,14.1,6.4,20.9,14.1,6.6,44.5,53.0,25.7,1020.8,2021
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ARIKE OGUNBOWALE,DAL,32,31.4,101.0,104.6,19.0,1.53,13.9,2.1,8.6,5.1,9.1,46.0,51.5,27.4,1004.8,2021
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,BEATRICE MOMPREMIER,CON,32,8.6,89.6,94.1,4.5,0.39,8.3,9.9,19.4,14.4,21.4,49.1,48.9,12.2,275.2,2021
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,BETNIJAH LANEY-HAMILTON,NYL,32,33.7,96.9,104.3,29.0,1.4,21.1,2.6,9.2,6.1,15.1,48.9,53.2,25.4,1078.4,2021
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,BRIANNA TURNER,PHO,32,31.1,104.8,97.9,8.9,1.19,17.7,8.3,20.5,14.9,14.8,55.4,57.8,11.7,995.2,2021
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,BRIDGET CARLETON,MIN,32,19.3,94.8,93.9,12.0,1.74,21.3,3.8,8.3,6.0,12.2,50.0,52.5,12.2,617.6,2021
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,BRIONNA JONES,CON,32,30.6,106.0,90.0,10.6,0.8,11.0,11.3,14.2,12.8,13.7,57.1,61.0,20.9,979.2,2021
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,BRITTNEY SYKES,LAS,32,29.4,93.0,93.9,13.4,1.56,16.3,3.9,12.1,7.9,10.5,42.4,47.4,17.3,940.8,2021
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,CHELSEA GRAY,LVA,32,28.9,106.5,97.0,30.1,2.15,30.5,1.7,7.7,4.9,14.2,49.5,51.9,20.2,924.8,2021
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,COURTNEY VANDERSLOOT,CHI,32,30.5,100.4,97.3,44.1,2.86,40.0,1.7,9.1,5.5,14.0,49.3,52.6,18.2,976.0,2021
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,COURTNEY WILLIAMS,ATL,32,34.4,98.5,103.2,20.2,2.21,17.0,3.8,16.4,9.6,7.7,45.3,46.5,24.3,1100.8,2021
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,DEWANNA BONNER,CON,32,31.9,106.3,91.8,18.5,1.59,17.2,2.3,19.1,10.8,10.8,44.9,52.4,23.4,1020.8,2021
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,DIAMOND DESHIELDS,CHI,32,26.9,97.1,96.5,15.1,1.25,15.1,1.5,11.1,6.4,12.1,43.1,49.9,21.1,860.8,2021
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,ELIZABETH WILLIAMS,ATL,32,23.8,95.5,102.7,7.6,1.46,15.6,7.9,12.7,10.2,10.7,51.6,52.4,11.8,761.6,2021
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,ERICA WHEELER,LAS,32,30.2,91.8,98.9,31.0,1.75,22.9,1.7,8.9,5.2,13.1,46.0,50.8,24.5,966.4,2021
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,JACKIE YOUNG,LVA,32,31.8,109.3,94.0,14.4,2.19,21.0,2.2,9.9,6.3,9.6,51.3,56.3,16.6,1017.6,2021
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,KAHLEAH COPPER,CHI,32,30.8,100.5,100.1,9.6,0.93,10.3,3.8,9.6,6.7,11.0,49.3,54.3,21.3,985.6,2021
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,KAYLA MCBRIDE,MIN,32,31.6,102.7,96.6,11.4,2.12,15.3,0.8,10.4,5.8,7.2,52.6,58.6,17.5,1011.2,2021
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,KELSEY MITCHELL,IND,32,33.1,97.0,106.2,14.3,1.23,11.9,1.9,6.1,3.9,9.7,50.2,53.7,24.0,1059.2,2021
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,KIA NURSE,PHO,32,26.1,101.3,100.6,10.9,1.17,13.8,1.8,10.9,6.6,11.9,46.7,50.6,18.7,835.2,2021
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,LINDSAY ALLEN,IND,32,17.8,95.3,110.6,28.6,3.1,32.7,1.5,7.6,4.4,10.5,47.4,51.7,15.0,569.6,2021
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,MARINA MABREY,DAL,32,24.2,102.4,102.8,22.1,1.38,16.4,2.8,13.6,7.9,11.9,48.6,51.4,25.9,774.4,2021
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,MICHAELA ONYENWERE,NYL,32,22.5,96.3,102.3,4.3,0.53,5.8,3.0,9.4,6.3,11.0,48.0,53.4,17.6,720.0,2021
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,NATISHA HIEDEMAN,CON,32,20.1,100.8,94.4,16.0,2.0,19.5,1.0,8.2,4.6,9.8,53.1,55.8,16.9,643.2,2021
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,NIA COFFEY,LAS,32,25.2,90.7,97.6,6.4,0.62,9.0,2.2,13.6,7.7,14.5,53.4,55.7,15.8,806.4,2021
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,RIQUNA WILLIAMS,LVA,32,26.0,104.7,95.8,9.2,2.43,14.7,0.7,8.2,4.7,6.0,56.6,60.4,15.5,832.0,2021
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,SHEY PEDDY,PHO,32,17.5,97.5,100.3,24.4,2.55,29.6,4.4,9.1,6.8,11.6,50.3,54.1,14.8,560.0,2021
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,SKYLAR DIGGINS,PHO,32,32.5,106.7,99.1,27.5,2.05,23.4,1.8,7.3,4.8,11.4,51.5,59.1,23.8,1040.0,2021
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,TEAIRA MCCOWAN,IND,32,26.5,99.8,106.1,6.9,0.64,8.4,12.5,24.2,18.2,13.2,53.7,57.3,18.7,848.0,2021
