Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ALIYAH BOSTON,IND,40,30.9,104.7,106.4,16.9,1.59,18.0,9.2,19.1,14.3,11.3,53.7,56.6,19.9,1236.0
ALLISHA GRAY,ATL,40,33.2,97.8,98.9,14.7,1.60,14.1,3.2,9.9,6.5,8.8,47.1,52.6,21.4,1328.0
ALYSHA CLARK,LVA,40,24.3,105.5,96.7,10.6,1.27,21.2,2.2,12.1,7.4,16.7,56.5,58.7,11.9,972.0
ALYSSA THOMAS,CON,40,32.4,102.1,94.7,40.3,2.19,37.3,7.7,20.5,13.8,17.1,50.9,54.3,18.2,1296.0
ARIEL ATKINS,WAS,40,29.9,97.4,100.7,19.1,1.35,16.5,3.0,8.7,5.8,12.2,51.6,55.2,22.8,1196.0
BRIONNA JONES,CON,40,27.2,104.6,92.3,9.9,1.18,10.3,8.1,13.6,10.8,8.7,54.0,58.1,21.5,1088.0
CAITLIN CLARK,IND,40,35.4,104.2,106.6,38.3,1.51,27.9,1.0,14.6,8.0,18.5,52.2,58.3,26.2,1416.0
CECILIA ZANDALASINI,MIN,40,12.2,98.3,97.8,15.1,1.39,18.4,1.1,8.6,4.9,13.2,55.7,56.9,17.2,488.0
COURTNEY WILLIAMS,MIN,40,26.5,102.6,90.2,36.2,2.26,28.5,1.4,15.2,8.7,12.6,46.9,48.7,23.3,1060.0
DEWANNA BONNER,CON,40,31.8,102.3,92.5,11.1,1.43,11.4,1.8,18.2,9.8,8.0,47.2,52.4,21.7,1272.0
DEARICA HAMBY,LAS,40,33.7,96.4,105.9,20.6,1.18,16.1,4.5,23.9,14.0,13.6,54.1,56.6,23.4,1348.0
HALEY JONES,ATL,40,17.8,91.2,98.0,19.6,1.24,26.4,1.4,10.7,6.0,21.4,41.8,46.5,14.2,712.0
JACY SHELDON,DAL,40,23.3,99.7,112.2,15.6,1.57,25.8,2.8,6.3,4.5,16.4,45.7,48.9,12.8,932.0
JULIE VANLOO,WAS,40,23.2,98.8,103.4,29.5,1.70,29.4,0.5,7.1,3.7,17.3,46.4,47.0,19.5,928.0
KAYLA THORNTON,NYL,40,20.2,101.6,94.5,5.2,1.17,10.2,4.7,7.9,6.3,8.7,49.0,51.5,12.6,808.0
KELSEY MITCHELL,IND,40,32.0,105.2,107.3,9.6,1.11,9.1,2.1,5.4,3.8,8.2,55.9,58.8,23.8,1280.0
KIA NURSE,LAS,40,20.3,94.1,104.0,11.6,1.08,13.6,2.1,5.9,4.0,12.5,48.9,52.5,17.8,812.0
LEONIE FIEBICH,NYL,40,20.9,107.7,90.7,12.6,1.71,21.5,4.8,9.4,7.2,12.6,61.3,62.4,13.2,836.0
LINDSAY ALLEN,CHI,40,23.8,99.5,100.4,24.7,2.45,33.7,1.3,6.9,4.0,13.7,49.8,53.7,13.6,952.0
MARINA MABREY,CON,40,30.9,100.4,96.6,22.1,1.73,20.4,1.7,12.4,6.9,11.8,50.8,52.4,21.9,1236.0
MYISHA HINES-ALLEN,MIN,40,18.7,97.2,105.5,24.5,1.82,23.7,5.6,20.6,12.9,13.0,52.9,57.3,19.0,748.0
NALYSSA SMITH,IND,40,24.7,101.1,110.1,6.7,0.79,8.3,7.2,20.6,14.0,10.5,50.0,52.0,19.6,988.0
NATASHA MACK,PHO,40,15.5,96.8,101.1,12.1,1.57,21.6,9.6,21.0,15.4,13.7,57.3,57.8,11.2,620.0
NATISHA HIEDEMAN,MIN,40,15.2,99.5,100.2,26.3,2.16,27.5,2.6,7.6,5.2,12.8,44.0,46.9,18.2,608.0
NAZ HILLMON,ATL,40,21.7,99.1,98.4,10.0,1.37,18.5,6.9,15.7,11.0,13.5,55.5,60.0,11.3,868.0
NIA COFFEY,ATL,40,13.3,87.4,99.0,15.4,1.15,18.9,3.4,13.1,8.4,16.4,38.5,41.3,15.9,532.0
RICKEA JACKSON,LAS,40,28.8,94.4,104.8,9.8,0.78,9.5,4.3,9.4,6.8,12.3,50.5,54.7,21.1,1152.0
SAMI WHITCOMB,SEA,40,15.3,98.4,95.3,16.5,1.60,20.3,2.3,9.8,5.9,12.7,45.9,47.0,17.3,612.0
SEVGI UZUN,DAL,40,20.5,99.9,106.4,20.8,1.63,29.8,1.1,6.8,3.9,18.3,39.2,41.8,14.1,820.0
SHATORI WALKER-KIMBROUGH,WAS,40,22.1,96.7,100.4,14.1,1.39,18.3,1.5,6.4,4.0,13.2,48.4,52.9,16.3,884.0
SKYLAR DIGGINS,SEA,40,31.6,102.4,94.2,33.2,2.34,27.4,2.2,6.0,4.1,11.7,46.6,52.5,23.3,1264.0
SOPHIE CUNNINGHAM,PHO,40,27.7,101.6,103.0,11.4,2.08,20.5,1.5,12.0,7.0,9.9,57.1,61.8,12.3,1108.0
ALANNA SMITH,MIN,39,26.5,104.0,91.6,19.5,1.63,22.9,6.2,14.3,10.5,14.0,54.6,57.5,18.2,1033.5
