Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ADRIENNE JOHNSON,ORL,32,33.4,98.2,98.2,9.7,0.94,10.1,3.2,6.2,4.7,10.7,51.2,53.3,20.9,1068.8
ALLISON FEASTER,LAS,32,14.7,96.8,95.1,14.4,0.94,12.3,8.7,10.7,9.8,13.0,42.5,50.8,23.2,470.4
ANDREA GARNER,SEA,32,17.6,84.0,95.1,9.7,0.58,12.5,8.3,12.9,10.4,21.5,32.6,37.6,15.8,563.2
ANDREA STINSON,CHA,32,35.1,96.7,105.1,24.2,1.41,16.5,3.5,10.1,6.8,11.7,50.3,54.1,26.1,1123.2
ASTOU NDIAYE-DIATTA,DET,32,27.1,94.9,100.7,9.1,0.63,8.7,8.1,15.8,11.9,13.7,47.6,48.7,21.9,867.2
BECKY HAMMON,NYL,32,26.1,100.3,94.3,13.8,0.94,14.4,2.7,6.1,4.4,15.4,57.5,62.2,20.4,835.2
BETTY LENNOX,MIN,32,30.7,94.7,93.5,21.0,0.85,11.7,6.1,14.6,10.3,13.9,48.5,52.3,30.4,982.4
BRANDY REED,PHO,32,34.1,100.8,94.5,18.9,0.96,12.4,6.5,13.7,10.2,13.0,52.6,58.6,28.0,1091.2
BRIDGET PETTIS,PHO,32,18.4,98.0,93.9,15.8,1.18,16.4,3.8,7.8,5.8,13.9,41.7,48.5,19.5,588.8
CHAMIQUE HOLDSCLAW,WAS,32,35.4,99.5,98.5,15.2,0.86,11.0,6.1,18.6,12.5,12.8,47.5,50.5,27.9,1132.8
CHARMIN SMITH,SEA,32,16.1,83.3,94.0,21.7,1.66,35.3,3.1,8.2,5.5,21.3,37.5,40.7,9.5,515.2
CHASITY MELVIN,CLE,32,27.3,98.0,96.6,14.3,1.02,13.2,9.7,14.5,12.1,13.0,47.7,53.8,22.4,873.6
CINTIA DOS SANTOS,ORL,32,24.8,98.4,94.8,8.8,0.75,11.4,5.0,11.4,8.4,15.4,42.9,46.7,18.2,793.6
DAWN STALEY,CHA,32,34.3,95.8,104.7,31.0,2.09,33.5,2.1,5.8,3.9,16.0,42.9,49.4,16.4,1097.6
DELISHA MILTON-JONES,LAS,32,30.8,103.9,86.7,13.0,1.01,14.3,6.3,14.1,10.4,14.1,51.5,55.9,19.3,985.6
