,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes,Year
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MONIQUE CURRIE,PHO,36,21.8,96.4,107.1,18.5,1.43,15.9,2.6,14.9,8.7,11.1,49.2,55.2,22.8,784.8000000000001,2017
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TAMERA YOUNG,ATL,35,24.7,96.3,100.6,12.5,1.1,14.3,2.6,10.4,6.6,13.0,39.8,43.2,20.0,864.5,2017
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ALANA BEARD,LAS,34,30.9,108.3,94.6,10.1,1.69,22.9,2.3,9.5,6.0,13.6,51.3,55.1,11.2,1050.6,2017
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ALEX MONTGOMERY,SAN,34,23.5,92.0,103.7,14.9,1.51,20.4,4.9,20.2,12.4,13.5,42.2,44.5,15.3,799.0,2017
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ALLISHA GRAY,DAL,34,27.2,103.3,109.1,8.7,1.07,8.4,5.4,9.4,7.2,7.8,42.5,48.8,22.0,924.8,2017
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,BRIA HARTLEY,NYL,34,21.4,100.8,99.7,16.4,1.43,18.7,1.4,8.2,4.8,13.1,49.6,51.9,18.4,727.5999999999999,2017
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,BRITTNEY SYKES,ATL,34,25.6,98.1,103.7,13.7,1.12,10.9,3.1,13.2,8.0,9.7,45.2,49.7,26.1,870.4000000000001,2017
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,CAMILLE SMITH,PHO,34,25.4,102.6,102.0,9.2,0.89,13.6,5.6,10.2,7.9,15.2,44.7,47.0,16.4,863.5999999999999,2017
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,CHELSEA GRAY,LAS,34,33.3,108.0,95.6,21.0,2.32,24.3,2.2,8.6,5.5,10.5,58.0,61.8,19.2,1132.1999999999998,2017
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,COURTNEY WILLIAMS,CON,34,26.0,104.9,100.3,13.5,1.54,13.5,5.0,10.8,7.9,8.8,48.8,51.1,21.8,884.0,2017
