Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
AMBER JACOBS,MIN,34,25.3,95.7,103.8,22.7,1.28,25.8,2.0,8.2,5.2,20.2,54.2,58.3,16.9,860.2
ANNA DEFORGE,IND,34,29.3,95.1,89.1,14.2,1.38,16.1,4.2,12.0,8.0,11.7,47.0,50.9,18.0,996.2
ASJHA JONES,CON,34,23.0,103.6,89.8,11.1,0.77,9.6,8.0,14.9,11.7,12.6,47.2,51.1,24.4,782.0
BARBARA TURNER,SEA,34,18.3,94.4,93.3,13.8,1.02,16.8,4.5,9.4,7.0,16.5,47.8,56.0,16.6,622.2
BETTY LENNOX,SEA,34,26.1,98.9,97.1,16.4,0.74,11.7,4.1,12.1,8.2,15.7,48.6,51.2,27.5,887.4000000000001
CANDICE DUPREE,CHI,34,30.4,89.8,106.8,12.7,1.00,10.3,5.3,14.0,9.4,10.3,45.7,50.7,22.8,1033.6
CHASITY MELVIN,WAS,34,29.5,102.2,100.4,7.7,0.73,9.6,9.2,15.1,12.2,13.2,52.0,56.2,19.0,1003.0
COCO MILLER,WAS,34,19.3,99.2,96.9,14.4,1.20,20.2,5.9,9.3,7.6,16.8,52.6,56.1,15.3,656.2
DAWN STALEY,HOU,34,30.1,96.5,91.5,21.5,1.75,31.1,1.5,5.9,3.8,17.8,55.3,57.9,13.2,1023.4000000000001
DEANNA NOLAN,DET,34,32.1,98.0,89.6,21.9,1.44,18.2,2.9,10.7,6.8,12.6,45.1,49.9,22.4,1091.4
DONEEKA LEWIS,LAS,34,13.4,92.6,93.2,24.2,1.53,25.1,2.0,7.3,4.7,16.3,38.2,42.5,18.6,455.6
EBONY HOFFMAN,IND,34,25.1,92.4,85.8,10.0,0.63,12.8,8.6,15.8,12.0,20.3,39.4,45.6,16.7,853.4000000000001
ERIN PERPEROGLOU,SAC,34,19.6,98.3,88.7,10.4,0.64,9.5,11.8,9.2,10.6,15.0,53.7,60.1,21.7,666.4000000000001
ERIN PHILLIPS,CON,34,18.1,98.7,85.1,21.0,2.11,28.2,3.5,8.1,6.0,13.4,47.6,54.5,14.7,615.4000000000001
