,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes,Year
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALEX BENTLEY,CON,34,25.6,98.8,99.0,26.4,1.85,20.5,0.8,6.2,3.3,11.0,47.1,49.1,24.2,870.4000000000001,2014
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALEX MONTGOMERY,NYL,34,21.9,92.0,97.6,7.9,0.87,13.7,4.6,13.6,9.0,15.7,49.1,50.3,12.9,744.5999999999999,2014
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ALLIE QUIGLEY,CHI,34,24.8,95.5,97.8,14.4,1.05,13.6,1.7,6.6,4.3,13.0,50.8,54.4,21.7,843.2,2014
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ALYSHA CLARK,SEA,34,16.5,94.7,100.9,6.4,0.83,11.2,5.4,9.2,7.4,13.5,50.4,52.5,13.8,561.0,2014
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ALYSSA THOMAS,CON,34,27.3,96.4,97.7,9.3,0.88,11.4,6.4,13.1,9.5,12.9,43.6,49.9,18.5,928.2,2014
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ANEIKA MORELLO,ATL,34,12.8,92.3,99.4,3.7,0.28,5.4,10.1,16.2,13.0,19.2,58.2,60.6,14.9,435.2000000000001,2014
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,ANNA CRUZ,NYL,34,27.1,92.2,96.1,22.8,1.68,27.3,1.5,11.5,6.5,16.2,49.8,51.7,15.8,921.4,2014
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,ARMINTIE HERRINGTON,LAS,34,23.2,97.1,93.2,12.2,2.0,27.7,5.4,7.2,6.3,13.9,48.0,48.4,9.7,788.8,2014
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,BRIA HARTLEY,WAS,34,27.1,93.2,95.1,20.8,1.24,19.7,2.2,5.7,4.0,15.9,43.4,48.2,21.1,921.4,2014
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,BRITTNEY GRINER,PHO,34,30.9,107.3,89.0,9.4,0.86,10.3,7.2,18.2,13.4,11.9,57.8,61.7,22.0,1050.6,2014
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,CANDICE DUPREE,PHO,34,31.4,109.5,92.4,12.4,1.67,14.2,4.7,19.0,12.7,8.5,53.3,57.1,21.1,1067.6,2014
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,CAPPIE PONDEXTER,NYL,34,31.0,94.1,99.5,23.0,1.48,19.1,2.1,8.8,5.5,12.9,41.6,47.3,23.9,1054.0,2014
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,COURTNEY PARIS,TUL,34,27.8,103.7,103.5,6.6,1.03,10.6,13.7,24.7,18.8,10.3,57.4,57.3,14.2,945.2,2014
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,CRYSTAL LANGHORNE,SEA,34,28.9,92.9,100.6,7.4,0.5,7.3,6.6,22.6,14.6,14.7,57.5,59.8,21.1,982.6,2014
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,DANIELLE ADAMS,SAN,34,20.6,101.0,96.6,8.8,0.74,7.3,5.9,15.0,10.3,9.8,46.5,50.7,25.8,700.4000000000001,2014
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,DEWANNA BONNER,PHO,34,29.4,106.4,91.9,12.2,1.68,17.6,4.1,9.7,7.2,10.5,50.2,55.0,17.3,999.6,2014
